# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  25               1.21640819E-02   6.32192826E+02   8.38453877E-01   1.60502098E-01   3.61052519E-15   3.62560321E-04   4.12488737E-04   1.75220493E-04   5.88594874E-05   2.29860443E-05  
  26               1.51235307E-02   6.37434449E+02   8.38453803E-01   1.60502157E-01   4.56869731E-15   3.62560518E-04   4.12488961E-04   1.75220588E-04   5.88595194E-05   2.29860529E-05  
  27               1.87981300E-02   6.49226695E+02   8.38453787E-01   1.60502173E-01   8.71303267E-15   3.62560801E-04   4.12489283E-04   1.75220725E-04   5.88595653E-05   2.29860551E-05  
  28               2.33596751E-02   6.54584855E+02   8.38453711E-01   1.60502247E-01   1.09140598E-14   3.62561021E-04   4.12489534E-04   1.75220831E-04   5.88596011E-05   2.29860657E-05  
  29               2.90204704E-02   6.66722202E+02   8.38453691E-01   1.60502267E-01   2.04534284E-14   3.62561173E-04   4.12489706E-04   1.75220905E-04   5.88596257E-05   2.29860686E-05  
  30               3.60418890E-02   6.72554977E+02   8.38453554E-01   1.60502344E-01   2.59045717E-14   3.62561389E-04   4.12489952E-04   1.75221009E-04   5.88596608E-05   2.29860796E-05  
  31               4.47443653E-02   6.85453601E+02   8.38453530E-01   1.60502366E-01   4.87992728E-14   3.62562185E-04   4.12490858E-04   1.75221394E-04   5.88597901E-05   2.29860827E-05  
  32               5.55188045E-02   6.92113325E+02   8.38453433E-01   1.60502462E-01   6.35568437E-14   3.62562437E-04   4.12491145E-04   1.75221516E-04   5.88598310E-05   2.29860964E-05  
  33               6.88434494E-02   7.06282424E+02   8.38453415E-01   1.60502480E-01   1.23090476E-13   3.62562587E-04   4.12491316E-04   1.75221589E-04   5.88598554E-05   2.29860989E-05  
  34               8.52962178E-02   7.14314577E+02   8.38453126E-01   1.60502541E-01   1.68684623E-13   3.62562757E-04   4.12491509E-04   1.75221670E-04   5.88598829E-05   2.29861077E-05  
  35               1.05573895E-01   7.30142131E+02   8.38453114E-01   1.60502546E-01   3.39181652E-13   3.62565421E-04   4.12494539E-04   1.75222958E-04   5.88603153E-05   2.29861084E-05  
  36               1.30516474E-01   7.39991649E+02   8.38453020E-01   1.60502637E-01   4.94882920E-13   3.62565667E-04   4.12494820E-04   1.75223077E-04   5.88603554E-05   2.29861213E-05  
  37               1.61131590E-01   7.57922834E+02   8.38452851E-01   1.60502585E-01   1.04087398E-12   3.62565705E-04   4.12494863E-04   1.75223095E-04   5.88603615E-05   2.29861137E-05  
  38               1.98620029E-01   7.69974022E+02   8.38452769E-01   1.60502657E-01   1.62252662E-12   3.62567870E-04   4.12497326E-04   1.75224141E-04   5.88607130E-05   2.29861237E-05  
  39               2.44451786E-01   7.90344575E+02   8.38452819E-01   1.60502602E-01   3.55976767E-12   3.62567972E-04   4.12497442E-04   1.75224191E-04   5.88607295E-05   2.29893875E-05  
  40               3.00382441E-01   8.05200859E+02   8.38452779E-01   1.60502636E-01   5.97343923E-12   3.62568148E-04   4.12497642E-04   1.75224276E-04   5.88607581E-05   2.29893917E-05  
  41               3.68481588E-01   8.28577274E+02   8.38452892E-01   1.60502504E-01   1.36967955E-11   3.62568184E-04   4.12497683E-04   1.75224293E-04   5.88607640E-05   2.29949137E-05  
  42               4.51131435E-01   8.46721666E+02   8.38452901E-01   1.60502453E-01   2.46381466E-11   3.62568351E-04   4.12497873E-04   1.75224374E-04   5.88607910E-05   2.30026361E-05  
  43               5.51177641E-01   8.73629227E+02   8.38453123E-01   1.60502135E-01   5.87235023E-11   3.62568447E-04   4.12497982E-04   1.75224420E-04   5.88608067E-05   2.30291612E-05  
  44               6.71806467E-01   8.95817501E+02   8.38453171E-01   1.60501851E-01   1.13226548E-10   3.62568777E-04   4.12498357E-04   1.75224580E-04   5.88608602E-05   2.30732857E-05  
  45               8.16548813E-01   9.26928659E+02   8.38453471E-01   1.60500981E-01   2.78925367E-10   3.62569891E-04   4.12499625E-04   1.75225118E-04   5.88610411E-05   2.32217892E-05  
  46               9.89404254E-01   9.53782052E+02   8.38453184E-01   1.60499924E-01   5.69930154E-10   3.62572210E-04   4.12502262E-04   1.75226238E-04   5.88614174E-05   2.34939381E-05  
  47               1.19539768E+00   9.89793463E+02   8.38454023E-01   1.60497481E-01   1.43618757E-09   3.62578141E-04   4.12509004E-04   1.75229102E-04   5.88623794E-05   2.42913285E-05  
  48               1.43991681E+00   1.02195690E+03   8.38456928E-01   1.60494595E-01   3.06153930E-09   3.62574900E-04   4.12505285E-04   1.75227522E-04   5.88618488E-05   2.42908256E-05  
  49               1.72885520E+00   1.06300860E+03   8.38463538E-01   1.60488023E-01   7.67956697E-09   3.62567428E-04   4.12496640E-04   1.75223847E-04   5.88606155E-05   2.42896820E-05  
  50               2.06880977E+00   1.10024339E+03   8.38471667E-01   1.60479929E-01   1.64686755E-08   3.62559100E-04   4.12486406E-04   1.75219476E-04   5.88591585E-05   2.42882328E-05  
  51               2.46765734E+00   1.14583977E+03   8.38486993E-01   1.60464640E-01   3.97632063E-08   3.62544876E-04   4.12466724E-04   1.75210940E-04   5.88563744E-05   2.42854449E-05  
  52               2.93447610E+00   1.18731737E+03   8.38503229E-01   1.60448400E-01   8.26425395E-08   3.62541032E-04   4.12445262E-04   1.75200336E-04   5.88535128E-05   2.42822921E-05  
  53               3.47974063E+00   1.23653109E+03   8.38527289E-01   1.60424258E-01   1.86771235E-07   3.62571012E-04   4.12406348E-04   1.75174300E-04   5.88492092E-05   2.42772734E-05  
  54               4.11564741E+00   1.28123208E+03   8.38548018E-01   1.60403289E-01   3.66802899E-07   3.62772775E-04   4.12327364E-04   1.75079298E-04   5.88456515E-05   2.42721771E-05  
  55               4.85736170E+00   1.33321823E+03   8.38573006E-01   1.60377806E-01   7.66166263E-07   3.63508238E-04   4.12042932E-04   1.74656105E-04   5.88414206E-05   2.42646934E-05  
  56               5.72137144E+00   1.38033946E+03   8.38591633E-01   1.60358973E-01   1.40770311E-06   3.65761649E-04   4.10973667E-04   1.72895076E-04   5.88387244E-05   2.42564823E-05  
  57               6.73054806E+00   1.43456914E+03   8.38613375E-01   1.60338918E-01   2.71751327E-06   3.71409048E-04   4.07628836E-04   1.67249646E-04   5.88358734E-05   2.42408622E-05  
  58               7.91958821E+00   1.48409419E+03   8.38632801E-01   1.60326339E-01   4.69624975E-06   3.82378750E-04   3.99659924E-04   1.54309418E-04   5.88338553E-05   2.42103812E-05  
  59               9.34068857E+00   1.54103626E+03   8.38655784E-01   1.60314225E-01   8.47879564E-06   3.99926337E-04   3.85265349E-04   1.32560500E-04   5.88314458E-05   2.41017476E-05  
  60               1.10225541E+01   1.59329142E+03   8.38658324E-01   1.60304596E-01   1.38871424E-05   4.18692172E-04   3.71293842E-04   1.12688809E-04   5.88343327E-05   2.37943902E-05  
  61               1.29537315E+01   1.65202728E+03   8.38662387E-01   1.60296610E-01   2.34539966E-05   4.39803730E-04   3.65765140E-04   9.04335286E-05   5.88552689E-05   2.23827918E-05  
  62               1.50792893E+01   1.70515009E+03   8.38657407E-01   1.60290102E-01   3.62602602E-05   4.53306181E-04   3.56850825E-04   7.72362741E-05   5.88583963E-05   2.22847126E-05  
  63               1.72989116E+01   1.76288241E+03   8.38621002E-01   1.60279397E-01   5.70346472E-05   4.68226322E-04   3.57225632E-04   6.21307853E-05   5.88722937E-05   2.19410741E-05  
  64               1.93853449E+01   1.81521660E+03   8.38544386E-01   1.60266596E-01   8.40407899E-05   4.82048165E-04   3.80917664E-04   4.81877704E-05   5.89167131E-05   2.12728775E-05  
  65               2.11367211E+01   1.85789411E+03   8.38462828E-01   1.60256521E-01   1.13561611E-04   4.92140265E-04   4.14469597E-04   3.80218533E-05   5.89523289E-05   2.06801585E-05  
  66               2.31245391E+01   1.90057129E+03   8.38424362E-01   1.60250150E-01   1.50879936E-04   4.96708342E-04   4.10202390E-04   3.34168957E-05   5.89411615E-05   2.06732805E-05  
  67               2.48306880E+01   1.93688873E+03   8.38392428E-01   1.60245877E-01   1.90509593E-04   5.00143431E-04   4.06728953E-04   2.99194855E-05   5.89427598E-05   2.06614657E-05  
  68               2.61816749E+01   1.96232457E+03   8.38365360E-01   1.60242696E-01   2.22659624E-04   5.02054542E-04   4.04783274E-04   2.79700384E-05   5.89280802E-05   2.06523245E-05  
  69               2.77717890E+01   1.99315190E+03   8.38326590E-01   1.60238341E-01   2.68035309E-04   5.04298542E-04   4.02497170E-04   2.56651209E-05   5.89066713E-05   2.06355453E-05  
  70               2.96422985E+01   2.02545352E+03   8.38246112E-01   1.60227131E-01   3.22728425E-04   5.06146816E-04   4.00567027E-04   2.37304258E-05   5.88698442E-05   2.06147464E-05  
  71               3.10090494E+01   2.04971092E+03   8.38204257E-01   1.60222910E-01   3.70105875E-04   5.07528339E-04   3.99178505E-04   2.23001339E-05   5.88867679E-05   2.05948798E-05  
  72               3.19609471E+01   2.06452625E+03   8.38176590E-01   1.60220217E-01   4.01123499E-04   5.08184382E-04   3.98489309E-04   2.16101963E-05   5.88636035E-05   2.05826476E-05  
  73               3.31029835E+01   2.08378662E+03   8.38137052E-01   1.60216364E-01   4.45409235E-04   5.09126563E-04   3.97550636E-04   2.06209483E-05   5.88394680E-05   2.05632772E-05  
  74               3.44802780E+01   2.10441973E+03   8.38091325E-01   1.60212036E-01   4.96289404E-04   5.09927477E-04   3.96705604E-04   1.97689451E-05   5.88119455E-05   2.05417986E-05  
  75               3.61313445E+01   2.12999539E+03   8.38027999E-01   1.60206080E-01   5.66630600E-04   5.10940169E-04   3.95634573E-04   1.86889150E-05   5.87808327E-05   2.05101266E-05  
  76               3.80979918E+01   2.15761666E+03   8.37952176E-01   1.60199096E-01   6.50358295E-04   5.11816269E-04   3.94691688E-04   1.77339850E-05   5.87420044E-05   2.04733232E-05  
  77               4.04261527E+01   2.19020219E+03   8.37850483E-01   1.60189808E-01   7.62392785E-04   5.12801548E-04   3.93621982E-04   1.66498801E-05   5.86971148E-05   2.04226998E-05  
  78               4.31652419E+01   2.22534510E+03   8.37726261E-01   1.60178619E-01   8.98726029E-04   5.13645974E-04   3.92679807E-04   1.56876119E-05   5.86412779E-05   2.03623309E-05  
  79               4.63698888E+01   2.26505665E+03   8.37564563E-01   1.60164161E-01   1.07583229E-03   5.14491521E-04   3.91714630E-04   1.46973617E-05   5.85765865E-05   2.02841012E-05  
  80               5.00991258E+01   2.30770225E+03   8.37362785E-01   1.60146063E-01   1.29417879E-03   5.15195523E-04   3.90869809E-04   1.38186266E-05   5.84986219E-05   2.01902621E-05  
  81               5.44185939E+01   2.35410303E+03   8.37102741E-01   1.60123612E-01   1.56922659E-03   5.16016535E-04   3.96004144E-04   1.28066026E-05   5.84128711E-05   2.01070979E-05  
  82               5.94017298E+01   2.40365238E+03   8.36790334E-01   1.60096177E-01   1.90954738E-03   5.16490406E-04   3.95494845E-04   1.20837872E-05   5.83073099E-05   1.99705449E-05  
  83               6.51330283E+01   2.45609401E+03   8.36407033E-01   1.60062623E-01   2.32679855E-03   5.16814236E-04   3.95084706E-04   1.14620466E-05   5.81843076E-05   1.98109626E-05  
  84               7.17052267E+01   2.51167244E+03   8.35935631E-01   1.60021443E-01   2.83971111E-03   5.16999326E-04   3.94758931E-04   1.09200093E-05   5.80425740E-05   1.96250856E-05  
  85               7.92274151E+01   2.56940397E+03   8.35371013E-01   1.59972210E-01   3.45377870E-03   5.17004157E-04   3.94562498E-04   1.04921548E-05   5.78784416E-05   1.94165886E-05  
  86               8.78285887E+01   2.63002504E+03   8.34687430E-01   1.59912667E-01   4.19703929E-03   5.16855248E-04   3.94467439E-04   1.01369495E-05   5.76905875E-05   1.91807538E-05  
  87               9.76595256E+01   2.69251736E+03   8.33881917E-01   1.59842573E-01   5.07264148E-03   5.16512448E-04   3.94524106E-04   9.88552550E-06   5.74746043E-05   1.89236707E-05  
  88               1.08897282E+02   2.75749674E+03   8.32926948E-01   1.59759522E-01   6.11052909E-03   5.15987748E-04   3.94722873E-04   9.70721063E-06   5.72278904E-05   1.86422730E-05  
  89               1.21748105E+02   2.82409391E+03   8.31821907E-01   1.59663480E-01   7.31129485E-03   5.15246100E-04   3.95114883E-04   9.62495395E-06   5.69453612E-05   1.83439872E-05  
  90               1.36449468E+02   2.89299622E+03   8.30535146E-01   1.59551682E-01   8.70934683E-03   5.14290915E-04   3.95701698E-04   9.61104147E-06   5.66230346E-05   1.80259431E-05  
  91               1.53268401E+02   2.96333963E+03   8.29072117E-01   1.59424624E-01   1.02986690E-02   5.13085821E-04   3.96540925E-04   9.68687423E-06   5.62546035E-05   1.76969969E-05  
  92               1.72504940E+02   3.03583305E+03   8.27398178E-01   1.59279286E-01   1.21169097E-02   5.11625579E-04   3.97642520E-04   9.82724132E-06   5.58338452E-05   1.73541399E-05  
  93               1.94467286E+02   3.10921888E+03   8.25540800E-01   1.59118084E-01   1.41340931E-02   5.09868698E-04   3.99072483E-04   1.00610069E-05   5.53523870E-05   1.70098299E-05  
  94               2.19461431E+02   3.18429165E+03   8.23462423E-01   1.58937739E-01   1.63910517E-02   5.07811484E-04   4.00827584E-04   1.03572948E-05   5.48007781E-05   1.66592676E-05  
  95               2.47819669E+02   3.25968609E+03   8.21210559E-01   1.58742412E-01   1.88360285E-02   5.05414188E-04   4.02960408E-04   1.07458837E-05   5.41661967E-05   1.63154882E-05  
  96               2.79904324E+02   3.33636638E+03   8.18742095E-01   1.58528338E-01   2.15159003E-02   5.02667169E-04   4.05448873E-04   1.11950017E-05   5.34292406E-05   1.59713520E-05  
  97               3.16102709E+02   3.41302755E+03   8.16119125E-01   1.58300944E-01   2.43630721E-02   4.99530174E-04   4.08324020E-04   1.17350021E-05   5.25661516E-05   1.56388431E-05  
  98               3.56827587E+02   3.49077476E+03   8.13289101E-01   1.58055636E-01   2.74346854E-02   4.95988247E-04   4.11537481E-04   1.23321044E-05   5.15375143E-05   1.53086239E-05  
  99               4.02523922E+02   3.56820120E+03   8.10335086E-01   1.57799664E-01   3.06403434E-02   4.91999620E-04   4.15107358E-04   1.30217745E-05   5.03008748E-05   1.49930486E-05  
  100              4.53680312E+02   3.64653802E+03   8.07193709E-01   1.57527482E-01   3.40489426E-02   4.87544044E-04   4.18966457E-04   1.37685088E-05   4.87829435E-05   1.46813604E-05  
  101              5.10842722E+02   3.72432218E+03   8.03967382E-01   1.57248027E-01   3.75490187E-02   4.82578863E-04   4.23139772E-04   1.46133786E-05   4.69188551E-05   1.43863516E-05  
