# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  86               5.18122749E+01   1.38388585E+03   8.38169129E-01   1.60447019E-01   7.55156373E-04   5.06697812E-04   4.97839069E-05   2.42792810E-05   2.17353640E-05   1.39640038E-05  
  87               5.75146728E+01   1.42443869E+03   8.38169203E-01   1.60443791E-01   7.54182963E-04   5.05417985E-04   4.97858439E-05   2.42767329E-05   2.17361729E-05   1.89791210E-05  
  88               6.37691648E+01   1.46521911E+03   8.38171278E-01   1.60440221E-01   7.51646182E-04   5.02265992E-04   4.97873145E-05   2.42732242E-05   2.17366963E-05   2.55705639E-05  
  89               7.06548074E+01   1.50688062E+03   8.38177149E-01   1.60436493E-01   7.46396812E-04   4.96164174E-04   4.97876555E-05   2.42680735E-05   2.17364903E-05   3.38655634E-05  
  90               7.82388113E+01   1.54903644E+03   8.38187098E-01   1.60432720E-01   7.37998562E-04   4.87052250E-04   4.97870400E-05   2.42598433E-05   2.17352442E-05   4.37598869E-05  
  91               8.65602918E+01   1.59193526E+03   8.38198724E-01   1.60428418E-01   7.27209786E-04   4.75673044E-04   4.97872090E-05   2.42448356E-05   2.17328782E-05   5.53052648E-05  
  92               9.56270365E+01   1.63497690E+03   8.38211813E-01   1.60423963E-01   7.15982161E-04   4.62741557E-04   4.97852512E-05   2.41631431E-05   2.17267297E-05   6.82155413E-05  
  93               1.05381716E+02   1.67796023E+03   8.38210431E-01   1.60416057E-01   7.02597673E-04   4.48839218E-04   4.98079386E-05   2.41524086E-05   2.17270747E-05   8.20236397E-05  
  94               1.15796460E+02   1.72040816E+03   8.38208395E-01   1.60410365E-01   7.06121505E-04   4.32431405E-04   4.98061121E-05   2.32823873E-05   2.17143374E-05   9.83328857E-05  
  95               1.26869197E+02   1.76240792E+03   8.38221300E-01   1.60404964E-01   6.91809817E-04   4.17531307E-04   4.97993684E-05   2.32723735E-05   2.17059918E-05   1.13093073E-04  
  96               1.38519643E+02   1.80351343E+03   8.38231576E-01   1.60399451E-01   6.78173648E-04   4.02799006E-04   4.97835587E-05   2.32513197E-05   2.17196371E-05   1.27664853E-04  
  97               1.50568116E+02   1.84321575E+03   8.38236514E-01   1.60393630E-01   6.66377621E-04   3.88488508E-04   4.97488812E-05   2.32093229E-05   2.17714690E-05   1.41792168E-04  
  98               1.63527384E+02   1.88320038E+03   8.38231809E-01   1.60386702E-01   6.57601168E-04   3.73851619E-04   4.96860287E-05   2.31228205E-05   2.18704845E-05   1.56213271E-04  
  99               1.76734918E+02   1.92131465E+03   8.38214644E-01   1.60378854E-01   6.54773727E-04   3.59351760E-04   4.95939063E-05   2.29664756E-05   2.20094331E-05   1.70477279E-04  
  100              1.89781696E+02   1.95687710E+03   8.38171888E-01   1.60367841E-01   6.59853907E-04   3.44734153E-04   4.94964898E-05   2.27250660E-05   2.21688895E-05   1.84842190E-04  
  101              2.03975489E+02   1.99320979E+03   8.38039123E-01   1.60344716E-01   7.00301415E-04   3.23802296E-04   4.93694938E-05   2.20947422E-05   2.23634801E-05   2.05482589E-04  
