# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  44               4.52840945E-01   8.34617092E+02   8.38527295E-01   1.60517035E-01   1.55893154E-11   4.88461559E-04   3.11453469E-04   5.98221979E-05   6.23061368E-05   2.29976702E-05  
  45               5.15542791E-01   8.70023421E+02   8.38527795E-01   1.60516398E-01   5.35155839E-11   4.88460956E-04   3.11453085E-04   5.98221241E-05   6.23060599E-05   2.30276834E-05  
  46               5.85950439E-01   9.00498493E+02   8.38528259E-01   1.60515476E-01   1.41533015E-10   4.88460690E-04   3.11452915E-04   5.98220915E-05   6.23060260E-05   2.31076805E-05  
  47               6.64730160E-01   9.37371799E+02   8.38529121E-01   1.60513130E-01   4.26053753E-10   4.88461639E-04   3.11453520E-04   5.98222077E-05   6.23061470E-05   2.34073131E-05  
  48               7.52731031E-01   9.69089974E+02   8.38530806E-01   1.60509662E-01   1.01689749E-09   4.88470265E-04   3.11459020E-04   5.98232641E-05   6.23072472E-05   2.42931882E-05  
  49               8.50991024E-01   1.00733130E+03   8.38538516E-01   1.60501975E-01   2.72401414E-09   4.88458480E-04   3.11451504E-04   5.98218204E-05   6.23057436E-05   2.42919447E-05  
  50               9.60627418E-01   1.04037829E+03   8.38548833E-01   1.60491694E-01   5.95854674E-09   4.88442561E-04   3.11441346E-04   5.98198695E-05   6.23037111E-05   2.42902690E-05  
  51               1.08282218E+00   1.08001097E+03   8.38568080E-01   1.60472511E-01   1.44273421E-08   4.88413804E-04   3.11422980E-04   5.98163423E-05   6.23000336E-05   2.42871147E-05  
  52               1.21871517E+00   1.11438434E+03   8.38588289E-01   1.60452362E-01   2.92303443E-08   4.88383257E-04   3.11403374E-04   5.98125801E-05   6.22960862E-05   2.42837119E-05  
  53               1.36956044E+00   1.15524125E+03   8.38617185E-01   1.60423521E-01   6.45819445E-08   4.88341140E-04   3.11376017E-04   5.98073457E-05   6.22904644E-05   2.42786574E-05  
  54               1.53701396E+00   1.19090764E+03   8.38641166E-01   1.60399546E-01   1.22255194E-07   4.88307295E-04   3.11352318E-04   5.98029139E-05   6.22847790E-05   2.42741050E-05  
  55               1.72286581E+00   1.23292560E+03   8.38669122E-01   1.60371522E-01   2.49100461E-07   4.88274173E-04   3.11323127E-04   5.97978752E-05   6.22741454E-05   2.42681642E-05  
  56               1.92950942E+00   1.26664749E+03   8.38686501E-01   1.60354002E-01   4.20673755E-07   4.88272963E-04   3.11293813E-04   5.97946523E-05   6.22456692E-05   2.42635593E-05  
  57               2.15954962E+00   1.30769321E+03   8.38706177E-01   1.60334034E-01   7.74674713E-07   4.88309682E-04   3.11235498E-04   5.97910852E-05   6.21554687E-05   2.42569218E-05  
  58               2.41567037E+00   1.34051879E+03   8.38717297E-01   1.60322649E-01   1.21290881E-06   4.88446289E-04   3.11115005E-04   5.97889715E-05   6.18864513E-05   2.42509489E-05  
  59               2.70075355E+00   1.38123807E+03   8.38730128E-01   1.60309442E-01   2.07522642E-06   4.88743187E-04   3.10854334E-04   5.97865672E-05   6.12195110E-05   2.42396786E-05  
  60               3.01842732E+00   1.41384707E+03   8.38736807E-01   1.60302295E-01   3.08007598E-06   4.89322221E-04   3.10359032E-04   5.97851014E-05   5.97502810E-05   2.42249561E-05  
  61               3.37320239E+00   1.45513283E+03   8.38745761E-01   1.60293893E-01   5.00886050E-06   4.90336565E-04   3.09511059E-04   5.97839668E-05   5.69338010E-05   2.41234702E-05  
  62               3.76997207E+00   1.48852367E+03   8.38747001E-01   1.60288879E-01   7.18612664E-06   4.91947123E-04   3.08311696E-04   5.97823147E-05   5.24301445E-05   2.41105642E-05  
  63               4.21404628E+00   1.53139675E+03   8.38753110E-01   1.60284145E-01   1.13031905E-05   4.94450253E-04   3.06972517E-04   5.97868278E-05   4.57251543E-05   2.34718719E-05  
  64               4.70814550E+00   1.56694274E+03   8.38742766E-01   1.60278973E-01   1.59671523E-05   4.97737355E-04   3.05961081E-04   5.97857543E-05   3.89167628E-05   2.34488927E-05  
  65               5.24951874E+00   1.61299493E+03   8.38739263E-01   1.60276399E-01   2.47700747E-05   5.02196383E-04   3.07236157E-04   5.98030574E-05   3.03878132E-05   2.20177663E-05  
  66               5.82564395E+00   1.65340688E+03   8.38725119E-01   1.60272316E-01   3.54572484E-05   5.06686580E-04   3.08840812E-04   5.98058498E-05   2.48310482E-05   2.19454971E-05  
