# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  54               2.60231059E+00   6.51006061E+02   8.38189127E-01   1.60481056E-01   7.28244358E-04   4.81959426E-04   2.00848971E-05   5.30595044E-05   8.27637180E-16   2.29851757E-05  
  55               2.96506496E+00   6.76311302E+02   8.38190727E-01   1.60479461E-01   7.28241165E-04   4.81957313E-04   2.00848090E-05   5.30592717E-05   3.55362956E-15   2.29849473E-05  
  56               3.37451134E+00   7.03521367E+02   8.38192664E-01   1.60477529E-01   7.28237209E-04   4.81954695E-04   2.00846999E-05   5.30589835E-05   1.51681969E-14   2.29846706E-05  
  57               3.83582130E+00   7.30303307E+02   8.38194562E-01   1.60475630E-01   7.28233166E-04   4.81952019E-04   2.00845884E-05   5.30586890E-05   5.67080271E-14   2.29843985E-05  
  58               4.35542999E+00   7.59073962E+02   8.38196572E-01   1.60473601E-01   7.28228879E-04   4.81949182E-04   2.00844702E-05   5.30583766E-05   2.11071567E-13   2.29841078E-05  
  59               4.94049292E+00   7.87411951E+02   8.38198194E-01   1.60471776E-01   7.28225151E-04   4.81946714E-04   2.00843673E-05   5.30581050E-05   6.98417396E-13   2.29838463E-05  
  60               5.59946972E+00   8.17867464E+02   8.38199920E-01   1.60469993E-01   7.28221877E-04   4.81944548E-04   2.00842770E-05   5.30578664E-05   2.30691050E-12   2.29835906E-05  
  61               6.34073701E+00   8.47873692E+02   8.38201209E-01   1.60468479E-01   7.28223275E-04   4.81945473E-04   2.00843156E-05   5.30579683E-05   6.85678438E-12   2.29833731E-05  
  62               7.17246081E+00   8.79983446E+02   8.38202596E-01   1.60467072E-01   7.28225207E-04   4.81946752E-04   2.00843691E-05   5.30581091E-05   2.02832079E-11   2.29840276E-05  
  63               8.10434162E+00   9.11545395E+02   8.38203691E-01   1.60465932E-01   7.28223011E-04   4.81945298E-04   2.00843098E-05   5.30579490E-05   5.44634292E-11   2.29944760E-05  
  64               9.14717267E+00   9.45206597E+02   8.38204639E-01   1.60464851E-01   7.28221231E-04   4.81944120E-04   2.00842670E-05   5.30578194E-05   1.45369243E-10   2.30246995E-05  
  65               1.03129618E+01   9.78298851E+02   8.38205184E-01   1.60463946E-01   7.28220651E-04   4.81943737E-04   2.00842817E-05   5.30577772E-05   3.55974933E-10   2.31024226E-05  
  66               1.16140315E+01   1.01344535E+03   8.38205227E-01   1.60463014E-01   7.28222491E-04   4.81944954E-04   2.00844664E-05   5.30579112E-05   8.65085473E-10   2.33097988E-05  
  67               1.30622775E+01   1.04795809E+03   8.38204620E-01   1.60462159E-01   7.28230833E-04   4.81950475E-04   2.00852581E-05   5.30585190E-05   1.94554279E-09   2.37837078E-05  
  68               1.46693898E+01   1.08435803E+03   8.38204400E-01   1.60461348E-01   7.28243853E-04   4.81959090E-04   2.00877684E-05   5.30594678E-05   4.32793649E-09   2.42858003E-05  
  69               1.64526842E+01   1.12012479E+03   8.38205100E-01   1.60460637E-01   7.28241918E-04   4.81957797E-04   2.00955769E-05   5.30593281E-05   8.99611037E-09   2.42855860E-05  
  70               1.84344424E+01   1.15781610E+03   8.38205946E-01   1.60459754E-01   7.28239529E-04   4.81956141E-04   2.01218899E-05   5.30591616E-05   1.85299486E-08   2.42852734E-05  
  71               2.06377193E+01   1.19505928E+03   8.38206899E-01   1.60458697E-01   7.28236457E-04   4.81953679E-04   2.02063549E-05   5.30589811E-05   3.60708943E-08   2.42848410E-05  
  72               2.30846648E+01   1.23419647E+03   8.38208117E-01   1.60457192E-01   7.28231095E-04   4.81947944E-04   2.04564871E-05   5.30588133E-05   6.95749785E-08   2.42841786E-05  
  73               2.57957613E+01   1.27287413E+03   8.38209387E-01   1.60455190E-01   7.28216406E-04   4.81927716E-04   2.11441439E-05   5.30588247E-05   1.27609865E-07   2.42832424E-05  
  74               2.87898575E+01   1.31326492E+03   8.38210648E-01   1.60452243E-01   7.28158702E-04   4.81845098E-04   2.28332889E-05   5.30592603E-05   2.31468584E-07   2.42818330E-05  
  75               3.20894640E+01   1.35309040E+03   8.38211291E-01   1.60448320E-01   7.27926487E-04   4.81521116E-04   2.64530319E-05   5.30605352E-05   4.01008831E-07   2.42798867E-05  
  76               3.57297311E+01   1.39463608E+03   8.38211618E-01   1.60442907E-01   7.27111406E-04   4.80424452E-04   3.30971090E-05   5.30628216E-05   6.88078556E-07   2.42770535E-05  
  77               3.97565821E+01   1.43586006E+03   8.38212961E-01   1.60436577E-01   7.24641736E-04   4.77240130E-04   4.31986471E-05   5.30656680E-05   1.13693947E-06   2.42732269E-05  
  78               4.42184577E+01   1.47899140E+03   8.38219030E-01   1.60429408E-01   7.18543675E-04   4.69785940E-04   5.69647554E-05   5.30677944E-05   1.86598234E-06   2.42675876E-05  
  79               4.91609528E+01   1.52192737E+03   8.38232845E-01   1.60422727E-01   7.06991087E-04   4.56688193E-04   7.31299658E-05   5.30681399E-05   2.96399024E-06   2.42590881E-05  
  80               5.46203534E+01   1.56663838E+03   8.38253374E-01   1.60415779E-01   6.90052268E-04   4.38640571E-04   9.21588741E-05   5.30669761E-05   4.67085856E-06   2.42432524E-05  
  81               6.06120698E+01   1.61083617E+03   8.38275567E-01   1.60408846E-01   6.71006610E-04   4.18766622E-04   1.12084608E-04   5.30656807E-05   7.12542114E-06   2.42112176E-05  
