# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  49               3.62587816E+00   1.19761912E+03   8.38472827E-01   1.60452324E-01   9.03121804E-08   4.44662108E-04   3.25265474E-04   2.06490533E-04   5.85882692E-05   2.42828196E-05  
  50               4.06978019E+00   1.23287031E+03   8.38488479E-01   1.60436580E-01   1.61903413E-07   4.44642292E-04   3.25311379E-04   2.06474258E-04   5.85865679E-05   2.42795072E-05  
  51               4.56600345E+00   1.26842965E+03   8.38505352E-01   1.60419510E-01   2.81725259E-07   4.44600752E-04   3.25455751E-04   2.06426082E-04   5.85847122E-05   2.42755913E-05  
  52               5.12067836E+00   1.30373116E+03   8.38522019E-01   1.60402492E-01   4.72530034E-07   4.44490432E-04   3.25849819E-04   2.06268931E-04   5.85830533E-05   2.42711693E-05  
  53               5.74029684E+00   1.33929090E+03   8.38538108E-01   1.60385900E-01   7.72399043E-07   4.44173458E-04   3.26807311E-04   2.05779958E-04   5.85816574E-05   2.42660609E-05  
  54               6.43201689E+00   1.37454969E+03   8.38552873E-01   1.60370732E-01   1.22275881E-06   4.43324702E-04   3.28894419E-04   2.04424516E-04   5.85807945E-05   2.42600948E-05  
  55               7.20516814E+00   1.41011696E+03   8.38567066E-01   1.60356948E-01   1.89524486E-06   4.41315218E-04   3.32942288E-04   2.01182614E-04   5.85803132E-05   2.42523732E-05  
  56               8.07442915E+00   1.44551369E+03   8.38581008E-01   1.60345226E-01   2.86105346E-06   4.37217537E-04   3.39842209E-04   1.94651179E-04   5.85801034E-05   2.42411710E-05  
  57               9.05883946E+00   1.48146418E+03   8.38596909E-01   1.60335533E-01   4.25124882E-06   4.30125090E-04   3.50123183E-04   1.83783268E-04   5.85801028E-05   2.41934861E-05  
  58               1.01796549E+01   1.51758019E+03   8.38611530E-01   1.60327463E-01   6.19167407E-06   4.19859994E-04   3.63344036E-04   1.69239767E-04   5.85790831E-05   2.41824443E-05  
  59               1.14564477E+01   1.55472151E+03   8.38628151E-01   1.60321204E-01   8.93566785E-06   4.07985732E-04   3.78461432E-04   1.52909383E-04   5.85813899E-05   2.39243939E-05  
  60               1.29002931E+01   1.59258904E+03   8.38626836E-01   1.60312671E-01   1.27405849E-05   3.96078433E-04   3.93622587E-04   1.37480177E-04   5.85799910E-05   2.39035037E-05  
  61               1.45025887E+01   1.63212946E+03   8.38630817E-01   1.60307023E-01   1.81463281E-05   3.93611697E-04   4.10522121E-04   1.19924771E-04   5.86030785E-05   2.25035376E-05  
  62               1.62512455E+01   1.67311634E+03   8.38637955E-01   1.60301631E-01   2.57537816E-05   3.82433310E-04   4.24174704E-04   1.06382103E-04   5.86032472E-05   2.24606122E-05  
  63               1.81282803E+01   1.71673608E+03   8.38636556E-01   1.60295240E-01   3.68216319E-05   3.72362933E-04   4.37773063E-04   9.27138116E-05   5.86043619E-05   2.23621719E-05  
  64               2.00750848E+01   1.76365227E+03   8.38617038E-01   1.60286671E-01   5.33018785E-05   3.68830032E-04   4.52538512E-04   7.77826479E-05   5.86142586E-05   2.21007768E-05  
  65               2.19873424E+01   1.80668192E+03   8.38557129E-01   1.60274260E-01   7.35194609E-05   3.80566192E-04   4.65828461E-04   6.44250120E-05   5.86352081E-05   2.16285468E-05  
  66               2.36966983E+01   1.84229731E+03   8.38461976E-01   1.60262212E-01   9.47426996E-05   4.27203643E-04   4.79025374E-04   5.10740865E-05   5.87025271E-05   2.07664531E-05  
  67               2.51183181E+01   1.87072894E+03   8.38448285E-01   1.60259090E-01   1.15188994E-04   4.23462805E-04   4.83429918E-04   4.67104621E-05   5.86952716E-05   2.07594014E-05  
  68               2.66953224E+01   1.90037589E+03   8.38430373E-01   1.60255843E-01   1.40221470E-04   4.19570861E-04   4.87301646E-04   4.27787179E-05   5.86862615E-05   2.07512516E-05  
  69               2.84376222E+01   1.93197538E+03   8.38394461E-01   1.60249898E-01   1.71759128E-04   4.15860068E-04   4.90964249E-04   3.90465295E-05   5.86721450E-05   2.07396834E-05  
  70               2.98462623E+01   1.95598666E+03   8.38372232E-01   1.60246919E-01   1.99362390E-04   4.13414366E-04   4.93388383E-04   3.65803771E-05   5.86750842E-05   2.07297776E-05  
  71               3.09084484E+01   1.97386321E+03   8.38353390E-01   1.60244546E-01   2.22269771E-04   4.11704649E-04   4.95074495E-04   3.48557268E-05   5.86612147E-05   2.07208404E-05  
  72               3.21096763E+01   1.99300620E+03   8.38330906E-01   1.60241888E-01   2.49024749E-04   4.10066341E-04   4.96689839E-04   3.32005597E-05   5.86434212E-05   2.07105740E-05  
  73               3.34626091E+01   2.01436999E+03   8.38302769E-01   1.60238698E-01   2.82056046E-04   4.08337085E-04   4.98393317E-04   3.14480259E-05   5.86200058E-05   2.06969951E-05  
  74               3.49779825E+01   2.03696559E+03   8.38269377E-01   1.60235102E-01   3.20620477E-04   4.06718532E-04   4.99986553E-04   2.98050029E-05   5.85872021E-05   2.06812032E-05  
  75               3.66814760E+01   2.06194896E+03   8.38197801E-01   1.60225051E-01   3.68282242E-04   4.05054774E-04   5.01598914E-04   2.81021083E-05   5.85532172E-05   2.06600373E-05  
  76               3.79498446E+01   2.07945488E+03   8.38165463E-01   1.60221823E-01   4.04793641E-04   4.04026179E-04   5.02610116E-04   2.70507641E-05   5.85757808E-05   2.06443967E-05  
  77               3.88637681E+01   2.09225881E+03   8.38139993E-01   1.60219288E-01   4.33491419E-04   4.03300314E-04   5.03343231E-04   2.62809707E-05   5.85499582E-05   2.06317638E-05  
  78               3.99126074E+01   2.10603694E+03   8.38111103E-01   1.60216473E-01   4.65909570E-04   4.02580197E-04   5.04036298E-04   2.55492572E-05   5.85255521E-05   2.06176804E-05  
  79               4.11119584E+01   2.12204372E+03   8.38075065E-01   1.60212985E-01   5.06269733E-04   4.01739802E-04   5.04843636E-04   2.46946311E-05   5.85010559E-05   2.05994793E-05  
  80               4.24822481E+01   2.13922516E+03   8.38033720E-01   1.60209057E-01   5.52323985E-04   4.00946090E-04   5.05600532E-04   2.38849805E-05   5.84743061E-05   2.05791732E-05  
  81               4.40426289E+01   2.15887613E+03   8.37982390E-01   1.60204218E-01   6.09378221E-04   4.00051531E-04   5.06451058E-04   2.29716773E-05   5.84448288E-05   2.05533788E-05  
  82               4.58135441E+01   2.17981696E+03   8.37923262E-01   1.60198730E-01   6.74809285E-04   3.99221460E-04   5.07232038E-04   2.21197499E-05   5.84103963E-05   2.05243717E-05  
  83               4.78167614E+01   2.20336749E+03   8.37850336E-01   1.60192011E-01   7.55346582E-04   3.98317715E-04   5.08077744E-04   2.11907504E-05   5.83720389E-05   2.04881826E-05  
  84               5.00754957E+01   2.22823958E+03   8.37766259E-01   1.60184360E-01   8.47878199E-04   3.97498764E-04   5.08832229E-04   2.03418196E-05   5.83270446E-05   2.04474689E-05  
  85               5.26145428E+01   2.25577966E+03   8.37663278E-01   1.60175046E-01   9.61024158E-04   3.96635387E-04   5.09620147E-04   1.94438227E-05   5.82773186E-05   2.03975812E-05  
  86               5.54605159E+01   2.28459087E+03   8.37544766E-01   1.60164428E-01   1.09090154E-03   3.95875428E-04   5.10296801E-04   1.86423647E-05   5.82194567E-05   2.03417606E-05  
  87               5.86421207E+01   2.31605634E+03   8.37398705E-01   1.60151198E-01   1.24859933E-03   3.95097384E-04   5.10976800E-04   1.78163616E-05   5.81556352E-05   2.02745456E-05  
  88               6.21897523E+01   2.34867289E+03   8.37225707E-01   1.60136345E-01   1.42900092E-03   4.00242514E-04   5.11792599E-04   1.68579634E-05   5.80876722E-05   2.02310066E-05  
  89               6.61374464E+01   2.38385622E+03   8.37026571E-01   1.60118763E-01   1.64622239E-03   3.99709746E-04   5.12324159E-04   1.61394726E-05   5.80076103E-05   2.01431647E-05  
  90               7.05227880E+01   2.42004875E+03   8.36799607E-01   1.60098813E-01   1.89353213E-03   3.99288805E-04   5.12720488E-04   1.55317905E-05   5.79163603E-05   2.00468524E-05  
  91               7.53866382E+01   2.45868017E+03   8.36528761E-01   1.60075052E-01   2.18853084E-03   3.98883287E-04   5.13075187E-04   1.49336195E-05   5.78161590E-05   1.99352249E-05  
  92               8.07735948E+01   2.49816679E+03   8.36222098E-01   1.60048230E-01   2.52229880E-03   3.98593325E-04   5.13290255E-04   1.44438543E-05   5.77030155E-05   1.98145215E-05  
  93               8.67348877E+01   2.53990120E+03   8.35860398E-01   1.60016631E-01   2.91585675E-03   3.98336083E-04   5.13444674E-04   1.39742192E-05   5.75787419E-05   1.96775434E-05  
  94               9.33302433E+01   2.58240955E+03   8.35453286E-01   1.59981134E-01   3.35861136E-03   3.98197456E-04   5.13458456E-04   1.36051567E-05   5.74394302E-05   1.95312841E-05  
  95               1.00628691E+02   2.62697154E+03   8.34979027E-01   1.59939815E-01   3.87429236E-03   3.98112741E-04   5.13392238E-04   1.32650047E-05   5.72861194E-05   1.93687284E-05  
  96               1.08709375E+02   2.67234912E+03   8.34447362E-01   1.59893551E-01   4.45220410E-03   3.98151143E-04   5.13185228E-04   1.30137754E-05   5.71151512E-05   1.91968375E-05  
  97               1.17664585E+02   2.71951424E+03   8.33837210E-01   1.59840486E-01   5.11532710E-03   3.98273489E-04   5.12874023E-04   1.28027830E-05   5.69264079E-05   1.90101286E-05  
  98               1.27600279E+02   2.76770327E+03   8.33153915E-01   1.59781106E-01   5.85778194E-03   3.98526120E-04   5.12420934E-04   1.26657241E-05   5.67166758E-05   1.88137649E-05  
  99               1.38639121E+02   2.81732132E+03   8.32383574E-01   1.59714194E-01   6.69469283E-03   3.98903876E-04   5.11833082E-04   1.25839413E-05   5.64842735E-05   1.86058618E-05  
  100              1.50920973E+02   2.86838819E+03   8.31518063E-01   1.59639047E-01   7.63487044E-03   3.99422288E-04   5.11100088E-04   1.25570738E-05   5.62265648E-05   1.83870487E-05  
  101              1.64609469E+02   2.92032017E+03   8.30564660E-01   1.59556314E-01   8.67033673E-03   4.00123497E-04   5.10191276E-04   1.26086612E-05   5.59397666E-05   1.81626115E-05  
