# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              NH3             
  76               8.50877526E+00   1.00160999E+03   8.38240545E-01   1.60468069E-01   6.97913786E-04   4.53648920E-04   4.01125654E-05   5.46688519E-05   2.32894295E-05   1.16617494E-05  
  77               9.53030725E+00   1.03580026E+03   8.38239916E-01   1.60467235E-01   6.97919963E-04   4.53652936E-04   4.01132723E-05   5.46693358E-05   2.37482456E-05   1.16618526E-05  
  78               1.06640152E+01   1.06922682E+03   8.38239538E-01   1.60466510E-01   6.97934997E-04   4.53662707E-04   4.01154723E-05   5.46705136E-05   2.42865962E-05   1.16621039E-05  
  79               1.19198176E+01   1.10470089E+03   8.38240308E-01   1.60465734E-01   6.97933230E-04   4.53661550E-04   4.01200466E-05   5.46703760E-05   2.42863794E-05   1.16620745E-05  
  80               1.33082160E+01   1.13942316E+03   8.38241189E-01   1.60464832E-01   6.97930881E-04   4.53659976E-04   4.01357020E-05   5.46701971E-05   2.42860903E-05   1.16620363E-05  
  81               1.48413250E+01   1.17604191E+03   8.38242411E-01   1.60463547E-01   6.97927554E-04   4.53657559E-04   4.01848786E-05   5.46699638E-05   2.42856470E-05   1.16619866E-05  
  82               1.65366417E+01   1.21206510E+03   8.38243929E-01   1.60461856E-01   6.97922365E-04   4.53652886E-04   4.03317071E-05   5.46696976E-05   2.42850245E-05   1.16619298E-05  
  83               1.84132924E+01   1.25002331E+03   8.38246000E-01   1.60459341E-01   6.97910793E-04   4.53639454E-04   4.07367637E-05   5.46694324E-05   2.42840722E-05   1.16618732E-05  
  84               2.04891145E+01   1.28753922E+03   8.38248306E-01   1.60455966E-01   6.97874543E-04   4.53590389E-04   4.17856688E-05   5.46693818E-05   2.42827469E-05   1.16618623E-05  
  85               2.27807192E+01   1.32682543E+03   8.38250836E-01   1.60451101E-01   6.97742807E-04   4.53406531E-04   4.42571287E-05   5.46699322E-05   2.42807899E-05   1.16619791E-05  
  86               2.53032739E+01   1.36564052E+03   8.38252754E-01   1.60444851E-01   6.97268712E-04   4.52753089E-04   4.94418720E-05   5.46717898E-05   2.42781466E-05   1.16623732E-05  
  87               2.80743186E+01   1.40597984E+03   8.38254599E-01   1.60436663E-01   6.95759495E-04   4.50730276E-04   5.88719311E-05   5.46752981E-05   2.42743988E-05   1.16631137E-05  
  88               3.11250800E+01   1.44601860E+03   8.38258209E-01   1.60427547E-01   6.91625046E-04   4.45407274E-04   7.31658681E-05   5.46796028E-05   2.42694039E-05   1.16640048E-05  
  89               3.45056887E+01   1.48783904E+03   8.38268425E-01   1.60417806E-01   6.82362455E-04   4.34111372E-04   9.21555374E-05   5.46822396E-05   2.42620084E-05   1.16644806E-05  
  90               3.82700505E+01   1.52998834E+03   8.38288115E-01   1.60408984E-01   6.66251957E-04   4.15888317E-04   1.13924892E-04   5.46818905E-05   2.42502008E-05   1.16641485E-05  
  91               4.24606250E+01   1.57397991E+03   8.38314783E-01   1.60400230E-01   6.44317091E-04   3.92548892E-04   1.38209164E-04   5.46801241E-05   2.42266088E-05   1.16630646E-05  
  92               4.70917031E+01   1.61814866E+03   8.38341851E-01   1.60391610E-01   6.20824784E-04   3.67887874E-04   1.62896060E-04   5.46788857E-05   2.41746446E-05   1.16611000E-05  
  93               5.21401956E+01   1.66311287E+03   8.38353185E-01   1.60380056E-01   5.98106660E-04   3.42562506E-04   1.88119007E-04   5.46805330E-05   2.40500302E-05   1.16579393E-05  
  94               5.75460694E+01   1.70712788E+03   8.38364950E-01   1.60371009E-01   5.90125103E-04   3.15871166E-04   2.14705562E-04   5.46985487E-05   2.30825833E-05   1.16565229E-05  
  95               6.32601435E+01   1.75057158E+03   8.38384303E-01   1.60362911E-01   5.69025674E-04   2.93621998E-04   2.36806349E-04   5.46945256E-05   2.30449709E-05   1.16513339E-05  
  96               6.91822932E+01   1.79215073E+03   8.38396193E-01   1.60355159E-01   5.51550150E-04   2.73569075E-04   2.56702459E-04   5.46902677E-05   2.29815466E-05   1.16553352E-05  
  97               7.50781827E+01   1.83093417E+03   8.38396473E-01   1.60347142E-01   5.39403373E-04   2.55417865E-04   2.74688710E-04   5.46822690E-05   2.28658588E-05   1.16758686E-05  
  98               8.13934015E+01   1.86981131E+03   8.38378970E-01   1.60337352E-01   5.34312159E-04   2.37101080E-04   2.92821895E-04   5.46665825E-05   2.26460333E-05   1.17203989E-05  
  99               8.75123200E+01   1.90518268E+03   8.38336342E-01   1.60325194E-01   5.39215951E-04   2.19558534E-04   3.10183702E-04   5.46692871E-05   2.23159100E-05   1.17869852E-05  
  100              9.32978017E+01   1.93690770E+03   8.38260075E-01   1.60311245E-01   5.74642702E-04   1.98055824E-04   3.31542899E-04   5.46166392E-05   2.16334295E-05   1.18563879E-05  
  101              9.96203774E+01   1.96963660E+03   8.38206963E-01   1.60297369E-01   5.64429578E-04   1.87679883E-04   3.41708687E-04   5.45594230E-05   2.16082526E-05   1.19460257E-05  
