# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  15               5.08385721E-03   3.40163666E+02   8.38202861E-01   1.60488418E-01   7.11130252E-04   1.64326175E-30   4.65006001E-04   3.76756924E-05   5.34414175E-05   2.29854840E-05  
  16               6.27436468E-03   3.41207479E+02   8.38202835E-01   1.60488442E-01   7.11131151E-04   1.87301182E-30   4.65006588E-04   3.76757401E-05   5.34414850E-05   2.29854874E-05  
  17               7.72673899E-03   3.51920114E+02   8.38202886E-01   1.60488389E-01   7.11131980E-04   1.75601034E-29   4.65007131E-04   3.76757840E-05   5.34415474E-05   2.29854799E-05  
  18               9.49795123E-03   3.53309718E+02   8.38202847E-01   1.60488417E-01   7.11132931E-04   2.12402724E-29   4.65007752E-04   3.76758344E-05   5.34416188E-05   2.29854838E-05  
  19               1.16573487E-02   3.64510675E+02   8.38202916E-01   1.60488346E-01   7.11133706E-04   1.88226723E-28   4.65008259E-04   3.76758754E-05   5.34416770E-05   2.29854738E-05  
  20               1.42884200E-02   3.66435389E+02   8.38202880E-01   1.60488380E-01   7.11134900E-04   2.48241980E-28   4.65009040E-04   3.76759387E-05   5.34417667E-05   2.29854785E-05  
  21               1.74931978E-02   3.78203524E+02   8.38202943E-01   1.60488281E-01   7.11135693E-04   2.08844540E-27   4.65009558E-04   3.76759807E-05   5.34418264E-05   2.29854644E-05  
  22               2.13943299E-02   3.80583589E+02   8.38202903E-01   1.60488319E-01   7.11136740E-04   2.91619535E-27   4.65010243E-04   3.76760362E-05   5.34419050E-05   2.29854699E-05  
  23               2.61410475E-02   3.92792412E+02   8.38203025E-01   1.60488196E-01   7.11137504E-04   2.25705644E-26   4.65010742E-04   3.76760766E-05   5.34419624E-05   2.29854522E-05  
  24               3.19132802E-02   3.95548200E+02   8.38202970E-01   1.60488248E-01   7.11139293E-04   3.25631177E-26   4.65011912E-04   3.76761714E-05   5.34420969E-05   2.29854596E-05  
  25               3.89295417E-02   4.08231029E+02   8.38203031E-01   1.60488068E-01   7.11140070E-04   2.32546826E-25   4.65012420E-04   3.76762126E-05   5.34421552E-05   2.29854339E-05  
  26               4.74505248E-02   4.11488901E+02   8.38202976E-01   1.60488121E-01   7.11141215E-04   3.50794796E-25   4.65013169E-04   3.76762733E-05   5.34422413E-05   2.29854414E-05  
  27               5.77901139E-02   4.25026104E+02   8.38203195E-01   1.60487901E-01   7.11141850E-04   2.43534911E-24   4.65013584E-04   3.76763069E-05   5.34422890E-05   2.29854100E-05  
  28               7.03261766E-02   4.29184263E+02   8.38203118E-01   1.60487964E-01   7.11145532E-04   4.02185044E-24   4.65015992E-04   3.76765020E-05   5.34425658E-05   2.29854190E-05  
  29               8.55149322E-02   4.43739545E+02   8.38202538E-01   1.60487489E-01   7.11146191E-04   2.72634785E-23   4.65016423E-04   3.76765369E-05   5.34426153E-05   2.29853509E-05  
  30               1.03895140E-01   4.48944791E+02   8.38202488E-01   1.60487450E-01   7.11146818E-04   4.92106395E-23   4.65016833E-04   3.76765701E-05   5.34426624E-05   2.29853454E-05  
  31               1.26117021E-01   4.64614029E+02   8.38202552E-01   1.60486996E-01   7.11147161E-04   3.22958400E-22   4.65017057E-04   3.76765883E-05   5.34426882E-05   2.29852803E-05  
  32               1.52944464E-01   4.71139957E+02   8.38202248E-01   1.60487278E-01   7.11159806E-04   6.43200862E-22   4.65025326E-04   3.76772582E-05   5.34436385E-05   2.29853207E-05  
  33               1.85278674E-01   4.88506652E+02   8.38202930E-01   1.60486587E-01   7.11164799E-04   4.26843809E-21   4.65028591E-04   3.76775227E-05   5.34440137E-05   2.29852217E-05  
  34               2.24149967E-01   4.97127892E+02   8.38203000E-01   1.60486514E-01   7.11166208E-04   9.89341682E-21   4.65029512E-04   3.76775974E-05   5.34441196E-05   2.29852112E-05  
  35               2.70864922E-01   5.14549572E+02   8.38201817E-01   1.60485244E-01   7.11163967E-04   5.42334752E-20   4.65028046E-04   3.76774786E-05   5.34439511E-05   2.29850294E-05  
  36               3.26929537E-01   5.24540875E+02   8.38202108E-01   1.60484866E-01   7.11212876E-04   1.31083211E-19   4.65060028E-04   3.76800698E-05   5.34476266E-05   2.29849752E-05  
  37               3.94151374E-01   5.43496325E+02   8.38203307E-01   1.60483668E-01   7.11212125E-04   6.90321340E-19   4.65059537E-04   3.76800301E-05   5.34475702E-05   2.29848037E-05  
  38               4.74623286E-01   5.55308124E+02   8.38203643E-01   1.60483329E-01   7.11213491E-04   1.76801950E-18   4.65060430E-04   3.76801025E-05   5.34476729E-05   2.29847552E-05  
  39               5.70853016E-01   5.76254230E+02   8.38205225E-01   1.60481751E-01   7.11212129E-04   9.08512092E-18   4.65059539E-04   3.76800303E-05   5.34475705E-05   2.29845291E-05  
  40               6.85694330E-01   5.90331452E+02   8.38205807E-01   1.60481167E-01   7.11212785E-04   2.47455682E-17   4.65059968E-04   3.76800650E-05   5.34476198E-05   2.29844455E-05  
  41               8.22448516E-01   6.13535022E+02   8.38207721E-01   1.60479256E-01   7.11210907E-04   1.22945969E-16   4.65058741E-04   3.76799656E-05   5.34474787E-05   2.29841718E-05  
  42               9.84866698E-01   6.30304222E+02   8.38208572E-01   1.60478404E-01   7.11211246E-04   3.53862707E-16   4.65058962E-04   3.76799835E-05   5.34475041E-05   2.29840498E-05  
  43               1.17762967E+00   6.56318519E+02   8.38210697E-01   1.60476284E-01   7.11209202E-04   1.71006557E-15   4.65057626E-04   3.76798752E-05   5.34473506E-05   2.29837461E-05  
  44               1.40590675E+00   6.76370160E+02   8.38211767E-01   1.60475211E-01   7.11209404E-04   5.17842454E-15   4.65057758E-04   3.76798859E-05   5.34473658E-05   2.29835925E-05  
  45               1.67542194E+00   7.05614143E+02   8.38213870E-01   1.60473107E-01   7.11207726E-04   2.40732868E-14   4.65056660E-04   3.76797970E-05   5.34472396E-05   2.29832911E-05  
  46               1.99248621E+00   7.29182500E+02   8.38214955E-01   1.60471967E-01   7.11208240E-04   7.44090625E-14   4.65056996E-04   3.76798242E-05   5.34472782E-05   2.29831278E-05  
  47               2.36469068E+00   7.61766296E+02   8.38216800E-01   1.60470110E-01   7.11207672E-04   3.24167900E-13   4.65056625E-04   3.76797941E-05   5.34472356E-05   2.29828617E-05  
  48               2.80036028E+00   7.89013987E+02   8.38217652E-01   1.60469036E-01   7.11209187E-04   9.93493288E-13   4.65057616E-04   3.76798744E-05   5.34473494E-05   2.29827077E-05  
  49               3.30952071E+00   8.25083968E+02   8.38218942E-01   1.60467499E-01   7.11214080E-04   3.98826154E-12   4.65060815E-04   3.76801336E-05   5.34477171E-05   2.29824870E-05  
  50               3.90290437E+00   8.55913746E+02   8.38219771E-01   1.60466644E-01   7.11220568E-04   1.17383875E-11   4.65065058E-04   3.76804774E-05   5.34482047E-05   2.29823635E-05  
  51               4.59373240E+00   8.95219931E+02   8.38220855E-01   1.60465508E-01   7.11222060E-04   4.24371269E-11   4.65066033E-04   3.76805568E-05   5.34483168E-05   2.29933972E-05  
  52               5.39503583E+00   9.29176545E+02   8.38221357E-01   1.60464834E-01   7.11224765E-04   1.16306932E-10   4.65067802E-04   3.76807024E-05   5.34485201E-05   2.30218381E-05  
  53               6.32096795E+00   9.71190661E+02   8.38221777E-01   1.60463915E-01   7.11228188E-04   3.72340986E-10   4.65070040E-04   3.76808970E-05   5.34487773E-05   2.31346652E-05  
  54               7.38755862E+00   1.00766885E+03   8.38221079E-01   1.60463183E-01   7.11234391E-04   9.32460174E-10   4.65074096E-04   3.76813094E-05   5.34492435E-05   2.34054856E-05  
  55               8.61557481E+00   1.05189690E+03   8.38220242E-01   1.60462219E-01   7.11259564E-04   2.63598513E-09   4.65090557E-04   3.76830617E-05   5.34511353E-05   2.42859718E-05  
  56               1.00283723E+01   1.09029130E+03   8.38220917E-01   1.60461536E-01   7.11261492E-04   5.98770417E-09   4.65091814E-04   3.76853905E-05   5.34512805E-05   2.42857776E-05  
  57               1.16512363E+01   1.13594457E+03   8.38222141E-01   1.60460290E-01   7.11261879E-04   1.49201698E-08   4.65092039E-04   3.76950653E-05   5.34513124E-05   2.42853978E-05  
  58               1.35111150E+01   1.17554683E+03   8.38223414E-01   1.60458953E-01   7.11261835E-04   3.07035517E-08   4.65091756E-04   3.77375280E-05   5.34513347E-05   2.42849256E-05  
  59               1.56395059E+01   1.22222455E+03   8.38225768E-01   1.60456401E-01   7.11257816E-04   6.82922711E-08   4.65087546E-04   3.78921642E-05   5.34511924E-05   2.42840175E-05  
  60               1.80799578E+01   1.26249263E+03   8.38227967E-01   1.60453616E-01   7.11243466E-04   1.28112484E-07   4.65067783E-04   3.84306023E-05   5.34511719E-05   2.42829166E-05  
  61               2.08783205E+01   1.30954577E+03   8.38231336E-01   1.60448670E-01   7.11176570E-04   2.56436555E-07   4.64974327E-04   4.00006817E-05   5.34512668E-05   2.42809495E-05  
  62               2.40780895E+01   1.34959357E+03   8.38232915E-01   1.60443709E-01   7.10870151E-04   4.39659480E-07   4.64545021E-04   4.38858397E-05   5.34524070E-05   2.42787307E-05  
  63               2.77214132E+01   1.39646722E+03   8.38235020E-01   1.60435684E-01   7.09766697E-04   8.01246471E-07   4.63041237E-04   5.19739175E-05   5.34548045E-05   2.42749697E-05  
  64               3.18676584E+01   1.43609949E+03   8.38237338E-01   1.60429215E-01   7.06411375E-04   1.27389560E-06   4.58703945E-04   6.32436852E-05   5.34579964E-05   2.42709620E-05  
  65               3.66141956E+01   1.48326684E+03   8.38246060E-01   1.60420322E-01   6.98479110E-04   2.16155002E-06   4.48931914E-04   8.00603990E-05   5.34607509E-05   2.42638831E-05  
  66               4.20582068E+01   1.52333225E+03   8.38259980E-01   1.60415317E-01   6.86604063E-04   3.25751684E-06   4.35890001E-04   9.41613373E-05   5.34605210E-05   2.42552186E-05  
  67               4.82825565E+01   1.57189196E+03   8.38282178E-01   1.60407930E-01   6.68580183E-04   5.26345331E-06   4.16341626E-04   1.14692878E-04   5.34599091E-05   2.42085743E-05  
  68               5.53228305E+01   1.61392506E+03   8.38298322E-01   1.60402797E-01   6.53481892E-04   7.70239853E-06   4.01058894E-04   1.29706691E-04   5.34578220E-05   2.41995117E-05  
  69               6.31780698E+01   1.66559463E+03   8.38306865E-01   1.60391752E-01   6.32425190E-04   1.21370405E-05   3.77671741E-04   1.53081340E-04   5.34556344E-05   2.40932456E-05  
  70               7.18310862E+01   1.71189944E+03   8.38310328E-01   1.60384573E-01   6.30755270E-04   1.76862792E-05   3.56660990E-04   1.73954099E-04   5.34752846E-05   2.31593093E-05  
  71               8.12869129E+01   1.76947530E+03   8.38334653E-01   1.60374508E-01   6.04341056E-04   2.78619530E-05   3.28863945E-04   2.01559906E-04   5.34660259E-05   2.31178840E-05  
  72               9.14345310E+01   1.82441259E+03   8.38343890E-01   1.60364221E-01   5.83783272E-04   4.17278771E-05   3.03966276E-04   2.26223623E-04   5.34448096E-05   2.30289354E-05  
  73               1.01919294E+02   1.87741515E+03   8.38331425E-01   1.60352268E-01   5.72579954E-04   6.02223105E-05   2.79571102E-04   2.50351860E-04   5.34037500E-05   2.28136214E-05  
  74               1.12105359E+02   1.92378477E+03   8.38281166E-01   1.60337337E-01   5.77368097E-04   8.14590777E-05   2.57307400E-04   2.72348414E-04   5.33278620E-05   2.24349397E-05  
  75               1.23211173E+02   1.97174708E+03   8.38203223E-01   1.60320928E-01   6.06932562E-04   1.09676843E-04   2.30258674E-04   2.99124380E-04   5.32380767E-05   2.17785253E-05  
  76               1.34046679E+02   2.01425564E+03   8.38191442E-01   1.60314356E-01   5.94126954E-04   1.40807051E-04   2.17158540E-04   3.11937078E-04   5.31060726E-05   2.17485543E-05  
  77               1.44222247E+02   2.05266586E+03   8.38164367E-01   1.60306250E-01   5.83248619E-04   1.74932473E-04   2.05999415E-04   3.22801993E-04   5.29746786E-05   2.17176023E-05  
  78               1.55799761E+02   2.09278561E+03   8.38138470E-01   1.60299733E-01   5.73327032E-04   2.17218555E-04   1.95751591E-04   3.32717487E-04   5.28172992E-05   2.16847946E-05  
  79               1.65843713E+02   2.12644295E+03   8.38110440E-01   1.60293902E-01   5.65480402E-04   2.58881501E-04   1.87604577E-04   3.40560038E-04   5.26859370E-05   2.16540990E-05  
  80               1.73972554E+02   2.15174981E+03   8.38084893E-01   1.60289443E-01   5.60289316E-04   2.94026792E-04   1.82169155E-04   3.45749004E-04   5.25670093E-05   2.16309341E-05  
  81               1.83430355E+02   2.18079584E+03   8.38050952E-01   1.60283977E-01   5.54477934E-04   3.39173906E-04   1.76054807E-04   3.51562866E-04   5.24355598E-05   2.16016891E-05  
  82               1.94364557E+02   2.21214740E+03   8.37975325E-01   1.60271610E-01   5.48960076E-04   3.93609691E-04   1.70173171E-04   3.57074904E-04   5.22733549E-05   2.15687746E-05  
  83               2.07056656E+02   2.24750748E+03   8.37918860E-01   1.60264235E-01   5.43024915E-04   4.63339771E-04   1.63839853E-04   3.62985220E-04   5.20927223E-05   2.15289377E-05  
  84               2.17412669E+02   2.27458360E+03   8.37869395E-01   1.60258228E-01   5.39032783E-04   5.22759301E-04   1.59520107E-04   3.66956280E-04   5.19416911E-05   2.14975050E-05  
  85               2.25586528E+02   2.29566893E+03   8.37826924E-01   1.60253232E-01   5.35992577E-04   5.73237302E-04   1.56211808E-04   3.69979625E-04   5.18241999E-05   2.14712274E-05  
  86               2.35288438E+02   2.31940352E+03   8.37772792E-01   1.60247018E-01   5.32945241E-04   6.34225467E-04   1.52846798E-04   3.73005111E-04   5.16813179E-05   2.14412478E-05  
  87               2.46752842E+02   2.34681865E+03   8.37700076E-01   1.60239435E-01   5.34207148E-04   7.11011542E-04   1.48168583E-04   3.77303384E-04   5.15200646E-05   2.14201768E-05  
  88               2.60242478E+02   2.37739779E+03   8.37618105E-01   1.60230895E-01   5.31010233E-04   8.04629681E-04   1.44376653E-04   3.80610550E-04   5.13229198E-05   2.13781552E-05  
  89               2.76051312E+02   2.41181797E+03   8.37515205E-01   1.60220496E-01   5.27727492E-04   9.21117420E-04   1.40398368E-04   3.84006117E-04   5.10940450E-05   2.13279516E-05  
  90               2.94506415E+02   2.44981097E+03   8.37387885E-01   1.60208037E-01   5.24593516E-04   1.06392372E-03   1.36460387E-04   3.87250803E-04   5.08267336E-05   2.12696660E-05  
  91               3.15977327E+02   2.49150868E+03   8.37230522E-01   1.60193057E-01   5.21668745E-04   1.23907594E-03   1.32604374E-04   3.90282334E-04   5.05172295E-05   2.12020384E-05  
  92               3.40883357E+02   2.53711881E+03   8.37035801E-01   1.60174928E-01   5.18985406E-04   1.45448484E-03   1.28836821E-04   3.93068493E-04   5.01621830E-05   2.11233859E-05  
  93               3.69720932E+02   2.58596958E+03   8.36799958E-01   1.60153465E-01   5.16860417E-04   1.71377307E-03   1.25457369E-04   3.95292796E-04   4.97520905E-05   2.10351327E-05  
  94               4.03070904E+02   2.63921572E+03   8.36507580E-01   1.60127196E-01   5.15025311E-04   2.03410555E-03   1.22139275E-04   3.97231827E-04   4.92886309E-05   2.09321681E-05  
  95               4.41636120E+02   2.69523549E+03   8.36159774E-01   1.60096475E-01   5.14057038E-04   2.41341894E-03   1.19443156E-04   3.98314725E-04   4.87555260E-05   2.08198704E-05  
  96               4.86271987E+02   2.75594778E+03   8.35730857E-01   1.60058857E-01   5.13522320E-04   2.88029645E-03   1.16839400E-04   3.98991936E-04   4.81565160E-05   2.06902008E-05  
  97               5.38101692E+02   2.81956808E+03   8.35223797E-01   1.60014872E-01   5.14032733E-04   3.43059663E-03   1.14905277E-04   3.98666602E-04   4.74713150E-05   2.05503379E-05  
  98               5.98546019E+02   2.88833482E+03   8.34601878E-01   1.59961129E-01   5.15205175E-04   4.10482615E-03   1.13116948E-04   3.97749178E-04   4.66995115E-05   2.03910109E-05  
  99               6.69229303E+02   2.96030966E+03   8.33870833E-01   1.59898389E-01   5.17633139E-04   4.89585845E-03   1.12015105E-04   3.95667537E-04   4.58193857E-05   2.02210244E-05  
  100              7.52069999E+02   3.03768526E+03   8.32983825E-01   1.59822398E-01   5.20989517E-04   5.85512554E-03   1.11096599E-04   3.92782465E-04   4.48292532E-05   2.00306586E-05  
  101              8.49010424E+02   3.11789230E+03   8.31960004E-01   1.59735079E-01   5.25843236E-04   6.96093607E-03   1.10901194E-04   3.88536210E-04   4.37096473E-05   1.98319986E-05  
