# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  48               2.83998208E+00   8.70472373E+02   8.38268928E-01   1.60472895E-01   2.31569996E-11   6.62345873E-04   4.18572557E-04   7.94990237E-05   5.52241668E-05   2.29887931E-05  
  49               3.34987046E+00   9.09227283E+02   8.38269591E-01   1.60472117E-01   7.86301812E-11   6.62351058E-04   4.18575834E-04   7.94996466E-05   5.52245991E-05   2.30125605E-05  
  50               3.94050845E+00   9.42524411E+02   8.38269734E-01   1.60471617E-01   2.04396437E-10   6.62357310E-04   4.18579785E-04   7.95004008E-05   5.52251204E-05   2.30722537E-05  
  51               4.62447047E+00   9.84308771E+02   8.38269170E-01   1.60470727E-01   6.28088203E-10   6.62365294E-04   4.18584830E-04   7.95013798E-05   5.52257861E-05   2.33010228E-05  
  52               5.41527083E+00   1.02048355E+03   8.38267889E-01   1.60470022E-01   1.51984663E-09   6.62378033E-04   4.18592880E-04   7.95030340E-05   5.52268482E-05   2.42871859E-05  
  53               6.32721995E+00   1.06463349E+03   8.38268875E-01   1.60469002E-01   4.17073465E-09   6.62397534E-04   4.18605203E-04   7.95059842E-05   5.52284742E-05   2.42869462E-05  
  54               7.37533116E+00   1.10262973E+03   8.38269962E-01   1.60467904E-01   9.19243233E-09   6.62401121E-04   4.18607460E-04   7.95095809E-05   5.52287745E-05   2.42866536E-05  
  55               8.58010955E+00   1.14812714E+03   8.38272171E-01   1.60465667E-01   2.23381469E-08   6.62402121E-04   4.18608012E-04   7.95230873E-05   5.52288663E-05   2.42860514E-05  
  56               9.96674935E+00   1.18734240E+03   8.38274666E-01   1.60463087E-01   4.48554855E-08   6.62401735E-04   4.18607102E-04   7.95804851E-05   5.52289065E-05   2.42852986E-05  
  57               1.15621033E+01   1.23410355E+03   8.38279346E-01   1.60458149E-01   9.81552790E-08   6.62392819E-04   4.18597509E-04   7.97865410E-05   5.52285934E-05   2.42838505E-05  
  58               1.33929961E+01   1.27443211E+03   8.38283875E-01   1.60452874E-01   1.81748341E-07   6.62358205E-04   4.18550743E-04   8.05049335E-05   5.52284227E-05   2.42821502E-05  
  59               1.54876202E+01   1.32221362E+03   8.38290988E-01   1.60443787E-01   3.62596888E-07   6.62204119E-04   4.18338334E-04   8.26172926E-05   5.52281975E-05   2.42791345E-05  
  60               1.78853851E+01   1.36310028E+03   8.38295521E-01   1.60435176E-01   6.21793805E-07   6.61541929E-04   4.17415411E-04   8.79619378E-05   5.52293660E-05   2.42758299E-05  
  61               2.06321419E+01   1.41126796E+03   8.38301923E-01   1.60422103E-01   1.13743187E-06   6.59282139E-04   4.14328458E-04   9.93624043E-05   5.52320178E-05   2.42702673E-05  
  62               2.37873451E+01   1.45218478E+03   8.38308614E-01   1.60412346E-01   1.81599512E-06   6.52977923E-04   4.06181697E-04   1.16046339E-04   5.52358179E-05   2.42642657E-05  
  63               2.74203233E+01   1.50082936E+03   8.38325824E-01   1.60400016E-01   3.09167322E-06   6.39234935E-04   3.89349650E-04   1.40185690E-04   5.52385199E-05   2.42528656E-05  
  64               3.15978243E+01   1.54218472E+03   8.38345725E-01   1.60393211E-01   4.66976252E-06   6.21820351E-04   3.70531945E-04   1.59806253E-04   5.52376400E-05   2.42366551E-05  
  65               3.64044173E+01   1.59199043E+03   8.38374696E-01   1.60383948E-01   7.53483613E-06   5.98555111E-04   3.44759818E-04   1.86140570E-04   5.52376590E-05   2.41216528E-05  
  66               4.18841550E+01   1.63477878E+03   8.38390511E-01   1.60377489E-01   1.09676393E-05   5.81108787E-04   3.27067372E-04   2.03614796E-04   5.52349987E-05   2.41086238E-05  
  67               4.80329170E+01   1.68693873E+03   8.38401815E-01   1.60366028E-01   1.71063806E-05   5.59773168E-04   3.00847684E-04   2.29746651E-04   5.52361301E-05   2.38475367E-05  
  68               5.47826735E+01   1.73322019E+03   8.38406328E-01   1.60358514E-01   2.46170644E-05   5.54688085E-04   2.79633128E-04   2.50823656E-04   5.52506180E-05   2.30132291E-05  
  69               6.20453426E+01   1.79058851E+03   8.38421195E-01   1.60347333E-01   3.82257006E-05   5.30359870E-04   2.51673570E-04   2.78578854E-04   5.52401135E-05   2.29213750E-05  
  70               6.97036872E+01   1.84609693E+03   8.38411596E-01   1.60334737E-01   5.69442978E-05   5.16479970E-04   2.25552732E-04   3.04466928E-04   5.52238285E-05   2.26936442E-05  
  71               7.74850958E+01   1.89731003E+03   8.38358884E-01   1.60318434E-01   8.04156736E-05   5.21155929E-04   2.00567921E-04   3.29211536E-04   5.51922314E-05   2.22363336E-05  
  72               8.49825051E+01   1.94331498E+03   8.38280768E-01   1.60302482E-01   1.07876983E-04   5.51547372E-04   1.74890064E-04   3.54687968E-04   5.51607984E-05   2.15393721E-05  
  73               9.18828323E+01   1.98239132E+03   8.38268952E-01   1.60296582E-01   1.36803376E-04   5.40331287E-04   1.63455308E-04   3.65917200E-04   5.50717087E-05   2.15097761E-05  
  74               9.96720779E+01   2.02429475E+03   8.38238186E-01   1.60288092E-01   1.74646454E-04   5.29400560E-04   1.52293235E-04   3.76829352E-04   5.49646236E-05   2.14750869E-05  
  75               1.06310898E+02   2.05741891E+03   8.38215486E-01   1.60282860E-01   2.10117325E-04   5.21834131E-04   1.44525438E-04   3.84386852E-04   5.48717841E-05   2.14471953E-05  
  76               1.11547542E+02   2.08290551E+03   8.38194039E-01   1.60278610E-01   2.41306349E-04   5.16325122E-04   1.38851124E-04   3.89888532E-04   5.47943621E-05   2.14237788E-05  
  77               1.17650836E+02   2.11071777E+03   8.38166082E-01   1.60273873E-01   2.79301132E-04   5.10986063E-04   1.33319026E-04   3.95219526E-04   5.47000923E-05   2.13981364E-05  
