# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  47               1.71032468E+00   3.44217793E+02   8.38100379E-01   1.60468913E-01   7.79495657E-04   5.29733446E-04   6.65501595E-05   2.22298544E-31   2.75229301E-05   2.29805444E-05  
  48               2.06710365E+00   3.61529117E+02   8.38100248E-01   1.60468888E-01   7.79495769E-04   5.29733521E-04   6.65501690E-05   7.80117386E-30   2.75229341E-05   2.29805408E-05  
  49               2.49617139E+00   3.79594085E+02   8.38100261E-01   1.60468875E-01   7.79495591E-04   5.29733400E-04   6.65501538E-05   2.25479327E-28   2.75229278E-05   2.29805391E-05  
  50               3.01067101E+00   4.01316953E+02   8.38100254E-01   1.60468874E-01   7.79499830E-04   5.29736281E-04   6.65505157E-05   8.71537790E-27   2.75230775E-05   2.29805389E-05  
  51               3.62437252E+00   4.24600656E+02   8.38100254E-01   1.60468874E-01   7.79499969E-04   5.29736376E-04   6.65505276E-05   2.88987849E-25   2.75230824E-05   2.29805389E-05  
  52               4.35399716E+00   4.48321496E+02   8.38100246E-01   1.60468872E-01   7.79500124E-04   5.29736481E-04   6.65505408E-05   7.00566801E-24   2.75230879E-05   2.29805386E-05  
  53               5.21913455E+00   4.73680666E+02   8.38099842E-01   1.60468801E-01   7.79500304E-04   5.29736604E-04   6.65505562E-05   1.48602889E-22   2.75230942E-05   2.29805284E-05  
  54               6.24037210E+00   4.99409957E+02   8.38096581E-01   1.60468538E-01   7.79502086E-04   5.29737814E-04   6.65507083E-05   2.38895589E-21   2.75231571E-05   2.29804908E-05  
  55               7.43971524E+00   5.26761593E+02   8.38096869E-01   1.60468251E-01   7.79502108E-04   5.29737829E-04   6.65507102E-05   3.39659146E-20   2.75231579E-05   2.29804496E-05  
  56               8.84722844E+00   5.54446630E+02   8.38096779E-01   1.60468222E-01   7.79567915E-04   5.29782551E-04   6.65563286E-05   3.80290593E-19   2.75254815E-05   2.29804455E-05  
  57               1.04979254E+01   5.83950872E+02   8.38096799E-01   1.60468202E-01   7.79568154E-04   5.29782713E-04   6.65563490E-05   3.87695469E-18   2.75254899E-05   2.29804426E-05  
  58               1.24267292E+01   6.10949055E+02   8.38096829E-01   1.60468171E-01   7.79568404E-04   5.29782883E-04   6.65563703E-05   2.63505946E-17   2.75254987E-05   2.29804382E-05  
  59               1.46669086E+01   6.39951146E+02   8.38096884E-01   1.60468116E-01   7.79568643E-04   5.29783046E-04   6.65563907E-05   1.72666247E-16   2.75255072E-05   2.29804303E-05  
  60               1.72619484E+01   6.68353558E+02   8.38096963E-01   1.60468036E-01   7.79568859E-04   5.29783192E-04   6.65564091E-05   9.23694290E-16   2.75255148E-05   2.29804188E-05  
  61               2.02689383E+01   7.00394161E+02   8.38097105E-01   1.60467892E-01   7.79569012E-04   5.29783297E-04   6.65564222E-05   5.22989958E-15   2.75255202E-05   2.29803983E-05  
  62               2.37400899E+01   7.33725005E+02   8.38097324E-01   1.60467672E-01   7.79569013E-04   5.29783297E-04   6.65564223E-05   2.70014016E-14   2.75255202E-05   2.29803667E-05  
  63               2.77269618E+01   7.68774181E+02   8.38097648E-01   1.60467339E-01   7.79568836E-04   5.29783177E-04   6.65564072E-05   1.30077375E-13   2.75255140E-05   2.29803190E-05  
  64               3.22951411E+01   8.03892787E+02   8.38098059E-01   1.60466898E-01   7.79568552E-04   5.29782984E-04   6.65563830E-05   5.45746877E-13   2.75255040E-05   2.29802558E-05  
  65               3.75597143E+01   8.41038563E+02   8.38098468E-01   1.60466273E-01   7.79568327E-04   5.29782831E-04   6.65563637E-05   2.18260465E-12   2.75254960E-05   2.29801660E-05  
  66               4.36282565E+01   8.78558055E+02   8.38098941E-01   1.60465531E-01   7.79569071E-04   5.29783337E-04   6.65564273E-05   7.82906455E-12   2.75255223E-05   2.29800590E-05  
  67               5.05821900E+01   9.18019835E+02   8.38099770E-01   1.60464680E-01   7.79572639E-04   5.29785761E-04   6.65567319E-05   2.67937323E-11   2.75256483E-05   2.29799356E-05  
  68               5.84731537E+01   9.57352171E+02   8.38100617E-01   1.60463782E-01   7.79575435E-04   5.29787661E-04   6.65569706E-05   8.22618642E-11   2.75257470E-05   2.29898071E-05  
  69               6.73757579E+01   9.98164768E+02   8.38101476E-01   1.60462794E-01   7.79574634E-04   5.29787117E-04   6.65569022E-05   2.39822652E-10   2.75257187E-05   2.30180792E-05  
  70               7.74490567E+01   1.03890013E+03   8.38102095E-01   1.60461807E-01   7.79575158E-04   5.29787473E-04   6.65569469E-05   6.39469931E-10   2.75257372E-05   2.30960622E-05  
  71               8.88288063E+01   1.08127904E+03   8.38101843E-01   1.60460651E-01   7.79578699E-04   5.29789880E-04   6.65572493E-05   1.63916229E-09   2.75258623E-05   2.33081923E-05  
  72               1.01615853E+02   1.12344896E+03   8.38100890E-01   1.60459609E-01   7.79602143E-04   5.29805811E-04   6.65592508E-05   3.88513069E-09   2.75266900E-05   2.42855788E-05  
  73               1.15905554E+02   1.16688726E+03   8.38101727E-01   1.60458756E-01   7.79600821E-04   5.29804907E-04   6.65591381E-05   8.84798431E-09   2.75266434E-05   2.42853599E-05  
  74               1.31848248E+02   1.21001089E+03   8.38102440E-01   1.60458002E-01   7.79599753E-04   5.29804142E-04   6.65590482E-05   1.88376150E-08   2.75266063E-05   2.42850998E-05  
  75               1.49720768E+02   1.25462003E+03   8.38103083E-01   1.60457266E-01   7.79598996E-04   5.29803382E-04   6.65589925E-05   3.89444197E-08   2.75265838E-05   2.42847485E-05  
  76               1.69772212E+02   1.29933502E+03   8.38103570E-01   1.60456601E-01   7.79598262E-04   5.29801513E-04   6.65589880E-05   7.65033347E-08   2.75265846E-05   2.42842782E-05  
  77               1.92192200E+02   1.34533227E+03   8.38103941E-01   1.60455939E-01   7.79594829E-04   5.29792637E-04   6.65590163E-05   1.46064853E-07   2.75266092E-05   2.42836064E-05  
  78               2.17132552E+02   1.39045876E+03   8.38104139E-01   1.60455352E-01   7.79577351E-04   5.29754149E-04   6.65590502E-05   2.63340284E-07   2.75266798E-05   2.42827011E-05  
  79               2.44817835E+02   1.43761118E+03   8.38104299E-01   1.60454708E-01   7.79507970E-04   5.29621184E-04   6.65589320E-05   4.68743013E-07   2.75268541E-05   2.42813637E-05  
  80               2.75590226E+02   1.48433534E+03   8.38104482E-01   1.60454122E-01   7.79296813E-04   5.29269214E-04   6.65582195E-05   7.98210298E-07   2.75273616E-05   2.42794912E-05  
  81               3.09982308E+02   1.53324245E+03   8.38104832E-01   1.60453490E-01   7.78825711E-04   5.28582658E-04   6.65556628E-05   1.34571481E-06   2.75289384E-05   2.42765565E-05  
  82               3.48350154E+02   1.58175861E+03   8.38105135E-01   1.60452886E-01   7.78104800E-04   5.27614800E-04   6.65482325E-05   2.18162370E-06   2.75334273E-05   2.42718756E-05  
  83               3.90851807E+02   1.63202715E+03   8.38105177E-01   1.60452144E-01   7.77125241E-04   5.26329303E-04   6.65291870E-05   3.49073520E-06   2.75445809E-05   2.42630585E-05  
  84               4.37465831E+02   1.68124376E+03   8.38087800E-01   1.60448134E-01   7.76187958E-04   5.24817293E-04   6.64914081E-05   5.36673405E-06   2.75640877E-05   2.42453912E-05  
  85               4.88027706E+02   1.73124979E+03   8.38067364E-01   1.60447195E-01   7.95423246E-04   5.22779268E-04   6.64697889E-05   8.10032891E-06   2.76035299E-05   2.34195331E-05  
  86               5.41960663E+02   1.77916264E+03   8.38066180E-01   1.60446227E-01   7.93653599E-04   5.20766976E-04   6.64626932E-05   1.17298154E-05   2.76009978E-05   2.34348998E-05  
  87               5.99577553E+02   1.82733789E+03   8.38063366E-01   1.60444982E-01   7.91847501E-04   5.18450686E-04   6.65349878E-05   1.66860737E-05   2.75558673E-05   2.34418316E-05  
  88               6.62224453E+02   1.87469725E+03   8.38058693E-01   1.60443570E-01   7.90171195E-04   5.15994497E-04   6.67937873E-05   2.31303567E-05   2.74132002E-05   2.34445222E-05  
  89               7.31431694E+02   1.92393445E+03   8.38049795E-01   1.60441628E-01   7.89312722E-04   5.13148123E-04   6.71420680E-05   3.19219106E-05   2.72245742E-05   2.34316768E-05  
  90               8.08987406E+02   1.97394402E+03   8.38030643E-01   1.60438557E-01   7.91298921E-04   5.10041312E-04   6.76858139E-05   4.34619303E-05   2.69346259E-05   2.33846802E-05  
  91               8.96519790E+02   2.02673249E+03   8.37993151E-01   1.60433688E-01   8.00424241E-04   5.06288615E-04   6.83150831E-05   5.91762752E-05   2.65973157E-05   2.32616952E-05  
  92               9.95313167E+02   2.08073575E+03   8.37921395E-01   1.60425555E-01   8.23767581E-04   5.01830787E-04   6.91319868E-05   7.96717101E-05   2.61608358E-05   2.30137777E-05  
  93               1.11234277E+03   2.13999662E+03   8.37814108E-01   1.60416238E-01   8.72031447E-04   4.95730146E-04   7.00925646E-05   1.08423112E-04   2.56451115E-05   2.25937994E-05  
  94               1.24230052E+03   2.19945261E+03   8.37784621E-01   1.60412351E-01   8.68317187E-04   4.91344163E-04   7.12276594E-05   1.44945069E-04   2.50386351E-05   2.25966265E-05  
  95               1.37752942E+03   2.25654667E+03   8.37748261E-01   1.60407941E-01   8.64852114E-04   4.87100764E-04   7.23794545E-05   1.88604199E-04   2.44198591E-05   2.25933796E-05  
  96               1.53599148E+03   2.31745849E+03   8.37687402E-01   1.60400204E-01   8.61429981E-04   4.82686438E-04   7.37254526E-05   2.45762868E-04   2.36945225E-05   2.25837593E-05  
  97               1.68673115E+03   2.37080135E+03   8.37627864E-01   1.60394631E-01   8.63445986E-04   4.78672012E-04   7.49661015E-05   3.06068693E-04   2.30241362E-05   2.25776848E-05  
  98               1.81750094E+03   2.41389137E+03   8.37577690E-01   1.60389592E-01   8.61628548E-04   4.75686861E-04   7.60129228E-05   3.62522338E-04   2.24567910E-05   2.25642634E-05  
  99               1.96957887E+03   2.46091781E+03   8.37514782E-01   1.60383463E-01   8.59797741E-04   4.72510040E-04   7.71859981E-05   4.32793564E-04   2.18187434E-05   2.25464834E-05  
  100              2.14575992E+03   2.51166670E+03   8.37404379E-01   1.60369904E-01   8.58054681E-04   4.69182955E-04   7.84883346E-05   5.19542411E-04   2.11056363E-05   2.25231171E-05  
  101              2.28551416E+03   2.54931455E+03   8.37338528E-01   1.60364144E-01   8.56990215E-04   4.66827639E-04   7.94862631E-05   5.91720793E-04   2.05599843E-05   2.25044546E-05  
