# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  49               1.13419119E+00   5.89518699E+02   8.38196952E-01   1.60483656E-01   7.16064029E-04   4.69770879E-04   1.80886824E-17   3.44987483E-05   5.35116616E-05   2.29847012E-05  
  50               1.35497857E+00   6.17078281E+02   8.38198713E-01   1.60481901E-01   7.16060367E-04   4.69768477E-04   1.22692009E-16   3.44985718E-05   5.35113879E-05   2.29844498E-05  
  51               1.61516356E+00   6.45145699E+02   8.38200782E-01   1.60479840E-01   7.16056059E-04   4.69765651E-04   7.26054535E-16   3.44983643E-05   5.35110660E-05   2.29841547E-05  
  52               1.92103858E+00   6.76784869E+02   8.38203380E-01   1.60477250E-01   7.16050625E-04   4.69762085E-04   4.53765307E-15   3.44981024E-05   5.35106599E-05   2.29837837E-05  
  53               2.28010956E+00   7.08875075E+02   8.38205881E-01   1.60474751E-01   7.16045391E-04   4.69758652E-04   2.45304105E-14   3.44978503E-05   5.35102687E-05   2.29834257E-05  
  54               2.70027381E+00   7.44377159E+02   8.38208444E-01   1.60472164E-01   7.16040108E-04   4.69755186E-04   1.34369684E-13   3.44975958E-05   5.35098740E-05   2.29830552E-05  
  55               3.18974603E+00   7.80200054E+02   8.38210429E-01   1.60469962E-01   7.16036057E-04   4.69752528E-04   6.36257665E-13   3.44974006E-05   5.35095712E-05   2.29827397E-05  
  56               3.75919500E+00   8.19297670E+02   8.38212209E-01   1.60467920E-01   7.16036548E-04   4.69752850E-04   2.98001531E-12   3.44974242E-05   5.35096079E-05   2.29824466E-05  
  57               4.42208619E+00   8.58620606E+02   8.38213755E-01   1.60466354E-01   7.16037960E-04   4.69753777E-04   1.21641565E-11   3.44974923E-05   5.35097134E-05   2.29822211E-05  
  58               5.19217524E+00   9.00998770E+02   8.38215070E-01   1.60464974E-01   7.16035302E-04   4.69752033E-04   4.83165354E-11   3.44973647E-05   5.35095148E-05   2.29948589E-05  
  59               6.08239471E+00   9.43158956E+02   8.38215892E-01   1.60463888E-01   7.16033847E-04   4.69751079E-04   1.67671523E-10   3.44972984E-05   5.35094061E-05   2.30414327E-05  
  60               7.10783135E+00   9.87805522E+02   8.38216063E-01   1.60462827E-01   7.16035019E-04   4.69751848E-04   5.57682621E-10   3.44973829E-05   5.35094937E-05   2.32173118E-05  
  61               8.28805597E+00   1.03166442E+03   8.38215426E-01   1.60461844E-01   7.16044238E-04   4.69757896E-04   1.63197784E-09   3.44980183E-05   5.35101826E-05   2.37575947E-05  
  62               9.64748006E+00   1.07726710E+03   8.38215344E-01   1.60460849E-01   7.16055482E-04   4.69765271E-04   4.53606194E-09   3.44996727E-05   5.35110230E-05   2.42857107E-05  
  63               1.12120862E+01   1.12113099E+03   8.38216378E-01   1.60459805E-01   7.16052583E-04   4.69763355E-04   1.11342921E-08   3.45054355E-05   5.35108078E-05   2.42854004E-05  
