# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  55               3.19339276E+00   6.14829683E+02   8.38137729E-01   1.60474765E-01   7.63168125E-04   5.14302361E-04   6.83185938E-17   5.12817077E-06   4.79142461E-05   2.55612348E-05  
  56               3.78437817E+00   6.46178289E+02   8.38138596E-01   1.60473900E-01   7.63166239E-04   5.14301090E-04   5.06443880E-16   5.12815810E-06   4.79141277E-05   2.55611716E-05  
  57               4.47555966E+00   6.80023338E+02   8.38139968E-01   1.60472533E-01   7.63163233E-04   5.14299064E-04   3.58201704E-15   5.12813790E-06   4.79139390E-05   2.55610709E-05  
  58               5.28294742E+00   7.13776553E+02   8.38141671E-01   1.60470832E-01   7.63159463E-04   5.14296523E-04   2.08353804E-14   5.12811256E-06   4.79137022E-05   2.55609446E-05  
  59               6.22275082E+00   7.50157028E+02   8.38143799E-01   1.60468693E-01   7.63154744E-04   5.14293343E-04   1.16502076E-13   5.12808085E-06   4.79134060E-05   2.55607866E-05  
  60               7.31224189E+00   7.86196444E+02   8.38145866E-01   1.60466557E-01   7.63150281E-04   5.14290335E-04   5.44862274E-13   5.12805086E-06   4.79131258E-05   2.55606371E-05  
  61               8.57774441E+00   8.25082277E+02   8.38147934E-01   1.60464274E-01   7.63146546E-04   5.14287818E-04   2.47696738E-12   5.12802577E-06   4.79128913E-05   2.55605120E-05  
  62               1.00496691E+01   8.63755898E+02   8.38149702E-01   1.60462290E-01   7.63146977E-04   5.14288109E-04   9.70233408E-12   5.12802872E-06   4.79129183E-05   2.55605264E-05  
  63               1.17560982E+01   9.05469477E+02   8.38151553E-01   1.60460403E-01   7.63146940E-04   5.14288084E-04   3.71587547E-11   5.12802893E-06   4.79129160E-05   2.55605252E-05  
  64               1.37215551E+01   9.46564050E+02   8.38152946E-01   1.60458881E-01   7.63143941E-04   5.14286063E-04   1.23588108E-10   5.12801271E-06   4.79127277E-05   2.55604247E-05  
  65               1.59751393E+01   9.90528646E+02   8.38153966E-01   1.60457425E-01   7.63142474E-04   5.14285074E-04   4.00683308E-10   5.12803103E-06   4.79126356E-05   2.55603756E-05  
  66               1.85620215E+01   1.03373887E+03   8.38153801E-01   1.60456135E-01   7.63145338E-04   5.14287004E-04   1.14867433E-09   5.12823731E-06   4.79128154E-05   2.55604715E-05  
  67               2.15259617E+01   1.08005958E+03   8.38153137E-01   1.60454923E-01   7.63166027E-04   5.14300946E-04   3.23809915E-09   5.12943403E-06   4.79141144E-05   2.55611645E-05  
  68               2.49081892E+01   1.12534285E+03   8.38154010E-01   1.60454038E-01   7.63163463E-04   5.14299213E-04   8.16913383E-09   5.13498910E-06   4.79139539E-05   2.55610788E-05  
  69               2.87582652E+01   1.17153289E+03   8.38154866E-01   1.60453143E-01   7.63160849E-04   5.14297399E-04   1.94600911E-08   5.15997527E-06   4.79137939E-05   2.55609935E-05  
  70               3.31446476E+01   1.21259553E+03   8.38155476E-01   1.60452411E-01   7.63158662E-04   5.14295506E-04   3.93938195E-08   5.25640569E-06   4.79136912E-05   2.55609387E-05  
  71               3.81637286E+01   1.25606256E+03   8.38156120E-01   1.60451422E-01   7.63154666E-04   5.14290412E-04   7.90624503E-08   5.55350625E-06   4.79136420E-05   2.55609124E-05  
  72               4.39029707E+01   1.29558176E+03   8.38156317E-01   1.60450417E-01   7.63140245E-04   5.14268216E-04   1.41683252E-07   6.31356320E-06   4.79138127E-05   2.55610030E-05  
  73               5.04363573E+01   1.33891437E+03   8.38156286E-01   1.60448838E-01   7.63075626E-04   5.14173737E-04   2.59037734E-07   7.92744667E-06   4.79142858E-05   2.55612533E-05  
  74               5.78224247E+01   1.37955610E+03   8.38155854E-01   1.60447108E-01   7.62809810E-04   5.13807652E-04   4.37795306E-07   1.04965426E-05   4.79151031E-05   2.55616808E-05  
  75               6.61439151E+01   1.42523720E+03   8.38155936E-01   1.60444543E-01   7.61943625E-04   5.12670876E-04   7.66153433E-07   1.45842547E-05   4.79161775E-05   2.55622193E-05  
  76               7.55689400E+01   1.46931997E+03   8.38158072E-01   1.60442112E-01   7.59575222E-04   5.09776438E-04   1.26558438E-06   1.95372774E-05   4.79168692E-05   2.55624558E-05  
  77               8.62381955E+01   1.51916399E+03   8.38163882E-01   1.60438947E-01   7.54386663E-04   5.03846099E-04   2.16660062E-06   2.69158347E-05   4.79171021E-05   2.55620697E-05  
  78               9.82360701E+01   1.56794431E+03   8.38172640E-01   1.60435909E-01   7.46667323E-04   4.95605512E-04   3.53320252E-06   3.53395027E-05   4.79167375E-05   2.55601316E-05  
  79               1.11577525E+02   1.62273698E+03   8.38184647E-01   1.60431460E-01   7.35347457E-04   4.83613337E-04   5.94102084E-06   4.74082541E-05   4.79165001E-05   2.55540204E-05  
  80               1.26189107E+02   1.67683714E+03   8.38181506E-01   1.60423542E-01   7.23099221E-04   4.69937987E-04   9.57805466E-06   6.09834654E-05   4.79164036E-05   2.55396994E-05  
  81               1.42046436E+02   1.73092468E+03   8.38178487E-01   1.60417614E-01   7.26816264E-04   4.53167585E-04   1.49712756E-05   7.76291363E-05   4.79377040E-05   2.55279926E-05  
  82               1.59230984E+02   1.78368607E+03   8.38190529E-01   1.60411813E-01   7.11877436E-04   4.37498154E-04   2.24968079E-05   9.31222896E-05   4.79267072E-05   2.55201871E-05  
  83               1.77840873E+02   1.83664677E+03   8.38198165E-01   1.60405285E-01   6.97376642E-04   4.21040294E-04   3.30422706E-05   1.09357545E-04   4.78903843E-05   2.55613377E-05  
  84               1.97832617E+02   1.88811626E+03   8.38192882E-01   1.60397507E-01   6.86776137E-04   4.04789368E-04   4.69249711E-05   1.25338431E-04   4.78010249E-05   2.57063228E-05  
  85               2.18844769E+02   1.93857538E+03   8.38168555E-01   1.60387782E-01   6.84194729E-04   3.87636895E-04   6.49532011E-05   1.42168944E-04   4.76657412E-05   2.59068009E-05  
  86               2.40206944E+02   1.98535524E+03   8.38113334E-01   1.60375140E-01   6.95326015E-04   3.70133734E-04   8.63572299E-05   1.59320319E-04   4.74863423E-05   2.61814232E-05  
  87               2.63857262E+02   2.03407862E+03   8.38031880E-01   1.60360654E-01   7.25582417E-04   3.48862468E-04   1.14519727E-04   1.80187405E-04   4.72794039E-05   2.64959727E-05  
  88               2.87824039E+02   2.07927646E+03   8.38017563E-01   1.60354357E-01   7.13786562E-04   3.36626484E-04   1.46807156E-04   1.91990122E-04   4.70369889E-05   2.68702331E-05  
  89               3.11245636E+02   2.12121259E+03   8.37997834E-01   1.60348159E-01   7.03338713E-04   3.25717741E-04   1.83063686E-04   2.02441494E-04   4.68002995E-05   2.72307927E-05  
  90               3.38104883E+02   2.16559441E+03   8.37959068E-01   1.60339502E-01   6.93337145E-04   3.15170892E-04   2.28749749E-04   2.12436388E-04   4.65093092E-05   2.76821257E-05  
  91               3.63158981E+02   2.20493338E+03   8.37925904E-01   1.60333081E-01   6.84993024E-04   3.06277276E-04   2.76527935E-04   2.20788315E-04   4.62404091E-05   2.80957690E-05  
  92               3.85309252E+02   2.23742662E+03   8.37892521E-01   1.60327529E-01   6.78783159E-04   2.99564263E-04   3.21505729E-04   2.27010414E-04   4.59927278E-05   2.84822382E-05  
  93               4.11195231E+02   2.27400173E+03   8.37848228E-01   1.60320834E-01   6.72147405E-04   2.92280861E-04   3.78944879E-04   2.33691090E-04   4.57085807E-05   2.89202581E-05  
  94               4.41320738E+02   2.31373377E+03   8.37757623E-01   1.60306715E-01   6.65674423E-04   2.85113381E-04   4.49857766E-04   2.40119050E-04   4.53677540E-05   2.94471969E-05  
  95               4.65689514E+02   2.34448888E+03   8.37700470E-01   1.60300114E-01   6.65408925E-04   2.78997515E-04   5.11582785E-04   2.45649318E-04   4.50993135E-05   2.98659052E-05  
  96               4.84430656E+02   2.36700448E+03   8.37659183E-01   1.60295227E-01   6.62410536E-04   2.75427134E-04   5.60624842E-04   2.48751759E-04   4.48883908E-05   3.01951155E-05  
  97               5.06886279E+02   2.39327385E+03   8.37606612E-01   1.60289206E-01   6.59062164E-04   2.71384098E-04   6.22416468E-04   2.52218368E-04   4.46394408E-05   3.05809752E-05  
  98               5.33703353E+02   2.42315117E+03   8.37540769E-01   1.60282007E-01   6.55648786E-04   2.67143859E-04   6.98695395E-04   2.55761211E-04   4.43405050E-05   3.10467307E-05  
  99               5.65611869E+02   2.45713669E+03   8.37457680E-01   1.60273263E-01   6.52131116E-04   2.62635778E-04   7.93841514E-04   2.59419999E-04   4.39879091E-05   3.15951721E-05  
  100              6.03433155E+02   2.49531334E+03   8.37353407E-01   1.60262705E-01   6.48670762E-04   2.57995575E-04   9.11899295E-04   2.63031730E-04   4.35733297E-05   3.22401428E-05  
  101              6.48102311E+02   2.53751252E+03   8.37224032E-01   1.60250106E-01   6.45526751E-04   2.53457345E-04   1.05674306E-03   2.66336253E-04   4.30862086E-05   3.30011261E-05  
