# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  30               2.70930454E-02   1.94326732E+02   8.38089573E-01   1.60466836E-01   7.69658928E-04   5.20542157E-04   5.83644657E-56   4.48090418E-05   3.17557788E-05   2.39537581E-06  
  31               3.30040159E-02   2.02434940E+02   8.38020945E-01   1.60453696E-01   7.69631461E-04   5.20523581E-04   1.15586381E-53   4.48074427E-05   3.17546455E-05   2.39529033E-06  
  32               4.01870684E-02   2.10937066E+02   8.37641653E-01   1.60381074E-01   7.69801152E-04   5.20638347E-04   1.90853395E-51   4.48173220E-05   3.17616469E-05   2.39581845E-06  
  33               4.89099273E-02   2.19418072E+02   8.38128483E-01   1.60474286E-01   7.70109674E-04   5.20847010E-04   2.08710591E-49   4.48352840E-05   3.17743764E-05   2.39677865E-06  
  34               5.94917855E-02   2.28229305E+02   8.38128839E-01   1.60474354E-01   7.69871329E-04   5.20685810E-04   1.88752649E-47   4.48214077E-05   3.17645424E-05   2.39603686E-06  
  35               7.23275010E-02   2.36868064E+02   8.38128276E-01   1.60474246E-01   7.70248687E-04   5.20941028E-04   1.12031606E-45   4.48433772E-05   3.17801120E-05   2.39721129E-06  
  36               8.78970927E-02   2.45752983E+02   8.38128269E-01   1.60474245E-01   7.70253058E-04   5.20943985E-04   5.51969746E-44   4.48436317E-05   3.17802923E-05   2.39722490E-06  
  37               1.06776397E-01   2.54595624E+02   8.38128269E-01   1.60474245E-01   7.70253070E-04   5.20943992E-04   2.02547700E-42   4.48436324E-05   3.17802928E-05   2.39722493E-06  
  38               1.29668074E-01   2.63894668E+02   8.38128269E-01   1.60474245E-01   7.70253081E-04   5.20944000E-04   6.89306506E-41   4.48436330E-05   3.17802933E-05   2.39722497E-06  
  39               1.57414715E-01   2.73289708E+02   8.38128269E-01   1.60474245E-01   7.70253093E-04   5.20944008E-04   1.89780510E-39   4.48436337E-05   3.17802938E-05   2.39722501E-06  
  40               1.91038204E-01   2.83207634E+02   8.38128269E-01   1.60474245E-01   7.70253106E-04   5.20944017E-04   4.94735187E-38   4.48436345E-05   3.17802943E-05   2.39722505E-06  
  41               2.31780603E-01   2.93333915E+02   8.38128269E-01   1.60474245E-01   7.70253120E-04   5.20944026E-04   1.09613429E-36   4.48436353E-05   3.17802949E-05   2.39722509E-06  
  42               2.81148843E-01   3.04085837E+02   8.38128269E-01   1.60474245E-01   7.70253136E-04   5.20944037E-04   2.34638122E-35   4.48436362E-05   3.17802955E-05   2.39722514E-06  
  43               3.40933833E-01   3.15214896E+02   8.38128269E-01   1.60474245E-01   7.70253153E-04   5.20944048E-04   4.47656752E-34   4.48436372E-05   3.17802962E-05   2.39722519E-06  
  44               4.13242290E-01   3.27330473E+02   8.38128269E-01   1.60474245E-01   7.70253171E-04   5.20944061E-04   8.85178793E-33   4.48436383E-05   3.17802970E-05   2.39722525E-06  
  45               5.00553533E-01   3.40267338E+02   8.38128268E-01   1.60474244E-01   7.70253193E-04   5.20944076E-04   1.69531371E-31   4.48436396E-05   3.17802979E-05   2.39722532E-06  
  46               6.05811346E-01   3.54447082E+02   8.38128268E-01   1.60474244E-01   7.70253214E-04   5.20944090E-04   3.37553825E-30   4.48436408E-05   3.17802988E-05   2.39722538E-06  
  47               7.32522973E-01   3.69643850E+02   8.38128165E-01   1.60474224E-01   7.70253252E-04   5.20944115E-04   6.45893299E-29   4.48436430E-05   3.17803003E-05   2.39722550E-06  
  48               8.84753753E-01   3.86587296E+02   8.38128175E-01   1.60474214E-01   7.70253103E-04   5.20944015E-04   1.32514602E-27   4.48436343E-05   3.17802942E-05   2.39722504E-06  
  49               1.06725941E+00   4.05270787E+02   8.38128172E-01   1.60474214E-01   7.70255090E-04   5.20945358E-04   2.77408846E-26   4.48437500E-05   3.17803762E-05   2.39723122E-06  
  50               1.28536069E+00   4.26256751E+02   8.38128172E-01   1.60474213E-01   7.70255138E-04   5.20945391E-04   6.17390244E-25   4.48437528E-05   3.17803781E-05   2.39723137E-06  
  51               1.54489391E+00   4.49519514E+02   8.38128144E-01   1.60474205E-01   7.70255170E-04   5.20945413E-04   1.37541568E-23   4.48437547E-05   3.17803795E-05   2.39723147E-06  
  52               1.85225852E+00   4.75626323E+02   8.38124771E-01   1.60473578E-01   7.70255294E-04   5.20945497E-04   3.13191875E-22   4.48437619E-05   3.17803846E-05   2.39723186E-06  
  53               2.21579251E+00   5.00847468E+02   8.38124791E-01   1.60473566E-01   7.70251068E-04   5.20942638E-04   4.66524039E-21   4.48435158E-05   3.17802102E-05   2.39721870E-06  
  54               2.64502052E+00   5.29201416E+02   8.38124725E-01   1.60473504E-01   7.70322711E-04   5.20991093E-04   7.17667722E-20   4.48476869E-05   3.17831662E-05   2.39744168E-06  
  55               3.15079042E+00   5.56529228E+02   8.38124804E-01   1.60473424E-01   7.70323245E-04   5.20991454E-04   7.61606567E-19   4.48477179E-05   3.17831882E-05   2.39744334E-06  
  56               3.74474831E+00   5.87229026E+02   8.38124984E-01   1.60473244E-01   7.70322952E-04   5.20991256E-04   8.35752243E-18   4.48477009E-05   3.17831761E-05   2.39744242E-06  
  57               4.44144898E+00   6.16710458E+02   8.38125282E-01   1.60472948E-01   7.70322407E-04   5.20990887E-04   6.60512448E-17   4.48476691E-05   3.17831536E-05   2.39744073E-06  
  58               5.25681990E+00   6.49860390E+02   8.38125858E-01   1.60472373E-01   7.70321291E-04   5.20990132E-04   5.41983889E-16   4.48476042E-05   3.17831076E-05   2.39743726E-06  
  59               6.20852218E+00   6.81569269E+02   8.38126656E-01   1.60471577E-01   7.70319633E-04   5.20989011E-04   3.32230624E-15   4.48475077E-05   3.17830392E-05   2.39743210E-06  
  60               7.31457595E+00   7.17125480E+02   8.38127941E-01   1.60470294E-01   7.70316951E-04   5.20987197E-04   2.10625537E-14   4.48473515E-05   3.17829285E-05   2.39742375E-06  
  61               8.59831842E+00   7.50963601E+02   8.38129371E-01   1.60468854E-01   7.70313737E-04   5.20985023E-04   1.02949114E-13   4.48471644E-05   3.17827959E-05   2.39741374E-06  
  62               1.00889756E+01   7.89022757E+02   8.38131254E-01   1.60466924E-01   7.70309640E-04   5.20982252E-04   5.23570069E-13   4.48469259E-05   3.17826269E-05   2.39740100E-06  
  63               1.18204701E+01   8.25293123E+02   8.38132856E-01   1.60465101E-01   7.70306043E-04   5.20979819E-04   2.12746142E-12   4.48467164E-05   3.17824785E-05   2.39738980E-06  
  64               1.38259414E+01   8.66071862E+02   8.38134726E-01   1.60462996E-01   7.70306457E-04   5.20980099E-04   8.98275088E-12   4.48467405E-05   3.17824955E-05   2.39739114E-06  
  65               1.61388508E+01   9.04674188E+02   8.38136377E-01   1.60461316E-01   7.70307532E-04   5.20980827E-04   3.09035955E-11   4.48468031E-05   3.17825399E-05   2.39739494E-06  
  66               1.88038683E+01   9.47956072E+02   8.38138089E-01   1.60459514E-01   7.70303865E-04   5.20978346E-04   1.10035330E-10   4.48465896E-05   3.17823886E-05   2.39738696E-06  
  67               2.18664118E+01   9.88815323E+02   8.38139153E-01   1.60458129E-01   7.70301862E-04   5.20976992E-04   3.26835851E-10   4.48464731E-05   3.17823060E-05   2.39740642E-06  
  68               2.53702569E+01   1.03440791E+03   8.38139317E-01   1.60456534E-01   7.70302556E-04   5.20977461E-04   9.99103311E-10   4.48465134E-05   3.17823346E-05   2.39756608E-06  
  69               2.93543056E+01   1.07704202E+03   8.38138433E-01   1.60455354E-01   7.70326179E-04   5.20993438E-04   2.58677957E-09   4.48478888E-05   3.17833093E-05   2.39857858E-06  
  70               3.38720020E+01   1.12436811E+03   8.38139507E-01   1.60454270E-01   7.70323464E-04   5.20991598E-04   6.86200269E-09   4.48477309E-05   3.17831974E-05   2.40312985E-06  
  71               3.90166139E+01   1.16876729E+03   8.38140301E-01   1.60453444E-01   7.70321235E-04   5.20990060E-04   1.58252973E-08   4.48476033E-05   3.17831070E-05   2.42381839E-06  
  72               4.48828316E+01   1.21386993E+03   8.38141016E-01   1.60452626E-01   7.70319182E-04   5.20988431E-04   3.46490582E-08   4.48475009E-05   3.17830344E-05   2.50131359E-06  
  73               5.15558276E+01   1.25484411E+03   8.38141404E-01   1.60451957E-01   7.70316869E-04   5.20985284E-04   6.66226808E-08   4.48474820E-05   3.17830208E-05   2.74121619E-06  
  74               5.91061934E+01   1.29856772E+03   8.38141668E-01   1.60451040E-01   7.70308523E-04   5.20971811E-04   1.28083312E-07   4.48475864E-05   3.17830939E-05   3.33235565E-06  
  75               6.76194012E+01   1.33980895E+03   8.38141506E-01   1.60450065E-01   7.70267205E-04   5.20909093E-04   2.26740690E-07   4.48479146E-05   3.17833224E-05   4.44238977E-06  
  76               7.72374660E+01   1.38506319E+03   8.38141252E-01   1.60448618E-01   7.70097097E-04   5.20668150E-04   4.09409626E-07   4.48484413E-05   3.17836778E-05   6.32334764E-06  
  77               8.81070042E+01   1.42892646E+03   8.38141342E-01   1.60447103E-01   7.69495039E-04   5.19867576E-04   6.97090889E-07   4.48490713E-05   3.17840514E-05   8.80043208E-06  
  78               1.00367977E+02   1.47749086E+03   8.38142803E-01   1.60445094E-01   7.67801394E-04   5.17756719E-04   1.21571204E-06   4.48495509E-05   3.17841031E-05   1.25295390E-05  
  79               1.14108521E+02   1.52530061E+03   8.38146635E-01   1.60443203E-01   7.64301044E-04   5.13780078E-04   2.02337048E-06   4.48497105E-05   3.17831628E-05   1.70741069E-05  
  80               1.29362621E+02   1.57822401E+03   8.38153068E-01   1.60440612E-01   7.58390227E-04   5.07364028E-04   3.44543268E-06   4.48498997E-05   3.17796437E-05   2.37250210E-05  
  81               1.46205449E+02   1.63093073E+03   8.38160250E-01   1.60437569E-01   7.50971694E-04   4.99381103E-04   5.64424624E-06   4.48507641E-05   3.17700865E-05   3.16906262E-05  
  82               1.64685249E+02   1.68400638E+03   8.38151929E-01   1.60430986E-01   7.42727214E-04   4.89884001E-04   8.98193976E-06   4.48525038E-05   3.17491135E-05   4.10963393E-05  
  83               1.84785462E+02   1.73618670E+03   8.38142433E-01   1.60426787E-01   7.51793305E-04   4.78324462E-04   1.37652430E-05   4.48739056E-05   3.17349024E-05   5.25419177E-05  
  84               2.06585570E+02   1.78836096E+03   8.38150115E-01   1.60422408E-01   7.40836597E-04   4.66766764E-04   2.05530974E-05   4.48629280E-05   3.17236755E-05   6.39400169E-05  
  85               2.30176373E+02   1.83968352E+03   8.38154242E-01   1.60417574E-01   7.30310037E-04   4.54815015E-04   2.97622014E-05   4.48156634E-05   3.17933240E-05   7.56911086E-05  
  86               2.55618141E+02   1.89091680E+03   8.38149315E-01   1.60411493E-01   7.21750394E-04   4.42190676E-04   4.21719962E-05   4.47141255E-05   3.19557850E-05   8.80617799E-05  
  87               2.82979244E+02   1.94127749E+03   8.38128994E-01   1.60403890E-01   7.19216953E-04   4.29049986E-04   5.82480502E-05   4.45472607E-05   3.22255104E-05   1.00894440E-04  
  88               3.11875512E+02   1.99071757E+03   8.38075551E-01   1.60392226E-01   7.28176055E-04   4.14549501E-04   7.86438194E-05   4.43407688E-05   3.25522403E-05   1.15024228E-04  
  89               3.41409628E+02   2.03725849E+03   8.37976546E-01   1.60378086E-01   7.72740600E-04   3.96234304E-04   1.02804226E-04   4.41020049E-05   3.29410935E-05   1.32945018E-04  
  90               3.74636632E+02   2.08619843E+03   8.37962068E-01   1.60372037E-01   7.61491395E-04   3.84495074E-04   1.34408111E-04   4.38165458E-05   3.34012741E-05   1.44207350E-04  
  91               4.08611706E+02   2.13240598E+03   8.37941272E-01   1.60366014E-01   7.51573726E-04   3.74046996E-04   1.70948897E-04   4.35047781E-05   3.39102224E-05   1.54133788E-04  
  92               4.41984503E+02   2.17512676E+03   8.37906285E-01   1.60358344E-01   7.42865695E-04   3.64783852E-04   2.11452742E-04   4.31939397E-05   3.44130897E-05   1.62840874E-04  
  93               4.80266959E+02   2.22072071E+03   8.37870122E-01   1.60351618E-01   7.34322113E-04   3.55561569E-04   2.62641623E-04   4.28263073E-05   3.50125558E-05   1.71398469E-04  
  94               5.16412433E+02   2.26130248E+03   8.37830068E-01   1.60345135E-01   7.27232494E-04   3.47785820E-04   3.16018635E-04   4.24788251E-05   3.55767734E-05   1.78509659E-04  
  95               5.48937703E+02   2.29568025E+03   8.37787693E-01   1.60338921E-01   7.21751061E-04   3.41632794E-04   3.67489031E-04   4.21612428E-05   3.60935660E-05   1.84041757E-04  
  96               5.86928892E+02   2.33400037E+03   8.37695890E-01   1.60325297E-01   7.20309721E-04   3.34351772E-04   4.32347038E-04   4.17937824E-05   3.66865133E-05   1.90557664E-04  
  97               6.31320791E+02   2.37600282E+03   8.37628426E-01   1.60317219E-01   7.14780117E-04   3.27706557E-04   5.13121199E-04   4.13630288E-05   3.73861523E-05   1.96294157E-04  
  98               6.69377765E+02   2.41022282E+03   8.37565550E-01   1.60309988E-01   7.10659617E-04   3.22614025E-04   5.87105045E-04   4.09974274E-05   3.79778600E-05   2.00578166E-04  
  99               7.00641076E+02   2.43700710E+03   8.37510990E-01   1.60303998E-01   7.07742182E-04   3.18894869E-04   6.50373534E-04   4.06971514E-05   3.84647668E-05   2.03620248E-04  
  100              7.37984772E+02   2.46792016E+03   8.37441895E-01   1.60296640E-01   7.04582350E-04   3.14762705E-04   7.29760150E-04   4.03442332E-05   3.90340850E-05   2.06920562E-04  
  101              7.82363675E+02   2.50278590E+03   8.37355721E-01   1.60287812E-01   7.01444049E-04   3.10464833E-04   8.27635332E-04   3.99262525E-05   3.97099288E-05   2.10213273E-04  
