# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  47               3.56385631E-01   7.45383310E+02   8.38516608E-01   1.60516697E-01   4.77573110E-04   3.20985021E-04   3.88243051E-13   5.97734481E-05   7.48848865E-05   2.29895077E-05  
  48               4.04094461E-01   7.73647045E+02   8.38516847E-01   1.60516218E-01   4.77571986E-04   3.20984266E-04   1.34010800E-12   5.97733075E-05   7.48847103E-05   2.29894387E-05  
  49               4.57691369E-01   8.02791623E+02   8.38517219E-01   1.60515841E-01   4.77570560E-04   3.20983308E-04   4.38296459E-12   5.97731290E-05   7.48844867E-05   2.29893839E-05  
  50               5.17931615E-01   8.32622207E+02   8.38517561E-01   1.60515477E-01   4.77566272E-04   3.20980425E-04   1.35045920E-11   5.97725923E-05   7.48838143E-05   2.29954499E-05  
  51               5.85558432E-01   8.63388304E+02   8.38517925E-01   1.60515027E-01   4.77561837E-04   3.20977444E-04   3.96867794E-11   5.97720371E-05   7.48831188E-05   2.30143404E-05  
  52               6.61290978E-01   8.94782047E+02   8.38518354E-01   1.60514319E-01   4.77557510E-04   3.20974537E-04   1.10269054E-10   5.97714957E-05   7.48824405E-05   2.30728731E-05  
  53               7.45814385E-01   9.26996984E+02   8.38518866E-01   1.60513001E-01   4.77553716E-04   3.20971987E-04   2.92495070E-10   5.97710208E-05   7.48818455E-05   2.32457542E-05  
  54               8.39913386E-01   9.59717709E+02   8.38519773E-01   1.60510565E-01   4.77561475E-04   3.20977200E-04   7.35547493E-10   5.97719917E-05   7.48830619E-05   2.37149678E-05  
  55               9.44705423E-01   9.93259431E+02   8.38522915E-01   1.60506293E-01   4.77550555E-04   3.20969859E-04   1.77527567E-09   5.97706247E-05   7.48813492E-05   2.42926428E-05  
  56               1.06138904E+00   1.02737772E+03   8.38530157E-01   1.60499087E-01   4.77534831E-04   3.20959284E-04   4.09422365E-09   5.97686553E-05   7.48788817E-05   2.42914586E-05  
  57               1.19114372E+00   1.06232726E+03   8.38541749E-01   1.60487549E-01   4.77513011E-04   3.20944590E-04   9.10438669E-09   5.97659194E-05   7.48754520E-05   2.42895497E-05  
  58               1.33514716E+00   1.09780068E+03   8.38558274E-01   1.60471091E-01   4.77483497E-04   3.20924646E-04   1.94200683E-08   5.97622070E-05   7.48707872E-05   2.42867875E-05  
  59               1.49459127E+00   1.13400125E+03   8.38579460E-01   1.60449969E-01   4.77448132E-04   3.20900479E-04   4.00190223E-08   5.97577169E-05   7.48650776E-05   2.42831474E-05  
  60               1.67097927E+00   1.17068616E+03   8.38603530E-01   1.60425943E-01   4.77408650E-04   3.20872496E-04   7.94344958E-08   5.97525602E-05   7.48581520E-05   2.42788108E-05  
