# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  67               3.15083252E+00   1.00939337E+03   8.38392636E-01   1.60491560E-01   5.04382147E-04   2.44146681E-04   2.68601708E-04   5.82600076E-05   1.49430591E-09   2.42904411E-05  
  68               3.53089343E+00   1.04338721E+03   8.38393931E-01   1.60490279E-01   5.04379728E-04   2.44145759E-04   2.68600418E-04   5.82597282E-05   3.34673486E-09   2.42901807E-05  
  69               3.95285323E+00   1.07799041E+03   8.38395981E-01   1.60488247E-01   5.04376083E-04   2.44144908E-04   2.68598473E-04   5.82593079E-05   7.20715605E-09   2.42897607E-05  
  70               4.42123536E+00   1.11332280E+03   8.38399223E-01   1.60485019E-01   5.04370579E-04   2.44145440E-04   2.68595511E-04   5.82586760E-05   1.49967198E-08   2.42890867E-05  
  71               4.94075979E+00   1.14931498E+03   8.38404175E-01   1.60480066E-01   5.04362341E-04   2.44152135E-04   2.68590948E-04   5.82577479E-05   3.01610386E-08   2.42880396E-05  
  72               5.51700964E+00   1.18606884E+03   8.38411403E-01   1.60472802E-01   5.04349900E-04   2.44180244E-04   2.68583368E-04   5.82564366E-05   5.88512655E-08   2.42864729E-05  
  73               6.15585870E+00   1.22349082E+03   8.38421269E-01   1.60462816E-01   5.04329515E-04   2.44274931E-04   2.68567738E-04   5.82547059E-05   1.11379287E-07   2.42842456E-05  
  74               6.86327233E+00   1.26166965E+03   8.38433833E-01   1.60449940E-01   5.04286676E-04   2.44561733E-04   2.68522866E-04   5.82526071E-05   2.05102056E-07   2.42812185E-05  
  75               7.64586511E+00   1.30048551E+03   8.38448536E-01   1.60434518E-01   5.04164122E-04   2.45365662E-04   2.68363985E-04   5.82503746E-05   3.67271356E-07   2.42772912E-05  
  76               8.51211313E+00   1.34001637E+03   8.38464445E-01   1.60417185E-01   5.03756826E-04   2.47450573E-04   2.67787626E-04   5.82484491E-05   6.41223497E-07   2.42723223E-05  
  77               9.47120571E+00   1.38038034E+03   8.38480654E-01   1.60398774E-01   5.02441764E-04   2.52344845E-04   2.65873768E-04   5.82474133E-05   1.09468367E-06   2.42660070E-05  
