# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  55               1.68972872E-01   1.54319202E+03   8.38641834E-01   1.60246280E-01   6.46019193E-05   5.29383389E-04   3.74970728E-04   6.06105194E-05   9.19578006E-06   2.27702393E-05  
  56               1.85290938E-01   1.58226942E+03   8.38564536E-01   1.60239553E-01   9.51392952E-05   5.29548223E-04   3.75090418E-04   6.06293938E-05   2.70427957E-05   3.12402014E-05  
  57               2.01447419E-01   1.61787426E+03   8.38486809E-01   1.60239676E-01   1.32998601E-04   5.30056695E-04   3.75455435E-04   6.06876145E-05   6.64809217E-05   5.02326991E-05  
  58               2.16369047E-01   1.64924072E+03   8.38446744E-01   1.60236164E-01   1.76488657E-04   5.30051588E-04   3.75455697E-04   6.06870348E-05   6.64584597E-05   5.03239688E-05  
  59               2.32946540E-01   1.68167901E+03   8.38364538E-01   1.60225898E-01   2.33580714E-04   5.30022448E-04   3.75437887E-04   6.06837039E-05   6.64314462E-05   5.04150038E-05  
  60               2.47808636E-01   1.70965141E+03   8.38307337E-01   1.60220816E-01   2.94902115E-04   5.30502704E-04   3.75780890E-04   6.07386986E-05   6.64091810E-05   5.04940496E-05  
  61               2.59930168E-01   1.73106401E+03   8.38256226E-01   1.60216345E-01   3.50440724E-04   5.30489101E-04   3.75773990E-04   6.07371496E-05   6.63912657E-05   5.05540336E-05  
  62               2.73387943E-01   1.75433527E+03   8.38191518E-01   1.60210688E-01   4.20763335E-04   5.30471675E-04   3.75764183E-04   6.07351618E-05   6.63711982E-05   5.06188857E-05  
  63               2.88274871E-01   1.77851506E+03   8.38113287E-01   1.60203849E-01   5.05787566E-04   5.30450407E-04   3.75751257E-04   6.07327324E-05   6.63492224E-05   5.06858268E-05  
  64               3.04673306E-01   1.80435742E+03   8.38015225E-01   1.60195280E-01   6.12371518E-04   5.30423549E-04   3.75733686E-04   6.07296598E-05   6.63248046E-05   5.07571117E-05  
  65               3.22635624E-01   1.83089055E+03   8.37897489E-01   1.60184992E-01   7.40328868E-04   5.30391236E-04   3.75711152E-04   6.07259574E-05   6.62982495E-05   5.08299297E-05  
  66               3.42152772E-01   1.85865814E+03   8.37752809E-01   1.60172359E-01   8.97577521E-04   5.30351666E-04   3.75681812E-04   6.07214159E-05   6.62691332E-05   5.09061386E-05  
  67               3.63133471E-01   1.88661895E+03   8.37582830E-01   1.60157514E-01   1.08240964E-03   5.30304626E-04   3.75644586E-04   6.07160058E-05   6.62379619E-05   5.09819789E-05  
  68               3.85844825E-01   1.91557526E+03   8.37377196E-01   1.60139558E-01   1.30603208E-03   5.30245208E-04   3.75594823E-04   6.07091568E-05   6.62039129E-05   5.10601379E-05  
  69               4.10811239E-01   1.94534891E+03   8.37131333E-01   1.60118092E-01   1.57341786E-03   5.30173712E-04   3.75531501E-04   6.07008934E-05   6.61665447E-05   5.11398100E-05  
  70               4.38223235E-01   1.97634705E+03   8.36833203E-01   1.60092067E-01   1.89766325E-03   5.30086447E-04   3.75450553E-04   6.06907792E-05   6.61251813E-05   5.12219803E-05  
  71               4.68288236E-01   2.00809462E+03   8.36478951E-01   1.60061147E-01   2.28296331E-03   5.29982381E-04   3.75349664E-04   6.06786775E-05   6.60797682E-05   5.13049042E-05  
  72               5.01239039E-01   2.04073022E+03   8.36057131E-01   1.60024334E-01   2.74176823E-03   5.29857987E-04   3.75224807E-04   6.06641601E-05   6.60297442E-05   5.13885557E-05  
  73               5.37331577E-01   2.07406851E+03   8.35559868E-01   1.59980941E-01   3.28264687E-03   5.29711220E-04   3.75073466E-04   6.06469629E-05   6.59747991E-05   5.14718236E-05  
  74               5.76854179E-01   2.10793189E+03   8.34979797E-01   1.59930328E-01   3.91360998E-03   5.29539812E-04   3.74894185E-04   6.06267911E-05   6.59146357E-05   5.15535102E-05  
  75               6.20119719E-01   2.14251136E+03   8.34301305E-01   1.59871131E-01   4.65163548E-03   5.29339581E-04   3.74686805E-04   6.06031298E-05   6.58485139E-05   5.16333478E-05  
  76               6.67477536E-01   2.17725645E+03   8.33526682E-01   1.59803552E-01   5.49422422E-03   5.29111154E-04   3.74460463E-04   6.05760183E-05   6.57766352E-05   5.17089057E-05  
  77               7.19304376E-01   2.21278832E+03   8.32627013E-01   1.59725066E-01   6.47280688E-03   5.28846334E-04   3.74230818E-04   6.05444991E-05   6.56976013E-05   5.17808143E-05  
  78               7.76020098E-01   2.24806331E+03   8.31624911E-01   1.59637643E-01   7.56273551E-03   5.28551608E-04   3.74057149E-04   6.05093183E-05   6.56125546E-05   5.18453836E-05  
  79               8.38078438E-01   2.28409977E+03   8.30474277E-01   1.59537248E-01   8.81401929E-03   5.28213065E-04   3.74074642E-04   6.04689205E-05   6.55193027E-05   5.19039050E-05  
  80               9.05974603E-01   2.31955239E+03   8.29219139E-01   1.59427482E-01   1.01762211E-02   5.27842444E-04   3.74732427E-04   6.04247446E-05   6.54198033E-05   5.19522780E-05  
  81               9.80204362E-01   2.35574186E+03   8.27792372E-01   1.59303801E-01   1.17217673E-02   5.27452697E-04   3.77562970E-04   6.03784640E-05   6.53115442E-05   5.20241150E-05  
  82               1.06136923E+00   2.39116875E+03   8.26272658E-01   1.59171183E-01   1.33739729E-02   5.27006555E-04   3.78066927E-04   6.03250575E-05   6.51971174E-05   5.20512862E-05  
  83               1.15017338E+00   2.42739842E+03   8.24563781E-01   1.59022141E-01   1.52326557E-02   5.26508794E-04   3.77724279E-04   6.02653661E-05   6.50726266E-05   5.20675746E-05  
  84               1.24733795E+00   2.46272692E+03   8.22767909E-01   1.58865537E-01   1.71861658E-02   5.25988080E-04   3.77129182E-04   6.02026933E-05   6.49423606E-05   5.20704246E-05  
  85               1.35361853E+00   2.49886255E+03   8.20767187E-01   1.58691079E-01   1.93625488E-02   5.25408315E-04   3.76413802E-04   6.01328563E-05   6.48012414E-05   5.20598185E-05  
  86               1.46983489E+00   2.53406370E+03   8.18690315E-01   1.58509986E-01   2.16217721E-02   5.24806960E-04   3.75653746E-04   6.00600369E-05   6.46545615E-05   5.20346278E-05  
  87               1.59688238E+00   2.56999714E+03   8.16403710E-01   1.58310611E-01   2.41091376E-02   5.24144531E-04   3.74811810E-04   5.99796512E-05   6.44967056E-05   5.19933995E-05  
  88               1.73571472E+00   2.60498600E+03   8.14056384E-01   1.58105946E-01   2.66625481E-02   5.23464623E-04   3.73937283E-04   5.98965612E-05   6.43336658E-05   5.19366544E-05  
  89               1.88736758E+00   2.64060121E+03   8.11503994E-01   1.57883406E-01   2.94390193E-02   5.22725064E-04   3.72979305E-04   5.98057935E-05   6.41595014E-05   5.18614178E-05  
  90               2.05293283E+00   2.67537812E+03   8.08898928E-01   1.57656277E-01   3.22727809E-02   5.21970101E-04   3.71991455E-04   5.97122746E-05   6.39802297E-05   5.17695865E-05  
  91               2.23359237E+00   2.71061313E+03   8.06106647E-01   1.57412828E-01   3.53101823E-02   5.21160666E-04   3.70923527E-04   5.96112513E-05   6.37904078E-05   5.16570521E-05  
  92               2.43059263E+00   2.74508788E+03   8.03274057E-01   1.57165869E-01   3.83914173E-02   5.20339241E-04   3.69829556E-04   5.95074134E-05   6.35957401E-05   5.15267505E-05  
  93               2.64528370E+00   2.77986624E+03   8.00278722E-01   1.56904724E-01   4.16496711E-02   5.19470379E-04   3.68662285E-04   5.93962410E-05   6.33913424E-05   5.13737924E-05  
  94               2.87907810E+00   2.81406381E+03   7.97242028E-01   1.56639976E-01   4.49528953E-02   5.18589112E-04   3.67467753E-04   5.92814709E-05   6.31818578E-05   5.12011677E-05  
  95               3.13350508E+00   2.84843674E+03   7.94068876E-01   1.56363333E-01   4.84045398E-02   5.17667929E-04   3.66208315E-04   5.91592597E-05   6.29635349E-05   5.10039656E-05  
  96               3.41016903E+00   2.88239022E+03   7.90851553E-01   1.56082841E-01   5.19042092E-02   5.16733427E-04   3.64919937E-04   5.90321849E-05   6.27398509E-05   5.07846511E-05  
  97               3.71083077E+00   2.91635216E+03   7.87534673E-01   1.55793672E-01   5.55121526E-02   5.15769563E-04   3.63580278E-04   5.88974518E-05   6.25086118E-05   5.05393374E-05  
  98               4.03734235E+00   2.95010352E+03   7.84159567E-01   1.55499429E-01   5.91834061E-02   5.14788209E-04   3.62205794E-04   5.87555454E-05   6.22713224E-05   5.02684857E-05  
  99               4.39172778E+00   2.98369963E+03   7.80726091E-01   1.55200098E-01   6.29181242E-02   5.13789258E-04   3.60796490E-04   5.86052473E-05   6.20278951E-05   4.99706145E-05  
  100              4.77610747E+00   3.01729908E+03   7.77213979E-01   1.54893912E-01   6.67383491E-02   5.12766789E-04   3.59343973E-04   5.84442519E-05   6.17775153E-05   4.96429312E-05  
  101              5.19274403E+00   3.05053987E+03   7.73695569E-01   1.54587179E-01   7.05653881E-02   5.11741598E-04   3.57878851E-04   5.82736661E-05   6.15228117E-05   4.92882540E-05  
