# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              H                N2               H2S             
  89               2.05246814E+01   2.00357924E+03   8.38249122E-01   1.60222718E-01   5.16255566E-04   3.90502952E-04   1.37773008E-05   3.34786717E-04   5.93693189E-05   2.04842927E-05  
  90               2.11817752E+01   2.01950670E+03   8.38220127E-01   1.60219968E-01   5.16838178E-04   3.89979182E-04   1.32189173E-05   3.66926941E-04   5.94136576E-05   2.04722428E-05  
  91               2.16214089E+01   2.03017809E+03   8.38199456E-01   1.60218021E-01   5.17170424E-04   3.89600250E-04   1.28539937E-05   3.89913841E-04   5.94029715E-05   2.04632290E-05  
  92               2.21210285E+01   2.04181619E+03   8.38175740E-01   1.60215803E-01   5.17517115E-04   3.89227484E-04   1.24884992E-05   4.16188864E-04   5.93916930E-05   2.04526641E-05  
  93               2.26900904E+01   2.05504151E+03   8.38147049E-01   1.60213138E-01   5.17898463E-04   3.88858434E-04   1.20832872E-05   4.47863715E-04   5.93796006E-05   2.04396920E-05  
  94               2.33359298E+01   2.06952714E+03   8.38113720E-01   1.60210068E-01   5.18280930E-04   3.88442021E-04   1.16748279E-05   4.84667304E-04   5.93662772E-05   2.04240287E-05  
  95               2.40691826E+01   2.08571185E+03   8.38073782E-01   1.60206413E-01   5.18683122E-04   3.87999482E-04   1.12416437E-05   5.28691025E-04   5.93515469E-05   2.04047644E-05  
  96               2.48991797E+01   2.10345185E+03   8.38026671E-01   1.60202133E-01   5.19086160E-04   3.87550552E-04   1.08031696E-05   5.80518195E-04   5.93350191E-05   2.03817034E-05  
  97               2.58358594E+01   2.12290075E+03   8.37970753E-01   1.60197084E-01   5.19490511E-04   3.87093723E-04   1.03577710E-05   6.41927942E-04   5.93162965E-05   2.03539387E-05  
  98               2.68897508E+01   2.14413272E+03   8.37904307E-01   1.60191118E-01   5.19891800E-04   3.86632460E-04   9.90898403E-06   7.14788543E-04   5.92949700E-05   2.03205944E-05  
  99               2.80721080E+01   2.16699119E+03   8.37826206E-01   1.60184144E-01   5.20274223E-04   3.86182278E-04   9.47206997E-06   8.00300562E-04   5.92705698E-05   2.02813057E-05  
  100              2.93948953E+01   2.19167846E+03   8.37733603E-01   1.60175912E-01   5.20642254E-04   3.85737121E-04   9.04119265E-06   9.01568869E-04   5.92430779E-05   2.02346677E-05  
  101              3.08709888E+01   2.21785676E+03   8.37623731E-01   1.60165983E-01   5.20973009E-04   3.85317745E-04   8.63668747E-06   1.01941586E-03   5.92135547E-05   2.01807445E-05  
