# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H2S              H               
  91               2.21919529E+01   1.78033307E+03   8.38599247E-01   1.60286210E-01   3.76694351E-04   4.50099748E-04   8.01466727E-05   5.84614754E-05   2.20284949E-05   5.85700766E-05  
  92               2.39916778E+01   1.81720268E+03   8.38541030E-01   1.60274669E-01   3.89419791E-04   4.62041143E-04   6.81726722E-05   5.84730352E-05   2.15840482E-05   7.67902728E-05  
  93               2.56930774E+01   1.84988866E+03   8.38454388E-01   1.60263543E-01   4.31152138E-04   4.74613325E-04   5.54290831E-05   5.84868848E-05   2.08052041E-05   9.66733142E-05  
  94               2.74942745E+01   1.88289071E+03   8.38437980E-01   1.60259763E-01   4.26883501E-04   4.79946510E-04   5.01627817E-05   5.85080942E-05   2.07952718E-05   1.20951796E-04  
  95               2.93847782E+01   1.91556728E+03   8.38417277E-01   1.60256029E-01   4.22505580E-04   4.84331499E-04   4.56758801E-05   5.85361294E-05   2.07840498E-05   1.49741679E-04  
  96               3.10838597E+01   1.94369931E+03   8.38383048E-01   1.60250348E-01   4.19087017E-04   4.87703834E-04   4.22461238E-05   5.85359586E-05   2.07720908E-05   1.78876826E-04  
  97               3.25266484E+01   1.96655768E+03   8.38361469E-01   1.60247417E-01   4.16602387E-04   4.90163437E-04   3.97498471E-05   5.85242120E-05   2.07611805E-05   2.05830864E-04  
  98               3.41181980E+01   1.99092819E+03   8.38334852E-01   1.60244071E-01   4.14206150E-04   4.92532234E-04   3.73261721E-05   5.85082572E-05   2.07477316E-05   2.38157081E-04  
  99               3.58686729E+01   2.01661353E+03   8.38302458E-01   1.60240279E-01   4.11934844E-04   4.94775329E-04   3.50275704E-05   5.84870494E-05   2.07314854E-05   2.76569204E-04  
  100              3.77882004E+01   2.04373839E+03   8.38263010E-01   1.60235921E-01   4.09784575E-04   4.96895391E-04   3.28333939E-05   5.84690937E-05   2.07115694E-05   3.22477800E-04  
  101              3.98876337E+01   2.07208300E+03   8.38184121E-01   1.60224919E-01   4.07786285E-04   4.98828052E-04   3.07853504E-05   5.84572215E-05   2.06868952E-05   3.76806109E-04  
