# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  46               4.74614123E-01   6.39956528E+02   8.38418179E-01   1.60508394E-01   4.50433454E-04   3.14452351E-04   2.14665939E-04   9.60530767E-16   5.86855028E-05   2.29864846E-05  
  47               5.41923820E-01   6.65775726E+02   8.38420187E-01   1.60506385E-01   4.50432909E-04   3.14451971E-04   2.14665680E-04   4.47309166E-15   5.86854318E-05   2.29861969E-05  
  48               6.18144442E-01   6.92456762E+02   8.38421829E-01   1.60504733E-01   4.50433315E-04   3.14452254E-04   2.14665873E-04   1.94122607E-14   5.86854846E-05   2.29859603E-05  
  49               7.04315560E-01   7.19877009E+02   8.38423130E-01   1.60503399E-01   4.50434563E-04   3.14453125E-04   2.14666468E-04   7.82110266E-14   5.86856473E-05   2.29857692E-05  
  50               8.01503381E-01   7.48132368E+02   8.38424018E-01   1.60502294E-01   4.50436962E-04   3.14454800E-04   2.14667611E-04   2.95057141E-13   5.86859597E-05   2.29856109E-05  
  51               9.10875501E-01   7.77069854E+02   8.38424632E-01   1.60501394E-01   4.50442931E-04   3.14458967E-04   2.14670456E-04   1.03825527E-12   5.86867375E-05   2.29854817E-05  
  52               1.03409064E+00   8.06902764E+02   8.38425313E-01   1.60500696E-01   4.50447572E-04   3.14462207E-04   2.14672668E-04   3.45160975E-12   5.86873422E-05   2.29853812E-05  
  53               1.17289776E+00   8.37510157E+02   8.38425857E-01   1.60500119E-01   4.50454565E-04   3.14467089E-04   2.14676000E-04   1.08132489E-11   5.86882533E-05   2.29893628E-05  
  54               1.32902031E+00   8.69038718E+02   8.38426299E-01   1.60499609E-01   4.50459930E-04   3.14470834E-04   2.14678557E-04   3.21906269E-11   5.86889523E-05   2.30006193E-05  
  55               1.50414641E+00   9.01252095E+02   8.38426621E-01   1.60499104E-01   4.50465901E-04   3.14475003E-04   2.14681403E-04   9.05405608E-11   5.86897302E-05   2.30350571E-05  
  56               1.69992061E+00   9.34274769E+02   8.38426743E-01   1.60498482E-01   4.50472793E-04   3.14479815E-04   2.14684687E-04   2.42404832E-10   5.86906281E-05   2.31373108E-05  
  57               1.91853880E+00   9.67892326E+02   8.38426258E-01   1.60497513E-01   4.50482420E-04   3.14486542E-04   2.14689275E-04   6.15534851E-10   5.86918824E-05   2.34190541E-05  
  58               2.16275354E+00   1.00238859E+03   8.38425896E-01   1.60496102E-01   4.50499435E-04   3.14498445E-04   2.14697384E-04   1.49896776E-09   5.86940992E-05   2.42911242E-05  
  59               2.43537159E+00   1.03750843E+03   8.38428036E-01   1.60493964E-01   4.50502817E-04   3.14500907E-04   2.14698995E-04   3.48493954E-09   5.86945399E-05   2.42907261E-05  
  60               2.73931099E+00   1.07351751E+03   8.38431679E-01   1.60490331E-01   4.50504306E-04   3.14502341E-04   2.14699701E-04   7.80662423E-09   5.86947344E-05   2.42900461E-05  
  61               3.07757729E+00   1.11005215E+03   8.38437527E-01   1.60484493E-01   4.50502210E-04   3.14502342E-04   2.14698677E-04   1.67445419E-08   5.86944649E-05   2.42889447E-05  
  62               3.45336628E+00   1.14746148E+03   8.38446450E-01   1.60475570E-01   4.50496587E-04   3.14503600E-04   2.14695837E-04   3.47425755E-08   5.86937543E-05   2.42872359E-05  
  63               3.87108674E+00   1.18535924E+03   8.38458838E-01   1.60463158E-01   4.50484553E-04   3.14512845E-04   2.14689175E-04   6.93137089E-08   5.86923122E-05   2.42847898E-05  
  64               4.33598674E+00   1.22430903E+03   8.38474917E-01   1.60446994E-01   4.50465478E-04   3.14557353E-04   2.14675187E-04   1.34676636E-07   5.86904791E-05   2.42814511E-05  
  65               4.85372637E+00   1.26257575E+03   8.38492710E-01   1.60428994E-01   4.50426273E-04   3.14711643E-04   2.14632853E-04   2.47658929E-07   5.86884458E-05   2.42774291E-05  
  66               5.43145654E+00   1.29782279E+03   8.38508917E-01   1.60412392E-01   4.50319142E-04   3.15159655E-04   2.14484128E-04   4.17646453E-07   5.86868437E-05   2.42732377E-05  
