# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              N2               H2S             
  64               3.49077889E+01   9.86454861E+02   8.38119002E-01   1.60460017E-01   7.76928878E-04   5.27188619E-04   2.42476321E-10   4.63750558E-05   3.76069745E-05   2.30290650E-05  
  65               4.02599886E+01   1.02752847E+03   8.38119818E-01   1.60458690E-01   7.76927898E-04   5.27187954E-04   6.67022210E-10   4.63749973E-05   3.76069271E-05   2.31339909E-05  
  66               4.63329407E+01   1.07097878E+03   8.38119781E-01   1.60457267E-01   7.76931002E-04   5.27190060E-04   1.78860550E-09   4.63751825E-05   3.76070773E-05   2.34380504E-05  
  67               5.31844497E+01   1.11356353E+03   8.38119212E-01   1.60456103E-01   7.76951416E-04   5.27203911E-04   4.34515858E-09   4.63764011E-05   3.76080655E-05   2.42850286E-05  
  68               6.08723070E+01   1.15834360E+03   8.38120191E-01   1.60455107E-01   7.76948711E-04   5.27202067E-04   1.03044604E-08   4.63762400E-05   3.76079349E-05   2.42847647E-05  
  69               6.95235862E+01   1.20101372E+03   8.38120915E-01   1.60454332E-01   7.76946650E-04   5.27200607E-04   2.19672085E-08   4.63761204E-05   3.76078379E-05   2.42844698E-05  
  70               7.93043153E+01   1.24241689E+03   8.38121424E-01   1.60453691E-01   7.76944990E-04   5.27199092E-04   4.33530402E-08   4.63760435E-05   3.76077757E-05   2.42841056E-05  
  71               9.03505505E+01   1.28307687E+03   8.38121719E-01   1.60453115E-01   7.76942870E-04   5.27195643E-04   8.06600859E-08   4.63760376E-05   3.76077718E-05   2.42836298E-05  
  72               1.02770842E+02   1.32370265E+03   8.38121821E-01   1.60452536E-01   7.76934797E-04   5.27181422E-04   1.44002522E-07   4.63761107E-05   3.76078351E-05   2.42829838E-05  
  73               1.16649567E+02   1.36475711E+03   8.38121789E-01   1.60451908E-01   7.76900149E-04   5.27125462E-04   2.49356755E-07   4.63762436E-05   3.76079592E-05   2.42820925E-05  
  74               1.32087520E+02   1.40689692E+03   8.38121746E-01   1.60451185E-01   7.76776500E-04   5.26939510E-04   4.23555832E-07   4.63763953E-05   3.76081447E-05   2.42808369E-05  
  75               1.49364472E+02   1.45064431E+03   8.38121934E-01   1.60450363E-01   7.76404902E-04   5.26420380E-04   7.10449613E-07   4.63763712E-05   3.76083545E-05   2.42790299E-05  
  76               1.68709447E+02   1.49647506E+03   8.38122745E-01   1.60449447E-01   7.75499067E-04   5.25258999E-04   1.18261505E-06   4.63757505E-05   3.76086567E-05   2.42763107E-05  
  77               1.90262623E+02   1.54441956E+03   8.38124381E-01   1.60448415E-01   7.73800892E-04   5.23256536E-04   1.95171592E-06   4.63732966E-05   3.76093286E-05   2.42719023E-05  
  78               2.14084278E+02   1.59463386E+03   8.38126596E-01   1.60447126E-01   7.71247221E-04   5.20382720E-04   3.19553657E-06   4.63660011E-05   3.76113410E-05   2.42637937E-05  
  79               2.40186906E+02   1.64457542E+03   8.38128637E-01   1.60445616E-01   7.68172881E-04   5.16857575E-04   5.05476746E-06   4.63485092E-05   3.76162780E-05   2.42478688E-05  
  80               2.68621023E+02   1.69458345E+03   8.38114005E-01   1.60440740E-01   7.64884397E-04   5.12646193E-04   7.77678866E-06   4.63145795E-05   3.76242724E-05   2.42131710E-05  
  81               2.99601124E+02   1.74424329E+03   8.38097276E-01   1.60438673E-01   7.80358519E-04   5.07316042E-04   1.16203324E-05   4.62969143E-05   3.76486733E-05   2.33999650E-05  
  82               3.33384462E+02   1.79419681E+03   8.38098337E-01   1.60436362E-01   7.75398568E-04   5.01821750E-04   1.69987366E-05   4.62946409E-05   3.76359528E-05   2.34047328E-05  
  83               3.70200356E+02   1.84397714E+03   8.38097200E-01   1.60433670E-01   7.70283703E-04   4.95864873E-04   2.42896018E-05   4.64059631E-05   3.75695409E-05   2.34034587E-05  
  84               4.10217031E+02   1.89402127E+03   8.38091796E-01   1.60430410E-01   7.65987661E-04   4.89368804E-04   3.40841265E-05   4.66407035E-05   3.74349666E-05   2.33832812E-05  
  85               4.53533349E+02   1.94371403E+03   8.38076561E-01   1.60426071E-01   7.64789387E-04   4.82436061E-04   4.68258648E-05   4.70061383E-05   3.72275348E-05   2.33221508E-05  
  86               4.99878021E+02   1.99303690E+03   8.38041946E-01   1.60419586E-01   7.70625945E-04   4.74780433E-04   6.31165048E-05   4.74554306E-05   3.69713729E-05   2.31813304E-05  
  87               5.48128359E+02   2.04037976E+03   8.37979119E-01   1.60410243E-01   7.88255144E-04   4.66358311E-04   8.28149476E-05   4.79869341E-05   3.66696304E-05   2.29303528E-05  
  88               6.01382681E+02   2.08911960E+03   8.37884993E-01   1.60399951E-01   8.31834545E-04   4.55362563E-04   1.08041012E-04   4.85967000E-05   3.63236528E-05   2.24748015E-05  
  89               6.57716919E+02   2.13671628E+03   8.37861627E-01   1.60394827E-01   8.25266119E-04   4.48273222E-04   1.38265655E-04   4.92923580E-05   3.59310609E-05   2.24699683E-05  
  90               7.16255454E+02   2.18303931E+03   8.37836627E-01   1.60390124E-01   8.19056352E-04   4.41473680E-04   1.73847526E-04   5.00183431E-05   3.55197322E-05   2.24608977E-05  
  91               7.83779392E+02   2.23249152E+03   8.37802420E-01   1.60384616E-01   8.12828573E-04   4.34516778E-04   2.19393180E-04   5.08811694E-05   3.50313115E-05   2.24468530E-05  
  92               8.50853569E+02   2.27845861E+03   8.37751952E-01   1.60376864E-01   8.07342769E-04   4.28251547E-04   2.69700094E-04   5.17292756E-05   3.45481637E-05   2.24293142E-05  
  93               9.12984039E+02   2.31821838E+03   8.37708902E-01   1.60371213E-01   8.02977306E-04   4.23115176E-04   3.20015749E-04   5.25221947E-05   3.40972131E-05   2.24114596E-05  
  94               9.85649732E+02   2.36227734E+03   8.37648955E-01   1.60364538E-01   8.03018149E-04   4.17114118E-04   3.84017956E-04   5.34263594E-05   3.35807327E-05   2.23958954E-05  
  95               1.07039825E+03   2.41005526E+03   8.37580522E-01   1.60356833E-01   7.98760324E-04   4.11507312E-04   4.63915349E-04   5.44797895E-05   3.29787913E-05   2.23674912E-05  
  96               1.13986052E+03   2.44710630E+03   8.37489626E-01   1.60344564E-01   7.95700824E-04   4.07326388E-04   5.34157472E-04   5.53169936E-05   3.24958373E-05   2.23419621E-05  
  97               1.19244937E+03   2.47373306E+03   8.37440953E-01   1.60339750E-01   7.93744820E-04   4.04504962E-04   5.89310441E-04   5.59489914E-05   3.21333770E-05   2.23230295E-05  
  98               1.25455284E+03   2.50422050E+03   8.37380472E-01   1.60333629E-01   7.91615328E-04   4.01330627E-04   6.57714579E-04   5.66730576E-05   3.17157896E-05   2.22997783E-05  
  99               1.32755396E+03   2.53817748E+03   8.37306619E-01   1.60326385E-01   7.89555095E-04   3.98037781E-04   7.40490386E-04   5.75203560E-05   3.12280671E-05   2.22725528E-05  
  100              1.41298871E+03   2.57624946E+03   8.37215211E-01   1.60317599E-01   7.87457643E-04   3.94464469E-04   8.42357567E-04   5.84774262E-05   3.06742977E-05   2.22398663E-05  
  101              1.51257365E+03   2.61792061E+03   8.37104336E-01   1.60307230E-01   7.85599754E-04   3.90873445E-04   9.64972082E-04   5.95749111E-05   3.00399143E-05   2.22022165E-05  
