# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  13               1.07441389E-03   5.91542089E+01   8.38149547E-01   1.60478315E-01   7.57428109E-04   5.09235507E-04   4.91859941E-05   2.29816528E-05   2.30472783E-05   5.96460344E-06  
  14               1.29026738E-03   6.07786021E+01   8.38149547E-01   1.60478315E-01   7.57428110E-04   5.09235507E-04   4.91859942E-05   2.29816528E-05   2.30472783E-05   5.96460344E-06  
  15               1.54316860E-03   6.29689746E+01   8.38149547E-01   1.60478315E-01   7.57428111E-04   5.09235508E-04   4.91859942E-05   2.29816528E-05   2.30472783E-05   5.96460345E-06  
  16               1.83941757E-03   6.47725947E+01   8.38149547E-01   1.60478315E-01   7.57428111E-04   5.09235509E-04   4.91859943E-05   2.29816528E-05   2.30472784E-05   5.96460346E-06  
  17               2.18631560E-03   6.71894169E+01   8.38149547E-01   1.60478315E-01   7.57428112E-04   5.09235509E-04   4.91859943E-05   2.29816528E-05   2.30472784E-05   5.96460346E-06  
  18               2.59229338E-03   6.92609521E+01   8.38149547E-01   1.60478315E-01   7.57428113E-04   5.09235510E-04   4.91859944E-05   2.29816528E-05   2.30472784E-05   5.96460347E-06  
  19               3.06700031E-03   7.20604961E+01   8.38149547E-01   1.60478315E-01   7.57428114E-04   5.09235510E-04   4.91859944E-05   2.29816528E-05   2.30472784E-05   5.96460348E-06  
  20               3.61936048E-03   7.45392498E+01   8.38149547E-01   1.60478315E-01   7.57428115E-04   5.09235511E-04   4.91859945E-05   2.29816528E-05   2.30472785E-05   5.96460348E-06  
  21               4.25818990E-03   7.78455636E+01   8.38149547E-01   1.60478315E-01   7.57428116E-04   5.09235512E-04   4.91859946E-05   2.29816528E-05   2.30472785E-05   5.96460349E-06  
  22               4.99297774E-03   8.10307464E+01   8.38149547E-01   1.60478315E-01   7.57428117E-04   5.09235512E-04   4.91859946E-05   2.29816528E-05   2.30472785E-05   5.96460350E-06  
  23               5.83521102E-03   8.49536316E+01   8.38149547E-01   1.60478315E-01   7.57428118E-04   5.09235513E-04   4.91859947E-05   2.29816528E-05   2.30472786E-05   5.96460351E-06  
  24               6.79862613E-03   8.93045471E+01   8.38149547E-01   1.60478315E-01   7.57428119E-04   5.09235514E-04   4.91859948E-05   2.29816528E-05   2.30472786E-05   5.96460352E-06  
  25               7.90288123E-03   9.34699693E+01   8.38149547E-01   1.60478315E-01   7.57428120E-04   5.09235514E-04   4.91859948E-05   2.29816528E-05   2.30472786E-05   5.96460353E-06  
  26               9.17020843E-03   9.81312049E+01   8.38149547E-01   1.60478315E-01   7.57428121E-04   5.09235515E-04   4.91859949E-05   2.29816528E-05   2.30472786E-05   5.96460353E-06  
  27               1.06262577E-02   1.02607119E+02   8.38149125E-01   1.60478234E-01   7.57428121E-04   5.09235515E-04   4.91859949E-05   2.29816413E-05   2.30472787E-05   5.96460354E-06  
  28               1.23008113E-02   1.07643062E+02   8.38147949E-01   1.60478009E-01   7.57428503E-04   5.09235772E-04   4.91860197E-05   2.29816090E-05   2.30472903E-05   5.96460654E-06  
  29               1.42289441E-02   1.12490939E+02   8.38142681E-01   1.60477001E-01   7.57429949E-04   5.09236744E-04   4.91861136E-05   2.29814646E-05   2.30473343E-05   5.96461792E-06  
  30               1.64510244E-02   1.17966696E+02   8.38126819E-01   1.60473964E-01   7.57435934E-04   5.09240768E-04   4.91865023E-05   2.29810297E-05   2.30475164E-05   5.96466506E-06  
  31               1.90130497E-02   1.23283287E+02   8.38079146E-01   1.60464836E-01   7.57455460E-04   5.09253896E-04   4.91877703E-05   2.29797225E-05   2.30481105E-05   5.96481883E-06  
  32               2.19672380E-02   1.29410981E+02   8.38149415E-01   1.60478290E-01   7.57516243E-04   5.09294761E-04   4.91917174E-05   2.29816492E-05   2.30499600E-05   5.96529747E-06  
  33               2.53738628E-02   1.35280054E+02   8.38149438E-01   1.60478294E-01   7.57500868E-04   5.09284424E-04   4.91907190E-05   2.29816499E-05   2.30494922E-05   5.96517640E-06  
  34               2.93024319E-02   1.42084512E+02   8.38149507E-01   1.60478308E-01   7.57453999E-04   5.09252913E-04   4.91876754E-05   2.29816518E-05   2.30480661E-05   5.96480732E-06  
  35               3.38335281E-02   1.48555259E+02   8.38149403E-01   1.60478288E-01   7.57520919E-04   5.09297905E-04   4.91920210E-05   2.29816489E-05   2.30501023E-05   5.96533430E-06  
  36               3.90607627E-02   1.56030281E+02   8.38149386E-01   1.60478284E-01   7.57520299E-04   5.09297488E-04   4.91919808E-05   2.29816484E-05   2.30500835E-05   5.96532941E-06  
  37               4.50922493E-02   1.63104927E+02   8.38149284E-01   1.60478265E-01   7.57521013E-04   5.09297969E-04   4.91920272E-05   2.29816456E-05   2.30501052E-05   5.96533504E-06  
  38               5.20525308E-02   1.71285239E+02   8.38148934E-01   1.60478198E-01   7.57521131E-04   5.09298048E-04   4.91920348E-05   2.29816360E-05   2.30501088E-05   5.96533597E-06  
  39               6.00825610E-02   1.79035731E+02   8.38147270E-01   1.60477879E-01   7.57521542E-04   5.09298324E-04   4.91920615E-05   2.29815904E-05   2.30501213E-05   5.96533920E-06  
  40               6.93418141E-02   1.87947090E+02   8.38142424E-01   1.60476951E-01   7.57523415E-04   5.09299583E-04   4.91921831E-05   2.29814576E-05   2.30501783E-05   5.96535395E-06  
  41               8.00088713E-02   1.96380711E+02   8.38122833E-01   1.60473200E-01   7.57529322E-04   5.09303555E-04   4.91925667E-05   2.29809204E-05   2.30503580E-05   5.96540047E-06  
  42               9.22834956E-02   2.05974962E+02   8.38074092E-01   1.60463868E-01   7.57552279E-04   5.09318989E-04   4.91940575E-05   2.29795839E-05   2.30510566E-05   5.96558125E-06  
  43               1.06393607E-01   2.15079113E+02   8.37605049E-01   1.60374061E-01   7.57613944E-04   5.09360448E-04   4.91980619E-05   2.29667230E-05   2.30529329E-05   5.96606685E-06  
  44               1.22599301E-01   2.25345007E+02   8.38148556E-01   1.60478125E-01   7.58092719E-04   5.09682339E-04   4.92291527E-05   2.29816257E-05   2.30675013E-05   5.96983712E-06  
  45               1.41203676E-01   2.35149946E+02   8.38148650E-01   1.60478143E-01   7.58029974E-04   5.09640154E-04   4.92250781E-05   2.29816283E-05   2.30655920E-05   5.96934301E-06  
  46               1.62560774E-01   2.46126173E+02   8.38149230E-01   1.60478255E-01   7.57640316E-04   5.09378178E-04   4.91997745E-05   2.29816442E-05   2.30537354E-05   5.96627453E-06  
  47               1.87084613E-01   2.56695837E+02   8.38148519E-01   1.60478118E-01   7.58117750E-04   5.09699168E-04   4.92307782E-05   2.29816247E-05   2.30682629E-05   5.97003423E-06  
  48               2.15266209E-01   2.68460767E+02   8.38148525E-01   1.60478120E-01   7.58113532E-04   5.09696332E-04   4.92305043E-05   2.29816248E-05   2.30681346E-05   5.97000102E-06  
  49               2.47634616E-01   2.79879232E+02   8.38148518E-01   1.60478118E-01   7.58118144E-04   5.09699433E-04   4.92308037E-05   2.29816246E-05   2.30682749E-05   5.97003733E-06  
  50               2.84780522E-01   2.92497480E+02   8.38148518E-01   1.60478118E-01   7.58118113E-04   5.09699412E-04   4.92308017E-05   2.29816247E-05   2.30682740E-05   5.97003709E-06  
  51               3.27407152E-01   3.04822880E+02   8.38148518E-01   1.60478118E-01   7.58118152E-04   5.09699438E-04   4.92308042E-05   2.29816246E-05   2.30682751E-05   5.97003739E-06  
  52               3.76289174E-01   3.18375138E+02   8.38148518E-01   1.60478118E-01   7.58118156E-04   5.09699440E-04   4.92308045E-05   2.29816246E-05   2.30682753E-05   5.97003742E-06  
  53               4.32284230E-01   3.31666686E+02   8.38148518E-01   1.60478118E-01   7.58118160E-04   5.09699443E-04   4.92308048E-05   2.29816246E-05   2.30682754E-05   5.97003746E-06  
  54               4.96367290E-01   3.46207276E+02   8.38148518E-01   1.60478118E-01   7.58118164E-04   5.09699446E-04   4.92308051E-05   2.29816246E-05   2.30682755E-05   5.97003749E-06  
  55               5.69654855E-01   3.60510713E+02   8.38148510E-01   1.60478116E-01   7.58118170E-04   5.09699450E-04   4.92308054E-05   2.29816244E-05   2.30682757E-05   5.97003754E-06  
  56               6.53430698E-01   3.76119262E+02   8.38148511E-01   1.60478116E-01   7.58118170E-04   5.09699450E-04   4.92308054E-05   2.29816243E-05   2.30682757E-05   5.97003754E-06  
  57               7.49107820E-01   3.91507483E+02   8.38148511E-01   1.60478115E-01   7.58118195E-04   5.09699467E-04   4.92308071E-05   2.29816242E-05   2.30682765E-05   5.97003774E-06  
  58               8.58230261E-01   4.08253797E+02   8.38148079E-01   1.60478032E-01   7.58118197E-04   5.09699468E-04   4.92308072E-05   2.29816123E-05   2.30682765E-05   5.97003775E-06  
  59               9.82535854E-01   4.24762196E+02   8.38148122E-01   1.60477990E-01   7.58117915E-04   5.09699278E-04   4.92307888E-05   2.29816062E-05   2.30682679E-05   5.97003553E-06  
  60               1.12400906E+00   4.42697252E+02   8.38148121E-01   1.60477987E-01   7.58117556E-04   5.09699038E-04   4.92307656E-05   2.29816058E-05   2.30682570E-05   5.97003271E-06  
  61               1.28484588E+00   4.60375480E+02   8.38148043E-01   1.60477969E-01   7.58126407E-04   5.09704988E-04   4.92313403E-05   2.29816032E-05   2.30685263E-05   5.97010241E-06  
  62               1.46741628E+00   4.79549664E+02   8.38147667E-01   1.60477945E-01   7.58126684E-04   5.09705174E-04   4.92313583E-05   2.29815998E-05   2.30685347E-05   5.97010458E-06  
  63               1.67427198E+00   4.98413488E+02   8.38147429E-01   1.60478181E-01   7.58127859E-04   5.09705964E-04   4.92314346E-05   2.29816336E-05   2.30685705E-05   5.97011383E-06  
  64               1.90835339E+00   5.18835696E+02   8.38144826E-01   1.60477633E-01   7.58127811E-04   5.09705932E-04   4.92314315E-05   2.29815552E-05   2.30685690E-05   5.97011346E-06  
  65               2.17334481E+00   5.38934886E+02   8.38145144E-01   1.60477310E-01   7.58130444E-04   5.09707702E-04   4.92316025E-05   2.29815089E-05   2.30686492E-05   5.97013419E-06  
  66               2.47320310E+00   5.60715975E+02   8.38145276E-01   1.60477182E-01   7.58127828E-04   5.09705943E-04   4.92314326E-05   2.29814906E-05   2.30685696E-05   5.97011359E-06  
  67               2.81205660E+00   5.82142952E+02   8.38145388E-01   1.60476968E-01   7.58185742E-04   5.09744880E-04   4.92351934E-05   2.29814599E-05   2.30703318E-05   5.97056965E-06  
  68               3.19409092E+00   6.05300768E+02   8.38145725E-01   1.60476631E-01   7.58185646E-04   5.09744816E-04   4.92351872E-05   2.29814117E-05   2.30703289E-05   5.97056890E-06  
  69               3.62358009E+00   6.27992708E+02   8.38146197E-01   1.60476161E-01   7.58184750E-04   5.09744213E-04   4.92351290E-05   2.29813443E-05   2.30703016E-05   5.97056184E-06  
  70               4.10638098E+00   6.52469328E+02   8.38146917E-01   1.60475443E-01   7.58183300E-04   5.09743238E-04   4.92350348E-05   2.29812415E-05   2.30702575E-05   5.97055042E-06  
  71               4.64921909E+00   6.76500878E+02   8.38147813E-01   1.60474550E-01   7.58181474E-04   5.09742010E-04   4.92349162E-05   2.29811136E-05   2.30702019E-05   5.97053604E-06  
  72               5.25885813E+00   7.02405274E+02   8.38149024E-01   1.60473342E-01   7.58178883E-04   5.09740269E-04   4.92347480E-05   2.29809407E-05   2.30701231E-05   5.97051564E-06  
  73               5.94209102E+00   7.27807815E+02   8.38150345E-01   1.60472021E-01   7.58176013E-04   5.09738339E-04   4.92345616E-05   2.29807515E-05   2.30700357E-05   5.97049304E-06  
  74               6.70584896E+00   7.55048392E+02   8.38151913E-01   1.60470446E-01   7.58172416E-04   5.09735921E-04   4.92343281E-05   2.29805259E-05   2.30699263E-05   5.97046471E-06  
  75               7.55818772E+00   7.81725442E+02   8.38153398E-01   1.60468903E-01   7.58168980E-04   5.09733611E-04   4.92341050E-05   2.29803048E-05   2.30698218E-05   5.97043766E-06  
  76               8.51189368E+00   8.10326371E+02   8.38154917E-01   1.60467214E-01   7.58165265E-04   5.09731113E-04   4.92338637E-05   2.29800628E-05   2.30697087E-05   5.97040840E-06  
  77               9.58002400E+00   8.38540097E+02   8.38156204E-01   1.60465669E-01   7.58162359E-04   5.09729159E-04   4.92336750E-05   2.29798410E-05   2.30696203E-05   5.97038553E-06  
  78               1.07750413E+01   8.68686306E+02   8.38157719E-01   1.60464143E-01   7.58163373E-04   5.09729841E-04   4.92337408E-05   2.29796217E-05   2.30696511E-05   5.97039359E-06  
  79               1.21083742E+01   8.98439694E+02   8.38159013E-01   1.60462826E-01   7.58165209E-04   5.09731076E-04   4.92338601E-05   2.29845308E-05   2.30697070E-05   5.97040844E-06  
  80               1.35901781E+01   9.29908241E+02   8.38160243E-01   1.60461549E-01   7.58162252E-04   5.09729087E-04   4.92336680E-05   2.29967561E-05   2.30696170E-05   5.97038700E-06  
  81               1.52314957E+01   9.60850580E+02   8.38161193E-01   1.60460469E-01   7.58160041E-04   5.09727601E-04   4.92335244E-05   2.30264575E-05   2.30695497E-05   5.97037834E-06  
  82               1.70515054E+01   9.93473482E+02   8.38161925E-01   1.60459415E-01   7.58158623E-04   5.09726648E-04   4.92334324E-05   2.31028476E-05   2.30695066E-05   5.97040499E-06  
  83               1.90697267E+01   1.02572617E+03   8.38162120E-01   1.60458472E-01   7.58159293E-04   5.09727098E-04   4.92334759E-05   2.32765548E-05   2.30695270E-05   5.97056621E-06  
  84               2.13043616E+01   1.05958398E+03   8.38161680E-01   1.60457492E-01   7.58165188E-04   5.09731061E-04   4.92338587E-05   2.36782434E-05   2.30697064E-05   5.97120275E-06  
  85               2.37718051E+01   1.09300911E+03   8.38161238E-01   1.60456688E-01   7.58181566E-04   5.09742071E-04   4.92349223E-05   2.42851086E-05   2.30702048E-05   5.97346804E-06  
  86               2.64890632E+01   1.12788378E+03   8.38161932E-01   1.60455982E-01   7.58179388E-04   5.09740599E-04   4.92347816E-05   2.42849094E-05   2.30701388E-05   5.98059350E-06  
  87               2.94763482E+01   1.16228740E+03   8.38162564E-01   1.60455318E-01   7.58177235E-04   5.09739107E-04   4.92346456E-05   2.42846698E-05   2.30700751E-05   6.00310752E-06  
  88               3.27635647E+01   1.19812605E+03   8.38163230E-01   1.60454570E-01   7.58174760E-04   5.09737224E-04   4.92345039E-05   2.42843381E-05   2.30700087E-05   6.06818243E-06  
  89               3.63885914E+01   1.23372356E+03   8.38163845E-01   1.60453750E-01   7.58172072E-04   5.09734399E-04   4.92344191E-05   2.42838965E-05   2.30699689E-05   6.24289376E-06  
  90               4.03852941E+01   1.27071634E+03   8.38164424E-01   1.60452696E-01   7.58166715E-04   5.09726500E-04   4.92344558E-05   2.42832603E-05   2.30699859E-05   6.67058160E-06  
  91               4.47826047E+01   1.30761260E+03   8.38164756E-01   1.60451374E-01   7.58148606E-04   5.09697328E-04   4.92348313E-05   2.42823882E-05   2.30701610E-05   7.61093708E-06  
  92               4.96049012E+01   1.34556542E+03   8.38164762E-01   1.60449587E-01   7.58076142E-04   5.09588341E-04   4.92357753E-05   2.42811509E-05   2.30706003E-05   9.41891862E-06  
  93               5.48718479E+01   1.38341750E+03   8.38164452E-01   1.60447335E-01   7.57813369E-04   5.09220462E-04   4.92373485E-05   2.42794798E-05   2.30713268E-05   1.23771688E-05  
  94               6.06155161E+01   1.42194251E+03   8.38164453E-01   1.60444569E-01   7.57017829E-04   5.08166724E-04   4.92392647E-05   2.42771905E-05   2.30721902E-05   1.66383575E-05  
  95               6.68986163E+01   1.46073084E+03   8.38165973E-01   1.60441500E-01   7.55010840E-04   5.05652151E-04   4.92405687E-05   2.42740859E-05   2.30726976E-05   2.21812926E-05  
  96               7.37948541E+01   1.50024015E+03   8.38170451E-01   1.60438288E-01   7.50887499E-04   5.00796424E-04   4.92408619E-05   2.42696635E-05   2.30725438E-05   2.91042591E-05  
  97               8.13619968E+01   1.54028720E+03   8.38178118E-01   1.60434984E-01   7.44169799E-04   4.93364374E-04   4.92401814E-05   2.42628808E-05   2.30714668E-05   3.73964160E-05  
  98               8.96335974E+01   1.58097669E+03   8.38188571E-01   1.60431535E-01   7.35434559E-04   4.83876434E-04   4.92405472E-05   2.42368120E-05   2.30698472E-05   4.71131156E-05  
  99               9.86149705E+01   1.62179392E+03   8.38199069E-01   1.60427452E-01   7.24925680E-04   4.73033564E-04   4.92385381E-05   2.42296602E-05   2.30652418E-05   5.79488721E-05  
  100              1.08255349E+02   1.66262917E+03   8.38210330E-01   1.60423296E-01   7.15005707E-04   4.61019824E-04   4.92620179E-05   2.41331038E-05   2.30701791E-05   6.99256938E-05  
  101              1.18516656E+02   1.70285936E+03   8.38130290E-01   1.60401231E-01   7.02888112E-04   4.48566676E-04   4.92571593E-05   2.41192356E-05   2.30566838E-05   8.22635175E-05  
