# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                H2S             
  44               3.26834414E-01   2.82165653E+02   8.38118851E-01   1.60472445E-01   7.74644662E-04   5.25075719E-04   4.09126196E-05   3.97010407E-05   2.68762488E-38   2.29845090E-05  
  45               3.96872981E-01   2.93955819E+02   8.38118850E-01   1.60472445E-01   7.74645046E-04   5.25075979E-04   4.09126399E-05   3.97010604E-05   1.01199957E-36   2.29845090E-05  
  46               4.81845473E-01   3.05428395E+02   8.38118850E-01   1.60472445E-01   7.74645467E-04   5.25076264E-04   4.09126621E-05   3.97010820E-05   2.61834167E-35   2.29845089E-05  
  47               5.84855103E-01   3.19006826E+02   8.38118849E-01   1.60472445E-01   7.74645928E-04   5.25076576E-04   4.09126864E-05   3.97011056E-05   9.19066073E-34   2.29845089E-05  
  48               7.09574485E-01   3.32489515E+02   8.38118848E-01   1.60472444E-01   7.74646433E-04   5.25076919E-04   4.09127131E-05   3.97011315E-05   2.34341857E-32   2.29845089E-05  
  49               8.60347325E-01   3.48402905E+02   8.38118847E-01   1.60472444E-01   7.74646986E-04   5.25077294E-04   4.09127423E-05   3.97011598E-05   7.83497591E-31   2.29845088E-05  
  50               1.04242860E+00   3.64889700E+02   8.38118738E-01   1.60472423E-01   7.74647602E-04   5.25077711E-04   4.09127748E-05   3.97011914E-05   2.14497749E-29   2.29845059E-05  
  51               1.26204368E+00   3.84707825E+02   8.38118748E-01   1.60472413E-01   7.74648101E-04   5.25078050E-04   4.09128012E-05   3.97012170E-05   7.95947437E-28   2.29845044E-05  
  52               1.52602614E+00   4.06794128E+02   8.38118744E-01   1.60472412E-01   7.74650648E-04   5.25079776E-04   4.09129357E-05   3.97013475E-05   2.95801636E-26   2.29845042E-05  
  53               1.84200937E+00   4.30979422E+02   8.38118743E-01   1.60472411E-01   7.74651488E-04   5.25080345E-04   4.09129801E-05   3.97013905E-05   1.01440728E-24   2.29845041E-05  
  54               2.21960627E+00   4.55215059E+02   8.38118689E-01   1.60472400E-01   7.74652428E-04   5.25080982E-04   4.09130297E-05   3.97014387E-05   2.38803681E-23   2.29845024E-05  
  55               2.66985777E+00   4.81727577E+02   8.38115321E-01   1.60471798E-01   7.74653650E-04   5.25081811E-04   4.09130943E-05   3.97015013E-05   5.26209847E-22   2.29844163E-05  
  56               3.20479117E+00   5.08199486E+02   8.38115352E-01   1.60471773E-01   7.74650410E-04   5.25079615E-04   4.09129232E-05   3.97013353E-05   8.30875344E-21   2.29844127E-05  
  57               3.83803231E+00   5.37054425E+02   8.38115269E-01   1.60471724E-01   7.74724021E-04   5.25129510E-04   4.09168109E-05   3.97051079E-05   1.23531368E-19   2.29844057E-05  
  58               4.58772389E+00   5.65823735E+02   8.38115322E-01   1.60471669E-01   7.74725919E-04   5.25130797E-04   4.09169111E-05   3.97052052E-05   1.37627839E-18   2.29843978E-05  
  59               5.47351783E+00   5.97228611E+02   8.38115439E-01   1.60471549E-01   7.74727262E-04   5.25131707E-04   4.09169821E-05   3.97052740E-05   1.46890290E-17   2.29843807E-05  
