# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  74               5.33303041E+01   1.90933240E+03   8.38362703E-01   1.60282721E-01   4.92247470E-04   1.15621532E-04   4.14192552E-04   1.06103962E-04   5.69062956E-05   2.12278097E-05  
  75               5.65346516E+01   1.93851790E+03   8.38352284E-01   1.60278666E-01   4.85062991E-04   1.08279966E-04   4.21437776E-04   1.27755566E-04   5.68678120E-05   2.12072585E-05  
  76               6.00782886E+01   1.96901879E+03   8.38336966E-01   1.60274400E-01   4.78297182E-04   1.01408232E-04   4.28192759E-04   1.54096456E-04   5.68228027E-05   2.11855121E-05  
  77               6.39858062E+01   2.00127492E+03   8.38304520E-01   1.60267611E-01   4.71794017E-04   9.47908341E-05   4.34669130E-04   1.86669706E-04   5.67732145E-05   2.11606888E-05  
  78               6.71818686E+01   2.02619878E+03   8.38283914E-01   1.60263892E-01   4.67311739E-04   9.02132263E-05   4.39138487E-04   2.15445840E-04   5.67377817E-05   2.11411497E-05  
  79               6.96261583E+01   2.04494543E+03   8.38266041E-01   1.60260951E-01   4.64111147E-04   8.69312134E-05   4.42335679E-04   2.39451360E-04   5.66938892E-05   2.11252906E-05  
  80               7.23953451E+01   2.06513270E+03   8.38244293E-01   1.60257707E-01   4.60972500E-04   8.37146831E-05   4.45455778E-04   2.67570014E-04   5.66482367E-05   2.11080234E-05  
  81               7.55240395E+01   2.08759048E+03   8.38216954E-01   1.60253891E-01   4.57646202E-04   8.02885328E-05   4.48770136E-04   3.02027793E-04   5.65970355E-05   2.10872425E-05  
  82               7.90428220E+01   2.11149830E+03   8.38183960E-01   1.60249652E-01   4.54478242E-04   7.70059146E-05   4.51927110E-04   3.42391194E-04   5.65367534E-05   2.10645255E-05  
  83               8.29840375E+01   2.13769139E+03   8.38112378E-01   1.60238825E-01   4.51195941E-04   7.35993098E-05   4.55169094E-04   3.91588344E-04   5.64675445E-05   2.10365977E-05  
  84               8.59247214E+01   2.15621997E+03   8.38080079E-01   1.60235169E-01   4.49139738E-04   7.14262909E-05   4.57234607E-04   4.29547830E-04   5.64278061E-05   2.10168248E-05  
  85               8.80610785E+01   2.16974256E+03   8.38054781E-01   1.60232321E-01   4.47625743E-04   6.98497187E-05   4.58730372E-04   4.59208938E-04   5.63858017E-05   2.10011192E-05  
  86               9.05185495E+01   2.18448940E+03   8.38025471E-01   1.60229140E-01   4.46144847E-04   6.82975035E-05   4.60190573E-04   4.93169527E-04   5.63424073E-05   2.09840614E-05  
  87               9.33367526E+01   2.20147345E+03   8.37989275E-01   1.60225263E-01   4.44440548E-04   6.65093021E-05   4.61870273E-04   5.34939232E-04   5.62945763E-05   2.09628919E-05  
  88               9.65584575E+01   2.21988813E+03   8.37947144E-01   1.60220898E-01   4.42792300E-04   6.47657195E-05   4.63490394E-04   5.83071201E-04   5.62375909E-05   2.09396186E-05  
  89               1.00229677E+02   2.24074093E+03   8.37895422E-01   1.60215620E-01   4.40964472E-04   6.28265702E-05   4.65285116E-04   6.41886953E-04   5.61741484E-05   2.09112283E-05  
  90               1.04399842E+02   2.26315231E+03   8.37835154E-01   1.60209645E-01   4.39234675E-04   6.09699986E-05   4.66977443E-04   7.09843927E-04   5.60996451E-05   2.08798543E-05  
  91               1.09122156E+02   2.28808270E+03   8.37761798E-01   1.60202484E-01   4.37395094E-04   5.89832064E-05   4.68773544E-04   7.92186498E-04   5.60167260E-05   2.08422911E-05  
  92               1.14453788E+02   2.31466360E+03   8.37674295E-01   1.60193948E-01   4.35691741E-04   5.71124838E-05   4.70426308E-04   8.87546395E-04   5.59205718E-05   2.08005500E-05  
  93               1.20455915E+02   2.34374033E+03   8.37564016E-01   1.60183942E-01   4.39194124E-04   5.45962030E-05   4.72725090E-04   1.00205620E-03   5.58200616E-05   2.07760069E-05  
  94               1.27195801E+02   2.37449935E+03   8.37443851E-01   1.60172841E-01   4.37754256E-04   5.28155393E-05   4.74225639E-04   1.13471095E-03   5.56985876E-05   2.07218284E-05  
  95               1.34747093E+02   2.40762322E+03   8.37300636E-01   1.60159755E-01   4.36361479E-04   5.10511585E-05   4.75668579E-04   1.29235664E-03   5.55635008E-05   2.06591903E-05  
  96               1.43189700E+02   2.44244300E+03   8.37134303E-01   1.60144744E-01   4.35159115E-04   4.94471765E-05   4.76907537E-04   1.47485378E-03   5.54110102E-05   2.05896374E-05  
  97               1.52612497E+02   2.47936224E+03   8.36938832E-01   1.60127253E-01   4.34082301E-04   4.79309242E-05   4.78007075E-04   1.68884710E-03   5.52414511E-05   2.05110122E-05  
  98               1.63112369E+02   2.51799916E+03   8.36712407E-01   1.60107158E-01   4.33205099E-04   4.65718398E-05   4.78892848E-04   1.93620024E-03   5.50521258E-05   2.04240555E-05  
  99               1.74804472E+02   2.55834627E+03   8.36450818E-01   1.60084094E-01   4.32535557E-04   4.53689176E-05   4.79558075E-04   2.22147863E-03   5.48414661E-05   2.03282872E-05  
  100              1.87819163E+02   2.60055492E+03   8.36147962E-01   1.60057521E-01   4.32060697E-04   4.42972244E-05   4.80017779E-04   2.55133855E-03   5.46082760E-05   2.02226017E-05  
  101              2.02308400E+02   2.64394713E+03   8.35805301E-01   1.60027615E-01   4.31887782E-04   4.34542307E-05   4.80168795E-04   2.92403192E-03   5.43482085E-05   2.01097544E-05  
