# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               NH3              H2S             
  65               1.04567886E+01   8.47238258E+02   8.38153042E-01   1.60465159E-01   7.60343816E-04   5.11777701E-04   4.87648924E-05   5.13901726E-06   2.38113506E-05   2.29808066E-05  
  66               1.18138443E+01   8.78369518E+02   8.38154544E-01   1.60463644E-01   7.60344731E-04   5.11778318E-04   4.87649511E-05   5.13902360E-06   2.38113793E-05   2.29805886E-05  
  67               1.33316388E+01   9.10163995E+02   8.38155901E-01   1.60462256E-01   7.60345829E-04   5.11779057E-04   4.87650215E-05   5.13903182E-06   2.38114136E-05   2.29873116E-05  
  68               1.50215604E+01   9.42673815E+02   8.38157091E-01   1.60460994E-01   7.60343139E-04   5.11777246E-04   4.87648490E-05   5.13901771E-06   2.38113294E-05   2.30045672E-05  
  69               1.69036739E+01   9.75773669E+02   8.38158031E-01   1.60459854E-01   7.60341216E-04   5.11775951E-04   4.87647256E-05   5.13902409E-06   2.38112692E-05   2.30496486E-05  
  70               1.90005489E+01   1.00967783E+03   8.38158595E-01   1.60458794E-01   7.60340962E-04   5.11775781E-04   4.87647094E-05   5.13910747E-06   2.38112612E-05   2.31636850E-05  
  71               2.13331279E+01   1.04418576E+03   8.38158266E-01   1.60457726E-01   7.60344389E-04   5.11778087E-04   4.87649291E-05   5.13947974E-06   2.38113685E-05   2.34345212E-05  
  72               2.39202180E+01   1.07940251E+03   8.38157478E-01   1.60456778E-01   7.60364439E-04   5.11791582E-04   4.87662151E-05   5.14095713E-06   2.38119965E-05   2.42851510E-05  
  73               2.67802275E+01   1.11505997E+03   8.38158207E-01   1.60456040E-01   7.60362355E-04   5.11790175E-04   4.87660818E-05   5.14577249E-06   2.38119314E-05   2.42849619E-05  
  74               2.99353377E+01   1.15130480E+03   8.38158900E-01   1.60455324E-01   7.60360184E-04   5.11788689E-04   4.87659446E-05   5.16189522E-06   2.38118644E-05   2.42847292E-05  
  75               3.34220850E+01   1.18804190E+03   8.38159568E-01   1.60454591E-01   7.60358009E-04   5.11787088E-04   4.87658168E-05   5.21183396E-06   2.38118020E-05   2.42844244E-05  
  76               3.72837168E+01   1.22557298E+03   8.38160221E-01   1.60453768E-01   7.60355720E-04   5.11784857E-04   4.87657295E-05   5.35401478E-06   2.38117593E-05   2.42840022E-05  
  77               4.15584638E+01   1.26370721E+03   8.38160794E-01   1.60452779E-01   7.60351889E-04   5.11779063E-04   4.87657654E-05   5.72344162E-06   2.38117766E-05   2.42834073E-05  
  78               4.62791219E+01   1.30257672E+03   8.38161165E-01   1.60451500E-01   7.60337960E-04   5.11756014E-04   4.87660949E-05   6.57572866E-06   2.38119367E-05   2.42825581E-05  
  79               5.14728283E+01   1.34186040E+03   8.38161165E-01   1.60449818E-01   7.60275724E-04   5.11661680E-04   4.87669280E-05   8.26577716E-06   2.38123402E-05   2.42813627E-05  
  80               5.71616405E+01   1.38162935E+03   8.38160864E-01   1.60447631E-01   7.60033367E-04   5.11322000E-04   4.87683010E-05   1.11015700E-05   2.38129986E-05   2.42796950E-05  
  81               6.33849548E+01   1.42166297E+03   8.38160877E-01   1.60444977E-01   7.59251438E-04   5.10288577E-04   4.87698807E-05   1.52015427E-05   2.38137280E-05   2.42774113E-05  
