# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  62               6.91453434E+00   1.46578217E+03   8.38642445E-01   1.60325961E-01   4.00344003E-06   3.93689814E-04   3.89124792E-04   1.45423363E-04   5.89877392E-05   2.42210043E-05  
  63               8.12506423E+00   1.52263306E+03   8.38665434E-01   1.60312988E-01   7.35294497E-06   4.07586983E-04   3.78053345E-04   1.26881581E-04   5.89850803E-05   2.41376252E-05  
  64               9.56181393E+00   1.57367964E+03   8.38666702E-01   1.60303001E-01   1.20639308E-05   4.24404326E-04   3.65617980E-04   1.07764076E-04   5.89855690E-05   2.39073942E-05  
  65               1.12309840E+01   1.63202572E+03   8.38673583E-01   1.60295471E-01   2.05994246E-05   4.44610988E-04   3.60216548E-04   8.55356541E-05   5.90081614E-05   2.23516770E-05  
  66               1.30976717E+01   1.68435668E+03   8.38670401E-01   1.60289302E-01   3.19663590E-05   4.57780491E-04   3.50958276E-04   7.28859551E-05   5.90103202E-05   2.22821062E-05  
  67               1.50740694E+01   1.74391259E+03   8.38644582E-01   1.60279869E-01   5.16691949E-05   4.72552213E-04   3.48022805E-04   5.78669207E-05   5.90204996E-05   2.20012315E-05  
  68               1.69544997E+01   1.79942561E+03   8.38566804E-01   1.60266156E-01   7.87931707E-05   4.86341416E-04   3.68253797E-04   4.39244881E-05   5.90617832E-05   2.13577377E-05  
  69               1.85195806E+01   1.84098946E+03   8.38474097E-01   1.60255522E-01   1.06052284E-04   4.96195615E-04   4.10210553E-04   3.40024864E-05   5.91099941E-05   2.06318273E-05  
  70               2.02678134E+01   1.88532457E+03   8.38445175E-01   1.60250955E-01   1.43529323E-04   5.00820781E-04   4.06142306E-04   2.93533451E-05   5.91018687E-05   2.06271336E-05  
  71               2.17593744E+01   1.91975741E+03   8.38405277E-01   1.60245143E-01   1.79497496E-04   5.03678699E-04   4.03243053E-04   2.64525529E-05   5.91075836E-05   2.06201161E-05  
  72               2.29220816E+01   1.94626405E+03   8.38377831E-01   1.60241895E-01   2.12188988E-04   5.05662583E-04   4.01218671E-04   2.44229712E-05   5.90965206E-05   2.06110071E-05  
  73               2.42893961E+01   1.97496330E+03   8.38342972E-01   1.60238076E-01   2.52668166E-04   5.07471254E-04   3.99369539E-04   2.25713281E-05   5.90800314E-05   2.05988232E-05  
  74               2.58966915E+01   2.00813991E+03   8.38295112E-01   1.60233086E-01   3.07423752E-04   5.09357365E-04   3.97428165E-04   2.06205981E-05   5.90509377E-05   2.05790076E-05  
  75               2.70679028E+01   2.03037210E+03   8.38227800E-01   1.60223592E-01   3.48932010E-04   5.10405267E-04   3.96332857E-04   1.95225030E-05   5.90758457E-05   2.05627220E-05  
  76               2.78833830E+01   2.04624763E+03   8.38198701E-01   1.60220757E-01   3.81595909E-04   5.11150201E-04   3.95576770E-04   1.87391120E-05   5.90568287E-05   2.05493409E-05  
  77               2.88618266E+01   2.06373289E+03   8.38164332E-01   1.60217460E-01   4.19965941E-04   5.11851134E-04   3.94840088E-04   1.80035197E-05   5.90362866E-05   2.05337693E-05  
  78               3.00401316E+01   2.08516861E+03   8.38117884E-01   1.60213045E-01   4.71640333E-04   5.12700388E-04   3.93980945E-04   1.71066586E-05   5.90131270E-05   2.05115885E-05  
  79               3.14534404E+01   2.10898025E+03   8.38061223E-01   1.60207765E-01   5.34411265E-04   5.13495287E-04   3.93131405E-04   1.62564910E-05   5.89857662E-05   2.04844893E-05  
  80               3.31381667E+01   2.13715493E+03   8.37985871E-01   1.60200815E-01   6.17651481E-04   5.14381898E-04   3.92175731E-04   1.52998592E-05   5.89536284E-05   2.04471417E-05  
  81               3.51337918E+01   2.16811762E+03   8.37892750E-01   1.60192353E-01   7.20101723E-04   5.15187859E-04   3.91288814E-04   1.44101152E-05   5.89139588E-05   2.04013690E-05  
  82               3.74833876E+01   2.20352526E+03   8.37770889E-01   1.60181373E-01   8.53852058E-04   5.16015415E-04   3.90361500E-04   1.34789171E-05   5.88672723E-05   2.03408381E-05  
  83               4.02336037E+01   2.24189613E+03   8.37619690E-01   1.60167885E-01   1.01935595E-03   5.16733230E-04   3.89526906E-04   1.26364729E-05   5.88102987E-05   2.02670670E-05  
  84               4.34357813E+01   2.28444651E+03   8.37423428E-01   1.60150279E-01   1.23166473E-03   5.17404687E-04   3.88713121E-04   1.18114255E-05   5.87436297E-05   2.01735110E-05  
  85               4.71452480E+01   2.32991806E+03   8.37175058E-01   1.60128881E-01   1.49396240E-03   5.18125330E-04   3.93884903E-04   1.09235735E-05   5.86687018E-05   2.00936503E-05  
  86               5.14250970E+01   2.37902756E+03   8.36872398E-01   1.60102306E-01   1.82363546E-03   5.18569640E-04   3.93413542E-04   1.02603010E-05   5.85770365E-05   1.99576194E-05  
