# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  85               2.53021125E+02   1.19774311E+03   8.38083431E-01   1.60461270E-01   7.80598340E-04   5.30947293E-04   9.41553411E-05   2.42857293E-05   1.36874192E-05   0.00000000E+00  
  86               2.85860302E+02   1.23977091E+03   8.38083826E-01   1.60460843E-01   7.80596857E-04   5.30946221E-04   9.41551587E-05   2.42855255E-05   1.36873932E-05   0.00000000E+00  
  87               3.22722351E+02   1.28248845E+03   8.38084175E-01   1.60460438E-01   7.80595599E-04   5.30945027E-04   9.41549904E-05   2.42852489E-05   1.36873714E-05   0.00000000E+00  
  88               3.64102353E+02   1.32641993E+03   8.38084476E-01   1.60460044E-01   7.80594842E-04   5.30942927E-04   9.41548332E-05   2.42848592E-05   1.36873611E-05   0.00000000E+00  
  89               4.10390775E+02   1.37091587E+03   8.38084696E-01   1.60459677E-01   7.80595419E-04   5.30936771E-04   9.41546852E-05   2.42843167E-05   1.36873932E-05   0.00000000E+00  
  90               4.61970361E+02   1.41640468E+03   8.38084833E-01   1.60459322E-01   7.80598305E-04   5.30916067E-04   9.41544917E-05   2.42835480E-05   1.36875749E-05   0.00000000E+00  
  91               5.19335165E+02   1.46222868E+03   8.38084864E-01   1.60458995E-01   7.80601628E-04   5.30855956E-04   9.41540584E-05   2.42824746E-05   1.36882590E-05   0.00000000E+00  
  92               5.81570286E+02   1.50796987E+03   8.38084798E-01   1.60458685E-01   7.80593226E-04   5.30727994E-04   9.41528132E-05   2.42809649E-05   1.36904127E-05   0.00000000E+00  
  93               6.50571739E+02   1.55402296E+03   8.38084585E-01   1.60458395E-01   7.80554960E-04   5.30524564E-04   9.41492752E-05   2.42787533E-05   1.36964084E-05   0.00000000E+00  
  94               7.28335839E+02   1.60188690E+03   8.38084135E-01   1.60458087E-01   7.80482267E-04   5.30244356E-04   9.41398937E-05   2.42751352E-05   1.37113163E-05   0.00000000E+00  
  95               8.17128698E+02   1.65140013E+03   8.38065898E-01   1.60454433E-01   7.80531530E-04   5.29873114E-04   9.41166678E-05   2.42680832E-05   1.37415076E-05   0.00000000E+00  
  96               9.19605283E+02   1.70392004E+03   8.38044353E-01   1.60454098E-01   8.01486106E-04   5.29361345E-04   9.41257926E-05   2.34227217E-05   1.37945833E-05   0.00000000E+00  
  97               1.03946617E+03   1.75922830E+03   8.38042334E-01   1.60453649E-01   8.01121537E-04   5.28766349E-04   9.41037469E-05   2.34466557E-05   1.38163123E-05   0.00000000E+00  
  98               1.18112441E+03   1.81886301E+03   8.38039127E-01   1.60453077E-01   8.00597921E-04   5.28005748E-04   9.41832111E-05   2.34675712E-05   1.37659492E-05   0.00000000E+00  
  99               1.34768212E+03   1.88142913E+03   8.38032706E-01   1.60452163E-01   8.00375565E-04   5.27086575E-04   9.44981787E-05   2.34777158E-05   1.35926470E-05   0.00000000E+00  
  100              1.54296326E+03   1.94786244E+03   8.38021668E-01   1.60450798E-01   8.00842064E-04   5.25957542E-04   9.49950376E-05   2.34778983E-05   1.33331584E-05   0.00000000E+00  
  101              1.77135724E+03   2.01670391E+03   8.37927645E-01   1.60434764E-01   8.05007842E-04   5.24584220E-04   9.57216515E-05   2.34331608E-05   1.29525175E-05   0.00000000E+00  
