# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              H2O(s)           Ar              
  49               1.75876602E+00   2.11812543E+02   8.38067795E-01   1.60462467E-01   7.78538924E-04   5.30822834E-04   1.18532103E-04   2.29801628E-05   1.20353317E-05   4.22058294E-06  
  50               2.05119326E+00   2.22198659E+02   8.38045779E-01   1.60458252E-01   7.78529377E-04   5.30816325E-04   1.18530649E-04   2.29795591E-05   3.82846829E-05   4.22047207E-06  
  51               2.38985639E+00   2.33356227E+02   8.37990297E-01   1.60447629E-01   7.78511289E-04   5.30803992E-04   1.18527894E-04   2.29780377E-05   1.04424949E-04   4.22019265E-06  
  52               2.78311174E+00   2.44577897E+02   8.37557760E-01   1.60364812E-01   7.78177753E-04   5.30576581E-04   1.18477113E-04   2.29661774E-05   6.20405203E-04   4.21801436E-06  
  53               3.24027499E+00   2.56590827E+02   8.38076943E-01   1.60464219E-01   7.79156587E-04   5.31243969E-04   1.18626139E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  54               3.77175315E+00   2.68784861E+02   8.38076943E-01   1.60464219E-01   7.79156625E-04   5.31243995E-04   1.18626144E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  55               4.38947147E+00   2.81750971E+02   8.38076943E-01   1.60464219E-01   7.79156623E-04   5.31243994E-04   1.18626143E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  56               5.10515210E+00   2.94965849E+02   8.38076943E-01   1.60464219E-01   7.79156621E-04   5.31243992E-04   1.18626142E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  57               5.93182860E+00   3.08873405E+02   8.38076943E-01   1.60464219E-01   7.79156619E-04   5.31243991E-04   1.18626141E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  58               6.88315055E+00   3.23054843E+02   8.38076943E-01   1.60464219E-01   7.79156617E-04   5.31243989E-04   1.18626140E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  59               7.97442005E+00   3.37855013E+02   8.38076943E-01   1.60464219E-01   7.79156614E-04   5.31243987E-04   1.18626138E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  60               9.22562876E+00   3.52990468E+02   8.38076943E-01   1.60464219E-01   7.79156616E-04   5.31243988E-04   1.18626137E-04   2.29804136E-05   0.00000000E+00   4.22062901E-06  
  61               1.06585568E+01   3.68761952E+02   8.38076942E-01   1.60464218E-01   7.79156611E-04   5.31243985E-04   1.18626135E-04   2.29804136E-05   0.00000000E+00   4.22062900E-06  
  62               1.22948758E+01   3.84907126E+02   8.38076942E-01   1.60464218E-01   7.79156638E-04   5.31244004E-04   1.18626138E-04   2.29804135E-05   0.00000000E+00   4.22062900E-06  
  63               1.41548963E+01   4.01621775E+02   8.38076861E-01   1.60464203E-01   7.79156561E-04   5.31243951E-04   1.18626125E-04   2.29804113E-05   0.00000000E+00   4.22062860E-06  
  64               1.62600072E+01   4.18649140E+02   8.38076866E-01   1.60464195E-01   7.79158259E-04   5.31245109E-04   1.18626382E-04   2.29804102E-05   0.00000000E+00   4.22062838E-06  
  65               1.86379777E+01   4.36214436E+02   8.38076866E-01   1.60464195E-01   7.79158254E-04   5.31245106E-04   1.18626379E-04   2.29804102E-05   0.00000000E+00   4.22062838E-06  
  66               2.13140864E+01   4.54072822E+02   8.38076865E-01   1.60464194E-01   7.79158250E-04   5.31245102E-04   1.18626377E-04   2.29804101E-05   0.00000000E+00   4.22062837E-06  
  67               2.43114495E+01   4.72402881E+02   8.38076845E-01   1.60464192E-01   7.79158247E-04   5.31245101E-04   1.18626374E-04   2.29804098E-05   0.00000000E+00   4.22062831E-06  
  68               2.76521883E+01   4.90930965E+02   8.38076444E-01   1.60464132E-01   7.79158271E-04   5.31245117E-04   1.18626376E-04   2.29804012E-05   0.00000000E+00   4.22062674E-06  
  69               3.13620999E+01   5.09855821E+02   8.38075640E-01   1.60464331E-01   7.79164686E-04   5.31249491E-04   1.18627350E-04   2.29804297E-05   0.00000000E+00   4.22063196E-06  
  70               3.54945165E+01   5.29042459E+02   8.38075672E-01   1.60464280E-01   7.79175358E-04   5.31256767E-04   1.18628972E-04   2.29804223E-05   0.00000000E+00   4.22063062E-06  
  71               4.01046660E+01   5.48788781E+02   8.38075672E-01   1.60464279E-01   7.79175351E-04   5.31256762E-04   1.18628969E-04   2.29804223E-05   0.00000000E+00   4.22063061E-06  
  72               4.52409622E+01   5.68865666E+02   8.38075672E-01   1.60464279E-01   7.79175321E-04   5.31256742E-04   1.18628961E-04   2.29804222E-05   0.00000000E+00   4.22063060E-06  
  73               5.09448892E+01   5.89474680E+02   8.38073171E-01   1.60463799E-01   7.79173559E-04   5.31255541E-04   1.18628690E-04   2.29803535E-05   0.00000000E+00   4.22061798E-06  
  74               5.72515615E+01   6.10317065E+02   8.38073329E-01   1.60463542E-01   7.79227310E-04   5.31292189E-04   1.18636871E-04   2.29803167E-05   0.00000000E+00   4.22061122E-06  
  75               6.41994266E+01   6.31586349E+02   8.38073331E-01   1.60463540E-01   7.79227299E-04   5.31292181E-04   1.18636866E-04   2.29803165E-05   0.00000000E+00   4.22061117E-06  
  76               7.18770130E+01   6.53144602E+02   8.38073334E-01   1.60463538E-01   7.79227285E-04   5.31292172E-04   1.18636860E-04   2.29803161E-05   0.00000000E+00   4.22061110E-06  
  77               8.03719584E+01   6.75273288E+02   8.38073338E-01   1.60463534E-01   7.79227268E-04   5.31292161E-04   1.18636854E-04   2.29803155E-05   0.00000000E+00   4.22061100E-06  
  78               8.97618514E+01   6.97756623E+02   8.38073343E-01   1.60463528E-01   7.79227250E-04   5.31292148E-04   1.18636847E-04   2.29803148E-05   0.00000000E+00   4.22061086E-06  
  79               1.00117471E+02   7.20771476E+02   8.38073349E-01   1.60463521E-01   7.79227242E-04   5.31292143E-04   1.18636842E-04   2.29803137E-05   0.00000000E+00   4.22061066E-06  
  80               1.11507069E+02   7.44091814E+02   8.38073359E-01   1.60463511E-01   7.79227221E-04   5.31292128E-04   1.18636834E-04   2.29803123E-05   0.00000000E+00   4.22061041E-06  
  81               1.24002362E+02   7.67850234E+02   8.38073370E-01   1.60463498E-01   7.79227186E-04   5.31292105E-04   1.18636825E-04   2.29803104E-05   0.00000000E+00   4.22061006E-06  
  82               1.37771317E+02   7.92029877E+02   8.38073384E-01   1.60463481E-01   7.79227197E-04   5.31292112E-04   1.18636821E-04   2.29803080E-05   0.00000000E+00   4.22060962E-06  
  83               1.53036484E+02   8.16902962E+02   8.38073394E-01   1.60463459E-01   7.79227173E-04   5.31292096E-04   1.18636813E-04   2.29803047E-05   0.00000000E+00   4.22060903E-06  
  84               1.69988360E+02   8.42448764E+02   8.38073409E-01   1.60463431E-01   7.79227407E-04   5.31292255E-04   1.18636843E-04   2.29803006E-05   0.00000000E+00   4.22060829E-06  
  85               1.88781133E+02   8.68660631E+02   8.38073394E-01   1.60463390E-01   7.79227520E-04   5.31292332E-04   1.18636855E-04   2.29802946E-05   0.00000000E+00   4.22060723E-06  
  86               2.09526739E+02   8.95469780E+02   8.38073386E-01   1.60463344E-01   7.79228760E-04   5.31293178E-04   1.18637037E-04   2.29802875E-05   0.00000000E+00   4.22060600E-06  
  87               2.32289892E+02   9.22640050E+02   8.38073305E-01   1.60463276E-01   7.79229600E-04   5.31293750E-04   1.18637159E-04   2.29802772E-05   0.00000000E+00   4.22060421E-06  
  88               2.57106882E+02   9.50186429E+02   8.38073145E-01   1.60463184E-01   7.79232791E-04   5.31295926E-04   1.18637638E-04   2.29802630E-05   0.00000000E+00   4.22060181E-06  
  89               2.84214149E+02   9.77945054E+02   8.38073182E-01   1.60463124E-01   7.79237296E-04   5.31298998E-04   1.18638317E-04   2.29802525E-05   0.00000000E+00   4.22060022E-06  
  90               3.13896724E+02   1.00627710E+03   8.38073221E-01   1.60463056E-01   7.79237302E-04   5.31299002E-04   1.18638311E-04   2.29883778E-05   0.00000000E+00   4.22059844E-06  
  91               3.46392710E+02   1.03489557E+03   8.38073240E-01   1.60462980E-01   7.79237465E-04   5.31299113E-04   1.18638328E-04   2.30034505E-05   0.00000000E+00   4.22059643E-06  
  92               3.81907590E+02   1.06408928E+03   8.38073218E-01   1.60462890E-01   7.79237963E-04   5.31299453E-04   1.18638395E-04   2.30325494E-05   0.00000000E+00   4.22059407E-06  
  93               4.20627606E+02   1.09344825E+03   8.38073111E-01   1.60462785E-01   7.79239096E-04   5.31300225E-04   1.18638559E-04   2.30871772E-05   0.00000000E+00   4.22059132E-06  
  94               4.62734684E+02   1.12330322E+03   8.38072857E-01   1.60462656E-01   7.79241396E-04   5.31301793E-04   1.18638900E-04   2.31882528E-05   0.00000000E+00   4.22058790E-06  
  95               5.08411708E+02   1.15321011E+03   8.38072356E-01   1.60462493E-01   7.79245645E-04   5.31304690E-04   1.18639537E-04   2.33661193E-05   0.00000000E+00   4.22058362E-06  
  96               5.56905183E+02   1.18296106E+03   8.38071356E-01   1.60462258E-01   7.79253001E-04   5.31309705E-04   1.18640647E-04   2.36657252E-05   0.00000000E+00   4.22057744E-06  
  97               6.09081858E+02   1.21260246E+03   8.38070271E-01   1.60462073E-01   7.79267765E-04   5.31319769E-04   1.18642885E-04   2.42858945E-05   0.00000000E+00   4.22057257E-06  
  98               6.66046742E+02   1.24298831E+03   8.38070342E-01   1.60461989E-01   7.79267315E-04   5.31319452E-04   1.18642804E-04   2.42858096E-05   0.00000000E+00   4.22057037E-06  
  99               7.29087937E+02   1.27412545E+03   8.38070406E-01   1.60461907E-01   7.79266877E-04   5.31319125E-04   1.18642721E-04   2.42856969E-05   0.00000000E+00   4.22056821E-06  
  100              7.99737891E+02   1.30681568E+03   8.38070463E-01   1.60461822E-01   7.79266456E-04   5.31318774E-04   1.18642633E-04   2.42855426E-05   0.00000000E+00   4.22056599E-06  
  101              8.79962764E+02   1.34106897E+03   8.37975982E-01   1.60443641E-01   7.79178656E-04   5.31258402E-04   1.18629171E-04   2.42825921E-05   0.00000000E+00   4.22008777E-06  
