# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              N2               H                H2S             
  55               5.95467048E-01   7.31962858E+02   8.38465429E-01   1.60509620E-01   3.88092802E-04   3.88957218E-04   1.54421610E-04   5.92237491E-05   1.56334593E-13   2.29873250E-05  
  56               6.65482015E-01   7.56553784E+02   8.38465969E-01   1.60508877E-01   3.88095160E-04   3.88959582E-04   1.54422549E-04   5.92241090E-05   4.80720278E-13   2.29872185E-05  
  57               7.43089631E-01   7.81712307E+02   8.38466342E-01   1.60508251E-01   3.88094557E-04   3.88958977E-04   1.54422308E-04   5.92240168E-05   1.40842260E-12   2.29871285E-05  
  58               8.29142978E-01   8.07500591E+02   8.38466824E-01   1.60507759E-01   3.88096076E-04   3.88960500E-04   1.54422913E-04   5.92242488E-05   3.95006029E-12   2.29870576E-05  
  59               9.24557808E-01   8.33922918E+02   8.38467234E-01   1.60507335E-01   3.88095798E-04   3.88960220E-04   1.54422802E-04   5.92242062E-05   1.06236968E-11   2.29908408E-05  
  60               1.03029647E+00   8.60983827E+02   8.38467584E-01   1.60506942E-01   3.88095661E-04   3.88960083E-04   1.54422748E-04   5.92241854E-05   2.74481414E-11   2.30003399E-05  
  61               1.14730177E+00   8.88681714E+02   8.38467880E-01   1.60506530E-01   3.88095782E-04   3.88960205E-04   1.54422796E-04   5.92242039E-05   6.82315429E-11   2.30257761E-05  
  62               1.27649467E+00   9.16933560E+02   8.38468095E-01   1.60506016E-01   3.88096466E-04   3.88960889E-04   1.54423068E-04   5.92243081E-05   1.63022848E-10   2.30922952E-05  
  63               1.41882889E+00   9.45728863E+02   8.38468127E-01   1.60505260E-01   3.88098290E-04   3.88962716E-04   1.54423793E-04   5.92245862E-05   3.75019511E-10   2.32581819E-05  
  64               1.57555398E+00   9.75044310E+02   8.38467884E-01   1.60504055E-01   3.88108582E-04   3.88973026E-04   1.54427886E-04   5.92261561E-05   8.31657704E-10   2.36492926E-05  
  65               1.74801346E+00   1.00492180E+03   8.38468393E-01   1.60502273E-01   3.88106589E-04   3.88971011E-04   1.54427086E-04   5.92258492E-05   1.78335534E-09   2.42920431E-05  
  66               1.93777811E+00   1.03533445E+03   8.38471128E-01   1.60499554E-01   3.88103435E-04   3.88967790E-04   1.54425807E-04   5.92253589E-05   3.70111369E-09   2.42915594E-05  
  67               2.14649249E+00   1.06633925E+03   8.38475451E-01   1.60495256E-01   3.88098654E-04   3.88962801E-04   1.54423824E-04   5.92245996E-05   7.45629628E-09   2.42907921E-05  
  68               2.37583942E+00   1.09786573E+03   8.38481953E-01   1.60488781E-01   3.88091926E-04   3.88955434E-04   1.54420884E-04   5.92234801E-05   1.45785576E-08   2.42896279E-05  
  69               2.62755504E+00   1.12996426E+03   8.38491205E-01   1.60479552E-01   3.88083487E-04   3.88945051E-04   1.54416685E-04   5.92219103E-05   2.77359748E-08   2.42879464E-05  
  70               2.90365485E+00   1.16255464E+03   8.38503470E-01   1.60467299E-01   3.88075433E-04   3.88931155E-04   1.54410806E-04   5.92198469E-05   5.13295483E-08   2.42856615E-05  
  71               3.20650240E+00   1.19574921E+03   8.38518666E-01   1.60452090E-01   3.88074414E-04   3.88912925E-04   1.54401949E-04   5.92173010E-05   9.27310885E-08   2.42827190E-05  
  72               3.53856207E+00   1.22944998E+03   8.38536102E-01   1.60434592E-01   3.88099379E-04   3.88887530E-04   1.54385000E-04   5.92143848E-05   1.63419944E-07   2.42791364E-05  
  73               3.90279081E+00   1.26380320E+03   8.38554907E-01   1.60415639E-01   3.88199101E-04   3.88842915E-04   1.54339997E-04   5.92112542E-05   2.81972934E-07   2.42749175E-05  
  74               4.30237517E+00   1.29869960E+03   8.38573917E-01   1.60396356E-01   3.88496731E-04   3.88735936E-04   1.54195675E-04   5.92081445E-05   4.75895289E-07   2.42700686E-05  
  75               4.74059752E+00   1.33428445E+03   8.38592359E-01   1.60377547E-01   3.89269493E-04   3.88434573E-04   1.53730144E-04   5.92052751E-05   7.88183335E-07   2.42644281E-05  
  76               5.22101460E+00   1.37039850E+03   8.38609666E-01   1.60360064E-01   3.90994128E-04   3.87632925E-04   1.52412349E-04   5.92028681E-05   1.27893000E-06   2.42576000E-05  
  77               5.74824039E+00   1.40725654E+03   8.38626212E-01   1.60344299E-01   3.94358531E-04   3.85758715E-04   1.49229669E-04   5.92009910E-05   2.04100100E-06   2.42483109E-05  
  78               6.32910624E+00   1.44481551E+03   8.38642800E-01   1.60330744E-01   4.00169481E-04   3.81960461E-04   1.42708362E-04   5.91995985E-05   3.20262660E-06   2.42330978E-05  
  79               6.97220734E+00   1.48343296E+03   8.38660311E-01   1.60319448E-01   4.09067200E-04   3.75366275E-04   1.31562177E-04   5.91984167E-05   4.96476795E-06   2.42016980E-05  
  80               7.68852599E+00   1.52321131E+03   8.38677916E-01   1.60310276E-01   4.21064385E-04   3.65811371E-04   1.16061745E-04   5.91971549E-05   7.61001570E-06   2.41254374E-05  
  81               8.49026755E+00   1.56447800E+03   8.38690816E-01   1.60302210E-01   4.35193311E-04   3.54801916E-04   9.86221212E-05   5.91959913E-05   1.15707391E-05   2.39262923E-05  
  82               9.38583976E+00   1.60704153E+03   8.38690842E-01   1.60293903E-01   4.50023693E-04   3.45634768E-04   8.17908988E-05   5.92010543E-05   1.74063619E-05   2.34231467E-05  
  83               1.03756910E+01   1.65057837E+03   8.38692134E-01   1.60288631E-01   4.64194078E-04   3.41808070E-04   6.63653720E-05   5.92005550E-05   2.58318666E-05   2.22564264E-05  
  84               1.14470520E+01   1.69411991E+03   8.38684148E-01   1.60282555E-01   4.75623479E-04   3.36988679E-04   5.51059603E-05   5.92181641E-05   3.75207030E-05   2.21466113E-05  
  85               1.25796047E+01   1.73686077E+03   8.38658525E-01   1.60275696E-01   4.85164359E-04   3.39478607E-04   4.54796009E-05   5.92198170E-05   5.30948731E-05   2.18938941E-05  
  86               1.37258358E+01   1.77712139E+03   8.38594442E-01   1.60264835E-01   4.93386856E-04   3.55095386E-04   3.69910512E-05   5.92279560E-05   7.24460928E-05   2.14446872E-05  
  87               1.48038657E+01   1.81270946E+03   8.38496910E-01   1.60255171E-01   5.01776131E-04   4.00643441E-04   2.81299399E-05   5.92443416E-05   9.41956558E-05   2.05535601E-05  
  88               1.59292713E+01   1.84769367E+03   8.38473290E-01   1.60251340E-01   5.05356145E-04   4.01250905E-04   2.48327524E-05   5.92710050E-05   1.20651052E-04   2.05565036E-05  
  89               1.69097420E+01   1.87668916E+03   8.38451579E-01   1.60248408E-01   5.07683587E-04   3.99373643E-04   2.25201788E-05   5.93239093E-05   1.47032544E-04   2.05559668E-05  
  90               1.77299373E+01   1.89989965E+03   8.38421922E-01   1.60244158E-01   5.09311319E-04   3.97677997E-04   2.08843397E-05   5.93225761E-05   1.71440513E-04   2.05530348E-05  
  91               1.86265275E+01   1.92437647E+03   8.38396972E-01   1.60241334E-01   5.10826120E-04   3.96123168E-04   1.93433633E-05   5.93183482E-05   2.00730363E-04   2.05476171E-05  
  92               1.96082716E+01   1.95008261E+03   8.38366572E-01   1.60238077E-01   5.12215502E-04   3.94683377E-04   1.79076414E-05   5.93111860E-05   2.35797600E-04   2.05389220E-05  
  93               2.04123032E+01   1.97039503E+03   8.38339204E-01   1.60235259E-01   5.13236047E-04   3.93654356E-04   1.68851120E-05   5.93179938E-05   2.66936109E-04   2.05296999E-05  
  94               2.10327759E+01   1.98560850E+03   8.38316699E-01   1.60233002E-01   5.13930303E-04   3.92925903E-04   1.61801553E-05   5.93090997E-05   2.92388755E-04   2.05213138E-05  
  95               2.17222002E+01   2.00212178E+03   8.38258265E-01   1.60224297E-01   5.14579666E-04   3.92225463E-04   1.54661149E-05   5.93018984E-05   3.22218902E-04   2.05100562E-05  
  96               2.24905795E+01   2.02001418E+03   8.38226890E-01   1.60221286E-01   5.15265304E-04   3.91501670E-04   1.47494426E-05   5.92927281E-05   3.57303133E-04   2.04968006E-05  
  97               2.33442369E+01   2.03934096E+03   8.38189755E-01   1.60217754E-01   5.15947202E-04   3.90794411E-04   1.40351416E-05   5.92808490E-05   3.98619256E-04   2.04804274E-05  
  98               2.42896969E+01   2.06008917E+03   8.38145910E-01   1.60213647E-01   5.16597605E-04   3.90126485E-04   1.33305276E-05   5.92627374E-05   4.47192161E-04   2.04604954E-05  
  99               2.49726361E+01   2.07467548E+03   8.38112471E-01   1.60210539E-01   5.17052419E-04   3.89671091E-04   1.28717664E-05   5.92929816E-05   4.84115472E-04   2.04446205E-05  
  100              2.54508129E+01   2.08468489E+03   8.38088294E-01   1.60208314E-01   5.17325830E-04   3.89360413E-04   1.25732785E-05   5.92725608E-05   5.10837707E-04   2.04329436E-05  
  101              2.59926932E+01   2.09579349E+03   8.38058192E-01   1.60205357E-01   5.17612890E-04   3.89042813E-04   1.22586122E-05   5.92686720E-05   5.41841170E-04   2.04192138E-05  
