# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  48               3.38486521E-01   9.33451666E+02   8.38539077E-01   1.60505599E-01   5.29782954E-10   5.23388099E-04   3.18312293E-04   6.01985115E-05   0.00000000E+00   2.36847684E-05  
  49               3.99402042E-01   9.71085549E+02   8.38549417E-01   1.60494083E-01   1.47735805E-09   5.23368895E-04   3.18300613E-04   6.01963027E-05   0.00000000E+00   2.42907955E-05  
  50               4.69731561E-01   1.01101675E+03   8.38569231E-01   1.60474336E-01   4.03885387E-09   5.23336367E-04   3.18280830E-04   6.01925613E-05   3.65187116E-16   2.42876880E-05  
  51               5.50647506E-01   1.05321650E+03   8.38598257E-01   1.60445414E-01   1.07680079E-08   5.23289738E-04   3.18252466E-04   6.01871972E-05   4.17364664E-15   2.42830724E-05  
  52               6.43278694E-01   1.09715978E+03   8.38632950E-01   1.60410834E-01   2.75815297E-08   5.23234930E-04   3.18219099E-04   6.01808885E-05   4.43666502E-14   2.42773809E-05  
  53               7.48717189E-01   1.14278838E+03   8.38667961E-01   1.60375900E-01   6.78170366E-08   5.23180329E-04   3.18185719E-04   6.01745862E-05   4.32792623E-13   2.42712418E-05  
  54               8.68538217E-01   1.18961242E+03   8.38698515E-01   1.60345337E-01   1.58686740E-07   5.23133768E-04   3.18156628E-04   6.01691428E-05   3.73339028E-12   2.42651013E-05  
  55               1.00480529E+00   1.23769996E+03   8.38722835E-01   1.60320861E-01   3.54794186E-07   5.23099241E-04   3.18132766E-04   6.01648745E-05   2.84135075E-11   2.42587658E-05  
  56               1.15960635E+00   1.28666619E+03   8.38740659E-01   1.60302635E-01   7.55162215E-07   5.23079274E-04   3.18112058E-04   6.01617076E-05   1.87597382E-10   2.42514508E-05  
  57               1.33498426E+00   1.33672661E+03   8.38752932E-01   1.60289509E-01   1.54113139E-06   5.23079287E-04   3.18092365E-04   6.01594680E-05   1.09155269E-09   2.42407228E-05  
  58               1.53297941E+00   1.38760032E+03   8.38760349E-01   1.60280345E-01   3.01243602E-06   5.23111985E-04   3.18083009E-04   6.01580647E-05   5.58992171E-09   2.42182004E-05  
  59               1.75628101E+00   1.43960937E+03   8.38762845E-01   1.60273801E-01   5.68252163E-06   5.23199686E-04   3.18143999E-04   6.01573459E-05   2.57360472E-08   2.41500875E-05  
  60               2.00825941E+00   1.49248661E+03   8.38746801E-01   1.60266525E-01   1.03319674E-05   5.23390791E-04   3.18514886E-04   6.01585659E-05   1.06279274E-07   2.39123938E-05  
  61               2.29060222E+00   1.54683265E+03   8.38741422E-01   1.60266005E-01   1.82869566E-05   5.23887716E-04   3.19973938E-04   6.01794241E-05   2.36130089E-07   2.18446620E-05  
  62               2.59973299E+00   1.60111575E+03   8.38726031E-01   1.60262549E-01   3.10731762E-05   5.24366749E-04   3.22874700E-04   6.01810599E-05   1.53072264E-06   2.18146806E-05  
  63               2.92568703E+00   1.65256646E+03   8.38692877E-01   1.60258225E-01   4.96163161E-05   5.25066492E-04   3.29856622E-04   6.01919569E-05   7.23749498E-06   2.16162132E-05  
  64               3.24855194E+00   1.69967307E+03   8.38622073E-01   1.60250629E-01   7.42128362E-05   5.25909275E-04   3.43690967E-04   6.02142446E-05   2.30388675E-05   2.11233347E-05  
  65               3.56002325E+00   1.74110144E+03   8.38533859E-01   1.60248181E-01   1.03675444E-04   5.27019647E-04   3.62858438E-04   6.02779906E-05   6.53478514E-05   2.01784834E-05  
  66               3.84816707E+00   1.77743331E+03   8.38484576E-01   1.60241681E-01   1.37182870E-04   5.27437581E-04   3.71737498E-04   6.02796640E-05   6.52458966E-05   2.01939404E-05  
  67               4.09956960E+00   1.80681138E+03   8.38450594E-01   1.60238186E-01   1.70438071E-04   5.27876737E-04   3.75759099E-04   6.02989878E-05   6.51604261E-05   2.01986777E-05  
  68               4.30095543E+00   1.82981627E+03   8.38421202E-01   1.60235371E-01   2.01069151E-04   5.28059086E-04   3.77320228E-04   6.02985118E-05   6.50925320E-05   2.01967542E-05  
  69               4.53455794E+00   1.85477391E+03   8.38385559E-01   1.60232089E-01   2.39198951E-04   5.28223200E-04   3.78096391E-04   6.02974434E-05   6.50158584E-05   2.01893729E-05  
  70               4.80397642E+00   1.88290525E+03   8.38308738E-01   1.60222089E-01   2.89361122E-04   5.28306056E-04   3.78248123E-04   6.02933672E-05   6.49257478E-05   2.01727302E-05  
