# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  55               3.61527988E+00   1.38353787E+03   8.38687731E-01   1.60325070E-01   1.85278512E-06   4.52405653E-04   3.39108277E-04   9.60647231E-05   5.95075015E-05   1.54295146E-09  
  56               4.04652491E+00   1.41764803E+03   8.38697552E-01   1.60315658E-01   2.79982253E-06   4.53722561E-04   3.38079132E-04   9.37826114E-05   5.95056366E-05   4.28455120E-09  
  57               4.53094049E+00   1.45699804E+03   8.38709381E-01   1.60306030E-01   4.42566952E-06   4.56015927E-04   3.36191900E-04   8.94042975E-05   5.95038848E-05   8.25770545E-09  
  58               5.07703217E+00   1.49152030E+03   8.38715782E-01   1.60299862E-01   6.42240737E-06   4.59562254E-04   3.33283270E-04   8.25799921E-05   5.95018746E-05   3.28719952E-08  
  59               5.69320767E+00   1.53187351E+03   8.38726040E-01   1.60294154E-01   9.77809137E-06   4.64767954E-04   3.29497013E-04   7.29700127E-05   5.95041082E-05   5.85872591E-08  
  60               6.38439773E+00   1.56779965E+03   8.38718132E-01   1.60287832E-01   1.38416516E-05   4.71242172E-04   3.25730577E-04   6.34450330E-05   5.95031966E-05   2.09227292E-07  
  61               7.14823121E+00   1.61035432E+03   8.38719404E-01   1.60284509E-01   2.06500051E-05   4.79520279E-04   3.25178385E-04   5.17666091E-05   5.95221663E-05   3.89498544E-07  
  62               7.97523327E+00   1.64926056E+03   8.38714179E-01   1.60280514E-01   2.90801377E-05   4.87065376E-04   3.22103328E-04   4.41799967E-05   5.95243737E-05   1.33059143E-06  
  63               8.84386362E+00   1.69587742E+03   8.38697968E-01   1.60274896E-01   4.34020785E-05   4.95040469E-04   3.21112986E-04   3.54577561E-05   5.95298133E-05   5.26862990E-06  
  64               9.72127611E+00   1.73862047E+03   8.38654137E-01   1.60267259E-01   6.13615155E-05   5.02027269E-04   3.30416651E-04   2.84168819E-05   5.95479497E-05   1.53863865E-05  
  65               1.05604874E+01   1.77752365E+03   8.38583432E-01   1.60258055E-01   8.28791449E-05   5.07887341E-04   3.54157699E-04   2.24315890E-05   5.95764829E-05   3.41717263E-05  
  66               1.12980415E+01   1.80892201E+03   8.38501850E-01   1.60250905E-01   1.04490027E-04   5.12423434E-04   3.90722312E-04   1.77094962E-05   5.96345116E-05   6.41253706E-05  
  67               1.19087615E+01   1.83453318E+03   8.38481554E-01   1.60248109E-01   1.25549099E-04   5.14242263E-04   3.92538986E-04   1.60501033E-05   5.96339908E-05   6.40056392E-05  
  68               1.25874747E+01   1.86080601E+03   8.38450285E-01   1.60243728E-01   1.50567915E-04   5.15711064E-04   3.91367659E-04   1.46298715E-05   5.96313902E-05   6.38765044E-05  
  69               1.33430012E+01   1.88970565E+03   8.38422359E-01   1.60240701E-01   1.82917757E-04   5.17028549E-04   3.89988403E-04   1.32269017E-05   5.96277110E-05   6.37344680E-05  
  70               1.39829858E+01   1.91230211E+03   8.38396867E-01   1.60238083E-01   2.11861128E-04   5.17947009E-04   3.89083084E-04   1.23044465E-05   5.96420733E-05   6.36181651E-05  
  71               1.44980927E+01   1.93078372E+03   8.38373344E-01   1.60235728E-01   2.38466476E-04   5.18654401E-04   3.88323269E-04   1.15808875E-05   5.96378478E-05   6.35240603E-05  
  72               1.50801672E+01   1.94997532E+03   8.38346382E-01   1.60233109E-01   2.68668444E-04   5.19285588E-04   3.87656892E-04   1.09390244E-05   5.96318347E-05   6.34214382E-05  
  73               1.57351915E+01   1.97192616E+03   8.38279532E-01   1.60223636E-01   3.07298857E-04   5.19955800E-04   3.86914823E-04   1.02302650E-05   5.96229112E-05   6.33029606E-05  
  74               1.64690470E+01   1.99455782E+03   8.38239753E-01   1.60219939E-01   3.51420825E-04   5.20496226E-04   3.86273258E-04   9.61075194E-06   5.96119511E-05   6.31775384E-05  
  75               1.70150200E+01   2.01174274E+03   8.38205997E-01   1.60216790E-01   3.88588427E-04   5.20992591E-04   3.85868747E-04   9.15197518E-06   5.96557187E-05   6.30835886E-05  
  76               1.74114229E+01   2.02304781E+03   8.38182598E-01   1.60214653E-01   4.14388974E-04   5.21217228E-04   3.85583773E-04   8.89651809E-06   5.96476414E-05   6.30180877E-05  
  77               1.78660522E+01   2.03687784E+03   8.38151803E-01   1.60211831E-01   4.48325144E-04   5.21521380E-04   3.85243034E-04   8.56478164E-06   5.96385801E-05   6.29411493E-05  
  78               1.83855207E+01   2.05119132E+03   8.38118126E-01   1.60208781E-01   4.85272603E-04   5.21793023E-04   3.84970225E-04   8.27511875E-06   5.96283574E-05   6.28567302E-05  
  79               1.89773737E+01   2.06823631E+03   8.38074663E-01   1.60204849E-01   5.33028614E-04   5.22118710E-04   3.84599799E-04   7.91921692E-06   5.96168105E-05   6.27590819E-05  
  80               1.96491982E+01   2.08589627E+03   8.38026519E-01   1.60200531E-01   5.85802116E-04   5.22400781E-04   3.84269782E-04   7.60886202E-06   5.96035617E-05   6.26523585E-05  
  81               2.04111809E+01   2.10649033E+03   8.37964931E-01   1.60195018E-01   6.53277693E-04   5.22728019E-04   3.83883013E-04   7.24331663E-06   5.95883588E-05   6.25303536E-05  
  82               2.12724798E+01   2.12781337E+03   8.37895913E-01   1.60188881E-01   7.28755969E-04   5.23004323E-04   3.83542941E-04   6.92642107E-06   5.95707022E-05   6.23974533E-05  
  83               2.22428116E+01   2.15217338E+03   8.37808566E-01   1.60181130E-01   8.24227825E-04   5.23312217E-04   3.83157552E-04   6.56790371E-06   5.95505419E-05   6.22474994E-05  
  84               2.33324991E+01   2.17725079E+03   8.37710225E-01   1.60172446E-01   9.31573372E-04   5.23562427E-04   3.82823660E-04   6.26171123E-06   5.95269011E-05   6.20852759E-05  
  85               2.45525497E+01   2.20540348E+03   8.37586923E-01   1.60161575E-01   1.06610617E-03   5.23830187E-04   3.82455407E-04   5.92619946E-06   5.95004251E-05   6.19043651E-05  
  86               2.59147564E+01   2.23417762E+03   8.37448021E-01   1.60149373E-01   1.21751638E-03   5.24035140E-04   3.82141714E-04   5.64536336E-06   5.94693497E-05   6.17100504E-05  
  87               2.74318338E+01   2.26599977E+03   8.37275467E-01   1.60134230E-01   1.40555059E-03   5.24244557E-04   3.81802753E-04   5.34525421E-06   5.94350993E-05   6.14955801E-05  
  88               2.91175756E+01   2.29827061E+03   8.37079731E-01   1.60116889E-01   1.61654879E-03   5.24386507E-04   3.81522624E-04   5.10038922E-06   5.93950533E-05   6.12666712E-05  
