# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              CH4              N2               H                H2S             
  19               8.66130738E-03   2.69057514E+02   8.38476586E-01   1.60540933E-01   4.47608827E-04   3.42811008E-04   1.03131370E-04   5.95770391E-05   1.79204055E-39   2.29914187E-05  
  20               9.94702215E-03   2.77201828E+02   8.38476586E-01   1.60540933E-01   4.47608824E-04   3.42811006E-04   1.03131369E-04   5.95770387E-05   2.92205265E-38   2.29914187E-05  
  21               1.14081421E-02   2.83228939E+02   8.38476587E-01   1.60540933E-01   4.47608821E-04   3.42811004E-04   1.03131368E-04   5.95770383E-05   2.03952366E-37   2.29914187E-05  
  22               1.30683889E-02   2.91733109E+02   8.38476587E-01   1.60540933E-01   4.47608818E-04   3.42811002E-04   1.03131368E-04   5.95770379E-05   2.82824730E-36   2.29914187E-05  
  23               1.49546456E-02   2.98088297E+02   8.38476587E-01   1.60540933E-01   4.47608815E-04   3.42811000E-04   1.03131367E-04   5.95770375E-05   1.79572853E-35   2.29914187E-05  
  24               1.70977013E-02   3.06870729E+02   8.38476587E-01   1.60540933E-01   4.47608812E-04   3.42810997E-04   1.03131366E-04   5.95770371E-05   2.08185880E-34   2.29914187E-05  
  25               1.95319421E-02   3.13591503E+02   8.38476587E-01   1.60540933E-01   4.47608810E-04   3.42810996E-04   1.03131366E-04   5.95770368E-05   1.21621099E-33   2.29914186E-05  
  26               2.22963545E-02   3.22800201E+02   8.38476587E-01   1.60540932E-01   4.47608806E-04   3.42810992E-04   1.03131365E-04   5.95770363E-05   1.23778706E-32   2.29914186E-05  
  27               2.54343129E-02   3.30086882E+02   8.38476587E-01   1.60540931E-01   4.47608806E-04   3.42810993E-04   1.03131365E-04   5.95770363E-05   6.97152096E-32   2.29914185E-05  
  28               2.89953766E-02   3.39924138E+02   8.38476587E-01   1.60540930E-01   4.47608800E-04   3.42810988E-04   1.03131364E-04   5.95770355E-05   6.51878172E-31   2.29914182E-05  
  29               3.30345699E-02   3.47987671E+02   8.38476589E-01   1.60540928E-01   4.47608809E-04   3.42810994E-04   1.03131366E-04   5.95770366E-05   3.65614782E-30   2.29914179E-05  
  30               3.76143442E-02   3.58754010E+02   8.38476582E-01   1.60540921E-01   4.47608793E-04   3.42810983E-04   1.03131362E-04   5.95770346E-05   3.29843811E-29   2.29914169E-05  
  31               4.28032412E-02   3.67991349E+02   8.38476590E-01   1.60540913E-01   4.47608884E-04   3.42811052E-04   1.03131383E-04   5.95770467E-05   1.94272773E-28   2.29914158E-05  
  32               4.86768190E-02   3.80191936E+02   8.38476607E-01   1.60540896E-01   4.47608858E-04   3.42811032E-04   1.03131377E-04   5.95770432E-05   1.80117220E-27   2.29914133E-05  
  33               5.53164928E-02   3.91330884E+02   8.38476263E-01   1.60540797E-01   4.47608661E-04   3.42810882E-04   1.03131332E-04   5.95770171E-05   1.20883662E-26   2.29913992E-05  
  34               6.28070856E-02   4.06398321E+02   8.38476372E-01   1.60540681E-01   4.47612159E-04   3.42813560E-04   1.03132137E-04   5.95774825E-05   1.36967678E-25   2.29913825E-05  
  35               7.12257985E-02   4.22261217E+02   8.38476547E-01   1.60540505E-01   4.47611930E-04   3.42813385E-04   1.03132085E-04   5.95774521E-05   1.46310777E-24   2.29913574E-05  
  36               8.06843709E-02   4.38193758E+02   8.38476868E-01   1.60540160E-01   4.47611488E-04   3.42813047E-04   1.03131983E-04   5.95773933E-05   1.32522539E-23   2.29913079E-05  
  37               9.13096055E-02   4.54980550E+02   8.38477132E-01   1.60539439E-01   4.47610679E-04   3.42812427E-04   1.03131796E-04   5.95772856E-05   1.14328924E-22   2.29912047E-05  
  38               1.03237879E-01   4.71856292E+02   8.38475239E-01   1.60538118E-01   4.47609112E-04   3.42811227E-04   1.03131435E-04   5.95770770E-05   8.52517082E-22   2.29910155E-05  
  39               1.16617824E-01   4.89631702E+02   8.38477168E-01   1.60536114E-01   4.47644057E-04   3.42837990E-04   1.03139487E-04   5.95817283E-05   6.09234682E-21   2.29907286E-05  
  40               1.31612640E-01   5.07502585E+02   8.38479425E-01   1.60533865E-01   4.47641085E-04   3.42835714E-04   1.03138802E-04   5.95813326E-05   3.81963992E-20   2.29904065E-05  
  41               1.48406980E-01   5.26323101E+02   8.38482167E-01   1.60531131E-01   4.47637452E-04   3.42832932E-04   1.03137965E-04   5.95808491E-05   2.30761305E-19   2.29900150E-05  
  42               1.67213391E-01   5.45257199E+02   8.38484954E-01   1.60528352E-01   4.47633744E-04   3.42830092E-04   1.03137111E-04   5.95803556E-05   1.24026436E-18   2.29896169E-05  
  43               1.88259895E-01   5.65199460E+02   8.38487718E-01   1.60525596E-01   4.47630060E-04   3.42827270E-04   1.03136262E-04   5.95798652E-05   6.45526869E-18   2.29892223E-05  
  44               2.11789502E-01   5.85249944E+02   8.38490123E-01   1.60523199E-01   4.47626849E-04   3.42824811E-04   1.03135522E-04   5.95794379E-05   3.01934337E-17   2.29888789E-05  
  45               2.38070822E-01   6.06346036E+02   8.38492262E-01   1.60521066E-01   4.47623994E-04   3.42822624E-04   1.03134864E-04   5.95790578E-05   1.37115551E-16   2.29885735E-05  
  46               2.67389050E-01   6.27538776E+02   8.38493991E-01   1.60519341E-01   4.47621692E-04   3.42820862E-04   1.03134334E-04   5.95787515E-05   5.64599830E-16   2.29883265E-05  
  47               3.00082269E-01   6.49820736E+02   8.38495462E-01   1.60517874E-01   4.47619727E-04   3.42819356E-04   1.03133881E-04   5.95784899E-05   2.26372858E-15   2.29881163E-05  
  48               3.36537789E-01   6.72218487E+02   8.38496616E-01   1.60516718E-01   4.47618183E-04   3.42818174E-04   1.03133526E-04   5.95782844E-05   8.31237755E-15   2.29879509E-05  
  49               3.77154282E-01   6.95755000E+02   8.38497577E-01   1.60515747E-01   4.47616909E-04   3.42817199E-04   1.03133232E-04   5.95781149E-05   2.98001783E-14   2.29878117E-05  
  50               4.22340627E-01   7.19392908E+02   8.38498303E-01   1.60514982E-01   4.47615987E-04   3.42816492E-04   1.03133020E-04   5.95779921E-05   9.85342637E-14   2.29877021E-05  
  51               4.72545273E-01   7.44172731E+02   8.38498773E-01   1.60514312E-01   4.47615395E-04   3.42816039E-04   1.03132883E-04   5.95779133E-05   3.18178683E-13   2.29876061E-05  
  52               5.28237620E-01   7.69026602E+02   8.38499050E-01   1.60513765E-01   4.47617519E-04   3.42817665E-04   1.03133373E-04   5.95781960E-05   9.53573045E-13   2.29875275E-05  
  53               5.90028349E-01   7.95039747E+02   8.38499482E-01   1.60513329E-01   4.47617456E-04   3.42817617E-04   1.03133358E-04   5.95781876E-05   2.79492653E-12   2.29874646E-05  
  54               6.58589953E-01   8.21181354E+02   8.38499834E-01   1.60512960E-01   4.47619355E-04   3.42819071E-04   1.03133795E-04   5.95784403E-05   7.67269910E-12   2.29905848E-05  
  55               7.34587538E-01   8.48489653E+02   8.38500164E-01   1.60512595E-01   4.47618849E-04   3.42818684E-04   1.03133679E-04   5.95783731E-05   2.06165002E-11   2.29985181E-05  
  56               8.18664852E-01   8.75917883E+02   8.38500465E-01   1.60512196E-01   4.47618414E-04   3.42818351E-04   1.03133579E-04   5.95783151E-05   5.21835447E-11   2.30197614E-05  
  57               9.11486938E-01   9.04419822E+02   8.38500763E-01   1.60511635E-01   4.47618144E-04   3.42818144E-04   1.03133516E-04   5.95782791E-05   1.29017194E-10   2.30782863E-05  
  58               1.01375298E+00   9.33018725E+02   8.38500983E-01   1.60510754E-01   4.47618454E-04   3.42818381E-04   1.03133588E-04   5.95783203E-05   3.02085403E-10   2.32262242E-05  
  59               1.12634224E+00   9.62599940E+02   8.38501083E-01   1.60509221E-01   4.47620415E-04   3.42819882E-04   1.03134039E-04   5.95785813E-05   6.90339716E-10   2.35924815E-05  
  60               1.25025162E+00   9.92364808E+02   8.38502056E-01   1.60506834E-01   4.47628812E-04   3.42826309E-04   1.03135973E-04   5.95796982E-05   1.50616919E-09   2.42927414E-05  
  61               1.38649168E+00   1.02302628E+03   8.38505905E-01   1.60503003E-01   4.47623128E-04   3.42821942E-04   1.03134659E-04   5.95789393E-05   3.20667090E-09   2.42920918E-05  
  62               1.53608041E+00   1.05389925E+03   8.38511935E-01   1.60497001E-01   4.47614375E-04   3.42815191E-04   1.03132627E-04   5.95777663E-05   6.55406319E-09   2.42910708E-05  
  63               1.70002641E+00   1.08555219E+03   8.38521041E-01   1.60487934E-01   4.47601396E-04   3.42805100E-04   1.03129583E-04   5.95760135E-05   1.30678375E-08   2.42895168E-05  
  64               1.87949164E+00   1.11744704E+03   8.38533515E-01   1.60475500E-01   4.47584086E-04   3.42791370E-04   1.03125416E-04   5.95736330E-05   2.51413247E-08   2.42873542E-05  
  65               2.07586463E+00   1.15002835E+03   8.38549567E-01   1.60459482E-01   4.47562980E-04   3.42773756E-04   1.03119941E-04   5.95705974E-05   4.72148155E-08   2.42844987E-05  
  66               2.29089789E+00   1.18292581E+03   8.38568277E-01   1.60440787E-01   4.47541460E-04   3.42752903E-04   1.03112880E-04   5.95670848E-05   8.60057593E-08   2.42810285E-05  
  67               2.52638779E+00   1.21657267E+03   8.38588836E-01   1.60420205E-01   4.47526447E-04   3.42728232E-04   1.03102118E-04   5.95632527E-05   1.53461542E-07   2.42769640E-05  
  68               2.78412242E+00   1.25053859E+03   8.38609566E-01   1.60399393E-01   4.47535735E-04   3.42696060E-04   1.03079020E-04   5.95594107E-05   2.66397867E-07   2.42724476E-05  
  69               3.06588139E+00   1.28525812E+03   8.38629707E-01   1.60379084E-01   4.47612074E-04   3.42638219E-04   1.03010264E-04   5.95556995E-05   4.53906821E-07   2.42673941E-05  
  70               3.37346311E+00   1.32022670E+03   8.38648060E-01   1.60360505E-01   4.47858826E-04   3.42497315E-04   1.02785839E-04   5.95523387E-05   7.53631568E-07   2.42617393E-05  
  71               3.70895916E+00   1.35589682E+03   8.38664660E-01   1.60343761E-01   4.48455779E-04   3.42141238E-04   1.02137424E-04   5.95493218E-05   1.22952155E-06   2.42548942E-05  
  72               4.07521415E+00   1.39188763E+03   8.38679371E-01   1.60329372E-01   4.49675721E-04   3.41329150E-04   1.00535308E-04   5.95466845E-05   1.96160471E-06   2.42456321E-05  
  73               4.47643206E+00   1.42872067E+03   8.38693003E-01   1.60317139E-01   4.51871691E-04   3.39706691E-04   9.71459844E-05   5.95442794E-05   3.08526690E-06   2.42300953E-05  
  74               4.91765637E+00   1.46616547E+03   8.38705869E-01   1.60307193E-01   4.55433228E-04   3.36883365E-04   9.10016831E-05   5.95421455E-05   4.77027140E-06   2.41980939E-05  
  75               5.40418925E+00   1.50468674E+03   8.38714500E-01   1.60298500E-01   4.60671929E-04   3.32686704E-04   8.15844626E-05   5.95403006E-05   7.29490553E-06   2.41207423E-05  
  76               5.94003797E+00   1.54387895E+03   8.38726321E-01   1.60292910E-01   4.67664134E-04   3.27679212E-04   6.95970141E-05   5.95410696E-05   1.09821855E-05   2.34995290E-05  
  77               6.52406154E+00   1.58369478E+03   8.38722178E-01   1.60285568E-01   4.75870266E-04   3.22563191E-04   5.77011058E-05   5.95590306E-05   1.62844953E-05   2.34654819E-05  
  78               7.14880573E+00   1.62310578E+03   8.38722420E-01   1.60282413E-01   4.84411050E-04   3.21100898E-04   4.64400327E-05   5.95613241E-05   2.35678704E-05   2.21317129E-05  
  79               7.79801559E+00   1.66142148E+03   8.38715459E-01   1.60278032E-01   4.91863810E-04   3.18618322E-04   3.85326018E-05   5.95660157E-05   3.31702175E-05   2.20622098E-05  
  80               8.44838701E+00   1.69719829E+03   8.38699398E-01   1.60273706E-01   4.98047184E-04   3.19545709E-04   3.23521378E-05   5.95818653E-05   4.49629247E-05   2.19146576E-05  
  81               9.06317412E+00   1.72917836E+03   8.38670877E-01   1.60268879E-01   5.03028017E-04   3.26502759E-04   2.73437984E-05   5.96098990E-05   5.83550018E-05   2.16612439E-05  
  82               9.61282350E+00   1.75624031E+03   8.38627967E-01   1.60262953E-01   5.07127253E-04   3.39568198E-04   2.33672103E-05   5.96683000E-05   7.21785215E-05   2.13375830E-05  
  83               1.00841991E+01   1.77858132E+03   8.38576047E-01   1.60256402E-01   5.10175224E-04   3.57380780E-04   2.02351114E-05   5.96702259E-05   8.55882038E-05   2.10038857E-05  
  84               1.05993208E+01   1.80195310E+03   8.38507962E-01   1.60251140E-01   5.13295750E-04   3.87012078E-04   1.66163790E-05   5.96693350E-05   1.01786174E-04   2.04322061E-05  
  85               1.10127776E+01   1.82012821E+03   8.38491545E-01   1.60248742E-01   5.14772823E-04   3.91116547E-04   1.54795765E-05   5.96865581E-05   1.16099345E-04   2.04370973E-05  
  86               1.13168472E+01   1.83307755E+03   8.38481371E-01   1.60247457E-01   5.15561686E-04   3.91301658E-04   1.47514514E-05   5.96852072E-05   1.27282645E-04   2.04397927E-05  
  87               1.16549644E+01   1.84723371E+03   8.38469946E-01   1.60246123E-01   5.16315157E-04   3.90767534E-04   1.40081167E-05   5.96837639E-05   1.40533486E-04   2.04417949E-05  
  88               1.20318331E+01   1.86252611E+03   8.38445860E-01   1.60242594E-01   5.17055325E-04   3.90044198E-04   1.32697692E-05   5.96818936E-05   1.56099665E-04   2.04426250E-05  
  89               1.24508214E+01   1.87915574E+03   8.38429753E-01   1.60240877E-01   5.17842592E-04   3.89241287E-04   1.25248639E-05   5.96793725E-05   1.74641907E-04   2.04423504E-05  
  90               1.29176917E+01   1.89705635E+03   8.38410518E-01   1.60238893E-01   5.18565156E-04   3.88481097E-04   1.17963043E-05   5.96774426E-05   1.96581094E-04   2.04403964E-05  
  91               1.34410973E+01   1.91661113E+03   8.38387063E-01   1.60236543E-01   5.19168760E-04   3.87812937E-04   1.10728050E-05   5.96757695E-05   2.23122400E-04   2.04360395E-05  
  92               1.40283435E+01   1.93777130E+03   8.38358670E-01   1.60233780E-01   5.19739052E-04   3.87088946E-04   1.03640426E-05   5.96714808E-05   2.55083812E-04   2.04287344E-05  
  93               1.44630719E+01   1.95305015E+03   8.38335708E-01   1.60231556E-01   5.20361065E-04   3.86671323E-04   9.89143914E-06   5.97203659E-05   2.80444135E-04   2.04215708E-05  
  94               1.47725523E+01   1.96363646E+03   8.38318927E-01   1.60229973E-01   5.20633997E-04   3.86297345E-04   9.58554974E-06   5.97170310E-05   2.99179851E-04   2.04158031E-05  
  95               1.51212565E+01   1.97540560E+03   8.38268067E-01   1.60222181E-01   5.20924973E-04   3.85944968E-04   9.26182774E-06   5.97130248E-05   3.21203594E-04   2.04076427E-05  
  96               1.55130629E+01   1.98829393E+03   8.38244898E-01   1.60220043E-01   5.21240382E-04   3.85610158E-04   8.92909816E-06   5.97083545E-05   3.46816831E-04   2.03985775E-05  
  97               1.59520138E+01   2.00244007E+03   8.38217730E-01   1.60217532E-01   5.21564469E-04   3.85254342E-04   8.58644790E-06   5.97027671E-05   3.76819786E-04   2.03871693E-05  
  98               1.64419039E+01   2.01780885E+03   8.38185993E-01   1.60214625E-01   5.21891005E-04   3.84918469E-04   8.23931324E-06   5.96962893E-05   4.11753364E-04   2.03733816E-05  
  99               1.69866439E+01   2.03442713E+03   8.38149021E-01   1.60211260E-01   5.22215046E-04   3.84554450E-04   7.89178759E-06   5.96886051E-05   4.52418963E-04   2.03563478E-05  
  100              1.75931635E+01   2.05241666E+03   8.38105608E-01   1.60207336E-01   5.22537314E-04   3.84221201E-04   7.54287779E-06   5.96798833E-05   5.00035032E-04   2.03358381E-05  
  101              1.82666415E+01   2.07167830E+03   8.38053186E-01   1.60202425E-01   5.22838772E-04   3.83863987E-04   7.20271501E-06   5.96748728E-05   5.55345162E-04   2.03109737E-05  
