# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  75               4.62348495E+01   2.01075959E+03   8.38313985E-01   1.60250543E-01   4.32269414E-04   2.34190232E-04   4.74353104E-04   5.52971835E-05   5.78617352E-05   2.08995592E-05  
  76               4.80435398E+01   2.03333079E+03   8.38287823E-01   1.60246909E-01   4.29158350E-04   2.67098083E-04   4.77454059E-04   5.21189598E-05   5.78339768E-05   2.08795354E-05  
  77               5.00839383E+01   2.05219285E+03   8.38263348E-01   1.60244097E-01   4.27539349E-04   2.95960556E-04   4.79047425E-04   5.04634545E-05   5.77985311E-05   2.08681727E-05  
  78               5.23765549E+01   2.07835131E+03   8.38224804E-01   1.60239431E-01   4.24517069E-04   3.42181045E-04   4.82050040E-04   4.73692685E-05   5.77608905E-05   2.08423327E-05  
  79               5.49414485E+01   2.10086110E+03   8.38157986E-01   1.60229810E-01   4.22862371E-04   3.84614932E-04   4.83655109E-04   4.56585907E-05   5.77027918E-05   2.08239748E-05  
  80               5.68489830E+01   2.12169387E+03   8.38119268E-01   1.60225556E-01   4.20770975E-04   4.29629010E-04   4.85758477E-04   4.34769710E-05   5.76930661E-05   2.07996254E-05  
  81               5.82302992E+01   2.13186926E+03   8.38099769E-01   1.60223683E-01   4.20324045E-04   4.51425720E-04   4.86186894E-04   4.30052366E-05   5.76593784E-05   2.07920251E-05  
  82               5.98188468E+01   2.14896979E+03   8.38063472E-01   1.60219817E-01   4.18684077E-04   4.93243806E-04   4.87797981E-04   4.13250105E-05   5.76318208E-05   2.07694403E-05  
  83               6.16399635E+01   2.16250891E+03   8.38033931E-01   1.60216997E-01   4.18062784E-04   5.26198595E-04   4.88394330E-04   4.06665142E-05   5.75941330E-05   2.07566857E-05  
  84               6.37211749E+01   2.18310137E+03   8.37983811E-01   1.60211907E-01   4.16364435E-04   5.83114039E-04   4.90054736E-04   3.89180896E-05   5.75611944E-05   2.07275707E-05  
  85               6.60917228E+01   2.20041564E+03   8.37939882E-01   1.60207779E-01   4.15608640E-04   6.31900575E-04   4.90776086E-04   3.81102066E-05   5.75114234E-05   2.07077687E-05  
  86               6.87832913E+01   2.22479000E+03   8.37870406E-01   1.60201012E-01   4.13919310E-04   7.09834441E-04   4.92415822E-04   3.63564243E-05   5.74679662E-05   2.06699273E-05  
  87               7.18292358E+01   2.24616730E+03   8.37806058E-01   1.60195078E-01   4.13088897E-04   7.80920049E-04   4.93199911E-04   3.54551895E-05   5.74038339E-05   2.06406836E-05  
  88               7.52659046E+01   2.27443799E+03   8.37709916E-01   1.60186035E-01   4.11488755E-04   8.87705266E-04   4.94736174E-04   3.37706595E-05   5.73458019E-05   2.05915464E-05  
  89               7.91313971E+01   2.30001816E+03   8.37615023E-01   1.60177237E-01   4.10653450E-04   9.89842534E-04   4.95508946E-04   3.28404570E-05   5.72650886E-05   2.05499613E-05  
  90               8.34670984E+01   2.33211233E+03   8.37475380E-01   1.60164884E-01   4.14722968E-04   1.13550249E-03   4.97276106E-04   3.09070612E-05   5.71942462E-05   2.05150057E-05  
  91               8.83173642E+01   2.36188537E+03   8.37343108E-01   1.60153076E-01   4.14067084E-04   1.28018720E-03   4.97968341E-04   3.00114800E-05   5.70949307E-05   2.04582074E-05  
  92               9.37324978E+01   2.39755717E+03   8.37163472E-01   1.60136957E-01   4.13002430E-04   1.47697790E-03   4.99057894E-04   2.86767003E-05   5.69959105E-05   2.03785890E-05  
  93               9.97649705E+01   2.43142524E+03   8.36978314E-01   1.60120600E-01   4.12459669E-04   1.67899441E-03   4.99605872E-04   2.78619996E-05   5.68739322E-05   2.03030022E-05  
  94               1.06475462E+02   2.47029368E+03   8.36738257E-01   1.60099349E-01   4.11669582E-04   1.94107186E-03   5.00381205E-04   2.67708547E-05   5.67474739E-05   2.02047439E-05  
  95               1.13926841E+02   2.50808245E+03   8.36483447E-01   1.60077002E-01   4.11284162E-04   2.21858400E-03   5.00735020E-04   2.60691398E-05   5.65986287E-05   2.01075546E-05  
  96               1.22197305E+02   2.54962909E+03   8.36169368E-01   1.60049456E-01   4.10816372E-04   2.56066358E-03   5.01149077E-04   2.52504207E-05   5.64393581E-05   1.99903399E-05  
  97               1.31372218E+02   2.59118442E+03   8.35824759E-01   1.60019380E-01   4.10630252E-04   2.93551756E-03   5.01267831E-04   2.46794613E-05   5.62583622E-05   1.98694429E-05  
  98               1.41555502E+02   2.63480725E+03   8.35424391E-01   1.59984490E-01   4.10541567E-04   3.37085284E-03   5.01273334E-04   2.41576854E-05   5.60593533E-05   1.97351562E-05  
  99               1.52861523E+02   2.67950243E+03   8.34973791E-01   1.59945309E-01   4.10644557E-04   3.86052012E-03   5.01077638E-04   2.37696099E-05   5.58380617E-05   1.95923440E-05  
  100              1.65421862E+02   2.72624934E+03   8.34454037E-01   1.59900156E-01   4.10872314E-04   4.42519482E-03   5.00747942E-04   2.34329796E-05   5.55947819E-05   1.94358448E-05  
  101              1.79388456E+02   2.77401907E+03   8.33873243E-01   1.59849778E-01   4.11319438E-04   5.05591317E-03   5.00198910E-04   2.32283523E-05   5.53247698E-05   1.92715606E-05  
