# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  59               5.95448957E+00   5.35805413E+02   8.38104656E-01   1.60469731E-01   7.78137945E-04   5.28357765E-04   5.31147081E-05   3.42364707E-05   2.29842196E-05   8.84401495E-20  
  60               7.06428161E+00   5.63669634E+02   8.38104578E-01   1.60469691E-01   7.78203523E-04   5.28402293E-04   5.31191843E-05   3.42393560E-05   2.29842139E-05   9.27864435E-19  
  61               8.35934142E+00   5.93065211E+02   8.38104621E-01   1.60469648E-01   7.78203404E-04   5.28402212E-04   5.31191762E-05   3.42393508E-05   2.29842077E-05   8.71111106E-18  
  62               9.87003310E+00   6.22981325E+02   8.38104699E-01   1.60469571E-01   7.78203209E-04   5.28402080E-04   5.31191629E-05   3.42393422E-05   2.29841966E-05   6.82347918E-17  
  63               1.16258095E+01   6.54505476E+02   8.38104839E-01   1.60469431E-01   7.78202878E-04   5.28401854E-04   5.31191403E-05   3.42393276E-05   2.29841766E-05   4.86650111E-16  
  64               1.36569265E+01   6.86405524E+02   8.38105062E-01   1.60469209E-01   7.78202354E-04   5.28401499E-04   5.31191045E-05   3.42393046E-05   2.29841448E-05   2.94601157E-15  
  65               1.59962004E+01   7.19836661E+02   8.38105414E-01   1.60468856E-01   7.78201548E-04   5.28400952E-04   5.31190496E-05   3.42392692E-05   2.29840943E-05   1.63718290E-14  
  66               1.86966868E+01   7.53696718E+02   8.38105905E-01   1.60468360E-01   7.78200380E-04   5.28400158E-04   5.31189698E-05   3.42392177E-05   2.29840232E-05   7.93639251E-14  
  67               2.18156324E+01   7.89358673E+02   8.38106581E-01   1.60467662E-01   7.78198804E-04   5.28399088E-04   5.31188622E-05   3.42391484E-05   2.29839231E-05   3.61185974E-13  
  68               2.54157204E+01   8.25540976E+02   8.38107259E-01   1.60466769E-01   7.78197043E-04   5.28397893E-04   5.31187420E-05   3.42390709E-05   2.29837950E-05   1.46494735E-12  
  69               2.95542907E+01   8.63508363E+02   8.38108249E-01   1.60465701E-01   7.78195726E-04   5.28396999E-04   5.31186522E-05   3.42390130E-05   2.29838298E-05   5.60774696E-12  
  70               3.43013382E+01   9.01870690E+02   8.38109214E-01   1.60464522E-01   7.78197879E-04   5.28398460E-04   5.31187991E-05   3.42391077E-05   2.29836595E-05   1.93417345E-11  
  71               3.97456642E+01   9.42053211E+02   8.38110437E-01   1.60463259E-01   7.78199205E-04   5.28399361E-04   5.31188896E-05   3.42391661E-05   2.29880361E-05   6.34430909E-11  
  72               4.59608187E+01   9.82542005E+02   8.38111563E-01   1.60462014E-01   7.78196647E-04   5.28397624E-04   5.31187150E-05   3.42390535E-05   2.30129858E-05   1.89711053E-10  
  73               5.30124213E+01   1.02453426E+03   8.38112489E-01   1.60460736E-01   7.78195348E-04   5.28396742E-04   5.31186263E-05   3.42389963E-05   2.30887342E-05   5.38703629E-10  
  74               6.09569399E+01   1.06644416E+03   8.38112395E-01   1.60459424E-01   7.78197709E-04   5.28398345E-04   5.31187875E-05   3.42391002E-05   2.32937754E-05   1.40210420E-09  
  75               6.98964844E+01   1.10965263E+03   8.38111609E-01   1.60458191E-01   7.78219333E-04   5.28413027E-04   5.31202635E-05   3.42400517E-05   2.42853679E-05   3.48198899E-09  
  76               7.99897321E+01   1.15304221E+03   8.38112535E-01   1.60457251E-01   7.78216571E-04   5.28411147E-04   5.31200752E-05   3.42399303E-05   2.42851363E-05   8.08098813E-09  
