# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  57               5.61574989E-01   4.34000231E+02   8.38211093E-01   1.60490045E-01   7.08148724E-04   4.63240476E-04   5.43428118E-05   3.25540160E-05   2.29842688E-05   1.28363725E-05  
  58               6.33266800E-01   4.49918471E+02   8.38211071E-01   1.60490028E-01   7.08158931E-04   4.63247153E-04   5.43435950E-05   3.25544852E-05   2.29842664E-05   1.28365575E-05  
  59               7.13657273E-01   4.66357500E+02   8.38210692E-01   1.60489945E-01   7.08158961E-04   4.63247173E-04   5.43435974E-05   3.25544866E-05   2.29842545E-05   1.28365580E-05  
  60               8.03697754E-01   4.83252171E+02   8.38210432E-01   1.60490201E-01   7.08161210E-04   4.63248643E-04   5.43437699E-05   3.25545900E-05   2.29842911E-05   1.28365988E-05  
  61               9.04436633E-01   5.00681193E+02   8.38207773E-01   1.60489604E-01   7.08164835E-04   4.63251015E-04   5.43440481E-05   3.25547566E-05   2.29842056E-05   1.28366645E-05  
  62               1.01709399E+00   5.18585796E+02   8.38208168E-01   1.60489218E-01   7.08160146E-04   4.63247947E-04   5.43436883E-05   3.25545411E-05   2.29841503E-05   1.28365795E-05  
  63               1.14309233E+00   5.37069459E+02   8.38208302E-01   1.60488991E-01   7.08211782E-04   4.63281725E-04   5.43476507E-05   3.25569148E-05   2.29841178E-05   1.28375155E-05  
  64               1.28396956E+00   5.56066498E+02   8.38208640E-01   1.60488653E-01   7.08211570E-04   4.63281587E-04   5.43476345E-05   3.25569051E-05   2.29840695E-05   1.28375116E-05  
  65               1.44133392E+00   5.75666535E+02   8.38209158E-01   1.60488137E-01   7.08210503E-04   4.63280889E-04   5.43475526E-05   3.25568560E-05   2.29839955E-05   1.28374923E-05  
  66               1.61687611E+00   5.95778382E+02   8.38209904E-01   1.60487394E-01   7.08208958E-04   4.63279878E-04   5.43474341E-05   3.25567850E-05   2.29838891E-05   1.28374643E-05  
  67               1.81239320E+00   6.16487824E+02   8.38210919E-01   1.60486383E-01   7.08206850E-04   4.63278499E-04   5.43472723E-05   3.25566881E-05   2.29837444E-05   1.28374261E-05  
  68               2.03004479E+00   6.37714895E+02   8.38212203E-01   1.60485104E-01   7.08204170E-04   4.63276746E-04   5.43470666E-05   3.25565649E-05   2.29835612E-05   1.28373775E-05  
