# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  24               1.47146995E-02   2.01113869E+02   8.37735776E-01   1.60399097E-01   6.35178479E-04   3.94603312E-04   9.42473401E-05   5.64207657E-05   7.40978825E-54   2.29716230E-05  
  25               1.71607422E-02   2.10672846E+02   8.38280755E-01   1.60503443E-01   6.35184449E-04   3.94607020E-04   9.42482259E-05   5.64212960E-05   2.50273295E-51   2.29865669E-05  
  26               1.99980156E-02   2.18121710E+02   8.38280111E-01   1.60503319E-01   6.35594496E-04   3.94861761E-04   9.43090684E-05   5.64577191E-05   1.60753893E-49   2.29865493E-05  
  27               2.32899871E-02   2.27532166E+02   8.38280111E-01   1.60503319E-01   6.35594609E-04   3.94861831E-04   9.43090852E-05   5.64577291E-05   2.12366275E-47   2.29865493E-05  
  28               2.71092199E-02   2.34767211E+02   8.38280112E-01   1.60503320E-01   6.35593739E-04   3.94861291E-04   9.43089561E-05   5.64576519E-05   6.81029551E-46   2.29865493E-05  
  29               3.15418519E-02   2.43826795E+02   8.38280111E-01   1.60503319E-01   6.35594639E-04   3.94861850E-04   9.43090895E-05   5.64577317E-05   3.97297609E-44   2.29865493E-05  
  30               3.66888126E-02   2.50826632E+02   8.38280115E-01   1.60503320E-01   6.35591600E-04   3.94859962E-04   9.43086386E-05   5.64574618E-05   7.37031806E-43   2.29865494E-05  
  31               4.26652536E-02   2.59777526E+02   8.38280111E-01   1.60503319E-01   6.35594691E-04   3.94861882E-04   9.43090972E-05   5.64577364E-05   2.49346193E-41   2.29865493E-05  
  32               4.96011181E-02   2.66961571E+02   8.38280111E-01   1.60503319E-01   6.35594679E-04   3.94861875E-04   9.43090955E-05   5.64577353E-05   3.48615825E-40   2.29865493E-05  
  33               5.76503645E-02   2.76280037E+02   8.38280111E-01   1.60503319E-01   6.35594721E-04   3.94861901E-04   9.43091018E-05   5.64577391E-05   8.85270362E-39   2.29865493E-05  
  34               6.69866224E-02   2.83981394E+02   8.38280111E-01   1.60503319E-01   6.35594738E-04   3.94861911E-04   9.43091043E-05   5.64577406E-05   1.07525686E-37   2.29865493E-05  
  35               7.78106460E-02   2.93949024E+02   8.38280111E-01   1.60503319E-01   6.35594754E-04   3.94861921E-04   9.43091066E-05   5.64577420E-05   2.28125999E-36   2.29865493E-05  
  36               9.03511855E-02   3.02509487E+02   8.38280110E-01   1.60503319E-01   6.35594771E-04   3.94861932E-04   9.43091092E-05   5.64577435E-05   2.64141645E-35   2.29865493E-05  
  37               1.04869690E-01   3.13539281E+02   8.38280110E-01   1.60503319E-01   6.35594790E-04   3.94861944E-04   9.43091120E-05   5.64577452E-05   5.17493319E-34   2.29865493E-05  
  38               1.21664317E-01   3.23253893E+02   8.38280110E-01   1.60503319E-01   6.35594813E-04   3.94861958E-04   9.43091154E-05   5.64577472E-05   5.93772965E-33   2.29865493E-05  
  39               1.41076754E-01   3.35555276E+02   8.38280110E-01   1.60503319E-01   6.35594835E-04   3.94861972E-04   9.43091186E-05   5.64577492E-05   1.08118253E-31   2.29865492E-05  
  40               1.63484226E-01   3.47001875E+02   8.38280107E-01   1.60503318E-01   6.35594868E-04   3.94861992E-04   9.43091236E-05   5.64577521E-05   1.32612408E-30   2.29865491E-05  
  41               1.89306013E-01   3.61818648E+02   8.38280108E-01   1.60503318E-01   6.35594891E-04   3.94862006E-04   9.43091269E-05   5.64577541E-05   2.73274919E-29   2.29865491E-05  
  42               2.18965510E-01   3.77917302E+02   8.38279804E-01   1.60503259E-01   6.35594979E-04   3.94862061E-04   9.43091400E-05   5.64577620E-05   5.60088828E-28   2.29865406E-05  
  43               2.52983093E-01   3.94894382E+02   8.38279836E-01   1.60503227E-01   6.35594498E-04   3.94861762E-04   9.43090687E-05   5.64577193E-05   1.03613112E-26   2.29865361E-05  
  44               2.91949135E-01   4.12133504E+02   8.38279832E-01   1.60503219E-01   6.35601334E-04   3.94866009E-04   9.43100829E-05   5.64583264E-05   1.56306894E-25   2.29865349E-05  
  45               3.36509815E-01   4.30288410E+02   8.38279844E-01   1.60503205E-01   6.35601349E-04   3.94866018E-04   9.43100852E-05   5.64583278E-05   2.15206946E-24   2.29865328E-05  
  46               3.87416664E-01   4.48713813E+02   8.38279837E-01   1.60503167E-01   6.35601375E-04   3.94866035E-04   9.43100891E-05   5.64583301E-05   2.47284660E-23   2.29865274E-05  
  47               4.45513022E-01   4.68110881E+02   8.38279510E-01   1.60503056E-01   6.35601401E-04   3.94866051E-04   9.43100929E-05   5.64583324E-05   2.62471898E-22   2.29865116E-05  
  48               5.11753131E-01   4.87799442E+02   8.38276585E-01   1.60502668E-01   6.35602972E-04   3.94867027E-04   9.43103260E-05   5.64584719E-05   2.37529393E-21   2.29864560E-05  
  49               5.87180689E-01   5.08523197E+02   8.38277122E-01   1.60502132E-01   6.35602119E-04   3.94866497E-04   9.43101995E-05   5.64583962E-05   2.00668991E-20   2.29863793E-05  
  50               6.72974834E-01   5.29539830E+02   8.38277519E-01   1.60501645E-01   6.35650858E-04   3.94896776E-04   9.43174313E-05   5.64627255E-05   1.46911874E-19   2.29863095E-05  
  51               7.70543038E-01   5.51664045E+02   8.38278331E-01   1.60500835E-01   6.35649471E-04   3.94895914E-04   9.43172256E-05   5.64626023E-05   1.01364134E-18   2.29861935E-05  
  52               8.81394443E-01   5.74104956E+02   8.38279537E-01   1.60499633E-01   6.35647801E-04   3.94894876E-04   9.43169776E-05   5.64624539E-05   6.15883269E-18   2.29860213E-05  
  53               1.00727008E+00   5.97730293E+02   8.38281242E-01   1.60497933E-01   6.35644754E-04   3.94892984E-04   9.43165257E-05   5.64621833E-05   3.55445343E-17   2.29857779E-05  
  54               1.15004354E+00   6.21684907E+02   8.38283293E-01   1.60495889E-01   6.35640969E-04   3.94890632E-04   9.43159640E-05   5.64618471E-05   1.82992635E-16   2.29854852E-05  
  55               1.31176913E+00   6.46864821E+02   8.38285647E-01   1.60493544E-01   6.35636668E-04   3.94887960E-04   9.43153258E-05   5.64614650E-05   8.98578988E-16   2.29851493E-05  
  56               1.49487208E+00   6.72371186E+02   8.38287992E-01   1.60491206E-01   6.35632272E-04   3.94885229E-04   9.43146736E-05   5.64610746E-05   3.97858009E-15   2.29848145E-05  
  57               1.70186110E+00   6.99154465E+02   8.38290301E-01   1.60488901E-01   6.35628029E-04   3.94882593E-04   9.43140439E-05   5.64606976E-05   1.68804920E-14   2.29844843E-05  
  58               1.93553517E+00   7.26247706E+02   8.38292339E-01   1.60486855E-01   6.35624259E-04   3.94880251E-04   9.43134845E-05   5.64603628E-05   6.51775183E-14   2.29841913E-05  
  59               2.19905892E+00   7.54653159E+02   8.38294164E-01   1.60484992E-01   6.35621065E-04   3.94878267E-04   9.43130106E-05   5.64600791E-05   2.42028045E-13   2.29839244E-05  
  60               2.49587387E+00   7.83349068E+02   8.38295546E-01   1.60483406E-01   6.35618765E-04   3.94876838E-04   9.43126694E-05   5.64598748E-05   8.24911956E-13   2.29836971E-05  
  61               2.83028810E+00   8.13404314E+02   8.38296691E-01   1.60482003E-01   6.35620318E-04   3.94877803E-04   9.43128998E-05   5.64600128E-05   2.71478358E-12   2.29834958E-05  
  62               3.20669181E+00   8.43789956E+02   8.38297795E-01   1.60480886E-01   6.35622560E-04   3.94879196E-04   9.43132325E-05   5.64602119E-05   8.28354105E-12   2.29833349E-05  
  63               3.62950048E+00   8.75518083E+02   8.38298742E-01   1.60479914E-01   6.35621077E-04   3.94878275E-04   9.43130127E-05   5.64600802E-05   2.44360225E-11   2.29894620E-05  
  64               4.10390740E+00   9.07553770E+02   8.38299471E-01   1.60479106E-01   6.35620066E-04   3.94877647E-04   9.43128638E-05   5.64599904E-05   6.73031152E-11   2.30063170E-05  
  65               4.63519127E+00   9.40879962E+02   8.38299984E-01   1.60478365E-01   6.35619781E-04   3.94877469E-04   9.43128271E-05   5.64599650E-05   1.79365701E-10   2.30556545E-05  
  66               5.22951068E+00   9.74472218E+02   8.38300077E-01   1.60477658E-01   6.35621386E-04   3.94878466E-04   9.43130921E-05   5.64601076E-05   4.49120053E-10   2.31886287E-05  
  67               5.89351186E+00   1.00930854E+03   8.38299444E-01   1.60476840E-01   6.35627519E-04   3.94882276E-04   9.43141205E-05   5.64606524E-05   1.09006295E-09   2.35364652E-05  
  68               6.63382454E+00   1.04440060E+03   8.38298750E-01   1.60476015E-01   6.35640555E-04   3.94890374E-04   9.43165461E-05   5.64618104E-05   2.50288780E-09   2.42880604E-05  
  69               7.45759672E+00   1.08060363E+03   8.38299667E-01   1.60475103E-01   6.35638514E-04   3.94889103E-04   9.43181480E-05   5.64616295E-05   5.57140926E-09   2.42878342E-05  
  70               8.37464978E+00   1.11711384E+03   8.38300927E-01   1.60473839E-01   6.35635427E-04   3.94887161E-04   9.43247017E-05   5.64613580E-05   1.18228640E-08   2.42874973E-05  
  71               9.39563059E+00   1.15477508E+03   8.38302805E-01   1.60471932E-01   6.35630962E-04   3.94884237E-04   9.43482598E-05   5.64609790E-05   2.44212984E-08   2.42869681E-05  
  72               1.05324982E+01   1.19283339E+03   8.38305520E-01   1.60469122E-01   6.35623811E-04   3.94878928E-04   9.44266736E-05   5.64604449E-05   4.84235400E-08   2.42861646E-05  
  73               1.17973189E+01   1.23203755E+03   8.38309433E-01   1.60464933E-01   6.35610384E-04   3.94866022E-04   9.46706614E-05   5.64597856E-05   9.36902129E-08   2.42849367E-05  
  74               1.32019649E+01   1.27158854E+03   8.38314556E-01   1.60459075E-01   6.35573476E-04   3.94820855E-04   9.53833297E-05   5.64591102E-05   1.74623833E-07   2.42831587E-05  
  75               1.47582565E+01   1.31219795E+03   8.38320845E-01   1.60450998E-01   6.35441941E-04   3.94641812E-04   9.72993961E-05   5.64588592E-05   3.17978047E-07   2.42805955E-05  
  76               1.64828094E+01   1.35311273E+03   8.38327419E-01   1.60440674E-01   6.34945135E-04   3.93953117E-04   1.01936665E-04   5.64597531E-05   5.59763692E-07   2.42770806E-05  
  77               1.83961875E+01   1.39521173E+03   8.38334032E-01   1.60427832E-01   6.33246957E-04   3.91628064E-04   1.11700233E-04   5.64623409E-05   9.66708561E-07   2.42722068E-05  
  78               2.05289547E+01   1.43791814E+03   8.38341887E-01   1.60413478E-01   6.28270122E-04   3.85007393E-04   1.28998148E-04   5.64660664E-05   1.62549646E-06   2.42655235E-05  
  79               2.29210882E+01   1.48229316E+03   8.38356770E-01   1.60398795E-01   6.16438119E-04   3.70038823E-04   1.54281304E-04   5.64684098E-05   2.69964315E-06   2.42553818E-05  
  80               2.56175275E+01   1.52778205E+03   8.38383388E-01   1.60385856E-01   5.95086004E-04   3.45123675E-04   1.84421524E-04   5.64677726E-05   4.39580025E-06   2.42372315E-05  
  81               2.86519049E+01   1.57509064E+03   8.38418069E-01   1.60374252E-01   5.66645013E-04   3.14360106E-04   2.16325529E-04   5.64659925E-05   7.07646803E-06   2.41952524E-05  
  82               3.20346368E+01   1.62301594E+03   8.38448905E-01   1.60363088E-01   5.37914274E-04   2.83545710E-04   2.47134937E-04   5.64652972E-05   1.11212570E-05   2.40859996E-05  
  83               3.57386267E+01   1.67150292E+03   8.38465115E-01   1.60350662E-01   5.13336821E-04   2.53987232E-04   2.76583169E-04   5.64868903E-05   1.70950526E-05   2.37951669E-05  
  84               3.97238153E+01   1.71905527E+03   8.38478491E-01   1.60340622E-01   5.00835670E-04   2.25512130E-04   3.04920056E-04   5.64851427E-05   2.54086993E-05   2.28784942E-05  
  85               4.39207747E+01   1.76553692E+03   8.38491334E-01   1.60331743E-01   4.81273374E-04   2.02841190E-04   3.27453131E-04   5.64847991E-05   3.66309502E-05   2.27919106E-05  
  86               4.82394341E+01   1.80948646E+03   8.38486097E-01   1.60322222E-01   4.69427880E-04   1.82828491E-04   3.47317157E-04   5.64902427E-05   5.08048979E-05   2.26190972E-05  
  87               5.25244319E+01   1.85036405E+03   8.38460257E-01   1.60311629E-01   4.68437134E-04   1.64068626E-04   3.65927614E-04   5.64997185E-05   6.78695367E-05   2.23019552E-05  
  88               5.64507299E+01   1.88526348E+03   8.38410608E-01   1.60299712E-01   4.79454651E-04   1.47375086E-04   3.82494359E-04   5.65288048E-05   8.59594953E-05   2.18766414E-05  
  89               5.98636943E+01   1.91427431E+03   8.38343340E-01   1.60287945E-01   5.07662180E-04   1.31061962E-04   3.98705133E-04   5.64997502E-05   1.03903389E-04   2.13126342E-05  
  90               6.36396530E+01   1.94463487E+03   8.38333605E-01   1.60283632E-01   4.99744606E-04   1.22964341E-04   4.06689032E-04   5.64602535E-05   1.25857255E-04   2.12907330E-05  
  91               6.78057993E+01   1.97666192E+03   8.38318706E-01   1.60279014E-01   4.92085529E-04   1.15177921E-04   4.14339161E-04   5.64064490E-05   1.53028814E-04   2.12665904E-05  
  92               7.12486385E+01   2.00176197E+03   8.38303324E-01   1.60275330E-01   4.86671266E-04   1.09659425E-04   4.19744229E-04   5.63694007E-05   1.77488676E-04   2.12472281E-05  
  93               7.39111881E+01   2.02064546E+03   8.38279549E-01   1.60270562E-01   4.82837293E-04   1.05748385E-04   4.23559099E-04   5.63287673E-05   1.97936731E-04   2.12316509E-05  
  94               7.69270319E+01   2.04122842E+03   8.38262183E-01   1.60267390E-01   4.78965756E-04   1.01784302E-04   4.27421103E-04   5.62822520E-05   2.22332923E-04   2.12145765E-05  
  95               8.03337368E+01   2.06380312E+03   8.38240253E-01   1.60263762E-01   4.74987898E-04   9.76999303E-05   4.31388085E-04   5.62288433E-05   2.51850165E-04   2.11948853E-05  
  96               8.41650129E+01   2.08816781E+03   8.38212958E-01   1.60259684E-01   4.71044544E-04   9.36346934E-05   4.35319828E-04   5.61668526E-05   2.87140366E-04   2.11727350E-05  
  97               8.84570035E+01   2.11443165E+03   8.38179087E-01   1.60255048E-01   4.67134899E-04   8.95835341E-05   4.39218756E-04   5.60909989E-05   3.29523166E-04   2.11474499E-05  
  98               9.16094792E+01   2.13300586E+03   8.38152156E-01   1.60251603E-01   4.64598887E-04   8.69263472E-05   4.41763169E-04   5.60501656E-05   3.62386705E-04   2.11287810E-05  
  99               9.38515823E+01   2.14590327E+03   8.38100752E-01   1.60243151E-01   4.62894197E-04   8.51691741E-05   4.43419281E-04   5.60061513E-05   3.86690336E-04   2.11144564E-05  
  100              9.64309505E+01   2.16042836E+03   8.38076422E-01   1.60240306E-01   4.61104470E-04   8.32690525E-05   4.45225402E-04   5.59617702E-05   4.15616921E-04   2.10988238E-05  
  101              9.93893821E+01   2.17663747E+03   8.38045431E-01   1.60236588E-01   4.59195792E-04   8.12718055E-05   4.47112053E-04   5.59152310E-05   4.49858837E-04   2.10806490E-05  
