# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  45               3.88755212E-01   2.19686447E+02   8.37995922E-01   1.60448913E-01   7.79230366E-04   5.29695994E-04   7.27520203E-05   2.43623245E-05   2.29777861E-05   1.21770261E-04  
  46               4.71070501E-01   2.29820447E+02   8.37599736E-01   1.60373057E-01   7.79419818E-04   5.29824777E-04   7.27697083E-05   2.43682476E-05   2.29669227E-05   5.93484049E-04  
  47               5.70868156E-01   2.39984892E+02   8.38097885E-01   1.60468436E-01   7.79386484E-04   5.29802118E-04   7.27665961E-05   2.43672055E-05   2.29805819E-05   0.00000000E+00  
  48               6.91995435E-01   2.50632656E+02   8.38097131E-01   1.60468291E-01   7.79884476E-04   5.30140637E-04   7.28130906E-05   2.43827750E-05   2.29805612E-05   0.00000000E+00  
  49               8.39009116E-01   2.62055955E+02   8.38097125E-01   1.60468290E-01   7.79888511E-04   5.30143380E-04   7.28134674E-05   2.43829011E-05   2.29805610E-05   0.00000000E+00  
  50               1.01730202E+00   2.74583071E+02   8.38097125E-01   1.60468290E-01   7.79888502E-04   5.30143374E-04   7.28134666E-05   2.43829009E-05   2.29805610E-05   0.00000000E+00  
  51               1.23325773E+00   2.88879499E+02   8.38097125E-01   1.60468290E-01   7.79888492E-04   5.30143367E-04   7.28134656E-05   2.43829005E-05   2.29805610E-05   0.00000000E+00  
  52               1.49394059E+00   3.06398078E+02   8.38097125E-01   1.60468290E-01   7.79888481E-04   5.30143360E-04   7.28134646E-05   2.43829002E-05   2.29805610E-05   0.00000000E+00  
  53               1.80751660E+00   3.24511421E+02   8.38097125E-01   1.60468290E-01   7.79888468E-04   5.30143351E-04   7.28134633E-05   2.43828998E-05   2.29805610E-05   0.00000000E+00  
  54               2.18414916E+00   3.43771432E+02   8.38097124E-01   1.60468290E-01   7.79888454E-04   5.30143341E-04   7.28134620E-05   2.43828993E-05   2.29805610E-05   0.00000000E+00  
  55               2.63598266E+00   3.63700828E+02   8.38097123E-01   1.60468290E-01   7.79888438E-04   5.30143331E-04   7.28134606E-05   2.43828989E-05   2.29805610E-05   0.00000000E+00  
  56               3.17684103E+00   3.84875641E+02   8.38096838E-01   1.60468235E-01   7.79888261E-04   5.30143210E-04   7.28134440E-05   2.43828933E-05   2.29805531E-05   0.00000000E+00  
  57               3.82163936E+00   4.06713704E+02   8.38096859E-01   1.60468207E-01   7.79891966E-04   5.30145729E-04   7.28137899E-05   2.43830091E-05   2.29805491E-05   0.00000000E+00  
  58               4.58836816E+00   4.29836582E+02   8.38096859E-01   1.60468206E-01   7.79891941E-04   5.30145712E-04   7.28137876E-05   2.43830084E-05   2.29805490E-05   0.00000000E+00  
  59               5.49623073E+00   4.53600582E+02   8.38096846E-01   1.60468204E-01   7.79891914E-04   5.30145693E-04   7.28137851E-05   2.43830075E-05   2.29805487E-05   0.00000000E+00  
  60               6.56485329E+00   4.78603716E+02   8.38096443E-01   1.60468138E-01   7.79891909E-04   5.30145690E-04   7.28137846E-05   2.43830074E-05   2.29805393E-05   0.00000000E+00  
  61               7.81515568E+00   5.04092006E+02   8.38096141E-01   1.60468437E-01   7.79893474E-04   5.30146754E-04   7.28139307E-05   2.43830563E-05   2.29805821E-05   0.00000000E+00  
  62               9.27809521E+00   5.30877713E+02   8.38093343E-01   1.60467897E-01   7.79895945E-04   5.30148433E-04   7.28141614E-05   2.43831335E-05   2.29805048E-05   0.00000000E+00  
  63               1.09882671E+01   5.58258704E+02   8.38093523E-01   1.60467604E-01   7.79959026E-04   5.30191314E-04   7.28200509E-05   2.43851058E-05   2.29804628E-05   0.00000000E+00  
  64               1.29791395E+01   5.86995065E+02   8.38093537E-01   1.60467590E-01   7.79958950E-04   5.30191262E-04   7.28200439E-05   2.43851034E-05   2.29804607E-05   0.00000000E+00  
  65               1.52820187E+01   6.16149522E+02   8.38093564E-01   1.60467564E-01   7.79958844E-04   5.30191190E-04   7.28200339E-05   2.43851001E-05   2.29804570E-05   0.00000000E+00  
  66               1.79439464E+01   6.46655917E+02   8.38093611E-01   1.60467516E-01   7.79958685E-04   5.30191082E-04   7.28200191E-05   2.43850951E-05   2.29804502E-05   0.00000000E+00  
  67               2.10204974E+01   6.77677383E+02   8.38093688E-01   1.60467439E-01   7.79958453E-04   5.30190924E-04   7.28199974E-05   2.43850878E-05   2.29804392E-05   0.00000000E+00  
  68               2.45633487E+01   7.10126167E+02   8.38093813E-01   1.60467314E-01   7.79958121E-04   5.30190698E-04   7.28199664E-05   2.43850774E-05   2.29804213E-05   0.00000000E+00  
  69               2.86216838E+01   7.42910548E+02   8.38093994E-01   1.60467131E-01   7.79957626E-04   5.30190362E-04   7.28199202E-05   2.43850620E-05   2.29803950E-05   0.00000000E+00  
  70               3.32594044E+01   7.77052093E+02   8.38094255E-01   1.60466862E-01   7.79956962E-04   5.30189911E-04   7.28198582E-05   2.43850412E-05   2.29803564E-05   0.00000000E+00  
  71               3.85975801E+01   8.11791369E+02   8.38094584E-01   1.60466501E-01   7.79956204E-04   5.30189395E-04   7.28197874E-05   2.43850175E-05   2.29803046E-05   0.00000000E+00  
  72               4.47509674E+01   8.48333882E+02   8.38094882E-01   1.60465990E-01   7.79955544E-04   5.30188947E-04   7.28197258E-05   2.43849969E-05   2.29802311E-05   0.00000000E+00  
  73               5.18130569E+01   8.85430736E+02   8.38095227E-01   1.60465372E-01   7.79959053E-04   5.30191332E-04   7.28200534E-05   2.43851066E-05   2.29801419E-05   0.00000000E+00  
  74               5.98498808E+01   9.23983580E+02   8.38095899E-01   1.60464679E-01   7.79962367E-04   5.30193585E-04   7.28203628E-05   2.43852102E-05   2.29800410E-05   0.00000000E+00  
  75               6.89465742E+01   9.62661283E+02   8.38096607E-01   1.60463929E-01   7.79960665E-04   5.30192428E-04   7.28202039E-05   2.43851570E-05   2.29900295E-05   0.00000000E+00  
  76               7.92672383E+01   1.00283230E+03   8.38097319E-01   1.60463091E-01   7.79959323E-04   5.30191516E-04   7.28200787E-05   2.43851150E-05   2.30177802E-05   0.00000000E+00  
  77               9.09467316E+01   1.04321716E+03   8.38097836E-01   1.60462227E-01   7.79959534E-04   5.30191659E-04   7.28200983E-05   2.43851216E-05   2.30930332E-05   0.00000000E+00  
  78               1.04091956E+02   1.08489817E+03   8.38097918E-01   1.60461276E-01   7.79963573E-04   5.30194404E-04   7.28204754E-05   2.43852479E-05   2.32914489E-05   0.00000000E+00  
  79               1.18786918E+02   1.12640101E+03   8.38097371E-01   1.60460326E-01   7.79983866E-04   5.30208198E-04   7.28223700E-05   2.43858824E-05   2.37560277E-05   0.00000000E+00  
  80               1.35178939E+02   1.16898016E+03   8.38097155E-01   1.60459474E-01   7.79981526E-04   5.30206603E-04   7.28221517E-05   2.43858093E-05   2.42854774E-05   0.00000000E+00  
  81               1.53614112E+02   1.21175471E+03   8.38097816E-01   1.60458778E-01   7.79979475E-04   5.30205172E-04   7.28219608E-05   2.43857455E-05   2.42852349E-05   0.00000000E+00  
  82               1.74360148E+02   1.25608414E+03   8.38098418E-01   1.60458097E-01   7.79977754E-04   5.30203780E-04   7.28218052E-05   2.43856940E-05   2.42849069E-05   0.00000000E+00  
  83               1.97624822E+02   1.30055067E+03   8.38098888E-01   1.60457482E-01   7.79976272E-04   5.30201554E-04   7.28217020E-05   2.43856627E-05   2.42844685E-05   0.00000000E+00  
  84               2.23575515E+02   1.34627584E+03   8.38099261E-01   1.60456875E-01   7.79973405E-04   5.30193891E-04   7.28216420E-05   2.43856584E-05   2.42838444E-05   0.00000000E+00  
  85               2.52365261E+02   1.39176194E+03   8.38099490E-01   1.60456319E-01   7.79961841E-04   5.30163231E-04   7.28215942E-05   2.43857099E-05   2.42829881E-05   0.00000000E+00  
  86               2.84457700E+02   1.43860210E+03   8.38099645E-01   1.60455753E-01   7.79915607E-04   5.30058774E-04   7.28213844E-05   2.43859031E-05   2.42817516E-05   0.00000000E+00  
  87               3.20514398E+02   1.48585981E+03   8.38099778E-01   1.60455230E-01   7.79770748E-04   5.29783351E-04   7.28205342E-05   2.43865617E-05   2.42799882E-05   0.00000000E+00  
  88               3.61002493E+02   1.53486508E+03   8.38099958E-01   1.60454693E-01   7.79444534E-04   5.29257178E-04   7.28177139E-05   2.43886926E-05   2.42772651E-05   0.00000000E+00  
  89               4.06188569E+02   1.58401327E+03   8.38100026E-01   1.60454170E-01   7.78937846E-04   5.28513495E-04   7.28096251E-05   2.43947002E-05   2.42728813E-05   0.00000000E+00  
