# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  46               2.69021736E-01   2.33225831E+02   8.38118918E-01   1.60472464E-01   7.74453735E-04   5.24943835E-04   4.05946460E-05   4.03898171E-05   2.29835179E-05   0.00000000E+00  
  47               3.11880587E-01   2.44708487E+02   8.38118260E-01   1.60472338E-01   7.74893600E-04   5.25241987E-04   4.06177025E-05   4.04127572E-05   2.29834998E-05   0.00000000E+00  
  48               3.61524268E-01   2.55909592E+02   8.38118261E-01   1.60472338E-01   7.74893128E-04   5.25241667E-04   4.06176778E-05   4.04127326E-05   2.29834998E-05   0.00000000E+00  
  49               4.19056738E-01   2.68281905E+02   8.38118266E-01   1.60472339E-01   7.74889519E-04   5.25239220E-04   4.06174885E-05   4.04125444E-05   2.29835000E-05   0.00000000E+00  
  50               4.85678054E-01   2.80460115E+02   8.38118260E-01   1.60472338E-01   7.74893839E-04   5.25242149E-04   4.06177150E-05   4.04127697E-05   2.29834998E-05   0.00000000E+00  
  51               5.62715929E-01   2.93783418E+02   8.38118260E-01   1.60472338E-01   7.74893870E-04   5.25242170E-04   4.06177166E-05   4.04127713E-05   2.29834998E-05   0.00000000E+00  
  52               6.51753037E-01   3.06980202E+02   8.38118260E-01   1.60472338E-01   7.74893866E-04   5.25242167E-04   4.06177164E-05   4.04127711E-05   2.29834998E-05   0.00000000E+00  
  53               7.54560503E-01   3.21313890E+02   8.38118259E-01   1.60472338E-01   7.74893861E-04   5.25242163E-04   4.06177162E-05   4.04127708E-05   2.29834998E-05   0.00000000E+00  
  54               8.73131668E-01   3.35580874E+02   8.38118259E-01   1.60472338E-01   7.74893856E-04   5.25242160E-04   4.06177159E-05   4.04127706E-05   2.29834998E-05   0.00000000E+00  
  55               1.00980500E+00   3.50997426E+02   8.38118259E-01   1.60472338E-01   7.74893857E-04   5.25242160E-04   4.06177159E-05   4.04127706E-05   2.29834998E-05   0.00000000E+00  
  56               1.16730284E+00   3.66420115E+02   8.38118250E-01   1.60472336E-01   7.74893845E-04   5.25242152E-04   4.06177153E-05   4.04127700E-05   2.29834995E-05   0.00000000E+00  
  57               1.34865303E+00   3.83033432E+02   8.38118251E-01   1.60472335E-01   7.74893946E-04   5.25242221E-04   4.06177206E-05   4.04127753E-05   2.29834994E-05   0.00000000E+00  
  58               1.55712904E+00   3.99679661E+02   8.38118251E-01   1.60472335E-01   7.74893938E-04   5.25242215E-04   4.06177202E-05   4.04127748E-05   2.29834994E-05   0.00000000E+00  
  59               1.79626125E+00   4.17531028E+02   8.38117980E-01   1.60472283E-01   7.74893584E-04   5.25241975E-04   4.06177016E-05   4.04127564E-05   2.29834919E-05   0.00000000E+00  
  60               2.07021567E+00   4.35418997E+02   8.38117994E-01   1.60472254E-01   7.74901700E-04   5.25247477E-04   4.06181271E-05   4.04131797E-05   2.29834878E-05   0.00000000E+00  
  61               2.38370578E+00   4.54570795E+02   8.38117980E-01   1.60472251E-01   7.74901688E-04   5.25247469E-04   4.06181264E-05   4.04131791E-05   2.29834873E-05   0.00000000E+00  
  62               2.74169760E+00   4.73742855E+02   8.38117579E-01   1.60472185E-01   7.74901708E-04   5.25247482E-04   4.06181275E-05   4.04131801E-05   2.29834778E-05   0.00000000E+00  
  63               3.14942631E+00   4.94192403E+02   8.38117282E-01   1.60472479E-01   7.74903612E-04   5.25248773E-04   4.06182273E-05   4.04132794E-05   2.29835199E-05   0.00000000E+00  
  64               3.61248888E+00   5.14596958E+02   8.38114480E-01   1.60471931E-01   7.74908409E-04   5.25252024E-04   4.06184787E-05   4.04135295E-05   2.29834414E-05   0.00000000E+00  
  65               4.13834930E+00   5.36339432E+02   8.38114775E-01   1.60471645E-01   7.74903294E-04   5.25248557E-04   4.06182106E-05   4.04132628E-05   2.29834005E-05   0.00000000E+00  
  66               4.73566806E+00   5.58079575E+02   8.38114717E-01   1.60471596E-01   7.74963393E-04   5.25289294E-04   4.06213608E-05   4.04163971E-05   2.29833934E-05   0.00000000E+00  
  67               5.41316297E+00   5.81245933E+02   8.38114776E-01   1.60471538E-01   7.74963259E-04   5.25289203E-04   4.06213538E-05   4.04163901E-05   2.29833851E-05   0.00000000E+00  
  68               6.17940565E+00   6.04349636E+02   8.38114867E-01   1.60471446E-01   7.74963596E-04   5.25289432E-04   4.06213715E-05   4.04164077E-05   2.29833720E-05   0.00000000E+00  
  69               7.04287727E+00   6.28851227E+02   8.38115020E-01   1.60471293E-01   7.74963237E-04   5.25289188E-04   4.06213526E-05   4.04163890E-05   2.29833501E-05   0.00000000E+00  
  70               8.01446837E+00   6.53214757E+02   8.38115242E-01   1.60471071E-01   7.74962713E-04   5.25288833E-04   4.06213252E-05   4.04163616E-05   2.29833183E-05   0.00000000E+00  
  71               9.10873070E+00   6.79069752E+02   8.38115583E-01   1.60470731E-01   7.74961932E-04   5.25288304E-04   4.06212843E-05   4.04163209E-05   2.29832696E-05   0.00000000E+00  
  72               1.03399263E+01   7.04832911E+02   8.38116036E-01   1.60470280E-01   7.74960871E-04   5.25287584E-04   4.06212286E-05   4.04162656E-05   2.29832049E-05   0.00000000E+00  
  73               1.17221406E+01   7.32087914E+02   8.38116666E-01   1.60469650E-01   7.74959401E-04   5.25286588E-04   4.06211516E-05   4.04161889E-05   2.29831147E-05   0.00000000E+00  
  74               1.32695372E+01   7.59188517E+02   8.38117418E-01   1.60468892E-01   7.74957658E-04   5.25285407E-04   4.06210602E-05   4.04160980E-05   2.29830061E-05   0.00000000E+00  
  75               1.49984662E+01   7.87710232E+02   8.38118314E-01   1.60467932E-01   7.74955564E-04   5.25283987E-04   4.06209504E-05   4.04159888E-05   2.29828685E-05   0.00000000E+00  
  76               1.69362663E+01   8.16210830E+02   8.38119300E-01   1.60466883E-01   7.74953534E-04   5.25282611E-04   4.06208441E-05   4.04158830E-05   2.29827181E-05   0.00000000E+00  
  77               1.91122749E+01   8.46285686E+02   8.38120370E-01   1.60465668E-01   7.74951915E-04   5.25281514E-04   4.06207592E-05   4.04157985E-05   2.29825438E-05   0.00000000E+00  
  78               2.15528158E+01   8.76486372E+02   8.38121371E-01   1.60464426E-01   7.74953445E-04   5.25282551E-04   4.06208394E-05   4.04158783E-05   2.29823651E-05   0.00000000E+00  
  79               2.42803270E+01   9.08075822E+02   8.38122623E-01   1.60463156E-01   7.74955034E-04   5.25283628E-04   4.06209227E-05   4.04159612E-05   2.29821817E-05   0.00000000E+00  
  80               2.73123203E+01   9.39702712E+02   8.38123792E-01   1.60461952E-01   7.74952395E-04   5.25281839E-04   4.06207844E-05   4.04158235E-05   2.29914680E-05   0.00000000E+00  
  81               3.06678791E+01   9.72320166E+02   8.38124887E-01   1.60460761E-01   7.74950087E-04   5.25280275E-04   4.06206634E-05   4.04157032E-05   2.30146449E-05   0.00000000E+00  
  82               3.43853332E+01   1.00504173E+03   8.38125752E-01   1.60459656E-01   7.74948839E-04   5.25279429E-04   4.06205980E-05   4.04156381E-05   2.30704191E-05   0.00000000E+00  
  83               3.85061419E+01   1.03876606E+03   8.38126285E-01   1.60458566E-01   7.74949739E-04   5.25280039E-04   4.06206451E-05   4.04156850E-05   2.32029695E-05   0.00000000E+00  
  84               4.30662470E+01   1.07275162E+03   8.38125997E-01   1.60457471E-01   7.74955190E-04   5.25283734E-04   4.06209309E-05   4.04159693E-05   2.34943625E-05   0.00000000E+00  
  85               4.80964906E+01   1.10748936E+03   8.38125372E-01   1.60456485E-01   7.74971202E-04   5.25294586E-04   4.06217702E-05   4.04168044E-05   2.42850925E-05   0.00000000E+00  
  86               5.36288234E+01   1.14242091E+03   8.38126127E-01   1.60455719E-01   7.74969114E-04   5.25293166E-04   4.06216610E-05   4.04166958E-05   2.42848968E-05   0.00000000E+00  
  87               5.97029896E+01   1.17793843E+03   8.38126815E-01   1.60455001E-01   7.74967042E-04   5.25291733E-04   4.06215539E-05   4.04165892E-05   2.42846644E-05   0.00000000E+00  
  88               6.63737166E+01   1.21375208E+03   8.38127417E-01   1.60454327E-01   7.74965247E-04   5.25290380E-04   4.06214675E-05   4.04165032E-05   2.42843766E-05   0.00000000E+00  
  89               7.37210298E+01   1.25024883E+03   8.38127925E-01   1.60453655E-01   7.74963663E-04   5.25288693E-04   4.06214199E-05   4.04164556E-05   2.42839986E-05   0.00000000E+00  
  90               8.18122686E+01   1.28728172E+03   8.38128292E-01   1.60452959E-01   7.74961230E-04   5.25284493E-04   4.06214449E-05   4.04164794E-05   2.42834918E-05   0.00000000E+00  
  91               9.07026435E+01   1.32486047E+03   8.38128485E-01   1.60452198E-01   7.74952153E-04   5.25268645E-04   4.06215729E-05   4.04166026E-05   2.42828036E-05   0.00000000E+00  
  92               1.00435920E+02   1.36281515E+03   8.38128512E-01   1.60451346E-01   7.74915310E-04   5.25210555E-04   4.06218089E-05   4.04168228E-05   2.42818727E-05   0.00000000E+00  
  93               1.11052929E+02   1.40111227E+03   8.38128483E-01   1.60450387E-01   7.74789602E-04   5.25026434E-04   4.06221209E-05   4.04170846E-05   2.42806173E-05   0.00000000E+00  
  94               1.22621929E+02   1.43972514E+03   8.38128638E-01   1.60449332E-01   7.74433406E-04   5.24535647E-04   4.06224391E-05   4.04172506E-05   2.42789246E-05   0.00000000E+00  
  95               1.35239577E+02   1.47867673E+03   8.38129333E-01   1.60448216E-01   7.73601732E-04   5.23462123E-04   4.06226766E-05   4.04170526E-05   2.42766096E-05   0.00000000E+00  
  96               1.49018306E+02   1.51815340E+03   8.38130977E-01   1.60447084E-01   7.72040892E-04   5.21580290E-04   4.06229252E-05   4.04161334E-05   2.42716696E-05   0.00000000E+00  
  97               1.64029885E+02   1.55794114E+03   8.38133266E-01   1.60445847E-01   7.69655970E-04   5.18915324E-04   4.06232631E-05   4.04135880E-05   2.42682985E-05   0.00000000E+00  
  98               1.80312055E+02   1.59809167E+03   8.38136203E-01   1.60444539E-01   7.66784821E-04   5.15590190E-04   4.06247164E-05   4.04086273E-05   2.42506738E-05   0.00000000E+00  
  99               1.97879319E+02   1.63819114E+03   8.38138571E-01   1.60442860E-01   7.63141713E-04   5.11716701E-04   4.06267055E-05   4.03983451E-05   2.42455126E-05   0.00000000E+00  
  100              2.16731355E+02   1.67836004E+03   8.38141077E-01   1.60441190E-01   7.60092654E-04   5.07263631E-04   4.06320153E-05   4.03846756E-05   2.41861596E-05   0.00000000E+00  
  101              2.36879449E+02   1.71814848E+03   8.38051119E-01   1.60421482E-01   7.55430025E-04   5.02351170E-04   4.06320824E-05   4.03582077E-05   2.41759438E-05   0.00000000E+00  
