# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  11               1.54989294E-03   8.73462376E+01   8.38209895E-01   1.60489876E-01   7.09761166E-04   4.64889467E-04   3.14265105E-05   5.40592301E-05   2.29863462E-05   2.54105730E-110 
  12               1.86997308E-03   9.12059733E+01   8.38209895E-01   1.60489876E-01   7.09761166E-04   4.64889468E-04   3.14265105E-05   5.40592302E-05   2.29863462E-05   2.31338349E-110 
  13               2.24038460E-03   9.46028844E+01   8.38209895E-01   1.60489876E-01   7.09761167E-04   4.64889468E-04   3.14265105E-05   5.40592302E-05   2.29863462E-05   2.11350860E-110 
  14               2.66931614E-03   9.88240657E+01   8.38209895E-01   1.60489876E-01   7.09761167E-04   4.64889468E-04   3.14265105E-05   5.40592302E-05   2.29863462E-05   1.93626726E-110 
  15               3.16623790E-03   1.02624675E+02   8.38208703E-01   1.60489648E-01   7.09760317E-04   4.64888911E-04   3.14264729E-05   5.40591655E-05   2.29863135E-05   1.39024388E-107 
  16               3.74229321E-03   1.07308198E+02   8.38206328E-01   1.60489193E-01   7.09759360E-04   4.64888284E-04   3.14264305E-05   5.40590926E-05   2.29862483E-05   8.28984319E-103 
  17               4.41055193E-03   1.11539176E+02   8.38194401E-01   1.60486909E-01   7.09753977E-04   4.64884759E-04   3.14261922E-05   5.40586826E-05   2.29859213E-05   7.63763464E-99  
  18               5.18603976E-03   1.16809684E+02   8.38128531E-01   1.60474297E-01   7.09708185E-04   4.64854765E-04   3.14241646E-05   5.40551949E-05   2.29841149E-05   2.66786002E-94  
  19               6.08597297E-03   1.21695431E+02   8.38209765E-01   1.60489851E-01   7.09847939E-04   4.64946303E-04   3.14303526E-05   5.40658393E-05   2.29863426E-05   1.91509176E-90  
  20               7.13035379E-03   1.27698586E+02   8.38209765E-01   1.60489851E-01   7.09847925E-04   4.64946294E-04   3.14303519E-05   5.40658382E-05   2.29863426E-05   4.18396651E-86  
  21               8.34220017E-03   1.33261923E+02   8.38209765E-01   1.60489851E-01   7.09847794E-04   4.64946208E-04   3.14303461E-05   5.40658282E-05   2.29863426E-05   1.94906295E-82  
  22               9.74843362E-03   1.40014470E+02   8.38209764E-01   1.60489851E-01   7.09847437E-04   4.64945975E-04   3.14303303E-05   5.40658010E-05   2.29863426E-05   2.26653308E-78  
  23               1.13799121E-02   1.46367770E+02   8.38209755E-01   1.60489849E-01   7.09847955E-04   4.64946314E-04   3.14303533E-05   5.40658404E-05   2.29863423E-05   6.82677020E-75  
  24               1.32726281E-02   1.53943630E+02   8.38209723E-01   1.60489843E-01   7.09847939E-04   4.64946303E-04   3.14303526E-05   5.40658393E-05   2.29863415E-05   4.08435764E-71  
  25               1.54690322E-02   1.60959211E+02   8.38209537E-01   1.60489807E-01   7.09847884E-04   4.64946267E-04   3.14303501E-05   5.40658350E-05   2.29863364E-05   6.12829909E-68  
  26               1.80195959E-02   1.69082456E+02   8.38208902E-01   1.60489686E-01   7.09847744E-04   4.64946176E-04   3.14303439E-05   5.40658244E-05   2.29863189E-05   1.37577605E-64  
  27               2.09817929E-02   1.76690083E+02   8.38205756E-01   1.60489083E-01   7.09847062E-04   4.64945729E-04   3.14303138E-05   5.40657725E-05   2.29862327E-05   9.85400707E-62  
  28               2.44206480E-02   1.85550615E+02   8.38196171E-01   1.60487248E-01   7.09846046E-04   4.64945064E-04   3.14302688E-05   5.40656951E-05   2.29859698E-05   1.06343896E-58  
  29               2.84090534E-02   1.94015898E+02   8.38151582E-01   1.60478711E-01   7.09839259E-04   4.64940618E-04   3.14299682E-05   5.40651781E-05   2.29847470E-05   4.59525504E-56  
  30               3.30290927E-02   2.04080054E+02   8.38057120E-01   1.60460624E-01   7.09839503E-04   4.64940778E-04   3.14299790E-05   5.40651967E-05   2.29821566E-05   3.27228323E-53  
  31               3.83773161E-02   2.12857540E+02   8.37783820E-01   1.60408296E-01   7.09600509E-04   4.64784238E-04   3.14193970E-05   5.40469936E-05   2.29746619E-05   5.97761666E-51  
  32               4.45697834E-02   2.22523326E+02   8.38208923E-01   1.60489690E-01   7.10407325E-04   4.65312698E-04   3.14551208E-05   5.41084451E-05   2.29863195E-05   1.15400832E-48  
  33               5.17440166E-02   2.30655995E+02   8.38208924E-01   1.60489690E-01   7.10406667E-04   4.65312267E-04   3.14550917E-05   5.41083950E-05   2.29863195E-05   6.76102381E-47  
  34               6.00602237E-02   2.39613504E+02   8.38208923E-01   1.60489690E-01   7.10407380E-04   4.65312734E-04   3.14551233E-05   5.41084493E-05   2.29863195E-05   4.36026385E-45  
  35               6.97077589E-02   2.47321866E+02   8.38208928E-01   1.60489691E-01   7.10403542E-04   4.65310220E-04   3.14549533E-05   5.41081569E-05   2.29863197E-05   1.21828780E-43  
  36               8.08994967E-02   2.56229013E+02   8.38208923E-01   1.60489690E-01   7.10407406E-04   4.65312751E-04   3.14551244E-05   5.41084513E-05   2.29863195E-05   4.48290400E-42  
  37               9.38750413E-02   2.64334345E+02   8.38208923E-01   1.60489690E-01   7.10407420E-04   4.65312760E-04   3.14551250E-05   5.41084523E-05   2.29863195E-05   9.55628496E-41  
  38               1.08914428E-01   2.74003810E+02   8.38208923E-01   1.60489690E-01   7.10407396E-04   4.65312745E-04   3.14551240E-05   5.41084505E-05   2.29863195E-05   2.92937116E-39  
  39               1.26330526E-01   2.83020725E+02   8.38208923E-01   1.60489690E-01   7.10407426E-04   4.65312764E-04   3.14551253E-05   5.41084528E-05   2.29863195E-05   5.72376389E-38  
  40               1.46485783E-01   2.93641163E+02   8.38208923E-01   1.60489690E-01   7.10407429E-04   4.65312766E-04   3.14551254E-05   5.41084530E-05   2.29863195E-05   1.51410142E-36  
  41               1.69797628E-01   3.03896355E+02   8.38208922E-01   1.60489690E-01   7.10407432E-04   4.65312768E-04   3.14551256E-05   5.41084532E-05   2.29863195E-05   2.86149300E-35  
  42               1.96729486E-01   3.16528565E+02   8.38208922E-01   1.60489690E-01   7.10407436E-04   4.65312770E-04   3.14551257E-05   5.41084535E-05   2.29863195E-05   8.32483055E-34  
  43               2.27754500E-01   3.30893349E+02   8.38208922E-01   1.60489690E-01   7.10407440E-04   4.65312773E-04   3.14551259E-05   5.41084539E-05   2.29863195E-05   2.82691894E-32  
  44               2.63435074E-01   3.45822718E+02   8.38208920E-01   1.60489689E-01   7.10407457E-04   4.65312785E-04   3.14551267E-05   5.41084552E-05   2.29863194E-05   8.07072193E-31  
  45               3.04437651E-01   3.61279511E+02   8.38208920E-01   1.60489689E-01   7.10407457E-04   4.65312784E-04   3.14551267E-05   5.41084551E-05   2.29863194E-05   1.93352524E-29  
  46               3.51527352E-01   3.77289310E+02   8.38208694E-01   1.60489645E-01   7.10407539E-04   4.65312838E-04   3.14551303E-05   5.41084614E-05   2.29863131E-05   3.93700992E-28  
  47               4.05543960E-01   3.93914802E+02   8.38208717E-01   1.60489623E-01   7.10407041E-04   4.65312512E-04   3.14551082E-05   5.41084235E-05   2.29863099E-05   6.93436115E-27  
  48               4.67426115E-01   4.11066104E+02   8.38208708E-01   1.60489618E-01   7.10414593E-04   4.65317459E-04   3.14554426E-05   5.41089987E-05   2.29863093E-05   1.04657124E-25  
  49               5.38225608E-01   4.28909151E+02   8.38208712E-01   1.60489613E-01   7.10414588E-04   4.65317455E-04   3.14554424E-05   5.41089983E-05   2.29863085E-05   1.39773767E-24  
  50               6.19151795E-01   4.47279641E+02   8.38208705E-01   1.60489599E-01   7.10414615E-04   4.65317473E-04   3.14554436E-05   5.41090004E-05   2.29863065E-05   1.62047538E-23  
  51               7.11548195E-01   4.66410637E+02   8.38208328E-01   1.60489513E-01   7.10414395E-04   4.65317329E-04   3.14554339E-05   5.41089836E-05   2.29862943E-05   1.69153589E-22  
  52               8.16881941E-01   4.86056415E+02   8.38205216E-01   1.60489211E-01   7.10420672E-04   4.65321440E-04   3.14557118E-05   5.41094617E-05   2.29862510E-05   1.54874266E-21  
  53               9.36794865E-01   5.06505755E+02   8.38205596E-01   1.60488840E-01   7.10415787E-04   4.65318240E-04   3.14554955E-05   5.41090896E-05   2.29861978E-05   1.29210103E-20  
  54               1.07326931E+00   5.27489660E+02   8.38205696E-01   1.60488641E-01   7.10470783E-04   4.65354262E-04   3.14579306E-05   5.41132784E-05   2.29861693E-05   9.58408768E-20  
  55               1.22859690E+00   5.49375478E+02   8.38206024E-01   1.60488314E-01   7.10470127E-04   4.65353833E-04   3.14579016E-05   5.41132285E-05   2.29861225E-05   6.57580322E-19  
  56               1.40521669E+00   5.71821980E+02   8.38206563E-01   1.60487777E-01   7.10469488E-04   4.65353415E-04   3.14578733E-05   5.41131798E-05   2.29860456E-05   4.05862518E-18  
  57               1.60570811E+00   5.95209357E+02   8.38207408E-01   1.60486935E-01   7.10467713E-04   4.65352252E-04   3.14577947E-05   5.41130446E-05   2.29859250E-05   2.33408588E-17  
  58               1.83283430E+00   6.19114295E+02   8.38208595E-01   1.60485752E-01   7.10465200E-04   4.65350606E-04   3.14576834E-05   5.41128532E-05   2.29857556E-05   1.21466247E-16  
  59               2.08996664E+00   6.44011002E+02   8.38210166E-01   1.60484188E-01   7.10461888E-04   4.65348436E-04   3.14575367E-05   5.41126009E-05   2.29855315E-05   5.93764069E-16  
  60               2.38109313E+00   6.69450917E+02   8.38212012E-01   1.60482348E-01   7.10457977E-04   4.65345874E-04   3.14573636E-05   5.41123030E-05   2.29852680E-05   2.65434763E-15  
  61               2.71031629E+00   6.95971354E+02   8.38214072E-01   1.60480294E-01   7.10453627E-04   4.65343026E-04   3.14571710E-05   5.41119717E-05   2.29849737E-05   1.12454613E-14  
  62               3.08182808E+00   7.22961112E+02   8.38216137E-01   1.60478230E-01   7.10449306E-04   4.65340195E-04   3.14569797E-05   5.41116426E-05   2.29846781E-05   4.37449598E-14  
  63               3.49994275E+00   7.51033512E+02   8.38218156E-01   1.60476194E-01   7.10445179E-04   4.65337492E-04   3.14567969E-05   5.41113283E-05   2.29843865E-05   1.61908090E-13  
  64               3.97008395E+00   7.79478478E+02   8.38219945E-01   1.60474341E-01   7.10441712E-04   4.65335221E-04   3.14566434E-05   5.41110642E-05   2.29841210E-05   5.52617483E-13  
  65               4.49971529E+00   8.09174284E+02   8.38221479E-01   1.60472608E-01   7.10442728E-04   4.65335886E-04   3.14566884E-05   5.41111415E-05   2.29838724E-05   1.81463650E-12  
  66               5.09643815E+00   8.39280249E+02   8.38222752E-01   1.60471108E-01   7.10440654E-04   4.65334528E-04   3.14565966E-05   5.41109836E-05   2.29836570E-05   5.54576636E-12  
  67               5.76764259E+00   8.70728132E+02   8.38224049E-01   1.60469794E-01   7.10441744E-04   4.65335242E-04   3.14566450E-05   5.41110667E-05   2.29836626E-05   1.63955000E-11  
  68               6.52043014E+00   9.02407114E+02   8.38225110E-01   1.60468694E-01   7.10439684E-04   4.65333893E-04   3.14565545E-05   5.41109097E-05   2.29929543E-05   4.51537285E-11  
  69               7.36157773E+00   9.35337080E+02   8.38225980E-01   1.60467706E-01   7.10438265E-04   4.65332963E-04   3.14564958E-05   5.41108016E-05   2.30191644E-05   1.20297833E-10  
  70               8.30121181E+00   9.68428548E+02   8.38226516E-01   1.60466848E-01   7.10438333E-04   4.65333008E-04   3.14565192E-05   5.41108068E-05   2.30891231E-05   3.00402126E-10  
  71               9.35119055E+00   1.00283442E+03   8.38226559E-01   1.60465996E-01   7.10441486E-04   4.65335073E-04   3.14567499E-05   5.41110470E-05   2.32734873E-05   7.29309289E-10  
  72               1.05229493E+01   1.03743170E+03   8.38225920E-01   1.60465151E-01   7.10460955E-04   4.65347825E-04   3.14579954E-05   5.41125298E-05   2.37127082E-05   1.67294495E-09  
  73               1.18278105E+01   1.07326929E+03   8.38225566E-01   1.60464362E-01   7.10459089E-04   4.65346601E-04   3.14594124E-05   5.41123879E-05   2.42862685E-05   3.73445797E-09  
  74               1.32777868E+01   1.10922079E+03   8.38226304E-01   1.60463617E-01   7.10456887E-04   4.65345150E-04   3.14648824E-05   5.41122211E-05   2.42860542E-05   7.91513129E-09  
  75               1.48852832E+01   1.14628726E+03   8.38227211E-01   1.60462684E-01   7.10454214E-04   4.65343343E-04   3.14840152E-05   5.41120234E-05   2.42857454E-05   1.63345870E-08  
  76               1.66703229E+01   1.18351288E+03   8.38228338E-01   1.60461478E-01   7.10450928E-04   4.65340866E-04   3.15466157E-05   5.41118072E-05   2.42853013E-05   3.22346433E-08  
  77               1.86554353E+01   1.22202917E+03   8.38229835E-01   1.60459759E-01   7.10445863E-04   4.65335852E-04   3.17365759E-05   5.41116008E-05   2.42846289E-05   6.23099393E-08  
  78               2.08618958E+01   1.26079392E+03   8.38231641E-01   1.60457368E-01   7.10433805E-04   4.65319690E-04   3.22765640E-05   5.41115621E-05   2.42836507E-05   1.15891207E-07  
  79               2.33094965E+01   1.30078645E+03   8.38233681E-01   1.60453909E-01   7.10388346E-04   4.65253554E-04   3.36805782E-05   5.41120116E-05   2.42821971E-05   2.11318980E-07  
  80               2.60163365E+01   1.34091366E+03   8.38235397E-01   1.60449179E-01   7.10199704E-04   4.64984657E-04   3.69459585E-05   5.41135454E-05   2.42801421E-05   3.71685151E-07  
  81               2.89996927E+01   1.38205446E+03   8.38236598E-01   1.60442754E-01   7.09493901E-04   4.64017313E-04   4.35079895E-05   5.41165951E-05   2.42772077E-05   6.40472103E-07  
  82               3.22921615E+01   1.42332900E+03   8.38238123E-01   1.60434930E-01   7.07232236E-04   4.61045145E-04   5.45234019E-05   5.41205657E-05   2.42731944E-05   1.06908470E-06  
  83               3.59504283E+01   1.46596595E+03   8.38243751E-01   1.60426092E-01   7.01303540E-04   4.53634183E-04   7.02315032E-05   5.41234532E-05   2.42674566E-05   1.75939969E-06  
  84               4.00335084E+01   1.50927651E+03   8.38258076E-01   1.60417569E-01   6.89135732E-04   4.39450765E-04   8.94691675E-05   5.41235662E-05   2.42588044E-05   2.83004166E-06  
  85               4.45922658E+01   1.55414294E+03   8.38281221E-01   1.60409289E-01   6.70248224E-04   4.18990692E-04   1.11619006E-04   5.41217614E-05   2.42430610E-05   4.49902008E-06  
  86               4.96513292E+01   1.59948916E+03   8.38305135E-01   1.60400623E-01   6.48070969E-04   3.95688004E-04   1.35117276E-04   5.41203457E-05   2.42098847E-05   6.98733180E-06  
  87               5.51968735E+01   1.64556772E+03   8.38329879E-01   1.60392133E-01   6.27499137E-04   3.70739544E-04   1.60037236E-04   5.41198078E-05   2.39709027E-05   1.06509547E-05  
  88               6.11669941E+01   1.69088627E+03   8.38341886E-01   1.60381485E-01   6.04634859E-04   3.47168474E-04   1.83473966E-04   5.41406119E-05   2.39502925E-05   1.57385090E-05  
  89               6.75364028E+01   1.73584692E+03   8.38351825E-01   1.60372541E-01   5.96254976E-04   3.21578149E-04   2.08933005E-04   5.41365122E-05   2.31013706E-05   2.27024702E-05  
  90               7.42287440E+01   1.77927716E+03   8.38367575E-01   1.60364768E-01   5.77053610E-04   3.00660381E-04   2.29689125E-04   5.41310997E-05   2.30556876E-05   3.17317452E-05  
  91               8.10261874E+01   1.82056729E+03   8.38373637E-01   1.60356813E-01   5.61978077E-04   2.81425946E-04   2.48750100E-04   5.41197470E-05   2.29707861E-05   4.29535798E-05  
  92               8.83459642E+01   1.86180243E+03   8.38362957E-01   1.60347280E-01   5.53043770E-04   2.62468394E-04   2.67510635E-04   5.40977731E-05   2.28002279E-05   5.72778446E-05  
  93               9.54483578E+01   1.89943176E+03   8.38335625E-01   1.60336969E-01   5.53631536E-04   2.44386246E-04   2.85397077E-04   5.40681517E-05   2.25197729E-05   7.36253105E-05  
  94               1.01938045E+02   1.93175205E+03   8.38289249E-01   1.60325538E-01   5.63878049E-04   2.27766429E-04   3.01839496E-04   5.40374528E-05   2.21618653E-05   9.05655204E-05  
  95               1.09044988E+02   1.96542871E+03   8.38231719E-01   1.60313948E-01   5.85831769E-04   2.09144148E-04   3.20284437E-04   5.39569714E-05   2.16945436E-05   1.11515277E-04  
  96               1.16841539E+02   2.00026622E+03   8.38215714E-01   1.60307389E-01   5.75392625E-04   1.98479458E-04   3.30728072E-04   5.38581656E-05   2.16687004E-05   1.37185858E-04  
  97               1.23851121E+02   2.03002084E+03   8.38202999E-01   1.60302737E-01   5.67179069E-04   1.90067232E-04   3.38938771E-04   5.37691754E-05   2.16455793E-05   1.62745597E-04  
  98               1.29824233E+02   2.05430755E+03   8.38189487E-01   1.60298863E-01   5.60939412E-04   1.83655434E-04   3.45174632E-04   5.36870914E-05   2.16258566E-05   1.86352465E-04  
  99               1.36541746E+02   2.08052148E+03   8.38171522E-01   1.60294586E-01   5.54658743E-04   1.77178017E-04   3.51450071E-04   5.35925414E-05   2.16036856E-05   2.14848678E-04  
  100              1.44073833E+02   2.10872365E+03   8.38148055E-01   1.60289830E-01   5.48374586E-04   1.70667489E-04   3.57728613E-04   5.34849385E-05   2.15786113E-05   2.49318630E-04  
  101              1.52493129E+02   2.13870960E+03   8.38078295E-01   1.60276982E-01   5.42239871E-04   1.64290436E-04   3.63815972E-04   5.33617414E-05   2.15497433E-05   2.90626718E-04  
