# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  63               1.97165713E+00   7.54643510E+02   8.38310150E-01   1.60486938E-01   6.16337867E-04   3.76457895E-04   1.14464168E-04   5.67959485E-05   2.29841431E-05   2.55493963E-13  
  64               2.22577250E+00   7.82375482E+02   8.38311413E-01   1.60485474E-01   6.16337035E-04   3.76457386E-04   1.14464013E-04   5.67958718E-05   2.29839331E-05   8.37436163E-13  
  65               2.51076074E+00   8.10705279E+02   8.38312400E-01   1.60484228E-01   6.16339766E-04   3.76459055E-04   1.14464520E-04   5.67961235E-05   2.29837543E-05   2.58510936E-12  
  66               2.83017443E+00   8.40002945E+02   8.38313417E-01   1.60483195E-01   6.16343145E-04   3.76461118E-04   1.14465148E-04   5.67964348E-05   2.29836057E-05   7.64859426E-12  
  67               3.18751618E+00   8.69885822E+02   8.38314258E-01   1.60482331E-01   6.16343229E-04   3.76461170E-04   1.14465164E-04   5.67964426E-05   2.29890238E-05   2.14129533E-11  
  68               3.58624118E+00   9.00659352E+02   8.38314941E-01   1.60481580E-01   6.16343855E-04   3.76461552E-04   1.14465281E-04   5.67965003E-05   2.30035932E-05   5.74987407E-11  
  69               4.03043980E+00   9.31941262E+02   8.38315417E-01   1.60480916E-01   6.16345360E-04   3.76462472E-04   1.14465564E-04   5.67966390E-05   2.30435268E-05   1.46544029E-10  
  70               4.52498185E+00   9.64097253E+02   8.38315587E-01   1.60480263E-01   6.16348814E-04   3.76464581E-04   1.14466221E-04   5.67969573E-05   2.31503930E-05   3.59507114E-10  
  71               5.07531491E+00   9.96776245E+02   8.38314941E-01   1.60479493E-01   6.16357255E-04   3.76469737E-04   1.14467854E-04   5.67977351E-05   2.34169706E-05   8.41993344E-10  
  72               5.68686163E+00   1.03031970E+03   8.38313991E-01   1.60478687E-01   6.16370351E-04   3.76477735E-04   1.14470548E-04   5.67989419E-05   2.42884835E-05   1.90483837E-09  
  73               6.36517972E+00   1.06432918E+03   8.38314829E-01   1.60477853E-01   6.16370006E-04   3.76477524E-04   1.14471461E-04   5.67989104E-05   2.42882873E-05   4.12871641E-09  
  74               7.11609791E+00   1.09913254E+03   8.38316006E-01   1.60476677E-01   6.16368636E-04   3.76476676E-04   1.14474663E-04   5.67987854E-05   2.42879927E-05   8.66251205E-09  
  75               7.94699442E+00   1.13437389E+03   8.38317708E-01   1.60474963E-01   6.16365897E-04   3.76474940E-04   1.14485791E-04   5.67985404E-05   2.42875466E-05   1.74867518E-08  
