# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  88               3.31955235E+01   2.69592237E+03   8.30475805E-01   1.59539838E-01   8.79579493E-03   5.26287450E-04   3.82328125E-04   5.94021748E-05   5.98306829E-05   1.17163062E-06  
  89               3.62941300E+01   2.74476596E+03   8.29292266E-01   1.59436733E-01   1.00828315E-02   5.25855830E-04   3.82119177E-04   5.92940719E-05   5.94209572E-05   1.17117827E-06  
  90               3.97037031E+01   2.79712839E+03   8.27874379E-01   1.59313205E-01   1.16247232E-02   5.25351059E-04   3.81863321E-04   5.91725428E-05   5.89815174E-05   1.16465101E-06  
  91               4.34546612E+01   2.84711418E+03   8.26424950E-01   1.59186950E-01   1.32008319E-02   5.24806043E-04   3.81649764E-04   5.90396914E-05   5.85303698E-05   1.17605272E-06  
  92               4.75993624E+01   2.89986204E+03   8.24742621E-01   1.59040403E-01   1.50301860E-02   5.24180386E-04   3.81408844E-04   5.88898691E-05   5.80494650E-05   1.18533296E-06  
  93               5.21717303E+01   2.95136032E+03   8.22991809E-01   1.58887910E-01   1.69339170E-02   5.23504475E-04   3.81209582E-04   5.87248624E-05   5.75522913E-05   1.20773325E-06  
  94               5.69436615E+01   3.00165728E+03   8.21146126E-01   1.58727156E-01   1.89407636E-02   5.22789667E-04   3.81021951E-04   5.85493315E-05   5.70566897E-05   1.23097129E-06  
  95               6.18061099E+01   3.04757193E+03   8.19377254E-01   1.58573109E-01   2.08639999E-02   5.22081495E-04   3.80893259E-04   5.83699878E-05   5.65818093E-05   1.26273559E-06  
  96               6.66533142E+01   3.09059748E+03   8.17622183E-01   1.58420267E-01   2.27721848E-02   5.21374214E-04   3.80787905E-04   5.81871070E-05   5.61288149E-05   1.29413195E-06  
  97               7.13233802E+01   3.12856893E+03   8.16017680E-01   1.58280550E-01   2.45165915E-02   5.20709975E-04   3.80730643E-04   5.80090620E-05   5.57145024E-05   1.32867585E-06  
  98               7.57121418E+01   3.16228672E+03   8.14537818E-01   1.58151691E-01   2.61254479E-02   5.20090415E-04   3.80697444E-04   5.78379197E-05   5.53402687E-05   1.36151929E-06  
  99               8.03953560E+01   3.19617804E+03   8.13003745E-01   1.58018118E-01   2.77931909E-02   5.19438053E-04   3.80686430E-04   5.76512391E-05   5.49566421E-05   1.39771218E-06  
  100              8.50858775E+01   3.22830845E+03   8.11505222E-01   1.57887645E-01   2.94222415E-02   5.18791956E-04   3.80695523E-04   5.74591550E-05   5.45869498E-05   1.43452158E-06  
  101              8.97902635E+01   3.25870102E+03   8.10054168E-01   1.57761311E-01   3.09996360E-02   5.18154731E-04   3.80727036E-04   5.72615489E-05   5.42304522E-05   1.47268224E-06  
