# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               H2S              Mg              
  44               2.45977553E-01   8.25442927E+02   8.38530629E-01   1.60516648E-01   1.48410186E-11   5.23709221E-04   3.18317266E-04   6.02097336E-05   2.29995532E-05   0.00000000E+00  
  45               2.79080805E-01   8.57634104E+02   8.38531438E-01   1.60515684E-01   4.67407086E-11   5.23708872E-04   3.18317054E-04   6.02096935E-05   2.30304392E-05   0.00000000E+00  
  46               3.16122930E-01   8.89128496E+02   8.38532879E-01   1.60513743E-01   1.31968770E-10   5.23709523E-04   3.18317450E-04   6.02097684E-05   2.31266442E-05   0.00000000E+00  
  47               3.57425183E-01   9.22603193E+02   8.38535690E-01   1.60509450E-01   3.68407228E-10   5.23716744E-04   3.18321839E-04   6.02105985E-05   2.34339068E-05   0.00000000E+00  
  48               4.03349254E-01   9.55325607E+02   8.38541614E-01   1.60501838E-01   9.33998051E-10   5.23703043E-04   3.18313511E-04   6.02090233E-05   2.42920016E-05   0.00000000E+00  
  49               4.54450926E-01   9.89904297E+02   8.38555225E-01   1.60488270E-01   2.33653320E-09   5.23679881E-04   3.18299433E-04   6.02063605E-05   2.42898735E-05   0.00000000E+00  
  50               5.11293553E-01   1.02377444E+03   8.38574724E-01   1.60468836E-01   5.38247503E-09   5.23647372E-04   3.18279673E-04   6.02026228E-05   2.42868040E-05   7.43819256E-16  
  51               5.74412850E-01   1.05966928E+03   8.38601478E-01   1.60442169E-01   1.23074477E-08   5.23605167E-04   3.18254016E-04   6.01977700E-05   2.42825353E-05   5.82641763E-15  
  52               6.44336716E-01   1.09453777E+03   8.38629759E-01   1.60413977E-01   2.59930224E-08   5.23560724E-04   3.18226984E-04   6.01926577E-05   2.42778971E-05   3.81624566E-14  
  53               7.21575553E-01   1.13157886E+03   8.38659742E-01   1.60384065E-01   5.47513640E-08   5.23515520E-04   3.18199419E-04   6.01874490E-05   2.42727330E-05   2.51617394E-13  
  54               8.06809467E-01   1.16740471E+03   8.38685214E-01   1.60358615E-01   1.07180215E-07   5.23476959E-04   3.18175613E-04   6.01829723E-05   2.42679248E-05   1.38285953E-12  
  55               9.00954660E-01   1.20561556E+03   8.38708431E-01   1.60335347E-01   2.10247788E-07   5.23443607E-04   3.18154137E-04   6.01790078E-05   2.42628341E-05   7.62175747E-12  
  56               1.00497292E+00   1.24254779E+03   8.38725888E-01   1.60317739E-01   3.86139444E-07   5.23419977E-04   3.18136506E-04   6.01759567E-05   2.42578970E-05   3.52257455E-11  
  57               1.11979838E+00   1.28203696E+03   8.38740485E-01   1.60302818E-01   7.12568244E-07   5.23404665E-04   3.18119832E-04   6.01734428E-05   2.42519083E-05   1.62846703E-10  
  58               1.24634944E+00   1.32008814E+03   8.38750505E-01   1.60292258E-01   1.23722289E-06   5.23402352E-04   3.18104626E-04   6.01716297E-05   2.42445569E-05   6.37564579E-10  
  59               1.38554291E+00   1.36076253E+03   8.38758115E-01   1.60283652E-01   2.15986591E-06   5.23415480E-04   3.18092291E-04   6.01702046E-05   2.42318344E-05   2.49518232E-09  
  60               1.53853250E+00   1.39859118E+03   8.38762187E-01   1.60278008E-01   3.50333567E-06   5.23453814E-04   3.18099916E-04   6.01693755E-05   2.42084251E-05   8.05672015E-09  
  61               1.70700197E+00   1.43900909E+03   8.38763965E-01   1.60273335E-01   5.71904134E-06   5.23527403E-04   3.18170766E-04   6.01689686E-05   2.41484496E-05   2.61153547E-08  
  62               1.89265942E+00   1.47723532E+03   8.38761592E-01   1.60269841E-01   8.82806557E-06   5.23656345E-04   3.18427183E-04   6.01694551E-05   2.40072822E-05   7.32774450E-08  
  63               2.09670079E+00   1.51890568E+03   8.38745545E-01   1.60264821E-01   1.38573640E-05   5.23872058E-04   3.19128114E-04   6.01720831E-05   2.36200747E-05   2.10619067E-07  
  64               2.31904016E+00   1.55967646E+03   8.38739248E-01   1.60265082E-01   2.09912952E-05   5.24312447E-04   3.20830882E-04   6.01911177E-05   2.18409373E-05   3.84715972E-07  
  65               2.55724332E+00   1.60293517E+03   8.38725884E-01   1.60262377E-01   3.19378060E-05   5.24683486E-04   3.23566201E-04   6.01925886E-05   2.18059925E-05   1.67650130E-06  
  66               2.80708761E+00   1.64210157E+03   8.38702384E-01   1.60259276E-01   4.56247077E-05   5.25180255E-04   3.28775502E-04   6.01993136E-05   2.16722889E-05   5.53033684E-06  
  67               3.06038689E+00   1.68207843E+03   8.38657611E-01   1.60254630E-01   6.47014786E-05   5.25752907E-04   3.37524058E-04   6.02113114E-05   2.13314309E-05   1.58528961E-05  
  68               3.30134324E+00   1.71544165E+03   8.38597419E-01   1.60249358E-01   8.52582110E-05   5.26418044E-04   3.49464723E-04   6.02390883E-05   2.08679102E-05   3.25470701E-05  
  69               3.51439701E+00   1.74540671E+03   8.38530728E-01   1.60247912E-01   1.08440054E-04   5.27182078E-04   3.61701440E-04   6.02884523E-05   2.01770832E-05   6.53519666E-05  
  70               3.73980175E+00   1.77346220E+03   8.38489574E-01   1.60242333E-01   1.34472519E-04   5.27495427E-04   3.69626871E-04   6.02903739E-05   2.01889875E-05   6.52722616E-05  
  71               3.92984135E+00   1.79803156E+03   8.38460889E-01   1.60239297E-01   1.61746162E-04   5.27876028E-04   3.73905976E-04   6.03096025E-05   2.01932760E-05   6.52045866E-05  
  72               4.07502230E+00   1.81442786E+03   8.38440483E-01   1.60237257E-01   1.82100039E-04   5.28028074E-04   3.75963156E-04   6.03095317E-05   2.01938412E-05   6.51557457E-05  
