# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  74               6.01384262E+00   1.80936186E+03   8.38470708E-01   1.60241204E-01   5.24957169E-04   3.78425069E-04   1.43739631E-04   6.01074055E-05   5.28332916E-06   2.02801601E-05  
  75               6.29931356E+00   1.83217962E+03   8.38445581E-01   1.60238593E-01   5.25530079E-04   3.80364146E-04   1.69362421E-04   6.01238521E-05   4.81693469E-06   2.02829198E-05  
  76               6.52334220E+00   1.84820250E+03   8.38426898E-01   1.60236778E-01   5.25847000E-04   3.80845217E-04   1.89296726E-04   6.01229103E-05   4.54390112E-06   2.02830982E-05  
  77               6.77504469E+00   1.86722886E+03   8.38402658E-01   1.60234502E-01   5.26133593E-04   3.80823858E-04   2.15819599E-04   6.01217797E-05   4.22515107E-06   2.02798379E-05  
  78               7.05842405E+00   1.88643869E+03   8.38375837E-01   1.60232046E-01   5.26389064E-04   3.80596275E-04   2.45288548E-04   6.01202679E-05   3.95716491E-06   2.02743026E-05  
  79               7.37626889E+00   1.90874532E+03   8.38340690E-01   1.60228868E-01   5.26543753E-04   3.80254060E-04   2.84045957E-04   6.01160901E-05   3.65679824E-06   2.02630882E-05  
  80               7.60836543E+00   1.92330896E+03   8.38285210E-01   1.60220812E-01   5.26951882E-04   3.80221655E-04   3.11589697E-04   6.01675611E-05   3.49460055E-06   2.02534187E-05  
  81               7.77044033E+00   1.93445870E+03   8.38264344E-01   1.60218958E-01   5.27002802E-04   3.80019062E-04   3.34563130E-04   6.01658967E-05   3.36167533E-06   2.02444862E-05  
  82               7.95492520E+00   1.94544133E+03   8.38242915E-01   1.60217052E-01   5.27083538E-04   3.79871596E-04   3.58034080E-04   6.01641346E-05   3.25564572E-06   2.02355475E-05  
  83               8.16545538E+00   1.95917631E+03   8.38213829E-01   1.60214457E-01   5.27193251E-04   3.79714039E-04   3.89864111E-04   6.01620234E-05   3.11246911E-06   2.02217053E-05  
  84               8.40487168E+00   1.97300960E+03   8.38182872E-01   1.60211712E-01   5.27305033E-04   3.79576244E-04   4.23655740E-04   6.01595506E-05   2.99336105E-06   2.02070766E-05  
  85               8.67615053E+00   1.98969053E+03   8.38142068E-01   1.60208091E-01   5.27429519E-04   3.79410520E-04   4.68210693E-04   6.01564204E-05   2.84403089E-06   2.01858101E-05  
  86               8.98247478E+00   2.00663922E+03   8.38097605E-01   1.60204167E-01   5.27543022E-04   3.79284927E-04   5.16650448E-04   6.01526406E-05   2.71766583E-06   2.01627847E-05  
  87               9.32700008E+00   2.02645151E+03   8.38040360E-01   1.60199117E-01   5.27664487E-04   3.79105944E-04   5.79108254E-04   6.01477756E-05   2.56894835E-06   2.01308956E-05  
  88               9.71490800E+00   2.04674276E+03   8.37976723E-01   1.60193520E-01   5.27768440E-04   3.78936515E-04   6.48487407E-04   6.01416424E-05   2.44203791E-06   2.00952800E-05  
  89               1.01502911E+01   2.06994244E+03   8.37895762E-01   1.60186407E-01   5.27876927E-04   3.78748142E-04   7.36733880E-04   6.01339174E-05   2.29945904E-06   2.00484592E-05  
  90               1.06374536E+01   2.09373080E+03   8.37804589E-01   1.60178414E-01   5.27963830E-04   3.78575132E-04   8.36055105E-04   6.01242143E-05   2.17757343E-06   1.99959474E-05  
  91               1.11809688E+01   2.12029081E+03   8.37690525E-01   1.60168421E-01   5.28049240E-04   3.78386973E-04   9.60287352E-04   6.01122463E-05   2.04703796E-06   1.99294623E-05  
  92               1.17856670E+01   2.14751752E+03   8.37560936E-01   1.60157086E-01   5.28110974E-04   3.78213275E-04   1.10137609E-03   6.00976310E-05   1.93546007E-06   1.98550247E-05  
  93               1.24567324E+01   2.17728069E+03   8.37401492E-01   1.60143146E-01   5.28164530E-04   3.78027842E-04   1.27494235E-03   6.00803397E-05   1.82096351E-06   1.97639836E-05  
  94               1.31996867E+01   2.20778639E+03   8.37219235E-01   1.60127227E-01   5.28193571E-04   3.77853728E-04   1.47329423E-03   6.00600130E-05   1.72294507E-06   1.96625088E-05  
  95               1.40205459E+01   2.24048277E+03   8.36999055E-01   1.60108003E-01   5.28207743E-04   3.77670851E-04   1.71289290E-03   6.00367918E-05   1.62653290E-06   1.95425172E-05  
  96               1.49257975E+01   2.27401827E+03   8.36746345E-01   1.60085952E-01   5.28196846E-04   3.77494656E-04   1.98784997E-03   6.00101367E-05   1.54360042E-06   1.94095225E-05  
  97               1.59226470E+01   2.30928575E+03   8.36445361E-01   1.60059488E-01   5.28163510E-04   3.77326365E-04   2.31313616E-03   5.99797519E-05   1.46578833E-06   1.92574881E-05  
  98               1.70184028E+01   2.34555975E+03   8.36092481E-01   1.60029237E-01   5.28133147E-04   3.83428790E-04   2.68786258E-03   5.99478912E-05   1.37497581E-06   1.91226160E-05  
  99               1.82218081E+01   2.38300183E+03   8.35694290E-01   1.59994519E-01   5.28048622E-04   3.83351290E-04   3.12088786E-03   5.99096933E-05   1.31560986E-06   1.89368999E-05  
  100              1.95427567E+01   2.42177942E+03   8.35232667E-01   1.59954277E-01   5.27936271E-04   3.83243361E-04   3.62291768E-03   5.98670152E-05   1.26234488E-06   1.87318289E-05  
  101              2.09918939E+01   2.46112960E+03   8.34711966E-01   1.59908891E-01   5.27793216E-04   3.83121510E-04   4.18919825E-03   5.98192717E-05   1.21884276E-06   1.85130155E-05  
