# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                CH4              N2               H2S             
  82               1.06915895E+01   1.91738663E+03   8.38366049E-01   1.60232797E-01   5.23224029E-04   3.83798426E-04   2.51611882E-04   7.09230618E-06   5.99553676E-05   2.03627974E-05  
  83               1.11606215E+01   1.93860844E+03   8.38333435E-01   1.60229762E-01   5.23664161E-04   3.83312586E-04   2.87722176E-04   6.63054564E-06   5.99375668E-05   2.03528558E-05  
  84               1.15060697E+01   1.95384541E+03   8.38276913E-01   1.60221517E-01   5.23937505E-04   3.82983808E-04   3.16196935E-04   6.32566633E-06   5.99597522E-05   2.03428805E-05  
  85               1.17530897E+01   1.96443701E+03   8.38257743E-01   1.60219780E-01   5.24122968E-04   3.82770910E-04   3.37307514E-04   6.12833905E-06   5.99461978E-05   2.03354073E-05  
  86               1.20355341E+01   1.97643040E+03   8.38234718E-01   1.60217686E-01   5.24323811E-04   3.82554873E-04   3.62618694E-04   5.91458206E-06   5.99379678E-05   2.03259256E-05  
  87               1.23573644E+01   1.98970480E+03   8.38207625E-01   1.60215233E-01   5.24528898E-04   3.82316081E-04   3.92375259E-04   5.69454915E-06   5.99310173E-05   2.03140679E-05  
  88               1.27227833E+01   2.00453684E+03   8.38175123E-01   1.60212306E-01   5.24744057E-04   3.82091561E-04   4.27986125E-04   5.46189134E-06   5.99236736E-05   2.02992653E-05  
  89               1.31360383E+01   2.02077276E+03   8.38136885E-01   1.60208877E-01   5.24957880E-04   3.81833911E-04   4.69877308E-04   5.22780332E-06   5.99153671E-05   2.02808704E-05  
  90               1.36014835E+01   2.03866135E+03   8.38091158E-01   1.60204795E-01   5.25175149E-04   3.81603431E-04   5.19865721E-04   4.98686705E-06   5.99058457E-05   2.02582353E-05  
  91               1.41262620E+01   2.05809804E+03   8.38037186E-01   1.60199997E-01   5.25385403E-04   3.81336619E-04   5.78886234E-04   4.74912452E-06   5.98947612E-05   2.02304294E-05  
  92               1.47160457E+01   2.07933955E+03   8.37972558E-01   1.60194271E-01   5.25592370E-04   3.81064901E-04   6.49496286E-04   4.50997948E-06   5.98820878E-05   2.01962709E-05  
  93               1.53768253E+01   2.10215273E+03   8.37896295E-01   1.60187535E-01   5.25785822E-04   3.80798374E-04   7.32746990E-04   4.27921216E-06   5.98674049E-05   2.01553859E-05  
  94               1.61149274E+01   2.12678778E+03   8.37805242E-01   1.60179513E-01   5.25968930E-04   3.80531889E-04   8.32075214E-04   4.05252345E-06   5.98507164E-05   2.01060459E-05  
  95               1.69370644E+01   2.15294410E+03   8.37698182E-01   1.60170103E-01   5.26132078E-04   3.80274920E-04   9.48790233E-04   3.83897055E-06   5.98315237E-05   2.00480201E-05  
  96               1.78503716E+01   2.18088886E+03   8.37570857E-01   1.60158931E-01   5.26278925E-04   3.80021242E-04   1.08753288E-03   3.63340401E-06   5.98098394E-05   1.99792469E-05  
  97               1.88625049E+01   2.21022395E+03   8.37422083E-01   1.60145899E-01   5.26400177E-04   3.79780221E-04   1.24957621E-03   3.44451948E-06   5.97850698E-05   1.98999467E-05  
  98               1.99816933E+01   2.24126658E+03   8.37246117E-01   1.60130503E-01   5.26500273E-04   3.79544036E-04   1.44117633E-03   3.26590032E-06   5.97572342E-05   1.98076754E-05  
  99               2.12168882E+01   2.27349459E+03   8.37042365E-01   1.60112695E-01   5.26570073E-04   3.79322489E-04   1.66296459E-03   3.10619546E-06   5.97256300E-05   1.97035302E-05  
  100              2.25777998E+01   2.30735126E+03   8.36800801E-01   1.60091393E-01   5.26613986E-04   3.79104326E-04   1.92370291E-03   2.95702277E-06   5.96901697E-05   1.95843392E-05  
  101              2.40745649E+01   2.34211961E+03   8.36518350E-01   1.60067266E-01   5.26677502E-04   3.85104955E-04   2.22197385E-03   2.78257111E-06   5.96528671E-05   1.94861247E-05  
