# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  55               8.33441860E-01   1.23511802E+03   8.38757781E-01   1.60314069E-01   3.72281616E-07   5.04701316E-04   2.83445091E-04   6.02648922E-05   4.26486155E-05   2.42573463E-05  
  56               9.33688989E-01   1.27189367E+03   8.38770143E-01   1.60302101E-01   6.60110441E-07   5.04881016E-04   2.83187507E-04   6.02590634E-05   4.20078965E-05   2.42521434E-05  
  57               1.04614669E+00   1.31041160E+03   8.38780612E-01   1.60292777E-01   1.16161146E-06   5.05291691E-04   2.82646566E-04   6.02534562E-05   4.04189844E-05   2.42451126E-05  
  58               1.17272918E+00   1.34613643E+03   8.38788828E-01   1.60287063E-01   1.89316314E-06   5.06059315E-04   2.81659247E-04   6.02484806E-05   3.72640675E-05   2.42354227E-05  
  59               1.31566057E+00   1.38385436E+03   8.38796870E-01   1.60282827E-01   3.08517292E-06   5.07315258E-04   2.80098133E-04   6.02441281E-05   3.22854022E-05   2.42163818E-05  
  60               1.47720004E+00   1.41910194E+03   8.38801608E-01   1.60280085E-01   4.72546503E-06   5.09131361E-04   2.78066501E-04   6.02406556E-05   2.66142685E-05   2.41789699E-05  
  61               1.65928308E+00   1.45699673E+03   8.38806108E-01   1.60278245E-01   7.31356858E-06   5.11554434E-04   2.76001254E-04   6.02407717E-05   2.10788821E-05   2.38951851E-05  
  62               1.86276117E+00   1.49320591E+03   8.38803119E-01   1.60275829E-01   1.08226117E-05   5.14318364E-04   2.74388695E-04   6.02406636E-05   1.70904823E-05   2.38779727E-05  
  63               2.08677497E+00   1.53305894E+03   8.38785808E-01   1.60271743E-01   1.63733885E-05   5.17363077E-04   2.76074219E-04   6.02465367E-05   1.33645877E-05   2.33564041E-05  
  64               2.32664364E+00   1.57194595E+03   8.38770425E-01   1.60270610E-01   2.39985221E-05   5.20307130E-04   2.85279843E-04   6.02660034E-05   1.02427517E-05   2.18332055E-05  
  65               2.57772646E+00   1.61580740E+03   8.38752203E-01   1.60267526E-01   3.63974925E-05   5.22654130E-04   2.87798737E-04   6.02697002E-05   7.85287554E-06   2.17711302E-05  
  66               2.83146646E+00   1.65724216E+03   8.38719323E-01   1.60263580E-01   5.28270123E-05   5.24463138E-04   2.95719269E-04   6.02835728E-05   6.06219803E-06   2.15588692E-05  
  67               3.07309798E+00   1.69364977E+03   8.38662068E-01   1.60257391E-01   7.20926261E-05   5.25786376E-04   3.13840933E-04   6.03073399E-05   4.72984454E-06   2.11687572E-05  
  68               3.29236279E+00   1.72512826E+03   8.38587705E-01   1.60250209E-01   9.33102018E-05   5.26790434E-04   3.42310671E-04   6.03451638E-05   3.71379341E-06   2.06823087E-05  
  69               3.48139328E+00   1.75058706E+03   8.38511258E-01   1.60244612E-01   1.14086226E-04   5.27516852E-04   3.78208176E-04   6.03781022E-05   2.96825068E-06   2.01757974E-05  
  70               3.68780107E+00   1.77755704E+03   8.38474713E-01   1.60239944E-01   1.40281689E-04   5.27830282E-04   3.79446242E-04   6.03746526E-05   2.63301442E-06   2.01855825E-05  
  71               3.87008177E+00   1.79998952E+03   8.38451568E-01   1.60237821E-01   1.65692229E-04   5.28072817E-04   3.79228624E-04   6.03883868E-05   2.39752616E-06   2.01892680E-05  
  72               4.02032880E+00   1.81820568E+03   8.38430241E-01   1.60235889E-01   1.89133451E-04   5.28230921E-04   3.79019550E-04   6.03846991E-05   2.22476139E-06   2.01887231E-05  
  73               4.18911529E+00   1.83762464E+03   8.38404803E-01   1.60233604E-01   2.17021262E-04   5.28383328E-04   3.78820029E-04   6.03796488E-05   2.06315472E-06   2.01848780E-05  
  74               4.37802409E+00   1.85899619E+03   8.38373134E-01   1.60230775E-01   2.51686620E-04   5.28533545E-04   3.78615818E-04   6.03721646E-05   1.90170498E-06   2.01762238E-05  
