# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H                H2O              N2               CH4              H2S             
  55               8.74047692E-01   1.12060841E+03   8.38622687E-01   1.60414508E-01   4.69162763E-04   3.94486882E-08   3.16139958E-04   6.00611058E-05   8.03724323E-05   2.42777060E-05  
  56               9.77352845E-01   1.15792399E+03   8.38651220E-01   1.60386011E-01   4.69148080E-04   8.06746895E-08   3.16106826E-04   6.00586901E-05   8.03535051E-05   2.42726028E-05  
  57               1.09178758E+00   1.19410640E+03   8.38675726E-01   1.60361513E-01   4.69192297E-04   1.54085650E-07   3.16047710E-04   6.00571997E-05   8.02842387E-05   2.42677269E-05  
  58               1.21860524E+00   1.23289562E+03   8.38698621E-01   1.60338689E-01   4.69406688E-04   2.96026672E-07   3.15882377E-04   6.00570201E-05   8.00011214E-05   2.42623685E-05  
  59               1.35921529E+00   1.27045799E+03   8.38716685E-01   1.60321260E-01   4.70041208E-04   5.34173636E-07   3.15368769E-04   6.00581199E-05   7.89662332E-05   2.42569758E-05  
  60               1.51563259E+00   1.30891715E+03   8.38732825E-01   1.60307436E-01   4.71489658E-04   9.42672126E-07   3.14037978E-04   6.00602110E-05   7.60634100E-05   2.42505566E-05  
  61               1.69095526E+00   1.34393836E+03   8.38746771E-01   1.60298880E-01   4.74168109E-04   1.52577820E-06   3.11301118E-04   6.00626472E-05   7.00415338E-05   2.42430141E-05  
  62               1.88924166E+00   1.38109785E+03   8.38761937E-01   1.60292333E-01   4.78385903E-04   2.47631581E-06   3.06734007E-04   6.00650010E-05   6.06257992E-05   2.42299569E-05  
  63               2.11550335E+00   1.41547972E+03   8.38773754E-01   1.60288426E-01   4.83958028E-04   3.76109054E-06   3.00751744E-04   6.00678101E-05   5.05373832E-05   2.42071038E-05  
  64               2.37409667E+00   1.45289234E+03   8.38784545E-01   1.60285228E-01   4.90536825E-04   5.80216496E-06   2.94206286E-04   6.00712060E-05   4.08998859E-05   2.40478747E-05  
  65               2.66776742E+00   1.48851972E+03   8.38787821E-01   1.60282265E-01   4.96991095E-04   8.54244064E-06   2.88386735E-04   6.00785045E-05   3.39600644E-05   2.40326672E-05  
  66               2.99711738E+00   1.52832512E+03   8.38774791E-01   1.60276852E-01   5.03353888E-04   1.29355045E-05   2.85685869E-04   6.00831422E-05   2.72732854E-05   2.37179907E-05  
  67               3.35543238E+00   1.56724055E+03   8.38761332E-01   1.60274689E-01   5.09314247E-04   1.89764419E-05   2.95950876E-04   6.01115047E-05   2.12046076E-05   2.19289918E-05  
  68               3.73713930E+00   1.61114542E+03   8.38753524E-01   1.60271814E-01   5.13888259E-04   2.87969309E-05   2.93937454E-04   6.01169404E-05   1.66565091E-05   2.19002529E-05  
  69               4.13589667E+00   1.65564244E+03   8.38731331E-01   1.60267864E-01   5.17594741E-04   4.30242272E-05   2.95955425E-04   6.01250361E-05   1.29338008E-05   2.17699786E-05  
  70               4.53329685E+00   1.69668104E+03   8.38688682E-01   1.60262582E-01   5.20440674E-04   6.10820753E-05   3.07832023E-04   6.01445536E-05   1.00737364E-05   2.14540095E-05  
  71               4.90656935E+00   1.73269806E+03   8.38613754E-01   1.60253965E-01   5.22623361E-04   8.18780153E-05   3.32118193E-04   6.01730532E-05   7.86247034E-06   2.09781760E-05  
  72               5.23999893E+00   1.76307002E+03   8.38515145E-01   1.60246225E-01   5.24512233E-04   1.03793760E-04   3.82240781E-04   6.02331692E-05   5.94127194E-06   2.02542095E-05  
  73               5.53177085E+00   1.78836611E+03   8.38495337E-01   1.60244186E-01   5.25119294E-04   1.25633008E-04   3.82192846E-04   6.02292136E-05   5.33411647E-06   2.02656678E-05  
  74               5.85640522E+00   1.81534750E+03   8.38460528E-01   1.60239844E-01   5.25651848E-04   1.53059187E-04   3.81595511E-04   6.02236704E-05   4.77820516E-06   2.02725191E-05  
  75               6.13215805E+00   1.83721863E+03   8.38437344E-01   1.60237659E-01   5.26034336E-04   1.78790335E-04   3.81173786E-04   6.02370294E-05   4.38898412E-06   2.02742436E-05  
  76               6.34949625E+00   1.85401770E+03   8.38417327E-01   1.60235800E-01   5.26293643E-04   2.00939651E-04   3.80874614E-04   6.02316654E-05   4.11901189E-06   2.02729234E-05  
  77               6.59357313E+00   1.87220251E+03   8.38393324E-01   1.60233597E-01   5.26545367E-04   2.27408391E-04   3.80582203E-04   6.02255817E-05   3.85576508E-06   2.02689406E-05  
  78               6.86647597E+00   1.89202149E+03   8.38364133E-01   1.60230943E-01   5.26792861E-04   2.59514732E-04   3.80289497E-04   6.02174051E-05   3.59500893E-06   2.02613391E-05  
  79               7.17255612E+00   1.91335045E+03   8.38298006E-01   1.60221859E-01   5.27008062E-04   2.98106129E-04   3.79992549E-04   6.02066372E-05   3.34522944E-06   2.02486670E-05  
  80               7.51877083E+00   1.93674833E+03   8.38254425E-01   1.60217970E-01   5.27229551E-04   3.45827084E-04   3.79710212E-04   6.01915677E-05   3.09912406E-06   2.02307954E-05  
  81               7.78421679E+00   1.95391525E+03   8.38218896E-01   1.60214803E-01   5.27383375E-04   3.84612346E-04   3.79538164E-04   6.02229006E-05   2.93843439E-06   2.02146662E-05  
  82               7.97948449E+00   1.96642081E+03   8.38190982E-01   1.60212325E-01   5.27478791E-04   4.15125468E-04   3.79401989E-04   6.02107764E-05   2.82774510E-06   2.02009702E-05  
  83               8.20134267E+00   1.98009765E+03   8.38158432E-01   1.60209443E-01   5.27576424E-04   4.50630759E-04   3.79291307E-04   6.02019807E-05   2.71647217E-06   2.01846257E-05  
  84               8.45239034E+00   1.99543955E+03   8.38119173E-01   1.60205972E-01   5.27678725E-04   4.93475605E-04   3.79143445E-04   6.01949924E-05   2.59794207E-06   2.01637711E-05  
  85               8.73533069E+00   2.01202667E+03   8.38073408E-01   1.60201937E-01   5.27776517E-04   5.43329741E-04   3.79035027E-04   6.01881226E-05   2.48141244E-06   2.01391053E-05  
  86               9.05284747E+00   2.03034519E+03   8.38018523E-01   1.60197105E-01   5.27874782E-04   6.03186736E-04   3.78878206E-04   6.01808353E-05   2.36099516E-06   2.01082221E-05  
  87               9.40751427E+00   2.04991223E+03   8.37954732E-01   1.60191499E-01   5.27964739E-04   6.72723053E-04   3.78722894E-04   6.01723538E-05   2.24549977E-06   2.00717611E-05  
  88               9.80485390E+00   2.07134107E+03   8.37878033E-01   1.60184768E-01   5.28051644E-04   7.56300840E-04   3.78560802E-04   6.01627312E-05   2.12835273E-06   2.00271967E-05  
  89               1.02486522E+01   2.09413287E+03   8.37788437E-01   1.60176916E-01   5.28127231E-04   8.53894971E-04   3.78401028E-04   6.01514939E-05   2.01773162E-06   1.99749580E-05  
  90               1.07428878E+01   2.11877861E+03   8.37681184E-01   1.60167526E-01   5.28195376E-04   9.70692483E-04   3.78236341E-04   6.01387443E-05   1.90825419E-06   1.99122641E-05  
  91               1.12918198E+01   2.14472099E+03   8.37556285E-01   1.60156603E-01   5.28248754E-04   1.10666991E-03   3.78075015E-04   6.01239867E-05   1.80712298E-06   1.98399057E-05  
  92               1.18999612E+01   2.17246446E+03   8.37407525E-01   1.60143601E-01   5.28290693E-04   1.26859420E-03   3.77909544E-04   6.01073065E-05   1.70906716E-06   1.97546237E-05  
  93               1.25722034E+01   2.20137667E+03   8.37235229E-01   1.60128553E-01   5.28314730E-04   1.45610346E-03   3.77747662E-04   6.00881660E-05   1.62048529E-06   1.96578871E-05  
  94               1.33137866E+01   2.23198656E+03   8.37031409E-01   1.60110759E-01   5.28323577E-04   1.67789269E-03   3.77581470E-04   6.00666052E-05   1.53617954E-06   1.95459823E-05  
  95               1.41304698E+01   2.26357335E+03   8.36797304E-01   1.60090331E-01   5.28311629E-04   1.93260550E-03   3.77418544E-04   6.00420540E-05   1.46191711E-06   1.94214681E-05  
  96               1.50285115E+01   2.29674382E+03   8.36520479E-01   1.60065977E-01   5.28279810E-04   2.23162032E-03   3.77249382E-04   6.00143630E-05   1.39228277E-06   1.92799251E-05  
  97               1.60148864E+01   2.33067196E+03   8.36199593E-01   1.60038514E-01   5.28251636E-04   2.57156126E-03   3.83357545E-04   5.99849431E-05   1.31090815E-06   1.91585734E-05  
  98               1.70966944E+01   2.36606202E+03   8.35835736E-01   1.60006789E-01   5.28175618E-04   2.96724786E-03   3.83282576E-04   5.99502963E-05   1.25633723E-06   1.89855976E-05  
  99               1.82824392E+01   2.40194510E+03   8.35427310E-01   1.59971186E-01   5.28073957E-04   3.41140932E-03   3.83195382E-04   5.99114061E-05   1.21153798E-06   1.88007140E-05  
  100              1.95818427E+01   2.43922875E+03   8.34955570E-01   1.59930067E-01   5.27946832E-04   3.92443907E-03   3.83087746E-04   5.98680913E-05   1.17055797E-06   1.85970951E-05  
  101              2.10052503E+01   2.47673160E+03   8.34433506E-01   1.59884568E-01   5.27791864E-04   4.49219566E-03   3.82970292E-04   5.98197990E-05   1.13915305E-06   1.83840893E-05  
