# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  63               1.65778795E+01   1.57717991E+03   8.38566240E-01   1.60335573E-01   4.53948428E-04   9.51825871E-06   3.32781304E-04   1.97880758E-04   5.81534436E-05   2.39236203E-05  
  64               1.88395500E+01   1.61710189E+03   8.38569447E-01   1.60327165E-01   4.37694579E-04   1.36437983E-05   3.49302456E-04   1.81287395E-04   5.81474688E-05   2.39029996E-05  
  65               2.13226422E+01   1.65945975E+03   8.38573134E-01   1.60319897E-01   4.35501208E-04   1.96744511E-05   3.69977519E-04   1.60531655E-04   5.81612361E-05   2.26673008E-05  
  66               2.39960304E+01   1.70361948E+03   8.38583968E-01   1.60313458E-01   4.20087691E-04   2.83349112E-05   3.86677632E-04   1.43742964E-04   5.81446849E-05   2.26143118E-05  
  67               2.68174737E+01   1.75087371E+03   8.38583137E-01   1.60305177E-01   4.06974121E-04   4.12117599E-05   4.04528895E-04   1.25783700E-04   5.81231456E-05   2.24849998E-05  
  68               2.96897145E+01   1.80134555E+03   8.38559548E-01   1.60294053E-01   4.03022184E-04   6.05095817E-05   4.24601033E-04   1.05589588E-04   5.81077392E-05   2.21411660E-05  
  69               3.24823273E+01   1.84155721E+03   8.38499529E-01   1.60281498E-01   4.16390028E-04   8.04438658E-05   4.39177245E-04   9.09120566E-05   5.80755116E-05   2.16592262E-05  
  70               3.49702699E+01   1.88021310E+03   8.38419617E-01   1.60269044E-01   4.51135554E-04   1.05059284E-04   4.55597997E-04   7.44206437E-05   5.80723119E-05   2.09612946E-05  
  71               3.70663927E+01   1.90609607E+03   8.38407692E-01   1.60266130E-01   4.46786242E-04   1.24227778E-04   4.59933772E-04   7.00203301E-05   5.80323191E-05   2.09524920E-05  
  72               3.93886296E+01   1.93915375E+03   8.38388750E-01   1.60261775E-01   4.40555615E-04   1.53767163E-04   4.66146009E-04   6.37248628E-05   5.80079805E-05   2.09311284E-05  
  73               4.19513031E+01   1.96808974E+03   8.38355168E-01   1.60256006E-01   4.36712454E-04   1.83206545E-04   4.69951800E-04   5.98295230E-05   5.79578196E-05   2.09180787E-05  
  74               4.40098312E+01   1.99524572E+03   8.38330506E-01   1.60252054E-01   4.32529270E-04   2.16002364E-04   4.74117773E-04   5.55874195E-05   5.79359890E-05   2.08973266E-05  
  75               4.55594419E+01   2.01022237E+03   8.38314768E-01   1.60250095E-01   4.31133188E-04   2.35065736E-04   4.75494906E-04   5.41613128E-05   5.79009743E-05   2.08907707E-05  
  76               4.73147033E+01   2.03251195E+03   8.38288759E-01   1.60246508E-01   4.28091515E-04   2.67695684E-04   4.78527259E-04   5.10618413E-05   5.78815086E-05   2.08710589E-05  
