# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  87               1.21779737E+02   1.18956410E+03   8.38100574E-01   1.60457841E-01   7.80290766E-04   5.30856477E-04   6.73351280E-05   2.71182973E-05   2.42851507E-05   0.00000000E+00  
  88               1.34822186E+02   1.22428835E+03   8.38101109E-01   1.60457244E-01   7.80286321E-04   5.30851095E-04   6.73347368E-05   2.71181529E-05   2.42849158E-05   0.00000000E+00  
  89               1.49118542E+02   1.25936626E+03   8.38101576E-01   1.60456685E-01   7.80281690E-04   5.30839388E-04   6.73343684E-05   2.71180554E-05   2.42846228E-05   0.00000000E+00  
  90               1.64791316E+02   1.29508797E+03   8.38101992E-01   1.60456150E-01   7.80273424E-04   5.30807140E-04   6.73339594E-05   2.71180761E-05   2.42842437E-05   0.00000000E+00  
  91               1.81938665E+02   1.33112990E+03   8.38102373E-01   1.60455651E-01   7.80249092E-04   5.30723563E-04   6.73332437E-05   2.71184233E-05   2.42837527E-05   0.00000000E+00  
  92               2.00640211E+02   1.36769124E+03   8.38102770E-01   1.60455176E-01   7.80181240E-04   5.30550730E-04   6.73313481E-05   2.71196911E-05   2.42831065E-05   0.00000000E+00  
  93               2.20980353E+02   1.40439893E+03   8.38103193E-01   1.60454733E-01   7.80039985E-04   5.30277170E-04   6.73258656E-05   2.71235033E-05   2.42822633E-05   0.00000000E+00  
  94               2.43091791E+02   1.44157130E+03   8.38103644E-01   1.60454300E-01   7.79808498E-04   5.29904207E-04   6.73106992E-05   2.71338229E-05   2.42811430E-05   0.00000000E+00  
  95               2.67139419E+02   1.47893645E+03   8.38104086E-01   1.60453874E-01   7.79480142E-04   5.29429380E-04   6.72720683E-05   2.71590769E-05   2.42796498E-05   0.00000000E+00  
  96               2.93404172E+02   1.51700766E+03   8.38104553E-01   1.60453439E-01   7.79054238E-04   5.28829115E-04   6.71833787E-05   2.72145133E-05   2.42768256E-05   0.00000000E+00  
  97               3.22103806E+02   1.55547459E+03   8.38104936E-01   1.60452972E-01   7.78469997E-04   5.28094754E-04   6.70078428E-05   2.73182914E-05   2.42745863E-05   0.00000000E+00  
  98               3.53377526E+02   1.59460554E+03   8.38105321E-01   1.60452498E-01   7.77858799E-04   5.27198968E-04   6.67252215E-05   2.74763220E-05   2.42658315E-05   0.00000000E+00  
  99               3.87285858E+02   1.63386019E+03   8.38105270E-01   1.60451904E-01   7.76968461E-04   5.26147401E-04   6.63908586E-05   2.76504913E-05   2.42623840E-05   0.00000000E+00  
  100              4.23818189E+02   1.67340278E+03   8.38105007E-01   1.60451337E-01   7.76435155E-04   5.24914325E-04   6.60939215E-05   2.77978571E-05   2.42354012E-05   0.00000000E+00  
  101              4.62924564E+02   1.71263662E+03   8.38010680E-01   1.60432674E-01   7.75167820E-04   5.23473365E-04   6.59425278E-05   2.78630141E-05   2.42276789E-05   0.00000000E+00  
