# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H2O(s)          
  49               2.12735215E-01   4.00779369E+02   8.38229165E-01   1.60493549E-01   6.95023401E-04   4.51813169E-04   3.90044227E-05   5.73326662E-05   2.29868328E-05   0.00000000E+00  
  50               2.40353699E-01   4.15755663E+02   8.38228728E-01   1.60493453E-01   6.95023853E-04   4.51813463E-04   3.90044481E-05   5.73327043E-05   2.29868191E-05   0.00000000E+00  
  51               2.71396781E-01   4.31211745E+02   8.38228790E-01   1.60493389E-01   6.95023584E-04   4.51813288E-04   3.90044330E-05   5.73326828E-05   2.29868100E-05   0.00000000E+00  
  52               3.06270289E-01   4.47133266E+02   8.38228793E-01   1.60493342E-01   6.95033277E-04   4.51819589E-04   3.90049770E-05   5.73334832E-05   2.29868031E-05   0.00000000E+00  
  53               3.45416563E-01   4.63575140E+02   8.38228473E-01   1.60493205E-01   6.95033822E-04   4.51819943E-04   3.90050076E-05   5.73335291E-05   2.29867835E-05   0.00000000E+00  
  54               3.89313663E-01   4.80488020E+02   8.38228327E-01   1.60493348E-01   6.95035535E-04   4.51821057E-04   3.90051037E-05   5.73336714E-05   2.29868040E-05   0.00000000E+00  
  55               4.38484395E-01   4.97948799E+02   8.38225977E-01   1.60492582E-01   6.95035650E-04   4.51821132E-04   3.90051102E-05   5.73336819E-05   2.29866944E-05   0.00000000E+00  
  56               4.93513074E-01   5.15882452E+02   8.38226667E-01   1.60491887E-01   6.95038370E-04   4.51822900E-04   3.90052629E-05   5.73339074E-05   2.29865948E-05   0.00000000E+00  
  57               5.55072174E-01   5.34395914E+02   8.38227378E-01   1.60491181E-01   6.95035823E-04   4.51821244E-04   3.90051200E-05   5.73336986E-05   2.29864936E-05   0.00000000E+00  
  58               6.23939077E-01   5.53406586E+02   8.38228340E-01   1.60490127E-01   6.95087154E-04   4.51854613E-04   3.90080006E-05   5.73379343E-05   2.29863427E-05   0.00000000E+00  
  59               7.00934721E-01   5.73049915E+02   8.38229765E-01   1.60488705E-01   6.95085510E-04   4.51853544E-04   3.90079084E-05   5.73378001E-05   2.29861390E-05   0.00000000E+00  
  60               7.86923093E-01   5.93194764E+02   8.38231534E-01   1.60486939E-01   6.95083655E-04   4.51852339E-04   3.90078044E-05   5.73376488E-05   2.29858862E-05   0.00000000E+00  
  61               8.82837879E-01   6.13989523E+02   8.38233574E-01   1.60484905E-01   6.95080716E-04   4.51850428E-04   3.90076395E-05   5.73374081E-05   2.29855948E-05   0.00000000E+00  
  62               9.89752321E-01   6.35269451E+02   8.38235725E-01   1.60482759E-01   6.95077541E-04   4.51848364E-04   3.90074613E-05   5.73371481E-05   2.29852875E-05   0.00000000E+00  
  63               1.10895958E+00   6.57257480E+02   8.38237886E-01   1.60480605E-01   6.95074265E-04   4.51846235E-04   3.90072775E-05   5.73368799E-05   2.29849789E-05   0.00000000E+00  
  64               1.24183934E+00   6.79749544E+02   8.38239919E-01   1.60478575E-01   6.95071361E-04   4.51844346E-04   3.90071145E-05   5.73366425E-05   2.29846882E-05   0.00000000E+00  
  65               1.38980710E+00   7.03001236E+02   8.38241792E-01   1.60476701E-01   6.95068811E-04   4.51842689E-04   3.90069715E-05   5.73364347E-05   2.29844198E-05   0.00000000E+00  
  66               1.55432022E+00   7.26707692E+02   8.38243409E-01   1.60475045E-01   6.95066961E-04   4.51841486E-04   3.90068677E-05   5.73362849E-05   2.29841825E-05   0.00000000E+00  
  67               1.73688530E+00   7.51176937E+02   8.38244860E-01   1.60473586E-01   6.95065735E-04   4.51840689E-04   3.90067990E-05   5.73361869E-05   2.29839735E-05   0.00000000E+00  
  68               1.93932096E+00   7.76024253E+02   8.38245874E-01   1.60472303E-01   6.95065416E-04   4.51840482E-04   3.90067812E-05   5.73361642E-05   2.29837896E-05   0.00000000E+00  
  69               2.16400726E+00   8.01738549E+02   8.38246950E-01   1.60471222E-01   6.95066098E-04   4.51840925E-04   3.90068195E-05   5.73362245E-05   2.29836345E-05   0.00000000E+00  
  70               2.41342619E+00   8.27833912E+02   8.38247681E-01   1.60470282E-01   6.95070995E-04   4.51844109E-04   3.90070948E-05   5.73366330E-05   2.29834993E-05   0.00000000E+00  
  71               2.69005381E+00   8.54903427E+02   8.38248454E-01   1.60469486E-01   6.95076765E-04   4.51847860E-04   3.90074201E-05   5.73371141E-05   2.29843947E-05   0.00000000E+00  
  72               2.99636295E+00   8.82229271E+02   8.38249087E-01   1.60468816E-01   6.95078597E-04   4.51849051E-04   3.90075300E-05   5.73372708E-05   2.29926109E-05   0.00000000E+00  
  73               3.33479185E+00   9.10513866E+02   8.38249601E-01   1.60468208E-01   6.95080859E-04   4.51850521E-04   3.90076874E-05   5.73374634E-05   2.30137232E-05   0.00000000E+00  
