# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  53               5.18159124E-01   5.97523367E+02   8.38303026E-01   1.60495267E-01   6.20282186E-04   3.81521844E-04   1.05480328E-04   5.85143539E-05   4.88055057E-17   2.29865703E-05  
  54               5.88612261E-01   6.21235011E+02   8.38305721E-01   1.60492578E-01   6.20278933E-04   3.81519843E-04   1.05479775E-04   5.85140487E-05   2.48026696E-16   2.29861851E-05  
  55               6.68018106E-01   6.44643006E+02   8.38308063E-01   1.60490241E-01   6.20276353E-04   3.81518257E-04   1.05479337E-04   5.85138073E-05   1.09354198E-15   2.29858504E-05  
  56               7.57516435E-01   6.69823447E+02   8.38310271E-01   1.60488035E-01   6.20274387E-04   3.81517047E-04   1.05479002E-04   5.85136240E-05   4.81117925E-15   2.29855345E-05  
  57               8.58302057E-01   6.94681564E+02   8.38312034E-01   1.60486267E-01   6.20273414E-04   3.81516449E-04   1.05478837E-04   5.85135348E-05   1.86206381E-14   2.29852813E-05  
  58               9.71693954E-01   7.21383931E+02   8.38313602E-01   1.60484678E-01   6.20273335E-04   3.81516400E-04   1.05478823E-04   5.85135302E-05   7.19060670E-14   2.29850536E-05  
  59               1.09908552E+00   7.47717961E+02   8.38314773E-01   1.60483440E-01   6.20274486E-04   3.81517108E-04   1.05479019E-04   5.85136421E-05   2.47027707E-13   2.29848762E-05  
  60               1.24194799E+00   7.75921956E+02   8.38315688E-01   1.60482324E-01   6.20277054E-04   3.81518687E-04   1.05479455E-04   5.85138884E-05   8.45195804E-13   2.29847163E-05  
  61               1.40218063E+00   8.03733286E+02   8.38316309E-01   1.60481452E-01   6.20283411E-04   3.81522598E-04   1.05480537E-04   5.85144928E-05   2.60257918E-12   2.29845910E-05  
  62               1.58181621E+00   8.33489346E+02   8.38317028E-01   1.60480709E-01   6.20290503E-04   3.81526960E-04   1.05481743E-04   5.85151669E-05   7.98691026E-12   2.29844836E-05  
  63               1.78291379E+00   8.62827041E+02   8.38317577E-01   1.60480123E-01   6.20294536E-04   3.81529440E-04   1.05482431E-04   5.85155530E-05   2.22869017E-11   2.29911377E-05  
  64               2.00777710E+00   8.94100119E+02   8.38318040E-01   1.60479564E-01   6.20299095E-04   3.81532244E-04   1.05483219E-04   5.85159892E-05   6.18476720E-11   2.30109061E-05  
  65               2.25871987E+00   9.24921875E+02   8.38318303E-01   1.60479044E-01   6.20304567E-04   3.81535610E-04   1.05484211E-04   5.85165118E-05   1.57529439E-10   2.30646817E-05  
  66               2.53827699E+00   9.57582777E+02   8.38318284E-01   1.60478395E-01   6.20311713E-04   3.81540005E-04   1.05485697E-04   5.85171926E-05   3.97576542E-10   2.32166329E-05  
  67               2.84953542E+00   9.89806454E+02   8.38317678E-01   1.60477532E-01   6.20335801E-04   3.81554820E-04   1.05490946E-04   5.85194720E-05   9.30393850E-10   2.35874279E-05  
  68               3.19574081E+00   1.02383284E+03   8.38317456E-01   1.60476357E-01   6.20338595E-04   3.81556528E-04   1.05495925E-04   5.85197439E-05   2.15565415E-09   2.42881142E-05  
  69               3.58035282E+00   1.05745590E+03   8.38319037E-01   1.60474763E-01   6.20339928E-04   3.81557270E-04   1.05513182E-04   5.85198863E-05   4.67477123E-09   2.42877900E-05  
  70               4.00757540E+00   1.09280697E+03   8.38321651E-01   1.60472093E-01   6.20338729E-04   3.81556029E-04   1.05572919E-04   5.85198431E-05   1.00241262E-08   2.42872427E-05  
  71               4.48197499E+00   1.12785332E+03   8.38325488E-01   1.60468061E-01   6.20331746E-04   3.81548612E-04   1.05773900E-04   5.85195793E-05   2.03105742E-08   2.42864068E-05  
  72               5.00865102E+00   1.16461128E+03   8.38331247E-01   1.60461709E-01   6.20306027E-04   3.81515744E-04   1.06402253E-04   5.85192785E-05   4.07015038E-08   2.42850752E-05  
  73               5.59355841E+00   1.20118061E+03   8.38338460E-01   1.60452879E-01   6.20192674E-04   3.81359156E-04   1.08241386E-04   5.85194024E-05   7.77022269E-08   2.42831794E-05  
  74               6.24354628E+00   1.23949005E+03   8.38347133E-01   1.60440423E-01   6.19695077E-04   3.80664480E-04   1.13124351E-04   5.85211111E-05   1.46840062E-07   2.42804164E-05  
  75               6.96804082E+00   1.27784822E+03   8.38355739E-01   1.60425076E-01   6.17663560E-04   3.77879386E-04   1.24521504E-04   5.85253107E-05   2.66611160E-07   2.42768065E-05  
  76               7.78446055E+00   1.31845309E+03   8.38367624E-01   1.60406735E-01   6.10738564E-04   3.68707244E-04   1.46798225E-04   5.85295742E-05   4.82590667E-07   2.42720381E-05  
  77               8.72477825E+00   1.36049241E+03   8.38392005E-01   1.60389006E-01   5.92488460E-04   3.46122210E-04   1.80525090E-04   5.85295227E-05   8.57168130E-07   2.42663108E-05  
  78               9.82545606E+00   1.40629671E+03   8.38436793E-01   1.60373019E-01   5.58974974E-04   3.08715941E-04   2.21821086E-04   5.85254822E-05   1.54060431E-06   2.42586330E-05  
  79               1.11150119E+01   1.45436439E+03   8.38489309E-01   1.60359071E-01   5.18543596E-04   2.67162706E-04   2.63668769E-04   5.85216426E-05   2.73199664E-06   2.42462804E-05  
  80               1.26062459E+01   1.50556141E+03   8.38539684E-01   1.60345668E-01   4.78607537E-04   2.26571467E-04   3.04184415E-04   5.85192528E-05   4.82595068E-06   2.42178139E-05  
  81               1.42984298E+01   1.55756441E+03   8.38579302E-01   1.60333385E-01   4.44187025E-04   1.91060011E-04   3.39613852E-04   5.85182898E-05   8.25647909E-06   2.41353819E-05  
  82               1.61631791E+01   1.61017361E+03   8.38597650E-01   1.60320203E-01   4.16588795E-04   1.59996691E-04   3.70583775E-04   5.85425159E-05   1.37056772E-05   2.38741728E-05  
  83               1.81701828E+01   1.66117557E+03   8.38608667E-01   1.60310349E-01   4.07300001E-04   1.32002253E-04   3.98487457E-04   5.85406794E-05   2.16762552E-05   2.25651015E-05  
  84               2.02554094E+01   1.71010178E+03   8.38618939E-01   1.60302521E-01   3.90012494E-04   1.12272349E-04   4.18129554E-04   5.85388116E-05   3.27613470E-05   2.24743850E-05  
  85               2.23460820E+01   1.75486929E+03   8.38610073E-01   1.60294494E-01   3.81504718E-04   9.64478399E-05   4.33865446E-04   5.85387981E-05   4.67714029E-05   2.22923760E-05  
  86               2.43333301E+01   1.79476330E+03   8.38581409E-01   1.60285919E-01   3.84124065E-04   8.28855285E-05   4.47346917E-04   5.85366298E-05   6.32396435E-05   2.19606131E-05  
  87               2.60710474E+01   1.82725504E+03   8.38529156E-01   1.60275895E-01   3.97330303E-04   7.19116983E-05   4.58253875E-04   5.85420731E-05   7.99874022E-05   2.15405135E-05  
  88               2.75231559E+01   1.85334153E+03   8.38447112E-01   1.60265095E-01   4.37208159E-04   6.04936941E-05   4.69634801E-04   5.85236346E-05   9.59990509E-05   2.08442193E-05  
  89               2.91226380E+01   1.88057597E+03   8.38435258E-01   1.60262077E-01   4.32622880E-04   5.58669663E-05   4.74209932E-04   5.85008679E-05   1.15447963E-04   2.08351750E-05  
  90               3.08855091E+01   1.90941017E+03   8.38418844E-01   1.60258769E-01   4.28272293E-04   5.14797803E-05   4.78538292E-04   5.84742273E-05   1.39510907E-04   2.08243928E-05  
