# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  44               5.86809841E-01   9.70797153E+02   8.38456003E-01   1.60489778E-01   1.20879756E-09   3.48381522E-04   4.21553612E-04   1.86427007E-04   5.95003643E-05   0.00000000E+00  
  45               7.12818281E-01   1.00092402E+03   8.38461710E-01   1.60484121E-01   2.51112836E-09   3.48375707E-04   4.21546325E-04   1.86423779E-04   5.94988618E-05   0.00000000E+00  
  46               8.63490514E-01   1.03094427E+03   8.38468907E-01   1.60476970E-01   4.96658432E-09   3.48369571E-04   4.21537677E-04   1.86419911E-04   5.94971500E-05   6.31291490E-16  
  47               1.04300098E+00   1.06630807E+03   8.38481037E-01   1.60464894E-01   1.06883533E-08   3.48360965E-04   4.21521894E-04   1.86412661E-04   5.94944368E-05   4.12783917E-15  
  48               1.25605043E+00   1.10184613E+03   8.38495632E-01   1.60450337E-01   2.18974000E-08   3.48364942E-04   4.21502359E-04   1.86402136E-04   5.94913813E-05   2.41246140E-14  
  49               1.50773325E+00   1.14262583E+03   8.38516464E-01   1.60429506E-01   4.76273096E-08   3.48419988E-04   4.21464806E-04   1.86373744E-04   5.94870626E-05   1.65046376E-13  
  50               1.80398775E+00   1.18351891E+03   8.38538171E-01   1.60407674E-01   9.80215113E-08   3.48707555E-04   4.21371538E-04   1.86258251E-04   5.94828360E-05   9.94208515E-13  
  51               2.15253921E+00   1.22938831E+03   8.38563512E-01   1.60382062E-01   2.09289032E-07   3.49797849E-04   4.20993205E-04   1.85693124E-04   5.94781114E-05   6.62180124E-12  
  52               2.56348157E+00   1.27510186E+03   8.38586526E-01   1.60359450E-01   4.20123332E-07   3.53338571E-04   4.19386442E-04   1.83107567E-04   5.94746277E-05   3.78740900E-11  
  53               3.05253633E+00   1.32525072E+03   8.38612917E-01   1.60337984E-01   8.55910141E-07   3.62707201E-04   4.13739467E-04   1.73950539E-04   5.94712283E-05   2.24606540E-10  
  54               3.64589643E+00   1.37462452E+03   8.38643295E-01   1.60323608E-01   1.62586507E-06   3.80794904E-04   3.99592316E-04   1.53071128E-04   5.94675196E-05   1.10846775E-09  
  55               4.38387712E+00   1.42770658E+03   8.38677872E-01   1.60312982E-01   3.07604119E-06   4.05507388E-04   3.76720409E-04   1.25313401E-04   5.94629207E-05   5.36328211E-09  
  56               5.30085934E+00   1.47973640E+03   8.38701960E-01   1.60305712E-01   5.44068702E-06   4.26860616E-04   3.56204738E-04   1.03808263E-04   5.94604635E-05   2.16739540E-08  
  57               6.41837810E+00   1.53542979E+03   8.38716480E-01   1.60298532E-01   9.59363519E-06   4.45376977E-04   3.39328681E-04   8.52148841E-05   5.94591721E-05   8.58816306E-08  
  58               7.73042042E+00   1.58989370E+03   8.38711555E-01   1.60291068E-01   1.59914844E-05   4.59513950E-04   3.30596448E-04   7.10570571E-05   5.94637578E-05   2.90828402E-07  
  59               9.20827937E+00   1.64709040E+03   8.38702199E-01   1.60285088E-01   2.64830563E-05   4.73763826E-04   3.33191148E-04   5.67368387E-05   5.94813418E-05   9.45574497E-07  
  60               1.08075488E+01   1.70174288E+03   8.38686436E-01   1.60279212E-01   4.14880152E-05   4.83153323E-04   3.29515099E-04   4.72952734E-05   5.94785019E-05   4.52234235E-06  
  61               1.24321027E+01   1.75678182E+03   8.38623243E-01   1.60267491E-01   6.37716555E-05   4.92951100E-04   3.40004537E-04   3.74243631E-05   5.94779145E-05   1.72511850E-05  
  62               1.38748487E+01   1.80896281E+03   8.38496249E-01   1.60253645E-01   9.43207426E-05   5.04587304E-04   4.02525578E-04   2.57365174E-05   5.95263709E-05   6.38497488E-05  
  63               1.50500495E+01   1.84710839E+03   8.38473571E-01   1.60250281E-01   1.23547265E-04   5.07783997E-04   3.99303264E-04   2.25047024E-05   5.95047585E-05   6.36486081E-05  
  64               1.64038291E+01   1.88958048E+03   8.38428414E-01   1.60243881E-01   1.64813985E-04   5.10780114E-04   3.96234233E-04   1.94562537E-05   5.94822658E-05   6.34197759E-05  
  65               1.75452146E+01   1.92198413E+03   8.38395484E-01   1.60240232E-01   2.03209634E-04   5.12593577E-04   3.94369992E-04   1.76043857E-05   5.94693962E-05   6.32357910E-05  
  66               1.84470452E+01   1.94755440E+03   8.38364551E-01   1.60236966E-01   2.38733537E-04   5.13906738E-04   3.93015237E-04   1.62588501E-05   5.94538963E-05   6.30908663E-05  
  67               1.95120671E+01   1.97506824E+03   8.38326184E-01   1.60233119E-01   2.82112009E-04   5.15070159E-04   3.91806164E-04   1.50572282E-05   5.94346657E-05   6.29264650E-05  
  68               2.07595681E+01   2.00708795E+03   8.38243414E-01   1.60222213E-01   3.40907042E-04   5.16295372E-04   3.90496707E-04   1.37652936E-05   5.94091276E-05   6.27328412E-05  
  69               2.17284905E+01   2.02988958E+03   8.38200805E-01   1.60218205E-01   3.88209544E-04   5.17026097E-04   3.89750913E-04   1.29975711E-05   5.93948359E-05   6.25898297E-05  
  70               2.24678092E+01   2.04773192E+03   8.38163832E-01   1.60214736E-01   4.29227762E-04   5.17590939E-04   3.89145148E-04   1.24025525E-05   5.93799828E-05   6.24799036E-05  
  71               2.33582132E+01   2.06739943E+03   8.38119701E-01   1.60210667E-01   4.77901796E-04   5.18110943E-04   3.88617282E-04   1.18466584E-05   5.93621176E-05   6.23523795E-05  
  72               2.44235910E+01   2.09124537E+03   8.38060350E-01   1.60205227E-01   5.43348995E-04   5.18725609E-04   3.87943091E-04   1.11866422E-05   5.93421806E-05   6.21995913E-05  
  73               2.56938080E+01   2.11751598E+03   8.37987897E-01   1.60198670E-01   6.22968870E-04   5.19285970E-04   3.87313396E-04   1.05716697E-05   5.93161378E-05   6.20236716E-05  
  74               2.71987185E+01   2.14818990E+03   8.37892109E-01   1.60190058E-01   7.28040366E-04   5.19889916E-04   3.86623034E-04   9.89952454E-06   5.92861598E-05   6.18175550E-05  
  75               2.89704680E+01   2.18170928E+03   8.37773530E-01   1.60179489E-01   8.57807457E-04   5.20425788E-04   3.85985914E-04   9.28122769E-06   5.92487372E-05   6.15831968E-05  
  76               3.10443054E+01   2.21943364E+03   8.37620055E-01   1.60165882E-01   1.02552012E-03   5.20947520E-04   3.85340747E-04   8.65778834E-06   5.92050254E-05   6.13150357E-05  
  77               3.34584473E+01   2.26012061E+03   8.37429548E-01   1.60149082E-01   1.23339763E-03   5.21384231E-04   3.84759376E-04   8.09818500E-06   5.91521380E-05   6.10144260E-05  
  78               3.62551269E+01   2.30465908E+03   8.37185307E-01   1.60127412E-01   1.49749977E-03   5.21764143E-04   3.84203774E-04   7.56675956E-06   5.90902339E-05   6.06769512E-05  
  79               3.94799499E+01   2.35201700E+03   8.36878157E-01   1.60101013E-01   1.82315955E-03   5.22168882E-04   3.89781541E-04   6.99444745E-06   5.90210249E-05   6.03039992E-05  
  80               4.31853583E+01   2.40263572E+03   8.36505767E-01   1.60068454E-01   2.22838030E-03   5.22363566E-04   3.89498860E-04   6.58301423E-06   5.89364113E-05   5.98925865E-05  
  81               4.74305732E+01   2.45590798E+03   8.36050386E-01   1.60028699E-01   2.72376555E-03   5.22452997E-04   3.89260145E-04   6.23363279E-06   5.88377673E-05   5.94427939E-05  
  82               5.22822867E+01   2.51173653E+03   8.35496969E-01   1.59980437E-01   3.32567318E-03   5.22434541E-04   3.89064860E-04   5.94129374E-06   5.87234984E-05   5.89534430E-05  
  83               5.78181036E+01   2.57011718E+03   8.34827512E-01   1.59922098E-01   4.05367771E-03   5.22305483E-04   3.88913586E-04   5.69954853E-06   5.85918049E-05   5.84230505E-05  
  84               6.41310364E+01   2.63029301E+03   8.34035373E-01   1.59853112E-01   4.91496307E-03   5.22048119E-04   3.88829521E-04   5.51952132E-06   5.84397985E-05   5.78523909E-05  
  85               7.13269992E+01   2.69314588E+03   8.33086158E-01   1.59770473E-01   5.94694831E-03   5.21671264E-04   3.88797986E-04   5.37656611E-06   5.82657730E-05   5.72372006E-05  
  86               7.95296144E+01   2.75696820E+03   8.31995465E-01   1.59675560E-01   7.13259479E-03   5.21143861E-04   3.88870431E-04   5.29983105E-06   5.80655778E-05   5.65817605E-05  
  87               8.88796255E+01   2.82375481E+03   8.30699553E-01   1.59562803E-01   8.54125346E-03   5.20480716E-04   3.89015641E-04   5.24748787E-06   5.78370891E-05   5.58782639E-05  
  88               9.95398503E+01   2.89068584E+03   8.29254589E-01   1.59437126E-01   1.01117294E-02   5.19642370E-04   3.89316071E-04   5.26645090E-06   5.75749908E-05   5.51355785E-05  
  89               1.11697333E+02   2.96013079E+03   8.27579890E-01   1.59291483E-01   1.19317895E-02   5.18636901E-04   3.89742222E-04   5.31318782E-06   5.72752504E-05   5.43448278E-05  
  90               1.25557214E+02   3.03073717E+03   8.25701930E-01   1.59128199E-01   1.39725603E-02   5.17438750E-04   3.90348513E-04   5.40824925E-06   5.69314575E-05   5.35109177E-05  
  91               1.41336872E+02   3.10213120E+03   8.23627413E-01   1.58947866E-01   1.62267004E-02   5.16032534E-04   3.91166401E-04   5.55445950E-06   5.65364080E-05   5.26363822E-05  
  92               1.59242614E+02   3.17491964E+03   8.21323098E-01   1.58747588E-01   1.87303301E-02   5.14406946E-04   3.92200193E-04   5.73784801E-06   5.60804149E-05   5.17217347E-05  
  93               1.79495150E+02   3.24795598E+03   8.18835814E-01   1.58531456E-01   2.14324622E-02   5.12545045E-04   3.93486075E-04   5.97250241E-06   5.55515440E-05   5.07745565E-05  
  94               2.02333747E+02   3.32195041E+03   8.16130476E-01   1.58296410E-01   2.43712296E-02   5.10431035E-04   3.95013783E-04   6.24475991E-06   5.49303430E-05   4.97955940E-05  
  95               2.28020082E+02   3.39584421E+03   8.13266958E-01   1.58047676E-01   2.74814696E-02   5.08047305E-04   3.96803652E-04   6.56941864E-06   5.41936872E-05   4.87924933E-05  
  96               2.56843012E+02   3.47057900E+03   8.10196726E-01   1.57781016E-01   3.08159398E-02   5.05371160E-04   3.98823455E-04   6.93118651E-06   5.33020921E-05   4.77650909E-05  
  97               2.89122808E+02   3.54504747E+03   8.06996844E-01   1.57503153E-01   3.42907799E-02   5.02382525E-04   4.01083574E-04   7.34811197E-06   5.22127739E-05   4.67210793E-05  
  98               3.25211516E+02   3.62032630E+03   8.03605984E-01   1.57208726E-01   3.79726450E-02   4.99051270E-04   4.03534344E-04   7.80387525E-06   5.08522347E-05   4.56595847E-05  
  99               3.65501464E+02   3.69518606E+03   8.00122976E-01   1.56906352E-01   4.17539822E-02   4.95356068E-04   4.06190642E-04   8.32087490E-06   4.91532250E-05   4.45884635E-05  
  100              4.10434548E+02   3.77089802E+03   7.96466935E-01   1.56588959E-01   4.57226752E-02   4.91259491E-04   4.08992202E-04   8.88027069E-06   4.69968949E-05   4.35056843E-05  
  101              4.60510658E+02   3.84625973E+03   7.92746592E-01   1.56266024E-01   4.97603745E-02   4.86738814E-04   4.11970128E-04   9.50673259E-06   4.43026732E-05   4.24183535E-05  
