# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                CO              
  72               5.10663421E+01   1.24623916E+03   8.38131447E-01   1.60450427E-01   7.76952611E-04   5.27532060E-04   4.59039253E-05   3.01644216E-05   5.77335394E-08   1.62106116E-06  
  73               5.68011726E+01   1.28467511E+03   8.38131729E-01   1.60449504E-01   7.76828195E-04   5.27349164E-04   4.59041753E-05   3.01645268E-05   1.04419005E-07   2.50491766E-06  
  74               6.30832999E+01   1.32420417E+03   8.38132360E-01   1.60448456E-01   7.76404833E-04   5.26773924E-04   4.59044032E-05   3.01644411E-05   1.85223747E-07   3.81222577E-06  
  75               6.99764853E+01   1.36355103E+03   8.38133888E-01   1.60447399E-01   7.75321278E-04   5.25437917E-04   4.59045286E-05   3.01636510E-05   3.16373897E-07   5.59270378E-06  
  76               7.75483229E+01   1.40414301E+03   8.38136681E-01   1.60446223E-01   7.73270459E-04   5.23127045E-04   4.59048543E-05   3.01608711E-05   5.32380540E-07   8.07410046E-06  
  77               8.58815705E+01   1.44475012E+03   8.38140533E-01   1.60444915E-01   7.70304059E-04   5.19950226E-04   4.59062342E-05   3.01522485E-05   8.68409801E-07   1.12757884E-05  
  78               9.50416381E+01   1.48662149E+03   8.38145565E-01   1.60443295E-01   7.66289830E-04   5.15725804E-04   4.59107595E-05   3.01276178E-05   1.39786077E-06   1.54940580E-05  
  79               1.05068942E+02   1.52836447E+03   8.38151502E-01   1.60441408E-01   7.61369774E-04   5.10569706E-04   4.59230822E-05   3.00656970E-05   2.18493607E-06   2.06240309E-05  
  80               1.15978386E+02   1.57100585E+03   8.38158176E-01   1.60439031E-01   7.55258462E-04   5.04192369E-04   4.59516230E-05   2.99333949E-05   3.36299129E-06   2.69620007E-05  
  81               1.27764179E+02   1.61302763E+03   8.38165595E-01   1.60436491E-01   7.48850981E-04   4.96923268E-04   4.60050573E-05   2.97215258E-05   5.02091187E-06   3.41786900E-05  
  82               1.40456868E+02   1.65557708E+03   8.38157546E-01   1.60430304E-01   7.40621570E-04   4.88508135E-04   4.60802230E-05   2.94604096E-05   7.37554302E-06   4.25137987E-05  
  83               1.54035644E+02   1.69729198E+03   8.38147892E-01   1.60426710E-01   7.51512826E-04   4.78241540E-04   4.61654549E-05   2.92667546E-05   1.05359263E-05   5.26930863E-05  
  84               1.68534160E+02   1.73920277E+03   8.38156459E-01   1.60423016E-01   7.41766332E-04   4.68150709E-04   4.62141822E-05   2.91301162E-05   1.48101662E-05   6.26753675E-05  
  85               1.84007165E+02   1.78044646E+03   8.38163965E-01   1.60419117E-01   7.31826738E-04   4.57742650E-04   4.62158965E-05   2.90912946E-05   2.03548273E-05   7.29525846E-05  
  86               2.00400113E+02   1.82156970E+03   8.38169760E-01   1.60414892E-01   7.21924073E-04   4.46844853E-04   4.61875080E-05   2.91023011E-05   2.75347921E-05   8.36920344E-05  
  87               2.17574867E+02   1.86154774E+03   8.38171187E-01   1.60410288E-01   7.13288441E-04   4.35982998E-04   4.61190106E-05   2.91873568E-05   3.64215741E-05   9.43697188E-05  
  88               2.36021931E+02   1.90202684E+03   8.38164325E-01   1.60404581E-01   7.06947366E-04   4.24496501E-04   4.60248780E-05   2.93141905E-05   4.77407838E-05   1.05634143E-04  
  89               2.55156067E+02   1.94112552E+03   8.38146026E-01   1.60397893E-01   7.05713340E-04   4.12845956E-04   4.58988612E-05   2.94992625E-05   6.12749630E-05   1.17034088E-04  
  90               2.74653374E+02   1.97886690E+03   8.38110121E-01   1.60389342E-01   7.11989096E-04   4.00495980E-04   4.57588759E-05   2.97069577E-05   7.72032007E-05   1.29104809E-04  
  91               2.95856662E+02   2.01724288E+03   8.38049495E-01   1.60378095E-01   7.29449542E-04   3.86476098E-04   4.55863691E-05   2.99723683E-05   9.66909603E-05   1.42804870E-04  
  92               3.16954420E+02   2.05350841E+03   8.37994879E-01   1.60368871E-01   7.49427213E-04   3.72658360E-04   4.54091243E-05   3.02481284E-05   1.18636261E-04   1.56297541E-04  
  93               3.37094906E+02   2.08609423E+03   8.37984087E-01   1.60364535E-01   7.41485213E-04   3.64383380E-04   4.52246436E-05   3.05388707E-05   1.41604188E-04   1.64245409E-04  
  94               3.59517740E+02   2.12078599E+03   8.37968669E-01   1.60359707E-01   7.33332022E-04   3.55839277E-04   4.50161742E-05   3.08660205E-05   1.69887046E-04   1.72403698E-04  
  95               3.84428144E+02   2.15710524E+03   8.37937267E-01   1.60352486E-01   7.25314999E-04   3.47374085E-04   4.47734318E-05   3.12491014E-05   2.04119402E-04   1.80414809E-04  
  96               4.06517250E+02   2.18786270E+03   8.37915112E-01   1.60347842E-01   7.18864819E-04   3.40492023E-04   4.45567686E-05   3.15911116E-05   2.37238336E-04   1.86880442E-04  
  97               4.24686771E+02   2.21196685E+03   8.37894778E-01   1.60344056E-01   7.14111171E-04   3.35389526E-04   4.43731111E-05   3.18832958E-05   2.66004424E-04   1.91631480E-04  
  98               4.45273699E+02   2.23843905E+03   8.37869294E-01   1.60339703E-01   7.09088415E-04   3.29942977E-04   4.41660523E-05   3.22109372E-05   3.00730937E-04   1.96665175E-04  
  99               4.68506409E+02   2.26694700E+03   8.37837838E-01   1.60334823E-01   7.04043053E-04   3.24402708E-04   4.39279883E-05   3.25896513E-05   3.41944724E-04   2.01728388E-04  
  100              4.94668997E+02   2.29784673E+03   8.37796883E-01   1.60328850E-01   6.98866300E-04   3.18632314E-04   4.36612962E-05   3.30117164E-05   3.91507059E-04   2.06940420E-04  
  101              5.24215625E+02   2.33096528E+03   8.37710877E-01   1.60316098E-01   6.98057863E-04   3.12069246E-04   4.33566681E-05   3.34945414E-05   4.50537149E-04   2.12851949E-04  
