# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  48               6.00483076E-01   2.00213707E+02   8.38081089E-01   1.60465221E-01   7.79766895E-04   5.30733232E-04   9.53094963E-05   2.29828952E-05   1.28324260E-05   7.78206970E-06  
  49               7.29314709E-01   2.10647524E+02   8.38058974E-01   1.60460987E-01   7.79766491E-04   5.30732957E-04   9.53094468E-05   2.29822887E-05   1.28324194E-05   3.41330785E-05  
  50               8.85153042E-01   2.23126335E+02   8.38007943E-01   1.60451216E-01   7.79770734E-04   5.30735845E-04   9.53099655E-05   2.29808893E-05   1.28324892E-05   9.49286054E-05  
  51               1.07362458E+00   2.34436141E+02   8.37549017E-01   1.60363347E-01   7.79768201E-04   5.30734121E-04   9.53096558E-05   2.29683040E-05   1.28324475E-05   6.41743169E-04  
  52               1.30198353E+00   2.48936143E+02   8.38087388E-01   1.60466427E-01   7.79918649E-04   5.30836520E-04   9.53280447E-05   2.29830679E-05   1.28349234E-05   0.00000000E+00  
  53               1.57871321E+00   2.64120658E+02   8.38086682E-01   1.60466292E-01   7.80381642E-04   5.31151648E-04   9.53846355E-05   2.29830485E-05   1.28425428E-05   0.00000000E+00  
  54               1.91381359E+00   2.80215293E+02   8.38086682E-01   1.60466292E-01   7.80381621E-04   5.31151633E-04   9.53846328E-05   2.29830485E-05   1.28425425E-05   0.00000000E+00  
  55               2.31871850E+00   2.97046675E+02   8.38086682E-01   1.60466292E-01   7.80381596E-04   5.31151616E-04   9.53846298E-05   2.29830485E-05   1.28425421E-05   0.00000000E+00  
  56               2.80673918E+00   3.14830448E+02   8.38086682E-01   1.60466292E-01   7.80381568E-04   5.31151597E-04   9.53846263E-05   2.29830485E-05   1.28425416E-05   0.00000000E+00  
  57               3.39290013E+00   3.33370890E+02   8.38086682E-01   1.60466292E-01   7.80381536E-04   5.31151576E-04   9.53846223E-05   2.29830485E-05   1.28425411E-05   0.00000000E+00  
