# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  62               1.54096118E+01   1.80214481E+03   8.38559038E-01   1.60262308E-01   8.45545422E-05   3.69110971E-04   4.94385389E-04   3.59209576E-05   5.93436258E-05   3.63169716E-05  
  63               1.65664071E+01   1.83645176E+03   8.38479395E-01   1.60253677E-01   1.08108911E-04   4.05650307E-04   5.01400579E-04   2.88719437E-05   5.93615146E-05   6.35267151E-05  
  64               1.75910908E+01   1.86556367E+03   8.38460786E-01   1.60250884E-01   1.32209796E-04   4.02932050E-04   5.04098855E-04   2.61414134E-05   5.93414773E-05   6.33636042E-05  
  65               1.87267132E+01   1.89591322E+03   8.38425304E-01   1.60245570E-01   1.61861859E-04   4.00490096E-04   5.06487597E-04   2.37080077E-05   5.93200474E-05   6.31868769E-05  
  66               1.96338624E+01   1.91937716E+03   8.38403028E-01   1.60242921E-01   1.88434150E-04   3.98811276E-04   5.08135042E-04   2.20299342E-05   5.93132789E-05   6.30486218E-05  
  67               2.03052133E+01   1.93588503E+03   8.38385348E-01   1.60240935E-01   2.09139917E-04   3.97755823E-04   5.09163604E-04   2.09784042E-05   5.93003017E-05   6.29485724E-05  
  68               2.10666354E+01   1.95441973E+03   8.38363316E-01   1.60238544E-01   2.34657675E-04   3.96639564E-04   5.10251567E-04   1.98636937E-05   5.92875659E-05   6.28357926E-05  
  69               2.19263879E+01   1.97432335E+03   8.38337013E-01   1.60235801E-01   2.64746234E-04   3.95568321E-04   5.11291945E-04   1.87929011E-05   5.92727681E-05   6.27112851E-05  
  70               2.28930314E+01   1.99631763E+03   8.38304429E-01   1.60232499E-01   3.01691898E-04   3.94468425E-04   5.12358125E-04   1.76914379E-05   5.92561190E-05   6.25726634E-05  
  71               2.39748848E+01   2.01971785E+03   8.38235162E-01   1.60222872E-01   3.45376022E-04   3.93432038E-04   5.13340085E-04   1.66500716E-05   5.92318960E-05   6.24188458E-05  
  72               2.47815036E+01   2.03693282E+03   8.38203457E-01   1.60219832E-01   3.80815025E-04   3.92706775E-04   5.14029680E-04   1.59298203E-05   5.92227812E-05   6.23068940E-05  
  73               2.53710345E+01   2.04892196E+03   8.38179846E-01   1.60217589E-01   4.07067944E-04   3.92275300E-04   5.14461404E-04   1.54753765E-05   5.92092635E-05   6.22267347E-05  
  74               2.60471813E+01   2.06277919E+03   8.38150782E-01   1.60214843E-01   4.39374327E-04   3.91753904E-04   5.14951923E-04   1.49580855E-05   5.91967645E-05   6.21347357E-05  
