# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  59               1.96290606E+00   5.20888337E+02   8.38122732E-01   1.60473401E-01   7.73931995E-04   5.24771616E-04   4.90243812E-05   2.38226577E-05   2.29840562E-05   8.89095521E-07  
  60               2.24765161E+00   5.41670425E+02   8.38122966E-01   1.60473059E-01   7.73993024E-04   5.24812995E-04   4.90282690E-05   2.38245533E-05   2.29840072E-05   8.89165611E-07  
  61               2.57152726E+00   5.64748213E+02   8.38123110E-01   1.60472916E-01   7.73992760E-04   5.24812815E-04   4.90282765E-05   2.38245638E-05   2.29839867E-05   8.89165288E-07  
  62               2.93920201E+00   5.86951765E+02   8.38123326E-01   1.60472699E-01   7.73992881E-04   5.24812894E-04   4.90283104E-05   2.38245879E-05   2.29839556E-05   8.89165403E-07  
  63               3.35548162E+00   6.11523614E+02   8.38123712E-01   1.60472314E-01   7.73992075E-04   5.24812345E-04   4.90282881E-05   2.38245852E-05   2.29839006E-05   8.89164452E-07  
  64               3.82564983E+00   6.35074219E+02   8.38124234E-01   1.60471794E-01   7.73990932E-04   5.24811568E-04   4.90282471E-05   2.38245742E-05   2.29838261E-05   8.89163112E-07  
  65               4.35698611E+00   6.61119422E+02   8.38125059E-01   1.60470971E-01   7.73989121E-04   5.24810337E-04   4.90281665E-05   2.38245449E-05   2.29837082E-05   8.89161002E-07  
  66               4.95717363E+00   6.86135337E+02   8.38126043E-01   1.60469991E-01   7.73986894E-04   5.24808824E-04   4.90280627E-05   2.38245050E-05   2.29835679E-05   8.89158412E-07  
  67               5.63395381E+00   7.13743518E+02   8.38127402E-01   1.60468635E-01   7.73983805E-04   5.24806727E-04   4.90279076E-05   2.38244412E-05   2.29833736E-05   8.89154829E-07  
  68               6.39513275E+00   7.40207558E+02   8.38128804E-01   1.60467230E-01   7.73980514E-04   5.24804492E-04   4.90277434E-05   2.38243739E-05   2.29831724E-05   8.89151011E-07  
