# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  61               8.40947238E-01   1.83175944E+03   8.38152803E-01   1.60207350E-01   4.61874344E-04   5.30357663E-04   3.76522590E-04   6.06844732E-05   6.60183386E-05   5.54895827E-05  
  62               8.90034658E-01   1.85870922E+03   8.38065370E-01   1.60199705E-01   5.56844828E-04   5.30323576E-04   3.76578884E-04   6.06817489E-05   6.59782140E-05   5.54830628E-05  
  63               9.46045321E-01   1.88789547E+03   8.37954521E-01   1.60190024E-01   6.77335730E-04   5.30294280E-04   3.76534186E-04   6.06781597E-05   6.59328918E-05   5.54753233E-05  
  64               1.00931704E+00   1.91917711E+03   8.37814498E-01   1.60177802E-01   8.29570917E-04   5.30260480E-04   3.76462192E-04   6.06735374E-05   6.58821342E-05   5.54661679E-05  
  65               1.08023384E+00   1.95221448E+03   8.37639782E-01   1.60162554E-01   1.01962921E-03   5.30216744E-04   3.76337783E-04   6.06675474E-05   6.58258279E-05   5.54554237E-05  
  66               1.16019395E+00   1.98729531E+03   8.37419873E-01   1.60143364E-01   1.25885473E-03   5.30159029E-04   3.76192425E-04   6.06596063E-05   6.57629053E-05   5.54426782E-05  
  67               1.25083165E+00   2.02446587E+03   8.37143254E-01   1.60119228E-01   1.55977133E-03   5.30084114E-04   3.76027146E-04   6.06493226E-05   6.56923433E-05   5.54274982E-05  
  68               1.35328855E+00   2.06364818E+03   8.36796645E-01   1.60088987E-01   1.93682428E-03   5.29988092E-04   3.75838331E-04   6.06361736E-05   6.56133880E-05   5.54094274E-05  
  69               1.46884158E+00   2.10459826E+03   8.36366530E-01   1.60051464E-01   2.40471719E-03   5.29867033E-04   3.75622324E-04   6.06197116E-05   6.55253788E-05   5.53880166E-05  
  70               1.59892661E+00   2.14721186E+03   8.35836134E-01   1.60005196E-01   2.98169694E-03   5.29716123E-04   3.75373975E-04   6.05994315E-05   6.54274493E-05   5.53627033E-05  
  71               1.74516264E+00   2.19124427E+03   8.35189267E-01   1.59948771E-01   3.68537654E-03   5.29530680E-04   3.75088470E-04   6.05748021E-05   6.53188434E-05   5.53329563E-05  
  72               1.90938520E+00   2.23660213E+03   8.34406272E-01   1.59880477E-01   4.53713597E-03   5.29305051E-04   3.74759391E-04   6.05451417E-05   6.51985792E-05   5.52981227E-05  
  73               2.09365965E+00   2.28302409E+03   8.33468529E-01   1.59798484E-01   5.55506982E-03   5.29033171E-04   3.74388763E-04   6.05096968E-05   6.50657435E-05   5.52575284E-05  
  74               2.30030587E+00   2.33035313E+03   8.32353300E-01   1.59701697E-01   6.75874116E-03   5.28711704E-04   3.80585760E-04   6.04682136E-05   6.49196624E-05   5.52107429E-05  
  75               2.53165297E+00   2.37830320E+03   8.31063436E-01   1.59589210E-01   8.16178859E-03   5.28337154E-04   3.80164240E-04   6.04198155E-05   6.47599208E-05   5.51574251E-05  
  76               2.79057215E+00   2.42685204E+03   8.29572048E-01   1.59459155E-01   9.78407059E-03   5.27903359E-04   3.79654241E-04   6.03638420E-05   6.45854568E-05   5.50968629E-05  
  77               3.08051398E+00   2.47578115E+03   8.27870951E-01   1.59310820E-01   1.16344794E-02   5.27408046E-04   3.79060307E-04   6.02999149E-05   6.43957471E-05   5.50287608E-05  
  78               3.40503308E+00   2.52507837E+03   8.25946170E-01   1.59142986E-01   1.37282093E-02   5.26847096E-04   3.78378983E-04   6.02273949E-05   6.41900182E-05   5.49526305E-05  
  79               3.76811336E+00   2.57457832E+03   8.23794407E-01   1.58955367E-01   1.60688425E-02   5.26219470E-04   3.77609860E-04   6.01459404E-05   6.39679889E-05   5.48683269E-05  
  80               4.17418718E+00   2.62421255E+03   8.21411773E-01   1.58747625E-01   1.86606027E-02   5.25523944E-04   3.76751722E-04   6.00551266E-05   6.37292972E-05   5.47756736E-05  
