# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               H                CH4              N2               H2S             
  58               4.00990247E+00   1.25430196E+03   8.38444735E-01   1.60406916E-01   5.34900788E-04   2.18523997E-04   2.36737389E-07   2.96240503E-04   5.88168426E-05   2.42741188E-05  
  59               4.50362336E+00   1.28668449E+03   8.38458123E-01   1.60391452E-01   5.32247850E-04   2.26902274E-04   3.83250303E-07   2.92411040E-04   5.88169083E-05   2.42702786E-05  
  60               5.06324021E+00   1.32351419E+03   8.38476544E-01   1.60373606E-01   5.25504587E-04   2.42275794E-04   6.47036760E-07   2.82888264E-04   5.88175085E-05   2.42651734E-05  
  61               5.70372684E+00   1.35537923E+03   8.38496385E-01   1.60362371E-01   5.12478061E-04   2.63168151E-04   9.83850167E-07   2.65993192E-04   5.88185493E-05   2.42606695E-05  
  62               6.44554241E+00   1.39246564E+03   8.38526917E-01   1.60350583E-01   4.91707948E-04   2.89380893E-04   1.57217830E-06   2.41148872E-04   5.88177672E-05   2.42519210E-05  
  63               7.31002330E+00   1.42498070E+03   8.38552506E-01   1.60343967E-01   4.71299976E-04   3.10775979E-04   2.29731912E-06   2.20110830E-04   5.88161251E-05   2.42465795E-05  
  64               8.31878008E+00   1.46358773E+03   8.38582842E-01   1.60335789E-01   4.48025062E-04   3.34801958E-04   3.55029714E-06   1.95861244E-04   5.88141360E-05   2.42147773E-05  
  65               9.48849988E+00   1.49809351E+03   8.38600740E-01   1.60330237E-01   4.31782798E-04   3.51105766E-04   5.08643580E-06   1.79663614E-04   5.88121823E-05   2.42062760E-05  
  66               1.08320422E+01   1.53956624E+03   8.38623815E-01   1.60323234E-01   4.13146254E-04   3.71997891E-04   7.74247755E-06   1.58645758E-04   5.88128423E-05   2.40162188E-05  
  67               1.23569766E+01   1.57763603E+03   8.38634887E-01   1.60317595E-01   3.99131352E-04   3.86216992E-04   1.10799680E-05   1.44412806E-04   5.88103607E-05   2.39993845E-05  
  68               1.40587261E+01   1.62342924E+03   8.38638051E-01   1.60308489E-01   3.84880249E-04   4.05676945E-04   1.68610254E-05   1.24863169E-04   5.88124841E-05   2.35879856E-05  
  69               1.59061262E+01   1.66632432E+03   8.38637224E-01   1.60302281E-01   3.83898525E-04   4.22360378E-04   2.43669078E-05   1.08118444E-04   5.88280020E-05   2.24677050E-05  
  70               1.78667879E+01   1.71697752E+03   8.38638365E-01   1.60294487E-01   3.70346503E-04   4.39651552E-04   3.71727225E-05   9.07410382E-05   5.88204461E-05   2.23498641E-05  
  71               1.98801420E+01   1.76544467E+03   8.38616175E-01   1.60285584E-01   3.67482280E-04   4.54647144E-04   5.44070323E-05   7.56597753E-05   5.88138696E-05   2.20707304E-05  
  72               2.18278502E+01   1.81039597E+03   8.38552554E-01   1.60272818E-01   3.81256061E-04   4.68504227E-04   7.61016833E-05   6.17191065E-05   5.88072647E-05   2.15528559E-05  
  73               2.35297387E+01   1.84553635E+03   8.38460820E-01   1.60261302E-01   4.26152915E-04   4.80764897E-04   9.75752679E-05   4.94144143E-05   5.88213654E-05   2.07573574E-05  
  74               2.48932667E+01   1.87369374E+03   8.38447249E-01   1.60258284E-01   4.21914403E-04   4.84989326E-04   1.18404065E-04   4.51451459E-05   5.87969767E-05   2.07498146E-05  
  75               2.64023538E+01   1.90178961E+03   8.38429673E-01   1.60255243E-01   4.18407441E-04   4.88469534E-04   1.42507664E-04   4.16158228E-05   5.87733438E-05   2.07429068E-05  
  76               2.80715381E+01   1.93294303E+03   8.38393861E-01   1.60249365E-01   4.14773939E-04   4.92058097E-04   1.74100630E-04   3.79628456E-05   5.87487893E-05   2.07310629E-05  
  77               2.94651659E+01   1.95650945E+03   8.38371714E-01   1.60246470E-01   4.12495418E-04   4.94309096E-04   2.01396186E-04   3.56652576E-05   5.87285278E-05   2.07219513E-05  
  78               3.05749258E+01   1.97592111E+03   8.38350861E-01   1.60243853E-01   4.10629589E-04   4.96151999E-04   2.26717742E-04   3.37831995E-05   5.87108638E-05   2.07116957E-05  
  79               3.18285993E+01   1.99568678E+03   8.38327122E-01   1.60241109E-01   4.09041764E-04   4.97715232E-04   2.54762900E-04   3.21768989E-05   5.86885100E-05   2.07014191E-05  
  80               3.32390928E+01   2.01860145E+03   8.38296028E-01   1.60237615E-01   4.07205956E-04   4.99523588E-04   2.91154614E-04   3.03176002E-05   5.86662379E-05   2.06861048E-05  
  81               3.48190556E+01   2.04192843E+03   8.38260454E-01   1.60233855E-01   4.05661123E-04   5.01054074E-04   3.31990617E-04   2.87307994E-05   5.86358966E-05   2.06698281E-05  
  82               3.59679251E+01   2.05941913E+03   8.38200791E-01   1.60225037E-01   4.04460535E-04   5.02191275E-04   3.65915428E-04   2.75317439E-05   5.86171766E-05   2.06540781E-05  
  83               3.67805142E+01   2.07046551E+03   8.38180847E-01   1.60223072E-01   4.03868419E-04   5.02786482E-04   3.88385267E-04   2.69073108E-05   5.85999496E-05   2.06450524E-05  
  84               3.77145261E+01   2.08421058E+03   8.38154317E-01   1.60220404E-01   4.03020452E-04   5.03608346E-04   4.18409196E-04   2.60496109E-05   5.85844094E-05   2.06314532E-05  
  85               3.87843390E+01   2.09833622E+03   8.38125515E-01   1.60217598E-01   4.02334467E-04   5.04299200E-04   4.50660526E-04   2.53190324E-05   5.85632342E-05   2.06179940E-05  
  86               4.00086951E+01   2.11533383E+03   8.38088071E-01   1.60213954E-01   4.01416703E-04   5.05182318E-04   4.92658349E-04   2.43880748E-05   5.85418365E-05   2.05989332E-05  
