# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  59               4.86157614E+00   6.60455755E+02   8.38121456E-01   1.60470791E-01   7.75458193E-04   5.26146911E-04   4.78290269E-05   2.62546440E-05   2.29828169E-05   6.36560567E-07  
  60               5.53053108E+00   6.86327584E+02   8.38122343E-01   1.60469906E-01   7.75456223E-04   5.26145575E-04   4.78289071E-05   2.62545784E-05   2.29826903E-05   6.36558951E-07  
  61               6.28376589E+00   7.12983376E+02   8.38123472E-01   1.60468780E-01   7.75453622E-04   5.26143810E-04   4.78287484E-05   2.62544915E-05   2.29825289E-05   6.36556817E-07  
  62               7.12944347E+00   7.40260657E+02   8.38124802E-01   1.60467448E-01   7.75450522E-04   5.26141707E-04   4.78285592E-05   2.62543878E-05   2.29823381E-05   6.36554275E-07  
  63               8.07810752E+00   7.68290630E+02   8.38126281E-01   1.60465955E-01   7.75447043E-04   5.26139346E-04   4.78283468E-05   2.62542714E-05   2.29821242E-05   6.36551424E-07  
  64               9.14453575E+00   7.97043637E+02   8.38127810E-01   1.60464374E-01   7.75443558E-04   5.26136981E-04   4.78281342E-05   2.62541550E-05   2.29818976E-05   6.36548585E-07  
  65               1.03443478E+01   8.26695187E+02   8.38129246E-01   1.60462744E-01   7.75440506E-04   5.26134911E-04   4.78279486E-05   2.62540533E-05   2.29816639E-05   6.36546204E-07  
  66               1.16924856E+01   8.57115312E+02   8.38130593E-01   1.60461152E-01   7.75441556E-04   5.26135623E-04   4.78280162E-05   2.62540908E-05   2.29814353E-05   6.36547783E-07  
  67               1.32028388E+01   8.88357878E+02   8.38132049E-01   1.60459681E-01   7.75442995E-04   5.26136600E-04   4.78281081E-05   2.62541415E-05   2.29812232E-05   6.36552939E-07  
  68               1.48879468E+01   9.20214664E+02   8.38133370E-01   1.60458329E-01   7.75439986E-04   5.26134558E-04   4.78279259E-05   2.62540418E-05   2.29896078E-05   6.36571324E-07  
  69               1.67659835E+01   9.52787486E+02   8.38134514E-01   1.60457092E-01   7.75437540E-04   5.26132900E-04   4.78277787E-05   2.62539614E-05   2.30112850E-05   6.36670882E-07  
  70               1.88599166E+01   9.86028763E+02   8.38135395E-01   1.60455964E-01   7.75436361E-04   5.26132100E-04   4.78277097E-05   2.62539239E-05   2.30672723E-05   6.37126233E-07  
  71               2.11913960E+01   1.02000492E+03   8.38135850E-01   1.60454905E-01   7.75438037E-04   5.26133237E-04   4.78278171E-05   2.62539832E-05   2.32058196E-05   6.39017958E-07  
  72               2.37802471E+01   1.05458055E+03   8.38135483E-01   1.60453850E-01   7.75446424E-04   5.26138923E-04   4.78283387E-05   2.62542699E-05   2.35281601E-05   6.46238748E-07  
  73               2.66447904E+01   1.08972283E+03   8.38134847E-01   1.60452926E-01   7.75459427E-04   5.26147715E-04   4.78291470E-05   2.62547140E-05   2.42845539E-05   6.71112558E-07  
  74               2.98046103E+01   1.12531422E+03   8.38135509E-01   1.60452183E-01   7.75457892E-04   5.26146478E-04   4.78290702E-05   2.62546721E-05   2.42843564E-05   7.46348584E-07  
  75               3.32949705E+01   1.16146907E+03   8.38136042E-01   1.60451447E-01   7.75456870E-04   5.26144688E-04   4.78290902E-05   2.62546832E-05   2.42841099E-05   9.39266902E-07  
  76               3.71608936E+01   1.19829783E+03   8.38136407E-01   1.60450664E-01   7.75453238E-04   5.26136706E-04   4.78292828E-05   2.62547878E-05   2.42837815E-05   1.34659701E-06  
  77               4.14427983E+01   1.23582866E+03   8.38136609E-01   1.60449776E-01   7.75428219E-04   5.26095024E-04   4.78296860E-05   2.62550027E-05   2.42833282E-05   2.06206674E-06  
  78               4.61763323E+01   1.27402365E+03   8.38136771E-01   1.60448740E-01   7.75306484E-04   5.25917146E-04   4.78302175E-05   2.62552649E-05   2.42826970E-05   3.17260954E-06  
  79               5.13929962E+01   1.31276542E+03   8.38137285E-01   1.60447555E-01   7.74861765E-04   5.25318597E-04   4.78306549E-05   2.62553834E-05   2.42818274E-05   4.78607689E-06  
  80               5.71212210E+01   1.35198639E+03   8.38138886E-01   1.60446275E-01   7.73638782E-04   5.23809215E-04   4.78306939E-05   2.62549430E-05   2.42806473E-05   7.03733057E-06  
  81               6.33927281E+01   1.39155505E+03   8.38142130E-01   1.60444922E-01   7.71209290E-04   5.21075325E-04   4.78305298E-05   2.62532317E-05   2.42790532E-05   1.00643893E-05  
  82               7.02924359E+01   1.43176009E+03   8.38146919E-01   1.60443370E-01   7.67530528E-04   5.17161211E-04   4.78307140E-05   2.62481041E-05   2.42768441E-05   1.40457578E-05  
  83               7.79046535E+01   1.47264352E+03   8.38153087E-01   1.60441504E-01   7.62654791E-04   5.12075296E-04   4.78323029E-05   2.62335661E-05   2.42736918E-05   1.91324768E-05  
  84               8.62929877E+01   1.51428517E+03   8.38160645E-01   1.60439245E-01   7.56525941E-04   5.05711200E-04   4.78377685E-05   2.61960251E-05   2.42689434E-05   2.54735185E-05  
  85               9.54962337E+01   1.55640299E+03   8.38169428E-01   1.60436558E-01   7.49126170E-04   4.98058389E-04   4.78515886E-05   2.61127050E-05   2.42612263E-05   3.30872599E-05  
  86               1.05522322E+02   1.59888115E+03   8.38178419E-01   1.60433273E-01   7.40550042E-04   4.89118517E-04   4.78818054E-05   2.59659569E-05   2.42473567E-05   4.19726706E-05  
  87               1.16350300E+02   1.64124177E+03   8.38188077E-01   1.60429784E-01   7.32075086E-04   4.79039155E-04   4.79238370E-05   2.57762486E-05   2.41757302E-05   5.19821723E-05  
  88               1.27912734E+02   1.68326900E+03   8.38183202E-01   1.60422913E-01   7.21439652E-04   4.68141585E-04   4.79875967E-05   2.56141021E-05   2.41662159E-05   6.27819875E-05  
  89               1.40222794E+02   1.72472102E+03   8.38176669E-01   1.60418267E-01   7.28685107E-04   4.55046129E-04   4.80150793E-05   2.55173555E-05   2.33162927E-05   7.57689189E-05  
  90               1.53270325E+02   1.76573391E+03   8.38186943E-01   1.60413910E-01   7.17023364E-04   4.42952846E-04   4.80123133E-05   2.54852983E-05   2.33114486E-05   8.77333574E-05  
  91               1.66918665E+02   1.80562239E+03   8.38194444E-01   1.60409285E-01   7.05829395E-04   4.30892093E-04   4.79738811E-05   2.55179159E-05   2.32979240E-05   9.96434452E-05  
  92               1.81591260E+02   1.84585185E+03   8.38198649E-01   1.60404238E-01   6.95384387E-04   4.18434940E-04   4.79075775E-05   2.55963455E-05   2.32671500E-05   1.11920126E-04  
  93               1.96564656E+02   1.88415248E+03   8.38196086E-01   1.60398760E-01   6.87645223E-04   4.06352616E-04   4.78145131E-05   2.57236407E-05   2.32060968E-05   1.23800698E-04  
  94               2.11257889E+02   1.91968454E+03   8.38182653E-01   1.60392342E-01   6.84161038E-04   3.94644507E-04   4.77096601E-05   2.58713233E-05   2.30988725E-05   1.35291587E-04  
  95               2.27146014E+02   1.95579661E+03   8.38154831E-01   1.60384343E-01   6.86849512E-04   3.81985145E-04   4.75798596E-05   2.60623041E-05   2.29136758E-05   1.47700505E-04  
  96               2.44409221E+02   1.99294596E+03   8.38103404E-01   1.60373449E-01   6.99096194E-04   3.67540511E-04   4.74291950E-05   2.62861950E-05   2.26203580E-05   1.61855189E-04  
  97               2.60871059E+02   2.02628475E+03   8.38033303E-01   1.60362095E-01   7.28460176E-04   3.51812597E-04   4.72759178E-05   2.65226778E-05   2.21891317E-05   1.77308394E-04  
  98               2.75628813E+02   2.05491654E+03   8.38025899E-01   1.60358142E-01   7.20740068E-04   3.43826126E-04   4.71326783E-05   2.67415507E-05   2.21769297E-05   1.85033325E-04  
  99               2.92155610E+02   2.08539019E+03   8.38014865E-01   1.60353838E-01   7.12940527E-04   3.35719180E-04   4.69641347E-05   2.70019963E-05   2.21623945E-05   1.92836117E-04  
  100              3.10627568E+02   2.11799238E+03   8.37999275E-01   1.60349061E-01   7.04955917E-04   3.27375114E-04   4.67730654E-05   2.72964612E-05   2.21447348E-05   2.00823275E-04  
  101              3.31226968E+02   2.15238077E+03   8.37934152E-01   1.60335445E-01   6.97041842E-04   3.19064493E-04   4.65500469E-05   2.76375118E-05   2.21229932E-05   2.08692596E-04  
