# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  48               7.79094518E-01   2.94732144E+02   8.38104209E-01   1.60469648E-01   7.79874097E-04   5.30431169E-04   5.53128311E-05   3.32149697E-05   2.29841516E-05   9.13515126E-37  
  49               9.43595619E-01   3.10361356E+02   8.38104209E-01   1.60469648E-01   7.79874083E-04   5.30431160E-04   5.53128303E-05   3.32149691E-05   2.29841516E-05   7.32420700E-35  
  50               1.14207204E+00   3.23707450E+02   8.38104209E-01   1.60469648E-01   7.79874067E-04   5.30431149E-04   5.53128294E-05   3.32149686E-05   2.29841516E-05   2.17096164E-33  
  51               1.38092882E+00   3.43241783E+02   8.38104208E-01   1.60469648E-01   7.79874050E-04   5.30431138E-04   5.53128284E-05   3.32149679E-05   2.29841516E-05   1.99164589E-31  
  52               1.66710789E+00   3.62900635E+02   8.38104039E-01   1.60469616E-01   7.79874031E-04   5.30431125E-04   5.53128273E-05   3.32149672E-05   2.29841470E-05   1.14315565E-29  
  53               2.00948568E+00   3.84308639E+02   8.38104056E-01   1.60469600E-01   7.79873711E-04   5.30430907E-04   5.53128049E-05   3.32149537E-05   2.29841447E-05   5.87561719E-28  
  54               2.41872920E+00   4.05909826E+02   8.38104051E-01   1.60469599E-01   7.79877247E-04   5.30433312E-04   5.53130560E-05   3.32151044E-05   2.29841445E-05   2.04086947E-26  
  55               2.90619444E+00   4.29369691E+02   8.38104051E-01   1.60469599E-01   7.79877242E-04   5.30433309E-04   5.53130560E-05   3.32151044E-05   2.29841445E-05   6.42348662E-25  
  56               3.48383151E+00   4.52911265E+02   8.38104030E-01   1.60469594E-01   7.79877212E-04   5.30433289E-04   5.53130543E-05   3.32151032E-05   2.29841439E-05   1.42020603E-23  
  57               4.16563647E+00   4.78335956E+02   8.38103630E-01   1.60469535E-01   7.79877244E-04   5.30433311E-04   5.53130571E-05   3.32151048E-05   2.29841353E-05   2.85827574E-22  
  58               4.96910865E+00   5.03795583E+02   8.38100421E-01   1.60469268E-01   7.79878400E-04   5.30434097E-04   5.53131396E-05   3.32151542E-05   2.29840971E-05   4.23923776E-21  
  59               5.91313470E+00   5.31268842E+02   8.38100709E-01   1.60468980E-01   7.79878455E-04   5.30434134E-04   5.53131441E-05   3.32151568E-05   2.29840558E-05   5.82765236E-20  
  60               7.01813035E+00   5.58676542E+02   8.38100627E-01   1.60468943E-01   7.79944562E-04   5.30479097E-04   5.53178334E-05   3.32179726E-05   2.29840506E-05   6.12392571E-19  
  61               8.30801926E+00   5.88185777E+02   8.38100665E-01   1.60468906E-01   7.79944439E-04   5.30479014E-04   5.53178255E-05   3.32179676E-05   2.29840452E-05   6.03705369E-18  
  62               9.81343273E+00   6.17619607E+02   8.38100731E-01   1.60468840E-01   7.79944250E-04   5.30478886E-04   5.53178128E-05   3.32179599E-05   2.29840358E-05   4.73306903E-17  
  63               1.15638759E+01   6.49278441E+02   8.38100855E-01   1.60468716E-01   7.79943932E-04   5.30478670E-04   5.53177911E-05   3.32179466E-05   2.29840180E-05   3.52309276E-16  
  64               1.35896424E+01   6.80676938E+02   8.38101049E-01   1.60468522E-01   7.79943443E-04   5.30478338E-04   5.53177574E-05   3.32179262E-05   2.29839903E-05   2.13393112E-15  
  65               1.59233235E+01   7.14253469E+02   8.38101370E-01   1.60468202E-01   7.79942680E-04   5.30477819E-04   5.53177043E-05   3.32178941E-05   2.29839444E-05   1.23021559E-14  
  66               1.86175939E+01   7.47584987E+02   8.38101808E-01   1.60467760E-01   7.79941588E-04   5.30477077E-04   5.53176280E-05   3.32178480E-05   2.29838811E-05   5.96295245E-14  
  67               2.17288260E+01   7.83373082E+02   8.38102442E-01   1.60467108E-01   7.79940068E-04   5.30476043E-04   5.53175214E-05   3.32177837E-05   2.29837877E-05   2.79810958E-13  
  68               2.53194660E+01   8.18991330E+02   8.38103174E-01   1.60466311E-01   7.79938380E-04   5.30474895E-04   5.53174029E-05   3.32177123E-05   2.29836733E-05   1.13427722E-12  
  69               2.94482816E+01   8.57066813E+02   8.38104012E-01   1.60465262E-01   7.79937001E-04   5.30473958E-04   5.53173065E-05   3.32176541E-05   2.29835226E-05   4.45555912E-12  
  70               3.41861336E+01   8.94881291E+02   8.38104897E-01   1.60464142E-01   7.79939276E-04   5.30475506E-04   5.53174693E-05   3.32177515E-05   2.29833611E-05   1.53802273E-11  
  71               3.96247348E+01   9.35186421E+02   8.38106112E-01   1.60462894E-01   7.79940721E-04   5.30476489E-04   5.53175734E-05   3.32178137E-05   2.29855882E-05   5.16075006E-11  
  72               4.58366381E+01   9.75205203E+02   8.38107225E-01   1.60461687E-01   7.79938166E-04   5.30474752E-04   5.53173937E-05   3.32177054E-05   2.30055797E-05   1.54826895E-10  
  73               5.28878462E+01   1.01729969E+03   8.38108219E-01   1.60460405E-01   7.79936746E-04   5.30473786E-04   5.53172947E-05   3.32176456E-05   2.30675461E-05   4.47965168E-10  
  74               6.08346528E+01   1.05882085E+03   8.38108642E-01   1.60459196E-01   7.79938895E-04   5.30475247E-04   5.53174489E-05   3.32177378E-05   2.32351920E-05   1.17145161E-09  
