# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  73               5.61543708E+00   1.03483027E+03   8.38236995E-01   1.60463640E-01   7.05629885E-04   4.61825226E-04   3.16583308E-05   5.70951647E-05   2.42861973E-05   2.14639324E-09  
  74               6.28924260E+00   1.06884395E+03   8.38237857E-01   1.60462750E-01   7.05627392E-04   4.61823510E-04   3.16875520E-05   5.70949799E-05   2.42859869E-05   4.61876429E-09  
  75               7.03663602E+00   1.10404658E+03   8.38239069E-01   1.60461437E-01   7.05623898E-04   4.61820680E-04   3.17880979E-05   5.70947664E-05   2.42856609E-05   9.70883803E-09  
  76               7.86506323E+00   1.13937361E+03   8.38240675E-01   1.60459508E-01   7.05617420E-04   4.61813214E-04   3.21123504E-05   5.70946190E-05   2.42851673E-05   1.94973079E-08  
  77               8.78452000E+00   1.17592178E+03   8.38242748E-01   1.60456504E-01   7.05596324E-04   4.61782296E-04   3.30679347E-05   5.70948936E-05   2.42843903E-05   3.83569188E-08  
  78               9.80575791E+00   1.21272620E+03   8.38244848E-01   1.60452053E-01   7.05494959E-04   4.61632767E-04   3.56187324E-05   5.70964206E-05   2.42832275E-05   7.26050744E-08  
  79               1.09405254E+01   1.25085360E+03   8.38246582E-01   1.60445415E-01   7.05018271E-04   4.60965049E-04   4.15754688E-05   5.71003588E-05   2.42814713E-05   1.35079172E-07  
  80               1.22040784E+01   1.28936482E+03   8.38248231E-01   1.60436539E-01   7.03070817E-04   4.58377940E-04   5.31842867E-05   5.71065137E-05   2.42790247E-05   2.43129244E-07  
  81               1.36207423E+01   1.32956924E+03   8.38254557E-01   1.60425685E-01   6.96704890E-04   4.50382306E-04   7.18241017E-05   5.71105256E-05   2.42757192E-05   4.32751016E-07  
  82               1.52279238E+01   1.37091213E+03   8.38273891E-01   1.60414815E-01   6.81200335E-04   4.32395126E-04   9.64575406E-05   5.71092167E-05   2.42716046E-05   7.54227173E-07  
  83               1.70731873E+01   1.41492972E+03   8.38308675E-01   1.60403995E-01   6.54642303E-04   4.04157061E-04   1.26615144E-04   5.71051312E-05   2.42660178E-05   1.31378712E-06  
  84               1.92029650E+01   1.46079172E+03   8.38351005E-01   1.60392967E-01   6.22017170E-04   3.70983647E-04   1.59954941E-04   5.71008764E-05   2.42575680E-05   2.25531260E-06  
  85               2.16490267E+01   1.50926373E+03   8.38396021E-01   1.60381178E-01   5.86664459E-04   3.35179513E-04   1.95711629E-04   5.70976162E-05   2.42415671E-05   3.84816629E-06  
  86               2.44186967E+01   1.55877209E+03   8.38438158E-01   1.60369465E-01   5.52373893E-04   3.00100983E-04   2.30699356E-04   5.70956615E-05   2.42042852E-05   6.40308507E-06  
  87               2.74714485E+01   1.60882292E+03   8.38473140E-01   1.60357740E-01   5.20758085E-04   2.66867763E-04   2.63827388E-04   5.71194753E-05   2.41025406E-05   1.03647290E-05  
  88               3.07408878E+01   1.65742636E+03   8.38489773E-01   1.60345241E-01   4.95431357E-04   2.37236514E-04   2.93338852E-04   5.71167701E-05   2.38335625E-05   1.60595038E-05  
  89               3.41213780E+01   1.70383618E+03   8.38502468E-01   1.60335328E-01   4.84308998E-04   2.09057200E-04   3.21400634E-04   5.71141239E-05   2.28310538E-05   2.38087888E-05  
  90               3.74030375E+01   1.74523575E+03   8.38515421E-01   1.60327738E-01   4.66563022E-04   1.89225516E-04   3.41117990E-04   5.71032328E-05   2.27621373E-05   3.31887712E-05  
  91               4.08932329E+01   1.78644975E+03   8.38516768E-01   1.60319722E-01   4.53862822E-04   1.70800211E-04   3.59418009E-04   5.70796711E-05   2.26281114E-05   4.54603472E-05  
  92               4.40870702E+01   1.82150607E+03   8.38501207E-01   1.60311457E-01   4.49740621E-04   1.55605790E-04   3.74497226E-04   5.70683989E-05   2.24117177E-05   5.86857851E-05  
  93               4.68905929E+01   1.85082290E+03   8.38473250E-01   1.60303146E-01   4.53279211E-04   1.42558305E-04   3.87445899E-04   5.70307900E-05   2.21245454E-05   7.20941133E-05  
  94               4.99653536E+01   1.88120015E+03   8.38424473E-01   1.60292601E-01   4.66085830E-04   1.28565471E-04   4.01337840E-04   5.69941932E-05   2.17185756E-05   8.85621443E-05  
  95               5.33360970E+01   1.91291348E+03   8.38364914E-01   1.60282253E-01   4.90305824E-04   1.13606516E-04   4.16206824E-04   5.69555190E-05   2.12195189E-05   1.08970742E-04  
  96               5.62084004E+01   1.93854691E+03   8.38350029E-01   1.60277763E-01   4.84204291E-04   1.07420657E-04   4.22296874E-04   5.69148991E-05   2.12023875E-05   1.28152181E-04  
  97               5.85191595E+01   1.95845707E+03   8.38340414E-01   1.60275026E-01   4.79806344E-04   1.02954318E-04   4.26687754E-04   5.68798607E-05   2.11887487E-05   1.44899688E-04  
  98               6.11090782E+01   1.97997254E+03   8.38327769E-01   1.60272017E-01   4.75394320E-04   9.84663957E-05   4.31090326E-04   5.68396141E-05   2.11736468E-05   1.64959113E-04  
  99               6.40019563E+01   2.00310228E+03   8.38311432E-01   1.60268700E-01   4.71011530E-04   9.39990280E-05   4.35461310E-04   5.67933002E-05   2.11568245E-05   1.88984223E-04  
  100              6.72193274E+01   2.02785859E+03   8.38290626E-01   1.60265022E-01   4.66687841E-04   8.95804458E-05   4.39771182E-04   5.67407071E-05   2.11379000E-05   2.17774869E-04  
  101              7.08091945E+01   2.05420680E+03   8.38223868E-01   1.60253184E-01   4.62490180E-04   8.52936946E-05   4.43909650E-04   5.66774937E-05   2.11157881E-05   2.52164201E-04  
