# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H                H2O              N2               H2S              Mg              
  63               1.45398047E+00   1.48592190E+03   8.38805891E-01   1.60273957E-01   5.20326522E-04   1.12097045E-05   2.73143810E-04   6.02891832E-05   2.33372595E-05   7.57903431E-08  
  64               1.59873542E+00   1.52366298E+03   8.38788634E-01   1.60269778E-01   5.22011645E-04   1.67775876E-05   2.74699174E-04   6.02931148E-05   2.33167962E-05   3.18637884E-07  
  65               1.75231405E+00   1.56207733E+03   8.38774944E-01   1.60269422E-01   5.23849959E-04   2.48022139E-05   2.81525639E-04   6.03157057E-05   2.17857736E-05   6.56609034E-07  
  66               1.91206579E+00   1.59939434E+03   8.38757957E-01   1.60266886E-01   5.25238022E-04   3.55800420E-05   2.85257286E-04   6.03223769E-05   2.17381881E-05   2.29332864E-06  
  67               2.07545943E+00   1.63500693E+03   8.38731405E-01   1.60263822E-01   5.26341959E-04   4.93939421E-05   2.91874112E-04   6.03354171E-05   2.15838021E-05   6.73514470E-06  
  68               2.23632778E+00   1.66806233E+03   8.38686217E-01   1.60259018E-01   5.27176189E-04   6.60984780E-05   3.05506366E-04   6.03542673E-05   2.12797044E-05   1.60139349E-05  
  69               2.38476990E+00   1.69681043E+03   8.38629115E-01   1.60253670E-01   5.27803333E-04   8.43163123E-05   3.26705643E-04   6.03853814E-05   2.08761396E-05   3.03024179E-05  
  70               2.51202597E+00   1.72044841E+03   8.38565344E-01   1.60248017E-01   5.28369350E-04   1.02346088E-04   3.51517484E-04   6.04411159E-05   2.04719283E-05   4.75876947E-05  
  71               2.64360451E+00   1.74377824E+03   8.38496696E-01   1.60241969E-01   5.28658343E-04   1.23222453E-04   3.75814343E-04   6.04436255E-05   2.01274197E-05   6.55396346E-05  
  72               2.78880769E+00   1.76859291E+03   8.38470796E-01   1.60239404E-01   5.28822249E-04   1.49286401E-04   3.78185021E-04   6.04425244E-05   2.01343298E-05   6.54799701E-05  
  73               2.91627372E+00   1.78936725E+03   8.38447467E-01   1.60237278E-01   5.28998151E-04   1.74503113E-04   3.78316857E-04   6.04607455E-05   2.01355883E-05   6.54285803E-05  
  74               3.01902068E+00   1.80573305E+03   8.38427058E-01   1.60235456E-01   5.29076734E-04   1.96830400E-04   3.78201129E-04   6.04593993E-05   2.01334472E-05   6.53874629E-05  
  75               3.13298712E+00   1.82318525E+03   8.38402947E-01   1.60233314E-01   5.29160598E-04   2.23181988E-04   3.78070199E-04   6.04572605E-05   2.01281811E-05   6.53425049E-05  
  76               3.25961090E+00   1.84215623E+03   8.38340859E-01   1.60224451E-01   5.29228253E-04   2.55138197E-04   3.77921790E-04   6.04543516E-05   2.01178985E-05   6.52903310E-05  
  77               3.40117987E+00   1.86245884E+03   8.38305760E-01   1.60221362E-01   5.29304315E-04   2.93420374E-04   3.77789711E-04   6.04511342E-05   2.01034830E-05   6.52357626E-05  
  78               3.55968988E+00   1.88457000E+03   8.38262597E-01   1.60217562E-01   5.29372062E-04   3.40470055E-04   3.77662626E-04   6.04478285E-05   2.00824320E-05   6.51751687E-05  
  79               3.73673323E+00   1.90812733E+03   8.38210544E-01   1.60212993E-01   5.29408465E-04   3.97209447E-04   3.77523606E-04   6.04408058E-05   2.00539583E-05   6.51086301E-05  
  80               3.87382529E+00   1.92585560E+03   8.38166625E-01   1.60209131E-01   5.29494829E-04   4.44910702E-04   3.77467553E-04   6.04848676E-05   2.00282247E-05   6.50575788E-05  
  81               3.97467413E+00   1.93845286E+03   8.38133014E-01   1.60206188E-01   5.29502039E-04   4.81531531E-04   3.77392165E-04   6.04777754E-05   2.00076455E-05   6.50205039E-05  
  82               4.08726848E+00   1.95234677E+03   8.38093207E-01   1.60202702E-01   5.29525479E-04   5.24823236E-04   3.77350135E-04   6.04715046E-05   1.99828150E-05   6.49792539E-05  
  83               4.21257782E+00   1.96727560E+03   8.38047347E-01   1.60198687E-01   5.29546928E-04   5.74741510E-04   3.77277265E-04   6.04658803E-05   1.99534029E-05   6.49339385E-05  
  84               4.35176397E+00   1.98356729E+03   8.37993173E-01   1.60193949E-01   5.29566547E-04   6.33654769E-04   3.77229768E-04   6.04606279E-05   1.99182481E-05   6.48838837E-05  
  85               4.50560681E+00   2.00089342E+03   8.37930860E-01   1.60188501E-01   5.29582237E-04   7.01481314E-04   3.77148965E-04   6.04554178E-05   1.98771496E-05   6.48293367E-05  
  86               4.67490590E+00   2.01953127E+03   8.37857796E-01   1.60182116E-01   5.29594397E-04   7.81001555E-04   3.77063151E-04   6.04498558E-05   1.98285706E-05   6.47697566E-05  
  87               4.86022447E+00   2.03909075E+03   8.37774210E-01   1.60174815E-01   5.29601239E-04   8.71964492E-04   3.76975280E-04   6.04437167E-05   1.97730425E-05   6.47055357E-05  
  88               5.06320706E+00   2.05993939E+03   8.37676532E-01   1.60166285E-01   5.29602969E-04   9.78255045E-04   3.76882447E-04   6.04367286E-05   1.97083064E-05   6.46358342E-05  
  89               5.28632407E+00   2.08182114E+03   8.37564180E-01   1.60156477E-01   5.29597946E-04   1.10050349E-03   3.76786490E-04   6.04287747E-05   1.96346306E-05   6.45605024E-05  
  90               5.53106098E+00   2.10506715E+03   8.37432663E-01   1.60144998E-01   5.29585983E-04   1.24359835E-03   3.76684431E-04   6.04197211E-05   1.95494440E-05   6.44787735E-05  
  91               5.79900188E+00   2.12925473E+03   8.37282060E-01   1.60131857E-01   5.29565568E-04   1.40744981E-03   3.76578616E-04   6.04094163E-05   1.94538279E-05   6.43909511E-05  
  92               6.09184323E+00   2.15475031E+03   8.37106540E-01   1.60116543E-01   5.29536197E-04   1.59840326E-03   3.76465550E-04   6.03977510E-05   1.93447683E-05   6.42961714E-05  
  93               6.41141392E+00   2.18106255E+03   8.36906772E-01   1.60099117E-01   5.29496611E-04   1.81572808E-03   3.76347775E-04   6.03845467E-05   1.92241642E-05   6.41948553E-05  
  94               6.75969026E+00   2.20860146E+03   8.36675297E-01   1.60078927E-01   5.29445873E-04   2.06754006E-03   3.76221198E-04   6.03696703E-05   1.90885362E-05   6.40860176E-05  
  95               7.13882745E+00   2.23678658E+03   8.36414112E-01   1.60056149E-01   5.29383138E-04   2.35166531E-03   3.76088876E-04   6.03529370E-05   1.89410318E-05   6.39702490E-05  
  96               7.55119731E+00   2.26611570E+03   8.36113425E-01   1.60029927E-01   5.29306886E-04   2.67875514E-03   3.75945779E-04   6.03341673E-05   1.87774155E-05   6.38463515E-05  
  97               7.99940224E+00   2.29590738E+03   8.35777501E-01   1.60000636E-01   5.29216913E-04   3.04417032E-03   3.75795836E-04   6.03132009E-05   1.86024755E-05   6.37151307E-05  
  98               8.48628562E+00   2.32678331E+03   8.35391238E-01   1.59966750E-01   5.29109585E-04   3.46218403E-03   3.75632509E-04   6.02896335E-05   1.84107732E-05   6.35749402E-05  
  99               9.01462217E+00   2.35789535E+03   8.34958583E-01   1.59929537E-01   5.28996029E-04   3.92344722E-03   3.81943726E-04   6.02646722E-05   1.82405731E-05   6.34272444E-05  
  100              9.58783440E+00   2.39003306E+03   8.34476791E-01   1.59887533E-01   5.28856090E-04   4.44744197E-03   3.81823598E-04   6.02359001E-05   1.80220259E-05   6.32701472E-05  
  101              1.02100045E+01   2.42219321E+03   8.33952028E-01   1.59841785E-01   5.28699915E-04   5.01818082E-03   3.81685017E-04   6.02042705E-05   1.77968235E-05   6.31051313E-05  
