# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  88               5.58050049E+02   2.17368391E+03   8.37875704E-01   1.60377082E-01   7.85786392E-04   4.08001090E-04   1.86615892E-04   3.96236647E-05   4.16954555E-05   1.19876310E-04  
  89               6.07336841E+02   2.21982078E+03   8.37833436E-01   1.60369377E-01   7.78461029E-04   4.00000557E-04   2.32384694E-04   3.92046454E-05   4.24106044E-05   1.27210082E-04  
  90               6.54972605E+02   2.26183508E+03   8.37796225E-01   1.60363563E-01   7.72162929E-04   3.92995671E-04   2.81403564E-04   3.88025545E-05   4.30941357E-05   1.33533125E-04  
  91               6.98681676E+02   2.29793314E+03   8.37756102E-01   1.60357816E-01   7.67206130E-04   3.87357963E-04   3.29565304E-04   3.84268594E-05   4.37345140E-05   1.38519488E-04  
  92               7.49732551E+02   2.33816318E+03   8.37700095E-01   1.60351091E-01   7.66409630E-04   3.80677628E-04   3.90630883E-04   3.79972643E-05   4.44632328E-05   1.44407829E-04  
  93               8.09268853E+02   2.38190798E+03   8.37604192E-01   1.60337289E-01   7.61441612E-04   3.74537668E-04   4.66356674E-04   3.74900383E-05   4.53207073E-05   1.49565479E-04  
  94               8.59279360E+02   2.41688414E+03   8.37545656E-01   1.60330841E-01   7.57768685E-04   3.69842017E-04   5.34703067E-04   3.70748253E-05   4.60217929E-05   1.53416950E-04  
  95               8.98508376E+02   2.44288276E+03   8.37497643E-01   1.60325654E-01   7.55339086E-04   3.66610036E-04   5.90088398E-04   3.67471290E-05   4.65772993E-05   1.55976659E-04  
  96               9.45020832E+02   2.47286892E+03   8.37437135E-01   1.60319264E-01   7.52639167E-04   3.62935919E-04   6.59412101E-04   3.63688428E-05   4.72136450E-05   1.58824986E-04  
  97               9.99815195E+02   2.50625670E+03   8.37363008E-01   1.60311741E-01   7.50034602E-04   3.59185003E-04   7.43344536E-04   3.59226534E-05   4.79674411E-05   1.61592885E-04  
  98               1.06395321E+03   2.54379353E+03   8.37270688E-01   1.60302594E-01   7.47334450E-04   3.55111821E-04   8.47153794E-04   3.54148376E-05   4.88197641E-05   1.64475829E-04  
  99               1.13869185E+03   2.58478085E+03   8.37158587E-01   1.60291862E-01   7.44930643E-04   3.51102820E-04   9.71975459E-04   3.48286263E-05   4.98066587E-05   1.67080641E-04  
  100              1.22546324E+03   2.62995517E+03   8.37020470E-01   1.60278919E-01   7.42655246E-04   3.46918750E-04   1.12485408E-03   3.41701181E-05   5.09087932E-05   1.69583600E-04  
  101              1.32589625E+03   2.67852572E+03   8.36854325E-01   1.60263768E-01   7.40908030E-04   3.42945918E-04   1.30737681E-03   3.34237784E-05   5.21605134E-05   1.71589077E-04  
