# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  69               2.60131592E+00   1.49054701E+03   8.38788644E-01   1.60281578E-01   4.98888307E-04   2.88490168E-04   8.86720786E-06   6.01336152E-05   3.16733657E-05   2.37059764E-05  
  70               2.89618734E+00   1.52919862E+03   8.38775944E-01   1.60276093E-01   5.05287370E-04   2.84613199E-04   1.32927006E-05   6.01358973E-05   2.54222422E-05   2.36836216E-05  
  71               3.21303469E+00   1.57135882E+03   8.38763445E-01   1.60273847E-01   5.11579566E-04   2.93646890E-04   2.02906022E-05   6.01590071E-05   1.88116371E-05   2.19127948E-05  
  72               3.54509488E+00   1.61366289E+03   8.38753601E-01   1.60270922E-01   5.15774511E-04   2.92432021E-04   3.03526885E-05   6.01593598E-05   1.47300633E-05   2.18775472E-05  
  73               3.88317541E+00   1.65355427E+03   8.38733675E-01   1.60267672E-01   5.18817359E-04   2.94961873E-04   4.34932666E-05   6.01654079E-05   1.17097920E-05   2.17520971E-05  
  74               4.20300761E+00   1.68888489E+03   8.38693953E-01   1.60262542E-01   5.21095241E-04   3.04897984E-04   5.89215717E-05   6.01764211E-05   9.43204448E-06   2.14893516E-05  
  75               4.53563450E+00   1.72334682E+03   8.38634965E-01   1.60256354E-01   5.23036106E-04   3.25962075E-04   7.82186478E-05   6.01958719E-05   7.45949087E-06   2.10581721E-05  
  76               4.82857572E+00   1.75211880E+03   8.38563744E-01   1.60249638E-01   5.24474235E-04   3.54940893E-04   9.81982558E-05   6.02288104E-05   5.99661978E-06   2.05930017E-05  
  77               5.06793512E+00   1.77454632E+03   8.38505276E-01   1.60245029E-01   5.25411230E-04   3.81404188E-04   1.16603959E-04   6.02627300E-05   5.04847877E-06   2.02480739E-05  
  78               5.32670878E+00   1.79793821E+03   8.38472950E-01   1.60240710E-01   5.25871458E-04   3.81411396E-04   1.38819285E-04   6.02575365E-05   4.57589669E-06   2.02561099E-05  
  79               5.61105843E+00   1.82250839E+03   8.38448643E-01   1.60238412E-01   5.26283023E-04   3.80947859E-04   1.65852204E-04   6.02513318E-05   4.14666452E-06   2.02603921E-05  
  80               5.85367187E+00   1.84278543E+03   8.38425561E-01   1.60236265E-01   5.26590484E-04   3.80607009E-04   1.91366155E-04   6.02629225E-05   3.83380245E-06   2.02602333E-05  
  81               6.04917709E+00   1.85855814E+03   8.38405600E-01   1.60234434E-01   5.26799074E-04   3.80358484E-04   2.13383404E-04   6.02569655E-05   3.61502401E-06   2.02577832E-05  
  82               6.26651301E+00   1.87570807E+03   8.38381688E-01   1.60232258E-01   5.27006996E-04   3.80111353E-04   2.39692836E-04   6.02494726E-05   3.39640896E-06   2.02526526E-05  
