# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  48               2.31931684E-01   3.34489230E+02   8.38156522E-01   1.60479652E-01   7.55484208E-04   5.07793256E-04   5.43344552E-05   5.93581187E-06   2.29849464E-05   1.29993655E-05  
  49               2.66133358E-01   3.48718058E+02   8.38156522E-01   1.60479651E-01   7.55484205E-04   5.07793255E-04   5.43344546E-05   5.93581185E-06   2.29849464E-05   1.29993652E-05  
  50               3.05217748E-01   3.63408043E+02   8.38156510E-01   1.60479649E-01   7.55484215E-04   5.07793261E-04   5.43344549E-05   5.93581194E-06   2.29849460E-05   1.29993652E-05  
  51               3.49850742E-01   3.78701082E+02   8.38156511E-01   1.60479647E-01   7.55484197E-04   5.07793249E-04   5.43344531E-05   5.93581180E-06   2.29849458E-05   1.29993646E-05  
  52               4.00762296E-01   3.94458037E+02   8.38156512E-01   1.60479647E-01   7.55484267E-04   5.07793296E-04   5.43344575E-05   5.93581235E-06   2.29849457E-05   1.29993655E-05  
  53               4.58760739E-01   4.10857120E+02   8.38156159E-01   1.60479576E-01   7.55483969E-04   5.07793096E-04   5.43344355E-05   5.93581002E-06   2.29849356E-05   1.29993600E-05  
  54               5.24750530E-01   4.27727049E+02   8.38156187E-01   1.60479535E-01   7.55490692E-04   5.07797615E-04   5.43349183E-05   5.93586285E-06   2.29849297E-05   1.29994753E-05  
  55               5.99770088E-01   4.45285797E+02   8.38156186E-01   1.60479523E-01   7.55490668E-04   5.07797599E-04   5.43349159E-05   5.93586267E-06   2.29849280E-05   1.29994745E-05  
  56               6.84971794E-01   4.63328245E+02   8.38155805E-01   1.60479434E-01   7.55490695E-04   5.07797617E-04   5.43349170E-05   5.93586289E-06   2.29849153E-05   1.29994745E-05  
  57               7.81610951E-01   4.82092533E+02   8.38155544E-01   1.60479692E-01   7.55492016E-04   5.07798505E-04   5.43350111E-05   5.93587328E-06   2.29849522E-05   1.29994967E-05  
  58               8.91072442E-01   5.01338037E+02   8.38152911E-01   1.60479088E-01   7.55492518E-04   5.07798843E-04   5.43350462E-05   5.93587723E-06   2.29848657E-05   1.29995048E-05  
  59               1.01497305E+00   5.21348277E+02   8.38153327E-01   1.60478674E-01   7.55491769E-04   5.07798340E-04   5.43349913E-05   5.93587136E-06   2.29848063E-05   1.29994914E-05  
  60               1.15522499E+00   5.41878657E+02   8.38153507E-01   1.60478389E-01   7.55551065E-04   5.07838196E-04   5.43392547E-05   5.93633726E-06   2.29847655E-05   1.30005110E-05  
  61               1.31393843E+00   5.63245961E+02   8.38153957E-01   1.60477940E-01   7.55550120E-04   5.07837561E-04   5.43391854E-05   5.93632985E-06   2.29847013E-05   1.30004940E-05  
  62               1.49330546E+00   5.85140735E+02   8.38154650E-01   1.60477249E-01   7.55549258E-04   5.07836981E-04   5.43391220E-05   5.93632308E-06   2.29846023E-05   1.30004784E-05  
  63               1.69563579E+00   6.07883253E+02   8.38155666E-01   1.60476237E-01   7.55547068E-04   5.07835509E-04   5.43389630E-05   5.93630590E-06   2.29844574E-05   1.30004399E-05  
