# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  60               4.94995960E+00   1.17985511E+03   8.38320125E-01   1.60453193E-01   6.31114338E-04   3.89753909E-04   1.06499187E-04   5.51421532E-08   5.79758048E-05   2.42835465E-05  
  61               5.55904418E+00   1.21507055E+03   8.38327937E-01   1.60443419E-01   6.30917863E-04   3.89483563E-04   1.08868992E-04   1.00646842E-07   5.79754477E-05   2.42814271E-05  
  62               6.24186782E+00   1.25287540E+03   8.38337326E-01   1.60429945E-01   6.30146472E-04   3.88412564E-04   1.14685316E-04   1.85158898E-07   5.79758696E-05   2.42783802E-05  
  63               7.00949327E+00   1.28564042E+03   8.38344095E-01   1.60417651E-01   6.27538685E-04   3.84850608E-04   1.26227186E-04   3.02004082E-07   5.79782928E-05   2.42753257E-05  
  64               7.87723367E+00   1.32217586E+03   8.38355444E-01   1.60402637E-01   6.20668944E-04   3.75779895E-04   1.45571613E-04   5.08134217E-07   5.79816218E-05   2.42711999E-05  
  65               8.86734554E+00   1.35445975E+03   8.38372701E-01   1.60392222E-01   6.07111295E-04   3.59339855E-04   1.68397162E-04   7.78424124E-07   5.79840012E-05   2.42674532E-05  
  66               1.00083542E+01   1.39151478E+03   8.38402323E-01   1.60381002E-01   5.85168834E-04   3.34581886E-04   1.96145450E-04   1.24499871E-06   5.79835066E-05   2.42622220E-05  
  67               1.13302773E+01   1.42512731E+03   8.38431028E-01   1.60373731E-01   5.62812815E-04   3.11756770E-04   2.19051062E-04   1.84873822E-06   5.79813256E-05   2.42565586E-05  
  68               1.28610387E+01   1.46448088E+03   8.38465743E-01   1.60364573E-01   5.36069375E-04   2.84330191E-04   2.46533374E-04   2.88745608E-06   5.79786463E-05   2.42376718E-05  
  69               1.46216257E+01   1.50118344E+03   8.38491307E-01   1.60357444E-01   5.14757261E-04   2.62939743E-04   2.67866631E-04   4.25225335E-06   5.79761725E-05   2.42300027E-05  
  70               1.66337154E+01   1.54427053E+03   8.38522606E-01   1.60348689E-01   4.89861618E-04   2.36374477E-04   2.94361763E-04   6.59124216E-06   5.79737367E-05   2.41157481E-05  
  71               1.89147777E+01   1.58516436E+03   8.38543304E-01   1.60341256E-01   4.69556309E-04   2.15851506E-04   3.14821069E-04   9.71573511E-06   5.79713426E-05   2.41004838E-05  
  72               2.14641840E+01   1.63263405E+03   8.38554326E-01   1.60330034E-01   4.48035049E-04   1.90522743E-04   3.40049774E-04   1.49920175E-05   5.79700642E-05   2.38369681E-05  
  73               2.42410612E+01   1.67807879E+03   8.38561206E-01   1.60321804E-01   4.42313194E-04   1.67112912E-04   3.63368310E-04   2.21214811E-05   5.79827878E-05   2.26962581E-05  
  74               2.71952163E+01   1.72994590E+03   8.38573798E-01   1.60312571E-01   4.21832036E-04   1.43950995E-04   3.86412007E-04   3.39214251E-05   5.79707067E-05   2.26013759E-05  
  75               3.02353401E+01   1.77953994E+03   8.38566195E-01   1.60302834E-01   4.10702978E-04   1.23825913E-04   4.06413864E-04   4.98370698E-05   5.79527356E-05   2.23898372E-05  
  76               3.32833772E+01   1.82470985E+03   8.38524859E-01   1.60290797E-01   4.14451717E-04   1.06139964E-04   4.23980256E-04   6.93373245E-05   5.79253939E-05   2.19818142E-05  
  77               3.61882547E+01   1.86549374E+03   8.38459443E-01   1.60278221E-01   4.35423012E-04   8.95126088E-05   4.40510665E-04   9.21268231E-05   5.79129883E-05   2.13968170E-05  
  78               3.88756954E+01   1.90021934E+03   8.38405288E-01   1.60269445E-01   4.54530471E-04   7.77884536E-05   4.52159439E-04   1.16057618E-04   5.78789397E-05   2.09988222E-05  
