# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  58               4.84545875E+00   1.30405022E+03   8.38465229E-01   1.60384725E-01   4.88187350E-07   5.30039094E-04   2.31146434E-04   2.89918304E-04   5.87425988E-05   2.42682870E-05  
  59               5.65980481E+00   1.35115708E+03   8.38492034E-01   1.60364427E-01   9.28154111E-07   5.15644500E-04   2.58102480E-04   2.70321995E-04   5.87442145E-05   2.42614480E-05  
  60               6.64259709E+00   1.39844297E+03   8.38530821E-01   1.60349923E-01   1.68239228E-06   4.88201585E-04   2.92728704E-04   2.37935131E-04   5.87428486E-05   2.42530186E-05  
  61               7.84466532E+00   1.44739361E+03   8.38571946E-01   1.60338776E-01   2.97389664E-06   4.56496244E-04   3.25854488E-04   2.04875113E-04   5.87394627E-05   2.42387014E-05  
  62               9.30863307E+00   1.49648135E+03   8.38604120E-01   1.60329873E-01   5.03648158E-06   4.30163425E-04   3.52704467E-04   1.78005096E-04   5.87366726E-05   2.42068843E-05  
  63               1.10612713E+01   1.54688936E+03   8.38627373E-01   1.60321790E-01   8.32664804E-06   4.08457544E-04   3.75437918E-04   1.55213516E-04   5.87346583E-05   2.41181956E-05  
  64               1.31092060E+01   1.59718890E+03   8.38629907E-01   1.60312534E-01   1.32732240E-05   3.92737649E-04   3.94219334E-04   1.36364143E-04   5.87341891E-05   2.38696684E-05  
  65               1.54189480E+01   1.64894760E+03   8.38631174E-01   1.60305330E-01   2.08480191E-05   3.91464569E-04   4.14317280E-04   1.16186115E-04   5.87513688E-05   2.24971668E-05  
  66               1.79544815E+01   1.70099197E+03   8.38633397E-01   1.60298841E-01   3.19616069E-05   3.79017755E-04   4.28969862E-04   1.01449676E-04   5.87348167E-05   2.24275202E-05  
  67               2.06507552E+01   1.75533269E+03   8.38615745E-01   1.60290001E-01   4.88527512E-05   3.72769307E-04   4.44336513E-04   8.59815887E-05   5.87107169E-05   2.22107746E-05  
  68               2.33128506E+01   1.81240744E+03   8.38548848E-01   1.60275095E-01   7.48759031E-05   3.85183650E-04   4.62549185E-04   6.76574058E-05   5.86931358E-05   2.16220297E-05  
  69               2.57177757E+01   1.85953687E+03   8.38450910E-01   1.60261735E-01   1.04292160E-04   4.28919134E-04   4.77964002E-04   5.21761356E-05   5.86915194E-05   2.07905739E-05  
  70               2.77590363E+01   1.89685243E+03   8.38430846E-01   1.60257632E-01   1.33895776E-04   4.23470216E-04   4.83386949E-04   4.66860317E-05   5.86595595E-05   2.07793609E-05  
